LHX,Date
3.236679792404175,1981-12-31
3.1678149700164795,1982-01-04
3.089111328125,1982-01-05
3.0300850868225098,1982-01-06
3.04975962638855,1982-01-07
2.9907329082489014,1982-01-08
2.823486804962158,1982-01-11
2.9021904468536377,1982-01-12
2.86283802986145,1982-01-13
2.853001356124878,1982-01-14
2.853001356124878,1982-01-15
2.853001356124878,1982-01-18
2.8136491775512695,1982-01-19
2.695594549179077,1982-01-20
2.5283491611480713,1982-01-21
2.4791598320007324,1982-01-22
2.4201321601867676,1982-01-25
2.4398086071014404,1982-01-26
2.5480244159698486,1982-01-27
2.774296760559082,1982-01-28
2.793973445892334,1982-01-29
2.636566638946533,1982-02-01
2.695594549179077,1982-02-02
2.656243085861206,1982-02-03
2.6464052200317383,1982-02-04
2.7054316997528076,1982-02-05
2.656243085861206,1982-02-08
2.636566638946533,1982-02-09
2.666079521179199,1982-02-10
2.6759192943573,1982-02-11
2.685755968093872,1982-02-12
2.6464052200317383,1982-02-16
2.685755968093872,1982-02-17
2.685755968093872,1982-02-18
2.6168906688690186,1982-02-19
2.597214937210083,1982-02-22
2.626727819442749,1982-02-23
2.597214937210083,1982-02-24
2.587376832962036,1982-02-25
2.5578646659851074,1982-02-26
2.429969072341919,1982-03-01
2.2824018001556396,1982-03-02
2.220541477203369,1982-03-03
2.2403693199157715,1982-03-04
2.2800216674804688,1982-03-05
2.2403693199157715,1982-03-08
2.339500665664673,1982-03-09
2.309760570526123,1982-03-10
2.2899343967437744,1982-03-11
2.2701096534729004,1982-03-12
2.319674253463745,1982-03-15
2.339500665664673,1982-03-16
2.319674253463745,1982-03-17
2.339500665664673,1982-03-18
2.359327554702759,1982-03-19
2.36923885345459,1982-03-22
2.3791542053222656,1982-03-23
2.3890652656555176,1982-03-24
2.36923885345459,1982-03-25
2.359327554702759,1982-03-26
2.329587936401367,1982-03-29
2.329587936401367,1982-03-30
2.2899343967437744,1982-03-31
2.359327554702759,1982-04-01
2.3791542053222656,1982-04-02
2.339500665664673,1982-04-05
2.329587936401367,1982-04-06
2.36923885345459,1982-04-07
2.359327554702759,1982-04-08
2.4088923931121826,1982-04-12
2.517937421798706,1982-04-13
2.44854474067688,1982-04-14
2.5278499126434326,1982-04-15
2.577415943145752,1982-04-16
2.5675032138824463,1982-04-19
2.5476770401000977,1982-04-20
2.508023977279663,1982-04-21
2.508023977279663,1982-04-22
2.517937421798706,1982-04-23
2.5575897693634033,1982-04-26
2.517937421798706,1982-04-27
2.4981110095977783,1982-04-28
2.3989789485931396,1982-04-29
2.3890652656555176,1982-04-30
2.4188053607940674,1982-05-03
2.4188053607940674,1982-05-04
2.3890652656555176,1982-05-05
2.44854474067688,1982-05-06
2.488199472427368,1982-05-07
2.4683706760406494,1982-05-10
2.4683706760406494,1982-05-11
2.3890652656555176,1982-05-12
2.339500665664673,1982-05-13
2.319674253463745,1982-05-14
2.2502810955047607,1982-05-17
2.180891513824463,1982-05-18
2.141237497329712,1982-05-19
2.101586103439331,1982-05-20
2.1214118003845215,1982-05-21
2.101586103439331,1982-05-24
