RIVN,Date
100.7300033569336,2021-11-10
122.98999786376953,2021-11-11
129.9499969482422,2021-11-12
149.36000061035156,2021-11-15
172.00999450683594,2021-11-16
146.07000732421875,2021-11-17
123.37999725341797,2021-11-18
128.60000610351562,2021-11-19
118.11000061035156,2021-11-22
119.8499984741211,2021-11-23
114.8499984741211,2021-11-24
112.12999725341797,2021-11-26
119.7699966430664,2021-11-29
119.76000213623047,2021-11-30
115.69000244140625,2021-12-01
110.7699966430664,2021-12-02
104.66999816894531,2021-12-03
116.77999877929688,2021-12-06
116.18000030517578,2021-12-07
122.12000274658203,2021-12-08
115.4000015258789,2021-12-09
114.66000366210938,2021-12-10
118.9000015258789,2021-12-13
117.13999938964844,2021-12-14
115.0,2021-12-15
108.87000274658203,2021-12-16
97.69999694824219,2021-12-17
89.9800033569336,2021-12-20
96.81999969482422,2021-12-21
96.33999633789062,2021-12-22
96.83999633789062,2021-12-23
107.08999633789062,2021-12-27
102.87000274658203,2021-12-28
99.33999633789062,2021-12-29
103.41999816894531,2021-12-30
103.69000244140625,2021-12-31
102.72000122070312,2022-01-03
101.38999938964844,2022-01-04
90.01000213623047,2022-01-05
87.33000183105469,2022-01-06
86.27999877929688,2022-01-07
81.44000244140625,2022-01-10
83.55000305175781,2022-01-11
86.4800033569336,2022-01-12
80.30999755859375,2022-01-13
79.94999694824219,2022-01-14
73.16000366210938,2022-01-18
69.4000015258789,2022-01-19
65.0199966430664,2022-01-20
64.51000213623047,2022-01-21
63.900001525878906,2022-01-24
59.61000061035156,2022-01-25
60.27000045776367,2022-01-26
53.939998626708984,2022-01-27
57.119998931884766,2022-01-28
65.73999786376953,2022-01-31
69.62000274658203,2022-02-01
64.31999969482422,2022-02-02
60.36000061035156,2022-02-03
60.869998931884766,2022-02-04
58.36000061035156,2022-02-07
60.95000076293945,2022-02-08
64.52999877929688,2022-02-09
64.72000122070312,2022-02-10
58.849998474121094,2022-02-11
62.650001525878906,2022-02-14
66.29000091552734,2022-02-15
66.25,2022-02-16
64.73999786376953,2022-02-17
66.37000274658203,2022-02-18
62.38999938964844,2022-02-22
57.529998779296875,2022-02-23
63.709999084472656,2022-02-24
63.43000030517578,2022-02-25
67.55999755859375,2022-02-28
61.90999984741211,2022-03-01
53.560001373291016,2022-03-02
50.90999984741211,2022-03-03
47.38999938964844,2022-03-04
42.43000030517578,2022-03-07
42.209999084472656,2022-03-08
43.95000076293945,2022-03-09
41.15999984741211,2022-03-10
