SNA,Date
3.291114568710327,1973-02-21
3.2606422901153564,1973-02-22
3.07780122756958,1973-02-23
3.0625646114349365,1973-02-26
2.9863834381103516,1973-02-27
3.1235125064849854,1973-02-28
3.1539878845214844,1973-03-01
3.24540638923645,1973-03-02
3.2149312496185303,1973-03-05
3.184459924697876,1973-03-06
3.24540638923645,1973-03-07
3.2606422901153564,1973-03-08
3.24540638923645,1973-03-09
3.230170488357544,1973-03-12
3.230170488357544,1973-03-13
3.24540638923645,1973-03-14
3.2606422901153564,1973-03-15
3.291114568710327,1973-03-16
3.2606422901153564,1973-03-19
3.2606422901153564,1973-03-20
3.230170488357544,1973-03-21
3.1387505531311035,1973-03-22
3.1539878845214844,1973-03-23
3.1235125064849854,1973-03-26
3.1539878845214844,1973-03-27
3.2149312496185303,1973-03-28
3.291114568710327,1973-03-29
3.291114568710327,1973-03-30
3.230170488357544,1973-04-02
3.2758796215057373,1973-04-03
3.291114568710327,1973-04-04
3.2606422901153564,1973-04-05
3.3215887546539307,1973-04-06
3.336827278137207,1973-04-09
3.3672971725463867,1973-04-10
3.428245782852173,1973-04-11
3.41300892829895,1973-04-12
3.5349037647247314,1973-04-13
3.6110849380493164,1973-04-16
3.5044286251068115,1973-04-17
3.4739556312561035,1973-04-18
3.5044286251068115,1973-04-19
3.4587185382843018,1973-04-23
3.2606422901153564,1973-04-24
3.199695348739624,1973-04-25
3.1692230701446533,1973-04-26
3.016857624053955,1973-04-27
3.07780122756958,1973-04-30
3.184459924697876,1973-05-01
3.2606422901153564,1973-05-02
3.3215887546539307,1973-05-03
3.3063535690307617,1973-05-04
3.230170488357544,1973-05-07
3.230170488357544,1973-05-08
3.291114568710327,1973-05-09
3.291114568710327,1973-05-10
3.24540638923645,1973-05-11
3.1082746982574463,1973-05-14
3.199695348739624,1973-05-15
3.199695348739624,1973-05-16
3.184459924697876,1973-05-17
3.184459924697876,1973-05-18
3.184459924697876,1973-05-21
3.1692230701446533,1973-05-22
3.1539878845214844,1973-05-23
3.1387505531311035,1973-05-24
3.1692230701446533,1973-05-25
3.1235125064849854,1973-05-29
3.1082746982574463,1973-05-30
3.1082746982574463,1973-05-31
3.09303879737854,1973-06-01
2.955909490585327,1973-06-04
3.0473294258117676,1973-06-05
3.09303879737854,1973-06-06
3.1692230701446533,1973-06-07
3.3215887546539307,1973-06-08
3.291114568710327,1973-06-11
3.3215887546539307,1973-06-12
3.2758796215057373,1973-06-13
3.2758796215057373,1973-06-14
3.230170488357544,1973-06-15
3.1539878845214844,1973-06-18
3.199695348739624,1973-06-19
3.2606422901153564,1973-06-20
3.3063535690307617,1973-06-21
3.3825366497039795,1973-06-22
3.3063535690307617,1973-06-25
3.397772789001465,1973-06-26
3.41300892829895,1973-06-27
3.41300892829895,1973-06-28
3.3825366497039795,1973-06-29
3.291114568710327,1973-07-02
3.24540638923645,1973-07-03
3.2758796215057373,1973-07-05
3.230170488357544,1973-07-06
3.2606422901153564,1973-07-09
3.336827278137207,1973-07-10
3.4434821605682373,1973-07-11
3.4587185382843018,1973-07-12
3.4434821605682373,1973-07-13
3.4434821605682373,1973-07-16
3.4739556312561035,1973-07-17
3.5501389503479004,1973-07-18
3.580610513687134,1973-07-19
3.5958495140075684,1973-07-20
3.5501389503479004,1973-07-23
3.5501389503479004,1973-07-24
3.519665241241455,1973-07-25
3.4434821605682373,1973-07-26
3.397772789001465,1973-07-27
3.336827278137207,1973-07-30
3.3063535690307617,1973-07-31
3.2758796215057373,1973-08-01
3.291114568710327,1973-08-02
3.352062463760376,1973-08-03
3.4739556312561035,1973-08-06
3.5044286251068115,1973-08-07
3.4891951084136963,1973-08-08
3.5501389503479004,1973-08-09
3.5349037647247314,1973-08-10
3.4587185382843018,1973-08-13
3.4434821605682373,1973-08-14
3.3672971725463867,1973-08-15
