DAL,Date
18.314640045166016,2007-05-03
18.544462203979492,2007-05-04
17.996431350708008,2007-05-07
17.351179122924805,2007-05-08
17.492605209350586,2007-05-09
17.413043975830078,2007-05-10
17.059484481811523,2007-05-11
16.697084426879883,2007-05-14
16.087182998657227,2007-05-15
16.21092987060547,2007-05-16
16.81199073791504,2007-05-17
17.06832504272461,2007-05-18
16.794309616088867,2007-05-21
17.218584060668945,2007-05-22
16.979930877685547,2007-05-23
16.81199073791504,2007-05-24
16.582178115844727,2007-05-25
16.873863220214844,2007-05-29
16.776634216308594,2007-05-30
16.83850860595703,2007-05-31
17.28046226501465,2007-06-01
16.65288734436035,2007-06-04
16.750120162963867,2007-06-05
16.73244285583496,2007-06-06
16.334678649902344,2007-06-07
16.644044876098633,2007-06-08
16.246286392211914,2007-06-11
16.263965606689453,2007-06-12
16.47610855102539,2007-06-13
16.705921173095703,2007-06-14
16.6882381439209,2007-06-15
16.387714385986328,2007-06-18
16.679405212402344,2007-06-19
17.11252784729004,2007-06-20
17.24510383605957,2007-06-21
17.457242965698242,2007-06-22
17.174396514892578,2007-06-25
17.22742462158203,2007-06-26
17.165557861328125,2007-06-27
17.38653564453125,2007-06-28
17.413043975830078,2007-06-29
17.306983947753906,2007-07-02
17.899202346801758,2007-07-03
18.137855529785156,2007-07-05
18.4118709564209,2007-07-06
18.85382843017578,2007-07-09
18.252769470214844,2007-07-10
17.7842960357666,2007-07-11
18.058305740356445,2007-07-12
18.12017822265625,2007-07-13
18.50910186767578,2007-07-16
18.730077743530273,2007-07-17
18.889183044433594,2007-07-18
19.012929916381836,2007-07-19
18.915693283081055,2007-07-20
18.65936851501465,2007-07-23
18.85382843017578,2007-07-24
18.367673873901367,2007-07-25
17.11252784729004,2007-07-26
16.431909561157227,2007-07-27
15.954593658447266,2007-07-30
15.751291275024414,2007-07-31
16.219768524169922,2007-08-01
16.6882381439209,2007-08-02
16.529138565063477,2007-08-03
15.928079605102539,2007-08-06
16.308162689208984,2007-08-07
16.34351921081543,2007-08-08
15.79549789428711,2007-08-09
15.521474838256836,2007-08-10
15.282825469970703,2007-08-13
14.999968528747559,2007-08-14
13.921601295471191,2007-08-15
14.071866989135742,2007-08-16
14.142576217651367,2007-08-17
14.213292121887207,2007-08-20
15.654071807861328,2007-08-21
15.998791694641113,2007-08-22
15.910398483276367,2007-08-23
16.122539520263672,2007-08-24
15.645230293273926,2007-08-27
15.335860252380371,2007-08-28
15.344698905944824,2007-08-29
15.008810997009277,2007-08-30
14.92042064666748,2007-08-31
15.494966506958008,2007-09-04
15.574519157409668,2007-09-05
15.972274780273438,2007-09-06
15.574519157409668,2007-09-07
15.415407180786133,2007-09-10
15.636388778686523,2007-09-11
15.159078598022461,2007-09-12
15.548004150390625,2007-09-13
15.601034164428711,2007-09-14
15.159078598022461,2007-09-17
15.424249649047852,2007-09-18
16.166736602783203,2007-09-19
15.662907600402832,2007-09-20
15.521474838256836,2007-09-21
14.169097900390625,2007-09-24
15.097201347351074,2007-09-25
15.79549789428711,2007-09-26
15.751291275024414,2007-09-27
15.866205215454102,2007-09-28
16.104860305786133,2007-10-01
16.776634216308594,2007-10-02
17.041810989379883,2007-10-03
16.449586868286133,2007-10-04
16.962257385253906,2007-10-05
17.218584060668945,2007-10-08
17.315824508666992,2007-10-09
17.351179122924805,2007-10-10
17.139036178588867,2007-10-11
17.642873764038086,2007-10-12
17.67823028564453,2007-10-15
17.748933792114258,2007-10-16
18.031784057617188,2007-10-17
17.642873764038086,2007-10-18
17.23627281188965,2007-10-19
17.67823028564453,2007-10-22
18.403032302856445,2007-10-23
18.190893173217773,2007-10-24
17.73125457763672,2007-10-25
17.448406219482422,2007-10-26
17.545644760131836,2007-10-29
18.279281616210938,2007-10-30
18.38534927368164,2007-10-31
17.854999542236328,2007-11-01
17.616352081298828,2007-11-02
17.24510383605957,2007-11-05
16.36119842529297,2007-11-06
15.424249649047852,2007-11-07
15.026491165161133,2007-11-08
14.58453369140625,2007-11-09
15.804329872131348,2007-11-12
16.573333740234375,2007-11-13
17.25394630432129,2007-11-14
17.53679847717285,2007-11-15
17.65171241760254,2007-11-16
16.803150177001953,2007-11-19
15.424249649047852,2007-11-20
15.830846786499023,2007-11-21
16.042987823486328,2007-11-23
15.450760841369629,2007-11-26
15.521474838256836,2007-11-27
16.591018676757812,2007-11-28
16.46726417541504,2007-11-29
17.466087341308594,2007-11-30
17.306983947753906,2007-12-03
16.449586868286133,2007-12-04
16.175573348999023,2007-12-05
16.246286392211914,2007-12-06
16.529138565063477,2007-12-07
16.122539520263672,2007-12-10
15.053009986877441,2007-12-11
13.912760734558105,2007-12-12
13.568037986755371,2007-12-13
13.789015769958496,2007-12-14
12.843230247497559,2007-12-17
12.525022506713867,2007-12-18
13.028849601745605,2007-12-19
12.710643768310547,2007-12-20
13.32938289642334,2007-12-21
13.355897903442383,2007-12-24
13.064205169677734,2007-12-26
12.746000289916992,2007-12-27
12.905104637145996,2007-12-28
13.16143798828125,2007-12-31
12.189136505126953,2008-01-02
12.065388679504395,2008-01-03
11.817893028259277,2008-01-04
11.8355712890625,2008-01-07
10.403634071350098,2008-01-08
11.950479507446289,2008-01-09
14.124899864196777,2008-01-10
13.682945251464844,2008-01-11
13.52384090423584,2008-01-14
14.124899864196777,2008-01-15
14.142576217651367,2008-01-16
13.42660903930664,2008-01-17
13.382416725158691,2008-01-18
13.126080513000488,2008-01-22
14.124899864196777,2008-01-23
14.133737564086914,2008-01-24
14.32819938659668,2008-01-25
14.284008979797363,2008-01-28
14.151418685913086,2008-01-29
14.275164604187012,2008-01-30
14.867384910583496,2008-01-31
16.378877639770508,2008-02-01
15.247467994689941,2008-02-04
15.053009986877441,2008-02-05
15.866205215454102,2008-02-06
16.34351921081543,2008-02-07
16.078346252441406,2008-02-08
15.910398483276367,2008-02-11
15.494966506958008,2008-02-12
15.654071807861328,2008-02-13
15.070683479309082,2008-02-14
15.309340476989746,2008-02-15
14.823190689086914,2008-02-19
14.858542442321777,2008-02-20
14.32819938659668,2008-02-21
14.469624519348145,2008-02-22
14.275164604187012,2008-02-25
14.063024520874023,2008-02-26
13.258667945861816,2008-02-27
12.454307556152344,2008-02-28
11.800215721130371,2008-02-29
11.473166465759277,2008-03-03
11.614594459533691,2008-03-04
12.666448593139648,2008-03-05
11.93280029296875,2008-03-06
11.3936128616333,2008-03-07
10.589254379272461,2008-03-10
10.704164505004883,2008-03-11
8.954021453857422,2008-03-12
9.298747062683105,2008-03-13
8.485546112060547,2008-03-14
8.158500671386719,2008-03-17
8.91866397857666,2008-03-18
9.219191551208496,2008-03-19
8.839115142822266,2008-03-20
8.847951889038086,2008-03-24
8.812594413757324,2008-03-25
7.7253804206848145,2008-03-26
7.380658149719238,2008-03-27
7.610475540161133,2008-03-28
7.6016364097595215,2008-03-31
8.078948974609375,2008-04-01
7.778419017791748,2008-04-02
7.787259578704834,2008-04-03
7.734223365783691,2008-04-04
8.211538314819336,2008-04-07
8.255730628967285,2008-04-08
7.875645637512207,2008-04-09
8.618136405944824,2008-04-10
8.847951889038086,2008-04-11
9.263388633728027,2008-04-14
8.096628189086914,2008-04-15
7.619314193725586,2008-04-16
7.557438850402832,2008-04-17
7.734223365783691,2008-04-18
7.248073577880859,2008-04-21
6.01059627532959,2008-04-22
5.798457622528076,2008-04-23
6.417194843292236,2008-04-24
6.196215629577637,2008-04-25
6.355321884155273,2008-04-28
7.283427715301514,2008-04-29
7.522085666656494,2008-04-30
7.804937362670898,2008-05-01
7.513245582580566,2008-05-02
7.168519020080566,2008-05-05
6.956380367279053,2008-05-06
6.779598712921143,2008-05-07
6.691208362579346,2008-05-08
6.76192045211792,2008-05-09
6.576299667358398,2008-05-12
6.532102584838867,2008-05-13
7.027094841003418,2008-05-14
6.9387030601501465,2008-05-15
6.629333972930908,2008-05-16
6.319964408874512,2008-05-19
6.098988056182861,2008-05-20
5.100167751312256,2008-05-21
5.100167751312256,2008-05-22
4.861511707305908,2008-05-23
5.232754707336426,2008-05-27
4.994098663330078,2008-05-28
5.427214622497559,2008-05-29
5.43605375289917,2008-05-30
5.17087984085083,2008-06-02
5.391857624053955,2008-06-03
5.391857624053955,2008-06-04
6.045952320098877,2008-06-05
5.568639278411865,2008-06-06
5.383020401000977,2008-06-09
5.2415924072265625,2008-06-10
4.73776388168335,2008-06-11
4.543302536010742,2008-06-12
4.702407360076904,2008-06-13
4.914546489715576,2008-06-16
5.064809322357178,2008-06-17
4.817315101623535,2008-06-18
5.639352798461914,2008-06-19
5.020615100860596,2008-06-20
4.419557571411133,2008-06-23
4.649373531341553,2008-06-24
4.693568229675293,2008-06-25
4.826155662536621,2008-06-26
4.879189491271973,2008-06-27
5.03829288482666,2008-06-30
4.888030052185059,2008-07-01
4.331164836883545,2008-07-02
4.375360488891602,2008-07-03
4.313486576080322,2008-07-07
5.162042140960693,2008-07-08
4.667052268981934,2008-07-09
4.587499618530273,2008-07-10
4.357681751251221,2008-07-11
4.101346969604492,2008-07-14
4.127865314483643,2008-07-15
5.2239155769348145,2008-07-16
6.019435405731201,2008-07-17
6.125504970550537,2008-07-18
5.798457622528076,2008-07-21
6.814956188201904,2008-07-22
7.6016364097595215,2008-07-23
6.01059627532959,2008-07-24
6.487908363342285,2008-07-25
6.098988056182861,2008-07-28
6.991736888885498,2008-07-29
6.355321884155273,2008-07-30
6.66469144821167,2008-07-31
6.806115627288818,2008-08-01
7.177358150482178,2008-08-04
7.690025806427002,2008-08-05
7.7165446281433105,2008-08-06
7.769581317901611,2008-08-07
8.061269760131836,2008-08-08
8.255730628967285,2008-08-11
8.167339324951172,2008-08-12
7.371819019317627,2008-08-13
7.796097278594971,2008-08-14
8.31760311126709,2008-08-15
8.30876636505127,2008-08-18
7.575118541717529,2008-08-19
7.3099446296691895,2008-08-20
6.9828972816467285,2008-08-21
7.628154754638672,2008-08-22
7.398336410522461,2008-08-25
7.018255233764648,2008-08-26
6.470230579376221,2008-08-27
7.239233493804932,2008-08-28
7.186197280883789,2008-08-29
8.105464935302734,2008-09-02
8.052430152893066,2008-09-03
7.9198455810546875,2008-09-04
7.787259578704834,2008-09-05
7.592798233032227,2008-09-08
7.274588108062744,2008-09-09
6.956380367279053,2008-09-10
7.150842666625977,2008-09-11
7.186197280883789,2008-09-12
7.115485191345215,2008-09-15
8.786076545715332,2008-09-16
7.955199241638184,2008-09-17
8.352960586547852,2008-09-18
8.547422409057617,2008-09-19
7.690025806427002,2008-09-22
7.822615146636963,2008-09-23
7.097806453704834,2008-09-24
7.124324321746826,2008-09-25
7.027094841003418,2008-09-26
6.479069232940674,2008-09-29
6.585138320922852,2008-09-30
7.557438850402832,2008-10-01
6.991736888885498,2008-10-02
6.947541236877441,2008-10-03
6.39951753616333,2008-10-06
5.0471320152282715,2008-10-07
4.98525857925415,2008-10-08
5.0029377937316895,2008-10-09
5.32998514175415,2008-10-10
6.01059627532959,2008-10-13
6.4967474937438965,2008-10-14
6.576299667358398,2008-10-15
7.813776016235352,2008-10-16
8.123143196105957,2008-10-17
8.31760311126709,2008-10-20
8.626973152160645,2008-10-21
8.77723503112793,2008-10-22
7.778419017791748,2008-10-23
7.345300197601318,2008-10-24
6.770759582519531,2008-10-27
7.212715148925781,2008-10-28
7.062449932098389,2008-10-29
8.441351890563965,2008-10-30
9.705343246459961,2008-10-31
10.182658195495605,2008-11-03
9.9705171585083,2008-11-04
9.263388633728027,2008-11-05
8.414833068847656,2008-11-06
8.361799240112305,2008-11-07
7.937520980834961,2008-11-10
7.813776016235352,2008-11-11
6.514424800872803,2008-11-12
7.221554279327393,2008-11-13
6.9387030601501465,2008-11-14
6.956380367279053,2008-11-17
6.9652204513549805,2008-11-18
6.1873779296875,2008-11-19
6.205056190490723,2008-11-20
6.028274059295654,2008-11-21
6.4967474937438965,2008-11-24
7.416015148162842,2008-11-25
7.442533493041992,2008-11-26
7.787259578704834,2008-11-28
7.035933494567871,2008-12-01
7.486727714538574,2008-12-02
7.7253804206848145,2008-12-03
7.8491315841674805,2008-12-04
9.157320022583008,2008-12-05
9.740700721740723,2008-12-08
9.608115196228027,2008-12-09
9.723023414611816,2008-12-10
8.812594413757324,2008-12-11
9.281068801879883,2008-12-12
9.395973205566406,2008-12-15
9.88212776184082,2008-12-16
9.723023414611816,2008-12-17
9.731863975524902,2008-12-18
9.342941284179688,2008-12-19
9.060089111328125,2008-12-22
9.077768325805664,2008-12-23
9.25455093383789,2008-12-24
9.369460105895996,2008-12-26
9.528558731079102,2008-12-29
9.652311325073242,2008-12-30
10.129618644714355,2008-12-31
10.721839904785156,2009-01-02
10.562736511230469,2009-01-05
10.942821502685547,2009-01-06
10.50086784362793,2009-01-07
10.801396369934082,2009-01-08
10.394795417785645,2009-01-09
9.988197326660156,2009-01-12
9.820253372192383,2009-01-13
9.095446586608887,2009-01-14
9.696502685546875,2009-01-15
10.103103637695312,2009-01-16
9.758378982543945,2009-01-20
8.927499771118164,2009-01-21
9.351780891418457,2009-01-22
9.068927764892578,2009-01-23
8.77723503112793,2009-01-26
7.009415626525879,2009-01-27
7.7253804206848145,2009-01-28
7.088968276977539,2009-01-29
6.098988056182861,2009-01-30
6.249251842498779,2009-02-02
6.098988056182861,2009-02-03
5.7542619705200195,2009-02-04
5.7719407081604,2009-02-05
6.487908363342285,2009-02-06
6.452552318572998,2009-02-09
6.045952320098877,2009-02-10
5.718905925750732,2009-02-11
6.160860538482666,2009-02-12
6.284608364105225,2009-02-13
5.612834930419922,2009-02-17
5.0471320152282715,2009-02-18
5.064809322357178,2009-02-19
4.914546489715576,2009-02-20
5.0471320152282715,2009-02-23
5.25927209854126,2009-02-24
5.0471320152282715,2009-02-25
5.029454708099365,2009-02-26
4.44607400894165,2009-02-27
4.057153701782227,2009-03-02
3.7654621601104736,2009-03-03
3.942244291305542,2009-03-04
3.4737706184387207,2009-03-05
3.588679075241089,2009-03-06
3.703587532043457,2009-03-09
4.1897382736206055,2009-03-10
4.242773056030273,2009-03-11
4.711246967315674,2009-03-12
5.144362449645996,2009-03-13
4.896867275238037,2009-03-16
5.43605375289917,2009-03-17
5.365340232849121,2009-03-18
4.746603012084961,2009-03-19
4.4372334480285645,2009-03-20
4.808478355407715,2009-03-23
4.817315101623535,2009-03-24
5.020615100860596,2009-03-25
5.550962448120117,2009-03-26
5.338822841644287,2009-03-27
4.773119926452637,2009-03-30
4.976419925689697,2009-03-31
5.2239155769348145,2009-04-01
5.701227188110352,2009-04-02
5.869170188903809,2009-04-03
