GEN,Date
0.26812827587127686,1989-06-23
0.28561490774154663,1989-06-26
0.273957222700119,1989-06-27
0.26812827587127686,1989-06-28
0.26229944825172424,1989-06-29
0.26229944825172424,1989-06-30
0.273957222700119,1989-07-03
0.26229944825172424,1989-07-05
0.26812827587127686,1989-07-06
0.27104291319847107,1989-07-07
0.26812827587127686,1989-07-10
0.273957222700119,1989-07-11
0.273957222700119,1989-07-12
0.273957222700119,1989-07-13
0.273957222700119,1989-07-14
0.279786080121994,1989-07-17
0.279786080121994,1989-07-18
0.2914438545703888,1989-07-19
0.3031015992164612,1989-07-20
0.29727277159690857,1989-07-21
0.2914438545703888,1989-07-24
0.2914438545703888,1989-07-25
0.29727277159690857,1989-07-26
0.29727277159690857,1989-07-27
0.2914438545703888,1989-07-28
0.29727277159690857,1989-07-31
0.2914438545703888,1989-08-01
0.2914438545703888,1989-08-02
0.29727277159690857,1989-08-03
0.3031015992164612,1989-08-04
0.3147593140602112,1989-08-07
0.32058820128440857,1989-08-08
0.32641705870628357,1989-08-09
0.33224597573280334,1989-08-10
0.32058820128440857,1989-08-11
0.34390363097190857,1989-08-14
0.33807486295700073,1989-08-15
0.33224597573280334,1989-08-16
0.3293316662311554,1989-08-17
0.32641705870628357,1989-08-18
0.323502779006958,1989-08-21
0.3147593140602112,1989-08-22
0.3147593140602112,1989-08-23
0.32641705870628357,1989-08-24
0.33224597573280334,1989-08-25
0.33224597573280334,1989-08-28
0.33807486295700073,1989-08-29
0.32641705870628357,1989-08-30
0.33807486295700073,1989-08-31
0.33224597573280334,1989-09-01
0.33807486295700073,1989-09-05
0.32641705870628357,1989-09-06
0.32641705870628357,1989-09-07
0.32641705870628357,1989-09-08
0.33807486295700073,1989-09-11
0.34390363097190857,1989-09-12
0.34973257780075073,1989-09-13
0.34973257780075073,1989-09-14
0.35556143522262573,1989-09-15
0.34973257780075073,1989-09-18
0.34681838750839233,1989-09-19
0.36139029264450073,1989-09-20
0.36139029264450073,1989-09-21
0.34973257780075073,1989-09-22
0.34973257780075073,1989-09-25
0.3730480968952179,1989-09-26
0.3672192394733429,1989-09-27
0.37887701392173767,1989-09-28
0.3730480968952179,1989-09-29
0.3730480968952179,1989-10-02
0.3701338469982147,1989-10-03
0.37596264481544495,1989-10-04
0.40802139043807983,1989-10-05
0.41967901587486267,1989-10-06
0.41967901587486267,1989-10-09
0.40802139043807983,1989-10-10
0.4138503670692444,1989-10-11
0.4138503670692444,1989-10-12
0.4021924138069153,1989-10-13
0.39053478837013245,1989-10-16
0.39053478837013245,1989-10-17
0.3847058415412903,1989-10-18
0.39636358618736267,1989-10-19
0.39636358618736267,1989-10-20
0.39636358618736267,1989-10-23
0.3847058415412903,1989-10-24
0.39053478837013245,1989-10-25
0.3847058415412903,1989-10-26
0.36139029264450073,1989-10-27
0.3730480968952179,1989-10-30
0.3730480968952179,1989-10-31
0.3730480968952179,1989-11-01
0.36139029264450073,1989-11-02
0.3672192394733429,1989-11-03
0.3672192394733429,1989-11-06
0.3672192394733429,1989-11-07
0.39053478837013245,1989-11-08
0.39053478837013245,1989-11-09
0.39053478837013245,1989-11-10
0.3847058415412903,1989-11-13
0.3847058415412903,1989-11-14
0.3847058415412903,1989-11-15
0.39053478837013245,1989-11-16
0.39636358618736267,1989-11-17
0.3847058415412903,1989-11-20
0.3847058415412903,1989-11-21
0.3847058415412903,1989-11-22
0.3847058415412903,1989-11-24
0.3730480968952179,1989-11-27
0.37887701392173767,1989-11-28
0.3730480968952179,1989-11-29
0.3730480968952179,1989-11-30
0.3701338469982147,1989-12-01
0.3672192394733429,1989-12-04
0.3701338469982147,1989-12-05
0.3730480968952179,1989-12-06
0.36139029264450073,1989-12-07
0.36139029264450073,1989-12-08
0.35556143522262573,1989-12-11
0.36430495977401733,1989-12-12
0.3672192394733429,1989-12-13
0.35556143522262573,1989-12-14
0.3672192394733429,1989-12-15
0.36139029264450073,1989-12-18
0.35556143522262573,1989-12-19
0.36139029264450073,1989-12-20
0.34973257780075073,1989-12-21
0.34973257780075073,1989-12-22
0.34973257780075073,1989-12-26
0.34973257780075073,1989-12-27
0.36139029264450073,1989-12-28
0.36139029264450073,1989-12-29
0.3847058415412903,1990-01-02
0.39636358618736267,1990-01-03
0.39053478837013245,1990-01-04
0.41967901587486267,1990-01-05
0.4225938022136688,1990-01-08
0.42550793290138245,1990-01-09
0.4138503670692444,1990-01-10
0.4138503670692444,1990-01-11
0.39053478837013245,1990-01-12
0.39053478837013245,1990-01-15
0.39636358618736267,1990-01-16
0.3934493362903595,1990-01-17
0.39053478837013245,1990-01-18
0.39636358618736267,1990-01-19
0.39636358618736267,1990-01-22
0.4021924138069153,1990-01-23
0.39053478837013245,1990-01-24
0.38179147243499756,1990-01-25
0.37887701392173767,1990-01-26
0.37887701392173767,1990-01-29
0.37887701392173767,1990-01-30
0.3847058415412903,1990-01-31
0.3876204192638397,1990-02-01
0.3847058415412903,1990-02-02
0.4138503670692444,1990-02-05
0.4138503670692444,1990-02-06
0.4138503670692444,1990-02-07
0.4138503670692444,1990-02-08
0.4138503670692444,1990-02-09
0.39636358618736267,1990-02-12
0.40802139043807983,1990-02-13
0.4021924138069153,1990-02-14
0.39636358618736267,1990-02-15
0.4051069915294647,1990-02-16
0.4021924138069153,1990-02-20
0.39636358618736267,1990-02-21
0.4109359383583069,1990-02-22
0.40802139043807983,1990-02-23
0.40802139043807983,1990-02-26
0.40802139043807983,1990-02-27
0.4138503670692444,1990-02-28
0.4371657073497772,1990-03-01
0.4429946541786194,1990-03-02
