REG,Date
3.8899989128112793,1993-10-29
3.9152588844299316,1993-11-01
3.7889606952667236,1993-11-02
3.8142199516296387,1993-11-03
3.7889606952667236,1993-11-04
3.7889606952667236,1993-11-05
3.8142199516296387,1993-11-08
3.7889606952667236,1993-11-09
3.8142199516296387,1993-11-10
3.8142199516296387,1993-11-11
3.839480400085449,1993-11-12
3.7384397983551025,1993-11-15
3.713183641433716,1993-11-16
3.6879220008850098,1993-11-17
3.56162428855896,1993-11-18
3.410065174102783,1993-11-19
3.410065174102783,1993-11-22
3.460583209991455,1993-11-23
3.410065174102783,1993-11-24
3.4353251457214355,1993-11-26
3.460583209991455,1993-11-29
3.460583209991455,1993-11-30
3.4353251457214355,1993-12-01
3.460583209991455,1993-12-02
3.5363638401031494,1993-12-03
3.5363638401031494,1993-12-06
3.4858438968658447,1993-12-07
3.460583209991455,1993-12-08
3.410065174102783,1993-12-09
3.410065174102783,1993-12-10
3.3342864513397217,1993-12-13
3.3848049640655518,1993-12-14
3.3595433235168457,1993-12-15
3.3342864513397217,1993-12-16
3.3342864513397217,1993-12-17
3.2332472801208496,1993-12-20
3.2585062980651855,1993-12-21
3.3342864513397217,1993-12-22
3.3595433235168457,1993-12-23
3.3848049640655518,1993-12-27
3.3848049640655518,1993-12-28
3.3595433235168457,1993-12-29
3.3848049640655518,1993-12-30
3.3595433235168457,1993-12-31
3.410065174102783,1994-01-03
3.410065174102783,1994-01-04
3.410065174102783,1994-01-05
3.3848049640655518,1994-01-06
3.410065174102783,1994-01-07
3.56162428855896,1994-01-10
3.5868818759918213,1994-01-11
3.612142324447632,1994-01-12
3.5868818759918213,1994-01-13
3.5363638401031494,1994-01-14
3.5363638401031494,1994-01-17
3.5111026763916016,1994-01-18
3.612142324447632,1994-01-19
3.5363638401031494,1994-01-20
3.612142324447632,1994-01-21
3.56162428855896,1994-01-24
3.5868818759918213,1994-01-25
3.56162428855896,1994-01-26
3.5868818759918213,1994-01-27
3.5868818759918213,1994-01-28
3.612142324447632,1994-01-31
3.612142324447632,1994-02-01
3.612142324447632,1994-02-02
3.6374006271362305,1994-02-03
3.56162428855896,1994-02-04
3.6599037647247314,1994-02-07
3.634308338165283,1994-02-08
3.711090564727783,1994-02-09
3.6854968070983887,1994-02-10
3.6854968070983887,1994-02-11
3.711090564727783,1994-02-14
3.736684799194336,1994-02-15
3.8134641647338867,1994-02-16
3.8134641647338867,1994-02-17
3.8134641647338867,1994-02-18
3.7878711223602295,1994-02-22
3.7878711223602295,1994-02-23
3.762280225753784,1994-02-24
3.7878711223602295,1994-02-25
3.839059591293335,1994-02-28
3.8134641647338867,1994-03-01
3.7878711223602295,1994-03-02
3.762280225753784,1994-03-03
3.762280225753784,1994-03-04
3.7878711223602295,1994-03-07
3.762280225753784,1994-03-08
3.762280225753784,1994-03-09
3.7878711223602295,1994-03-10
3.7878711223602295,1994-03-11
3.7878711223602295,1994-03-14
3.7878711223602295,1994-03-15
3.6854968070983887,1994-03-16
3.6854968070983887,1994-03-17
3.6854968070983887,1994-03-18
3.762280225753784,1994-03-21
3.711090564727783,1994-03-22
3.762280225753784,1994-03-23
3.762280225753784,1994-03-24
3.7878711223602295,1994-03-25
3.711090564727783,1994-03-28
3.711090564727783,1994-03-29
3.6854968070983887,1994-03-30
3.6599037647247314,1994-03-31
3.583122491836548,1994-04-04
3.634308338165283,1994-04-05
3.6087162494659424,1994-04-06
3.6599037647247314,1994-04-07
3.6599037647247314,1994-04-08
3.6854968070983887,1994-04-11
3.6087162494659424,1994-04-12
3.6087162494659424,1994-04-13
3.6087162494659424,1994-04-14
3.634308338165283,1994-04-15
3.6599037647247314,1994-04-18
3.634308338165283,1994-04-19
3.6854968070983887,1994-04-20
3.6599037647247314,1994-04-21
3.6854968070983887,1994-04-22
3.6599037647247314,1994-04-25
3.6854968070983887,1994-04-26
3.634308338165283,1994-04-28
3.634308338165283,1994-04-29
3.6854968070983887,1994-05-02
3.583122491836548,1994-05-03
3.6087162494659424,1994-05-04
3.583122491836548,1994-05-05
3.583122491836548,1994-05-06
3.6615850925445557,1994-05-09
3.6615850925445557,1994-05-10
3.6615850925445557,1994-05-11
3.6615850925445557,1994-05-12
3.6615850925445557,1994-05-13
3.6615850925445557,1994-05-16
3.6615850925445557,1994-05-17
3.6877377033233643,1994-05-18
3.6877377033233643,1994-05-19
3.6615850925445557,1994-05-20
3.609276056289673,1994-05-23
3.6354289054870605,1994-05-24
3.609276056289673,1994-05-25
3.6615850925445557,1994-05-26
3.609276056289673,1994-05-27
3.6615850925445557,1994-05-31
3.6877377033233643,1994-06-01
3.792356491088867,1994-06-02
3.870816707611084,1994-06-03
3.792356491088867,1994-06-06
3.792356491088867,1994-06-07
3.7138917446136475,1994-06-08
3.7400476932525635,1994-06-09
3.818509578704834,1994-06-10
3.766200065612793,1994-06-13
3.766200065612793,1994-06-14
3.7400476932525635,1994-06-15
3.7138917446136475,1994-06-16
3.7400476932525635,1994-06-17
3.7138917446136475,1994-06-20
3.7138917446136475,1994-06-21
3.7138917446136475,1994-06-22
3.6877377033233643,1994-06-23
3.6877377033233643,1994-06-24
3.7138917446136475,1994-06-27
3.6615850925445557,1994-06-28
3.6615850925445557,1994-06-29
3.6354289054870605,1994-06-30
3.5569686889648438,1994-07-01
3.5046586990356445,1994-07-05
3.5831215381622314,1994-07-06
3.5046586990356445,1994-07-07
3.4523513317108154,1994-07-08
3.5046586990356445,1994-07-11
3.5831215381622314,1994-07-12
