AFRM,Date
96.36499786376953,2021-01-13
114.94000244140625,2021-01-14
117.0,2021-01-15
110.98999786376953,2021-01-19
106.20999908447266,2021-01-20
108.97000122070312,2021-01-21
119.94999694824219,2021-01-22
112.69999694824219,2021-01-25
110.08000183105469,2021-01-26
105.29000091552734,2021-01-27
99.41999816894531,2021-01-28
99.58999633789062,2021-01-29
107.61000061035156,2021-02-01
113.0,2021-02-02
110.94999694824219,2021-02-03
108.7699966430664,2021-02-04
103.44999694824219,2021-02-05
122.76000213623047,2021-02-08
131.0,2021-02-09
136.22999572753906,2021-02-10
139.99000549316406,2021-02-11
125.88999938964844,2021-02-12
119.1500015258789,2021-02-16
112.52999877929688,2021-02-17
105.55000305175781,2021-02-18
105.98999786376953,2021-02-19
104.83000183105469,2021-02-22
102.01000213623047,2021-02-23
102.48999786376953,2021-02-24
94.19499969482422,2021-02-25
93.05999755859375,2021-02-26
91.44000244140625,2021-03-01
91.80000305175781,2021-03-02
86.30999755859375,2021-03-03
84.45999908447266,2021-03-04
81.13999938964844,2021-03-05
74.30999755859375,2021-03-08
79.66000366210938,2021-03-09
80.76000213623047,2021-03-10
81.25,2021-03-11
79.56999969482422,2021-03-12
81.3499984741211,2021-03-15
80.80000305175781,2021-03-16
81.08999633789062,2021-03-17
74.38999938964844,2021-03-18
77.37000274658203,2021-03-19
81.98999786376953,2021-03-22
78.87000274658203,2021-03-23
72.62999725341797,2021-03-24
69.55999755859375,2021-03-25
69.72000122070312,2021-03-26
69.98999786376953,2021-03-29
66.38999938964844,2021-03-30
70.72000122070312,2021-03-31
71.44999694824219,2021-04-01
69.38999938964844,2021-04-05
73.0,2021-04-06
71.5,2021-04-07
69.80999755859375,2021-04-08
70.70999908447266,2021-04-09
67.93000030517578,2021-04-12
70.11000061035156,2021-04-13
68.7300033569336,2021-04-14
68.66999816894531,2021-04-15
69.72000122070312,2021-04-16
66.0199966430664,2021-04-19
65.0,2021-04-20
67.55000305175781,2021-04-21
68.62000274658203,2021-04-22
74.12000274658203,2021-04-23
77.97000122070312,2021-04-26
76.37000274658203,2021-04-27
77.20999908447266,2021-04-28
74.0199966430664,2021-04-29
70.5,2021-04-30
66.77999877929688,2021-05-03
62.16999816894531,2021-05-04
57.599998474121094,2021-05-05
54.439998626708984,2021-05-06
54.0,2021-05-07
57.0,2021-05-10
55.45000076293945,2021-05-11
49.81999969482422,2021-05-12
48.369998931884766,2021-05-13
54.0,2021-05-14
50.599998474121094,2021-05-17
51.63999938964844,2021-05-18
50.45000076293945,2021-05-19
54.88999938964844,2021-05-20
53.36000061035156,2021-05-21
53.150001525878906,2021-05-24
54.040000915527344,2021-05-25
57.0,2021-05-26
57.290000915527344,2021-05-27
60.810001373291016,2021-05-28
62.52000045776367,2021-06-01
65.23999786376953,2021-06-02
63.2400016784668,2021-06-03
59.650001525878906,2021-06-04
59.459999084472656,2021-06-07
62.4900016784668,2021-06-08
60.2599983215332,2021-06-09
63.68000030517578,2021-06-10
67.9800033569336,2021-06-11
68.94000244140625,2021-06-14
67.26000213623047,2021-06-15
67.41000366210938,2021-06-16
69.38999938964844,2021-06-17
68.18000030517578,2021-06-18
63.79999923706055,2021-06-21
63.45000076293945,2021-06-22
65.16000366210938,2021-06-23
66.33000183105469,2021-06-24
64.4000015258789,2021-06-25
64.43000030517578,2021-06-28
66.45999908447266,2021-06-29
67.3499984741211,2021-06-30
68.37000274658203,2021-07-01
68.87000274658203,2021-07-02
67.98999786376953,2021-07-06
64.29000091552734,2021-07-07
63.9900016784668,2021-07-08
67.25,2021-07-09
65.0,2021-07-12
58.209999084472656,2021-07-13
56.7599983215332,2021-07-14
57.45000076293945,2021-07-15
57.5,2021-07-16
55.86000061035156,2021-07-19
57.40999984741211,2021-07-20
60.630001068115234,2021-07-21
59.0,2021-07-22
58.689998626708984,2021-07-23
59.41999816894531,2021-07-26
59.5,2021-07-27
61.18000030517578,2021-07-28
60.86000061035156,2021-07-29
56.31999969482422,2021-07-30
64.70999908447266,2021-08-02
66.66999816894531,2021-08-03
68.22000122070312,2021-08-04
67.16000366210938,2021-08-05
67.16999816894531,2021-08-06
65.87999725341797,2021-08-09
65.55999755859375,2021-08-10
68.62000274658203,2021-08-11
67.54000091552734,2021-08-12
65.94999694824219,2021-08-13
63.59000015258789,2021-08-16
63.5,2021-08-17
64.68000030517578,2021-08-18
63.459999084472656,2021-08-19
64.76000213623047,2021-08-20
67.70999908447266,2021-08-23
68.52999877929688,2021-08-24
72.70999908447266,2021-08-25
69.9800033569336,2021-08-26
67.9000015258789,2021-08-27
99.58999633789062,2021-08-30
96.33999633789062,2021-08-31
96.4800033569336,2021-09-01
98.98999786376953,2021-09-02
93.05000305175781,2021-09-03
91.51000213623047,2021-09-07
87.54000091552734,2021-09-08
92.05999755859375,2021-09-09
123.69999694824219,2021-09-10
109.30000305175781,2021-09-13
108.05999755859375,2021-09-14
109.75,2021-09-15
117.58000183105469,2021-09-16
116.27999877929688,2021-09-17
107.69999694824219,2021-09-20
108.11000061035156,2021-09-21
114.06999969482422,2021-09-22
126.88999938964844,2021-09-23
123.7300033569336,2021-09-24
128.3699951171875,2021-09-27
114.5199966430664,2021-09-28
112.7699966430664,2021-09-29
119.12999725341797,2021-09-30
117.8499984741211,2021-10-01
107.93000030517578,2021-10-04
111.45999908447266,2021-10-05
133.6999969482422,2021-10-06
133.89999389648438,2021-10-07
141.19000244140625,2021-10-08
135.02999877929688,2021-10-11
140.6699981689453,2021-10-12
146.1300048828125,2021-10-13
148.47000122070312,2021-10-14
146.72999572753906,2021-10-15
157.25,2021-10-18
155.35000610351562,2021-10-19
147.63999938964844,2021-10-20
155.33999633789062,2021-10-21
155.2100067138672,2021-10-22
160.0399932861328,2021-10-25
151.86000061035156,2021-10-26
151.13999938964844,2021-10-27
161.88999938964844,2021-10-28
162.5,2021-10-29
152.66000366210938,2021-11-01
155.88999938964844,2021-11-02
161.0800018310547,2021-11-03
168.52000427246094,2021-11-04
164.22999572753906,2021-11-05
163.3699951171875,2021-11-08
157.7899932861328,2021-11-09
133.52999877929688,2021-11-10
151.8300018310547,2021-11-11
148.99000549316406,2021-11-12
147.99000549316406,2021-11-15
151.2899932861328,2021-11-16
151.72000122070312,2021-11-17
139.1300048828125,2021-11-18
136.16000366210938,2021-11-19
123.51000213623047,2021-11-22
127.61000061035156,2021-11-23
132.75,2021-11-24
136.97999572753906,2021-11-26
132.14999389648438,2021-11-29
126.68000030517578,2021-11-30
116.56999969482422,2021-12-01
113.75,2021-12-02
107.23999786376953,2021-12-03
110.94999694824219,2021-12-06
122.7300033569336,2021-12-07
127.97000122070312,2021-12-08
119.12999725341797,2021-12-09
114.68000030517578,2021-12-10
109.95999908447266,2021-12-13
105.7699966430664,2021-12-14
110.9800033569336,2021-12-15
99.23999786376953,2021-12-16
98.7699966430664,2021-12-17
97.37000274658203,2021-12-20
103.62999725341797,2021-12-21
101.06999969482422,2021-12-22
101.16000366210938,2021-12-23
105.7300033569336,2021-12-27
101.7699966430664,2021-12-28
98.27999877929688,2021-12-29
103.87000274658203,2021-12-30
100.55999755859375,2021-12-31
95.20999908447266,2022-01-03
85.41000366210938,2022-01-04
79.52999877929688,2022-01-05
81.0999984741211,2022-01-06
79.62000274658203,2022-01-07
78.23999786376953,2022-01-10
81.02999877929688,2022-01-11
78.79000091552734,2022-01-12
72.12999725341797,2022-01-13
69.19000244140625,2022-01-14
64.18000030517578,2022-01-18
64.30000305175781,2022-01-19
62.79999923706055,2022-01-20
57.630001068115234,2022-01-21
58.25,2022-01-24
54.52000045776367,2022-01-25
55.72999954223633,2022-01-26
51.0099983215332,2022-01-27
59.709999084472656,2022-01-28
64.06999969482422,2022-01-31
67.4800033569336,2022-02-01
60.88999938964844,2022-02-02
57.4900016784668,2022-02-03
62.75,2022-02-04
63.02000045776367,2022-02-07
65.25,2022-02-08
74.68000030517578,2022-02-09
58.68000030517578,2022-02-10
46.54999923706055,2022-02-11
43.70000076293945,2022-02-14
44.79999923706055,2022-02-15
42.91999816894531,2022-02-16
37.66999816894531,2022-02-17
37.33000183105469,2022-02-18
36.40999984741211,2022-02-22
35.0,2022-02-23
38.709999084472656,2022-02-24
39.189998626708984,2022-02-25
41.84000015258789,2022-02-28
42.36000061035156,2022-03-01
41.79999923706055,2022-03-02
39.099998474121094,2022-03-03
35.81999969482422,2022-03-04
33.560001373291016,2022-03-07
34.279998779296875,2022-03-08
36.79999923706055,2022-03-09
36.54999923706055,2022-03-10
30.860000610351562,2022-03-11
26.219999313354492,2022-03-14
28.329999923706055,2022-03-15
33.34000015258789,2022-03-16
36.75,2022-03-17
40.709999084472656,2022-03-18
41.959999084472656,2022-03-21
43.5,2022-03-22
44.11000061035156,2022-03-23
44.79999923706055,2022-03-24
42.15999984741211,2022-03-25
43.25,2022-03-28
48.150001525878906,2022-03-29
46.75,2022-03-30
46.279998779296875,2022-03-31
46.61000061035156,2022-04-01
47.70000076293945,2022-04-04
43.84000015258789,2022-04-05
40.869998931884766,2022-04-06
38.70000076293945,2022-04-07
37.58000183105469,2022-04-08
37.70000076293945,2022-04-11
37.47999954223633,2022-04-12
38.400001525878906,2022-04-13
35.189998626708984,2022-04-14
35.209999084472656,2022-04-18
37.029998779296875,2022-04-19
34.7599983215332,2022-04-20
32.900001525878906,2022-04-21
31.15999984741211,2022-04-22
32.470001220703125,2022-04-25
30.18000030517578,2022-04-26
29.360000610351562,2022-04-27
31.209999084472656,2022-04-28
28.700000762939453,2022-04-29
30.360000610351562,2022-05-02
30.100000381469727,2022-05-03
31.760000228881836,2022-05-04
27.020000457763672,2022-05-05
24.950000762939453,2022-05-06
20.59000015258789,2022-05-09
18.190000534057617,2022-05-10
14.630000114440918,2022-05-11
18.040000915527344,2022-05-12
23.709999084472656,2022-05-13
22.950000762939453,2022-05-16
25.239999771118164,2022-05-17
24.450000762939453,2022-05-18
25.709999084472656,2022-05-19
24.81999969482422,2022-05-20
24.520000457763672,2022-05-23
20.760000228881836,2022-05-24
23.020000457763672,2022-05-25
28.020000457763672,2022-05-26
30.350000381469727,2022-05-27
28.5,2022-05-31
24.31999969482422,2022-06-01
26.420000076293945,2022-06-02
25.100000381469727,2022-06-03
23.719999313354492,2022-06-06
24.350000381469727,2022-06-07
23.329999923706055,2022-06-08
21.18000030517578,2022-06-09
20.440000534057617,2022-06-10
17.920000076293945,2022-06-13
17.700000762939453,2022-06-14
18.600000381469727,2022-06-15
16.719999313354492,2022-06-16
18.299999237060547,2022-06-17
19.209999084472656,2022-06-21
19.270000457763672,2022-06-22
21.65999984741211,2022-06-23
23.280000686645508,2022-06-24
22.700000762939453,2022-06-27
20.540000915527344,2022-06-28
19.020000457763672,2022-06-29
18.059999465942383,2022-06-30
17.190000534057617,2022-07-01
19.829999923706055,2022-07-05
20.170000076293945,2022-07-06
23.610000610351562,2022-07-07
23.34000015258789,2022-07-08
21.3700008392334,2022-07-11
22.200000762939453,2022-07-12
20.790000915527344,2022-07-13
21.81999969482422,2022-07-14
23.059999465942383,2022-07-15
23.84000015258789,2022-07-18
26.030000686645508,2022-07-19
29.670000076293945,2022-07-20
29.75,2022-07-21
26.770000457763672,2022-07-22
26.170000076293945,2022-07-25
23.100000381469727,2022-07-26
26.040000915527344,2022-07-27
25.829999923706055,2022-07-28
26.84000015258789,2022-07-29
27.170000076293945,2022-08-01
28.149999618530273,2022-08-02
31.889999389648438,2022-08-03
32.54999923706055,2022-08-04
33.400001525878906,2022-08-05
34.900001525878906,2022-08-08
32.58000183105469,2022-08-09
36.779998779296875,2022-08-10
36.970001220703125,2022-08-11
39.189998626708984,2022-08-12
38.41999816894531,2022-08-15
39.90999984741211,2022-08-16
37.38999938964844,2022-08-17
35.75,2022-08-18
30.920000076293945,2022-08-19
29.489999771118164,2022-08-22
29.31999969482422,2022-08-23
30.229999542236328,2022-08-24
31.229999542236328,2022-08-25
24.56999969482422,2022-08-26
23.989999771118164,2022-08-29
23.540000915527344,2022-08-30
23.43000030517578,2022-08-31
23.15999984741211,2022-09-01
22.450000762939453,2022-09-02
22.299999237060547,2022-09-06
23.059999465942383,2022-09-07
23.700000762939453,2022-09-08
26.25,2022-09-09
26.790000915527344,2022-09-12
24.190000534057617,2022-09-13
24.329999923706055,2022-09-14
23.989999771118164,2022-09-15
22.299999237060547,2022-09-16
22.700000762939453,2022-09-19
22.139999389648438,2022-09-20
21.329999923706055,2022-09-21
20.0,2022-09-22
19.280000686645508,2022-09-23
19.040000915527344,2022-09-26
19.389999389648438,2022-09-27
20.65999984741211,2022-09-28
19.059999465942383,2022-09-29
18.760000228881836,2022-09-30
19.010000228881836,2022-10-03
21.610000610351562,2022-10-04
20.920000076293945,2022-10-05
20.950000762939453,2022-10-06
18.899999618530273,2022-10-07
18.59000015258789,2022-10-10
19.350000381469727,2022-10-11
19.809999465942383,2022-10-12
18.760000228881836,2022-10-13
17.270000457763672,2022-10-14
18.43000030517578,2022-10-17
19.530000686645508,2022-10-18
17.90999984741211,2022-10-19
18.030000686645508,2022-10-20
18.299999237060547,2022-10-21
18.049999237060547,2022-10-24
20.6200008392334,2022-10-25
20.559999465942383,2022-10-26
20.6200008392334,2022-10-27
20.31999969482422,2022-10-28
20.06999969482422,2022-10-31
19.459999084472656,2022-11-01
17.600000381469727,2022-11-02
16.670000076293945,2022-11-03
16.1200008392334,2022-11-04
15.630000114440918,2022-11-07
15.640000343322754,2022-11-08
12.100000381469727,2022-11-09
14.989999771118164,2022-11-10
17.010000228881836,2022-11-11
16.280000686645508,2022-11-14
17.309999465942383,2022-11-15
15.119999885559082,2022-11-16
14.59000015258789,2022-11-17
13.510000228881836,2022-11-18
12.960000038146973,2022-11-21
12.670000076293945,2022-11-22
13.3100004196167,2022-11-23
13.079999923706055,2022-11-25
12.579999923706055,2022-11-28
12.8100004196167,2022-11-29
