MKC,Date
0.39729079604148865,1973-02-21
0.40090280771255493,1973-02-22
0.404514342546463,1973-02-23
0.39729079604148865,1973-02-26
0.39367935061454773,1973-02-27
0.38645604252815247,1973-02-28
0.37020277976989746,1973-03-01
0.361173540353775,1973-03-02
0.361173540353775,1973-03-05
0.3720090389251709,1973-03-06
0.37562039494514465,1973-03-07
0.3810384273529053,1973-03-08
0.364785760641098,1973-03-09
0.361173540353775,1973-03-12
0.35756197571754456,1973-03-13
0.3431148827075958,1973-03-14
0.32866817712783813,1973-03-15
0.30338558554649353,1973-03-16
0.30699774622917175,1973-03-19
0.32144469022750854,1973-03-20
0.32866817712783813,1973-03-21
0.33950310945510864,1973-03-22
0.35395005345344543,1973-03-23
0.35395005345344543,1973-03-26
0.361173540353775,1973-03-27
0.361173540353775,1973-03-28
0.368397057056427,1973-03-29
0.368397057056427,1973-03-30
0.368397057056427,1973-04-02
0.368397057056427,1973-04-03
0.364785760641098,1973-04-04
0.35395005345344543,1973-04-05
0.35756197571754456,1973-04-06
0.35575589537620544,1973-04-09
0.35756197571754456,1973-04-10
0.35756197571754456,1973-04-11
0.35395005345344543,1973-04-12
0.35756197571754456,1973-04-13
0.35756197571754456,1973-04-16
0.35936790704727173,1973-04-17
0.35756197571754456,1973-04-18
0.35575589537620544,1973-04-19
0.35395005345344543,1973-04-23
0.346726655960083,1973-04-24
0.33950310945510864,1973-04-25
0.33950310945510864,1973-04-26
0.33950310945510864,1973-04-27
0.33950310945510864,1973-04-30
0.3358916938304901,1973-05-01
0.3322795331478119,1973-05-02
0.31422117352485657,1973-05-03
0.31422117352485657,1973-05-04
0.31422117352485657,1973-05-07
0.3196384310722351,1973-05-08
0.32144469022750854,1973-05-09
0.32144469022750854,1973-05-10
0.32144469022750854,1973-05-11
0.3196384310722351,1973-05-14
0.31422117352485657,1973-05-15
0.3106091320514679,1973-05-16
0.3106091320514679,1973-05-17
0.30338558554649353,1973-05-18
0.28171536326408386,1973-05-21
0.2889387607574463,1973-05-22
0.2925507128238678,1973-05-23
0.2961621582508087,1973-05-24
0.30338558554649353,1973-05-25
0.30338558554649353,1973-05-29
0.30338558554649353,1973-05-30
0.30699774622917175,1973-05-31
0.30699774622917175,1973-06-01
0.30699774622917175,1973-06-04
0.30699774622917175,1973-06-05
0.30338558554649353,1973-06-06
0.30699774622917175,1973-06-07
0.3106091320514679,1973-06-08
0.30699774622917175,1973-06-11
0.29977431893348694,1973-06-12
0.2961621582508087,1973-06-13
0.29435640573501587,1973-06-14
0.2889387607574463,1973-06-15
0.27810391783714294,1973-06-18
0.2672683298587799,1973-06-19
0.26365673542022705,1973-06-20
0.2672683298587799,1973-06-21
0.27810391783714294,1973-06-22
0.28171536326408386,1973-06-25
0.28171536326408386,1973-06-26
0.2853272557258606,1973-06-27
0.28171536326408386,1973-06-28
0.27810391783714294,1973-06-29
0.28171536326408386,1973-07-02
0.27810391783714294,1973-07-03
0.27810391783714294,1973-07-05
0.27810391783714294,1973-07-06
0.27810391783714294,1973-07-09
0.27810391783714294,1973-07-10
0.2799097001552582,1973-07-11
0.2925507128238678,1973-07-12
0.2961621582508087,1973-07-13
0.2961621582508087,1973-07-16
0.2925507128238678,1973-07-17
0.2889387607574463,1973-07-18
0.2961621582508087,1973-07-19
0.2961621582508087,1973-07-20
0.2925507128238678,1973-07-23
0.2925507128238678,1973-07-24
0.2853272557258606,1973-07-25
0.2853272557258606,1973-07-26
0.2925507128238678,1973-07-27
0.2925507128238678,1973-07-30
0.2925507128238678,1973-07-31
0.2889387607574463,1973-08-01
0.2889387607574463,1973-08-02
0.2889387607574463,1973-08-03
0.2907445728778839,1973-08-06
0.29435640573501587,1973-08-07
0.29435640573501587,1973-08-08
0.2961621582508087,1973-08-09
0.29435640573501587,1973-08-10
0.2925507128238678,1973-08-13
0.2907445728778839,1973-08-14
0.2907445728778839,1973-08-15
0.2925507128238678,1973-08-16
0.2907445728778839,1973-08-17
0.2907445728778839,1973-08-20
0.2925507128238678,1973-08-21
0.2925507128238678,1973-08-22
0.2925507128238678,1973-08-23
0.2925507128238678,1973-08-24
0.2925507128238678,1973-08-27
0.2925507128238678,1973-08-28
0.2925507128238678,1973-08-29
0.2925507128238678,1973-08-30
0.2979680895805359,1973-08-31
0.29977431893348694,1973-09-04
0.29977431893348694,1973-09-05
0.29977431893348694,1973-09-06
0.2961621582508087,1973-09-07
0.2907445728778839,1973-09-10
0.2907445728778839,1973-09-11
0.2889387607574463,1973-09-12
0.2889387607574463,1973-09-13
0.2889387607574463,1973-09-14
0.2853272557258606,1973-09-17
0.28352099657058716,1973-09-18
0.28171536326408386,1973-09-19
0.2853272557258606,1973-09-20
0.28713297843933105,1973-09-21
0.2889387607574463,1973-09-24
0.2889387607574463,1973-09-25
0.2853272557258606,1973-09-26
