MA,Date
4.228491306304932,2006-05-25
4.130131721496582,2006-05-26
4.044641971588135,2006-05-30
4.131051063537598,2006-05-31
4.367294788360596,2006-06-01
4.31949520111084,2006-06-02
4.518049716949463,2006-06-05
4.439914703369141,2006-06-06
4.3755693435668945,2006-06-07
4.386598110198975,2006-06-08
4.392116069793701,2006-06-09
4.315819263458252,2006-06-12
4.182529449462891,2006-06-13
4.147597312927246,2006-06-14
4.223894119262695,2006-06-15
4.138407230377197,2006-06-16
4.075898170471191,2006-06-19
4.046482563018799,2006-06-20
4.164144515991211,2006-06-21
4.283644676208496,2006-06-22
4.315819263458252,2006-06-23
4.366375923156738,2006-06-26
4.348911762237549,2006-06-27
4.316738128662109,2006-06-28
4.412339210510254,2006-06-29
4.412339210510254,2006-06-30
4.347991943359375,2006-07-03
4.3755693435668945,2006-07-05
4.30203104019165,2006-07-06
4.23952054977417,2006-07-07
4.273535251617432,2006-07-10
4.260664463043213,2006-07-11
4.187124729156494,2006-07-12
4.110828876495361,2006-07-13
4.040048122406006,2006-07-14
4.04372501373291,2006-07-17
4.035451412200928,2006-07-18
4.16230583190918,2006-07-19
4.187124729156494,2006-07-20
4.16230583190918,2006-07-21
4.136567115783691,2006-07-24
4.235846042633057,2006-07-25
4.2910003662109375,2006-07-26
4.27629280090332,2006-07-27
4.256067276000977,2006-07-28
4.216541290283203,2006-07-31
4.136567115783691,2006-08-01
4.598023891448975,2006-08-02
4.5952677726745605,2006-08-03
4.600783824920654,2006-08-04
4.697301387786865,2006-08-07
4.8324294090271,2006-08-08
4.858168125152588,2006-08-09
4.923435211181641,2006-08-10
4.9344658851623535,2006-08-11
4.985024929046631,2006-08-14
5.00892448425293,2006-08-15
4.988698959350586,2006-08-16
4.914243221282959,2006-08-17
4.913324356079102,2006-08-18
4.987780570983887,2006-08-21
5.076946258544922,2006-08-22
5.019036293029785,2006-08-23
5.1155548095703125,2006-08-24
5.055805683135986,2006-08-25
5.057642459869385,2006-08-28
5.087979316711426,2006-08-29
5.078785419464111,2006-08-30
5.138535976409912,2006-08-31
5.198286533355713,2006-09-01
5.2258620262146,2006-09-05
5.41247034072876,2006-09-06
5.526453495025635,2006-09-07
5.4924421310424805,2006-09-08
5.687320232391357,2006-09-11
5.708461761474609,2006-09-12
5.639519691467285,2006-09-13
5.771891117095947,2006-09-14
5.972282409667969,2006-09-15
5.9860734939575195,2006-09-18
5.960333824157715,2006-09-19
6.1175217628479,2006-09-20
6.34733247756958,2006-09-21
6.06053352355957,2006-09-22
5.919888019561768,2006-09-25
6.066967010498047,2006-09-26
6.236107349395752,2006-09-27
6.310564041137695,2006-09-28
6.466833114624023,2006-09-29
6.430984020233154,2006-10-02
6.40524435043335,2006-10-03
6.399728298187256,2006-10-04
6.681380271911621,2006-10-05
6.9170098304748535,2006-10-06
6.700708866119385,2006-10-09
6.618791103363037,2006-10-10
6.396968364715576,2006-10-11
6.4807257652282715,2006-10-12
6.451272487640381,2006-10-13
6.56264591217041,2006-10-16
6.396968364715576,2006-10-17
6.484408855438232,2006-10-18
6.657447338104248,2006-10-19
6.555283546447754,2006-10-20
6.466002464294434,2006-10-23
6.553440093994141,2006-10-24
6.512021541595459,2006-10-25
6.645482540130615,2006-10-26
6.685981750488281,2006-10-27
6.676775932312012,2006-10-30
6.820363998413086,2006-10-31
7.830072402954102,2006-11-01
8.062944412231445,2006-11-02
8.23874568939209,2006-11-03
8.863709449768066,2006-11-06
8.513949394226074,2006-11-07
8.140256881713867,2006-11-08
8.11816692352295,2006-11-09
8.210210800170898,2006-11-10
8.88672161102295,2006-11-13
8.762468338012695,2006-11-14
8.771668434143066,2006-11-15
8.699873924255371,2006-11-16
8.724725723266602,2006-11-17
8.853591918945312,2006-11-20
9.259498596191406,2006-11-21
9.504332542419434,2006-11-22
9.708663940429688,2006-11-24
9.111309051513672,2006-11-27
9.273300170898438,2006-11-28
9.130635261535645,2006-11-29
9.365342140197754,2006-11-30
9.311962127685547,2006-12-01
9.21163558959961,2006-12-04
9.135237693786621,2006-12-05
9.124190330505371,2006-12-06
9.174818992614746,2006-12-07
9.213478088378906,2006-12-08
9.121435165405273,2006-12-11
8.813085556030273,2006-12-12
8.814927101135254,2006-12-13
8.799286842346191,2006-12-14
8.853591918945312,2006-12-15
8.550764083862305,2006-12-18
8.964956283569336,2006-12-19
8.975086212158203,2006-12-20
8.809408187866211,2006-12-21
8.868313789367676,2006-12-22
8.756938934326172,2006-12-26
9.146282196044922,2006-12-27
9.108542442321777,2006-12-28
9.065286636352539,2006-12-29
8.8738374710083,2007-01-03
9.3092041015625,2007-01-04
9.301836967468262,2007-01-05
9.303674697875977,2007-01-08
9.732596397399902,2007-01-09
9.64876651763916,2007-01-10
9.71877670288086,2007-01-11
9.695743560791016,2007-01-12
9.764839172363281,2007-01-16
10.04488468170166,2007-01-17
9.441493034362793,2007-01-18
9.675477981567383,2007-01-19
9.913155555725098,2007-01-22
9.986851692199707,2007-01-23
10.264137268066406,2007-01-24
9.937101364135742,2007-01-25
9.996986389160156,2007-01-26
