XYL,Date
20.52335548400879,2011-10-13
21.454313278198242,2011-10-14
21.29351234436035,2011-10-17
21.361217498779297,2011-10-18
20.946521759033203,2011-10-19
20.946521759033203,2011-10-20
21.615110397338867,2011-10-21
21.80976676940918,2011-10-24
21.792835235595703,2011-10-25
21.175024032592773,2011-10-26
21.68281364440918,2011-10-27
21.852079391479492,2011-10-28
22.63070297241211,2011-10-31
23.11310386657715,2011-11-01
22.529142379760742,2011-11-02
22.334487915039062,2011-11-03
21.31890106201172,2011-11-04
20.8195743560791,2011-11-07
21.10732078552246,2011-11-08
20.21868324279785,2011-11-09
20.01555824279785,2011-11-10
20.13404655456543,2011-11-11
20.338878631591797,2011-11-14
20.389873504638672,2011-11-15
20.500370025634766,2011-11-16
20.270877838134766,2011-11-17
20.338878631591797,2011-11-18
20.07539939880371,2011-11-21
20.083892822265625,2011-11-22
20.12639617919922,2011-11-23
19.548439025878906,2011-11-25
19.964906692504883,2011-11-28
19.77792739868164,2011-11-29
20.31337547302246,2011-11-30
20.627859115600586,2011-12-01
20.61086082458496,2011-12-02
21.324798583984375,2011-12-05
21.103818893432617,2011-12-06
20.882829666137695,2011-12-07
20.29637908935547,2011-12-08
20.695850372314453,2011-12-09
20.330373764038086,2011-12-12
20.270877838134766,2011-12-13
19.896921157836914,2011-12-14
20.330373764038086,2011-12-15
20.967832565307617,2011-12-16
20.61086082458496,2011-12-19
20.661849975585938,2011-12-20
21.180309295654297,2011-12-21
21.103818893432617,2011-12-22
21.171810150146484,2011-12-23
21.290803909301758,2011-12-27
21.724266052246094,2011-12-28
22.05573844909668,2011-12-29
21.834758758544922,2011-12-30
21.36729621887207,2012-01-03
22.072738647460938,2012-01-04
21.75826072692871,2012-01-05
21.392789840698242,2012-01-06
21.477787017822266,2012-01-09
21.741260528564453,2012-01-10
22.149232864379883,2012-01-11
21.843263626098633,2012-01-12
21.783767700195312,2012-01-13
21.783767700195312,2012-01-17
22.939668655395508,2012-01-18
22.625192642211914,2012-01-19
22.404216766357422,2012-01-20
21.885753631591797,2012-01-23
22.217227935791016,2012-01-24
22.608198165893555,2012-01-25
22.0472412109375,2012-01-26
21.936752319335938,2012-01-27
22.030237197875977,2012-01-30
22.021751403808594,2012-01-31
22.795185089111328,2012-02-01
22.65069580078125,2012-02-02
22.973669052124023,2012-02-03
22.761186599731445,2012-02-06
23.135149002075195,2012-02-07
23.279647827148438,2012-02-08
23.05866050720215,2012-02-09
23.007659912109375,2012-02-10
22.973669052124023,2012-02-13
22.880176544189453,2012-02-14
22.94817543029785,2012-02-15
23.075658798217773,2012-02-16
23.449630737304688,2012-02-17
23.645112991333008,2012-02-21
23.398637771606445,2012-02-22
23.611116409301758,2012-02-23
23.169153213500977,2012-02-24
23.254148483276367,2012-02-27
22.812177658081055,2012-02-28
22.081241607666016,2012-02-29
22.773223876953125,2012-03-01
22.69643211364746,2012-03-02
22.372194290161133,2012-03-05
22.05649757385254,2012-03-06
22.363670349121094,2012-03-07
22.71349334716797,2012-03-08
23.25104331970215,2012-03-09
23.489948272705078,2012-03-12
24.249345779418945,2012-03-13
24.198148727416992,2012-03-14
24.51384925842285,2012-03-15
24.053096771240234,2012-03-16
23.839786529541016,2012-03-19
23.302236557006836,2012-03-20
23.319303512573242,2012-03-21
23.225440979003906,2012-03-22
23.208377838134766,2012-03-23
23.762998580932617,2012-03-26
23.882448196411133,2012-03-27
23.856849670410156,2012-03-28
23.600868225097656,2012-03-29
23.67766571044922,2012-03-30
24.164016723632812,2012-04-02
24.104291915893555,2012-04-03
23.720335006713867,2012-04-04
23.865386962890625,2012-04-05
23.344898223876953,2012-04-09
22.986536026000977,2012-04-10
23.037734985351562,2012-04-11
23.310768127441406,2012-04-12
22.892683029174805,2012-04-13
22.95241355895996,2012-04-16
23.208377838134766,2012-04-17
23.592344284057617,2012-04-18
23.12305450439453,2012-04-19
23.344898223876953,2012-04-20
22.94387435913086,2012-04-23
23.12305450439453,2012-04-24
23.635007858276367,2012-04-25
23.97630500793457,2012-04-26
24.2152156829834,2012-04-27
23.788589477539062,2012-04-30
23.600868225097656,2012-05-01
23.686199188232422,2012-05-02
23.293704986572266,2012-05-03
22.568445205688477,2012-05-04
22.363670349121094,2012-05-07
22.491655349731445,2012-05-08
22.2954044342041,2012-05-09
22.303936004638672,2012-05-10
22.210079193115234,2012-05-11
21.698131561279297,2012-05-14
21.510417938232422,2012-05-15
21.646936416625977,2012-05-16
20.91963005065918,2012-05-17
21.13379669189453,2012-05-18
21.707759857177734,2012-05-21
21.92192268371582,2012-05-22
22.09325408935547,2012-05-23
22.393083572387695,2012-05-24
21.973323822021484,2012-05-25
22.17891502380371,2012-05-29
21.801986694335938,2012-05-30
21.69919776916504,2012-05-31
20.971025466918945,2012-06-01
20.996723175048828,2012-06-04
21.05670166015625,2012-06-05
21.836257934570312,2012-06-06
22.050424575805664,2012-06-07
22.204614639282227,2012-06-08
21.8533935546875,2012-06-11
21.913349151611328,2012-06-12
21.5621280670166,2012-06-13
21.416492462158203,2012-06-14
21.69062042236328,2012-06-15
21.527856826782227,2012-06-18
21.48501968383789,2012-06-19
21.176631927490234,2012-06-20
20.799705505371094,2012-06-21
20.576961517333984,2012-06-22
20.22574234008789,2012-06-25
20.491300582885742,2012-06-26
20.808265686035156,2012-06-27
21.06525993347168,2012-06-28
21.5621280670166,2012-06-29
21.45076560974121,2012-07-02
21.9990234375,2012-07-03
21.87052345275879,2012-07-05
21.58782958984375,2012-07-06
21.416492462158203,2012-07-09
20.868236541748047,2012-07-10
20.499866485595703,2012-07-11
19.85737419128418,2012-07-12
19.968734741210938,2012-07-13
19.840232849121094,2012-07-16
20.260000228881836,2012-07-17
20.499866485595703,2012-07-18
20.66263771057129,2012-07-19
20.37993621826172,2012-07-20
20.457033157348633,2012-07-23
20.208602905273438,2012-07-24
20.482736587524414,2012-07-25
20.328542709350586,2012-07-26
20.73116683959961,2012-07-27
20.73116683959961,2012-07-30
20.542701721191406,2012-07-31
20.474157333374023,2012-08-01
20.191469192504883,2012-08-02
20.585533142089844,2012-08-03
20.67119789123535,2012-08-06
20.765430450439453,2012-08-07
20.68832778930664,2012-08-08
20.962467193603516,2012-08-09
20.953893661499023,2012-08-10
20.996723175048828,2012-08-13
20.611236572265625,2012-08-14
20.808265686035156,2012-08-15
21.365093231201172,2012-08-16
