BLK,Date
8.832306861877441,1999-10-01
8.754142761230469,1999-10-04
8.832306861877441,1999-10-05
9.301279067993164,1999-10-06
8.832306861877441,1999-10-07
8.793227195739746,1999-10-08
8.793227195739746,1999-10-11
8.832306861877441,1999-10-12
8.793227195739746,1999-10-13
8.519657135009766,1999-10-14
8.167929649353027,1999-10-15
8.011605262756348,1999-10-18
8.285172462463379,1999-10-19
8.207008361816406,1999-10-20
8.40241527557373,1999-10-21
8.441494941711426,1999-10-22
8.71506404876709,1999-10-25
8.754142761230469,1999-10-26
8.793227195739746,1999-10-27
8.832306861877441,1999-10-28
9.535765647888184,1999-10-29
9.223118782043457,1999-11-01
9.223118782043457,1999-11-02
9.223118782043457,1999-11-03
9.340362548828125,1999-11-04
9.848416328430176,1999-11-05
10.395550727844238,1999-11-08
10.082900047302246,1999-11-09
10.043815612792969,1999-11-10
10.082900047302246,1999-11-11
11.255329132080078,1999-11-12
11.059924125671387,1999-11-15
10.903602600097656,1999-11-16
10.942681312561035,1999-11-17
10.786355972290039,1999-11-18
11.020845413208008,1999-11-19
11.138087272644043,1999-11-22
11.958791732788086,1999-11-23
11.607057571411133,1999-11-24
11.528898239135742,1999-11-26
11.333490371704102,1999-11-29
11.48981761932373,1999-11-30
11.607057571411133,1999-12-01
11.880631446838379,1999-12-02
11.997868537902832,1999-12-03
11.48981761932373,1999-12-06
11.646139144897461,1999-12-07
11.372576713562012,1999-12-08
11.411651611328125,1999-12-09
11.020845413208008,1999-12-10
10.903602600097656,1999-12-13
10.708197593688965,1999-12-14
10.708197593688965,1999-12-15
10.512784957885742,1999-12-16
10.708197593688965,1999-12-17
10.590954780578613,1999-12-20
10.630032539367676,1999-12-21
10.747279167175293,1999-12-22
10.708197593688965,1999-12-23
10.708197593688965,1999-12-27
10.864517211914062,1999-12-28
10.786355972290039,1999-12-29
10.82543659210205,1999-12-30
10.747279167175293,1999-12-31
10.395550727844238,2000-01-03
9.92657470703125,2000-01-04
9.848416328430176,2000-01-05
10.004735946655273,2000-01-06
9.92657470703125,2000-01-07
10.004735946655273,2000-01-10
10.278304100036621,2000-01-11
10.708197593688965,2000-01-12
10.590954780578613,2000-01-13
10.942681312561035,2000-01-14
