Date,BF.B
2003-12-08,9.84
2003-12-09,9.8549
2003-12-10,9.7995
2003-12-11,9.8699
2003-12-12,9.9723
2003-12-15,10.0491
2003-12-16,9.9819
2003-12-17,9.8944
2003-12-18,9.9093
2003-12-19,9.8613
2003-12-22,9.92
2003-12-23,9.9253
2003-12-24,9.9147
2003-12-26,9.9488
2003-12-29,9.9627
2003-12-30,9.9584
2003-12-31,9.968
2004-01-02,9.9307
2004-01-05,9.9947
2004-01-06,9.9499
2004-01-07,9.952
2004-01-08,9.9307
2004-01-09,9.9488
2004-01-12,9.9915
2004-01-13,9.9808
2004-01-14,10.0341
2004-01-15,10.0267
2004-01-16,10.0256
2004-01-20,10.0533
2004-01-21,10.0437
2004-01-22,10.0672
2004-01-23,10.1653
2004-01-26,10.1995
2004-01-27,10.1547
2004-01-28,10.0715
2004-01-29,10.176
2004-01-30,9.9648
2004-02-02,10.0245
2004-02-03,9.984
2004-02-04,9.9712
2004-02-05,10.0907
2004-02-06,10.2144
2004-02-09,10.0629
2004-02-10,10.0821
2004-02-11,10.1291
2004-02-12,10.0373
2004-02-13,10.0117
2004-02-17,10.176
2004-02-18,10.2613
2004-02-19,10.2656
2004-02-20,10.2827
2004-02-23,10.4149
2004-02-24,10.4427
2004-02-25,10.3872
2004-02-26,10.3467
2004-02-27,10.4235
2004-03-01,10.656
2004-03-02,10.5493
2004-03-03,10.4512
2004-03-04,10.3787
2004-03-05,10.3893
2004-03-08,10.3083
2004-03-09,10.2827
2004-03-10,10.2251
2004-03-11,10.1227
2004-03-12,10.0587
2004-03-15,9.888
2004-03-16,9.9989
2004-03-17,10.1077
2004-03-18,10.048
2004-03-19,9.9563
2004-03-22,9.8987
2004-03-23,9.8816
2004-03-24,9.9179
2004-03-25,9.9029
2004-03-26,9.8603
2004-03-29,10.0907
2004-03-30,10.208
2004-03-31,10.1675
2004-04-01,10.3381
2004-04-02,10.3189
2004-04-05,10.3275
2004-04-06,10.4107
2004-04-07,10.4064
2004-04-08,10.3573
2004-04-12,10.368
2004-04-13,10.2827
2004-04-14,10.2293
2004-04-15,10.1739
2004-04-16,10.2827
2004-04-19,10.2677
2004-04-20,10.1696
2004-04-21,10.2059
2004-04-22,10.3787
2004-04-23,10.3083
2004-04-26,10.2507
2004-04-27,10.2827
2004-04-28,10.0139
2004-04-29,10.0224
2004-04-30,9.9968
2004-05-03,10.1333
2004-05-04,10.0629
2004-05-05,10.0693
2004-05-06,10.0928
2004-05-07,9.9925
2004-05-10,9.9328
2004-05-11,9.8539
2004-05-12,9.8197
2004-05-13,9.8453
2004-05-14,9.856
2004-05-17,9.8773
2004-05-18,9.9072
2004-05-19,9.9093
2004-05-20,9.9627
2004-05-21,10.0757
2004-05-24,10.0736
2004-05-25,10.2293
2004-05-26,10.2123
2004-05-27,10.2699
2004-05-28,10.2507
2004-06-01,10.3381
2004-06-02,10.4576
2004-06-03,10.4512
2004-06-04,10.3552
2004-06-07,10.4491
2004-06-08,10.5493
2004-06-09,10.4704
2004-06-10,10.3552
2004-06-14,10.4
2004-06-15,10.4064
2004-06-16,10.432
2004-06-17,10.3787
2004-06-18,10.1973
2004-06-21,10.3189
2004-06-22,10.24
2004-06-23,10.2464
2004-06-24,10.1973
2004-06-25,10.304
2004-06-28,10.336
2004-06-29,10.3637
2004-06-30,10.2976
2004-07-01,10.2827
2004-07-02,10.1824
2004-07-06,10.1973
2004-07-07,10.1739
2004-07-08,10.1824
2004-07-09,10.176
2004-07-12,10.1973
2004-07-13,10.1589
2004-07-14,10.1504
2004-07-15,10.1227
2004-07-16,10.1653
2004-07-19,10.112
2004-07-20,10.1888
2004-07-21,10.0373
2004-07-22,9.9371
2004-07-23,9.9221
2004-07-26,9.8645
2004-07-27,9.8816
2004-07-28,9.952
2004-07-29,9.856
2004-07-30,9.9221
2004-08-02,9.9477
2004-08-03,9.7835
2004-08-04,9.9477
2004-08-05,9.7408
2004-08-06,9.6448
2004-08-09,9.664
2004-08-10,9.6619
2004-08-11,9.6875
2004-08-12,9.7024
2004-08-13,9.664
2004-08-16,9.6704
2004-08-17,9.6512
2004-08-18,9.8005
2004-08-19,9.7621
2004-08-20,9.8176
2004-08-23,9.888
2004-08-24,9.8304
2004-08-25,9.856
2004-08-26,9.8816
2004-08-27,9.8325
2004-08-30,9.9883
2004-08-31,10.1312
2004-09-01,10.1995
2004-09-02,10.4256
2004-09-03,10.592
2004-09-07,10.6389
2004-09-08,10.3595
2004-09-09,10.4619
2004-09-10,9.8347
2004-09-13,9.888
2004-09-14,9.9819
2004-09-15,9.9349
2004-09-16,10.016
2004-09-17,9.9669
2004-09-20,9.9904
2004-09-21,9.9925
2004-09-22,9.8347
2004-09-23,9.7963
2004-09-24,9.7472
2004-09-27,9.6875
2004-09-28,9.7707
2004-09-29,9.6427
2004-09-30,9.7707
2004-10-01,9.8795
2004-10-04,9.7664
2004-10-05,9.7387
2004-10-06,9.728
2004-10-07,9.6213
2004-10-08,9.6811
2004-10-11,9.6533
2004-10-12,9.6
2004-10-13,9.5445
2004-10-14,9.5275
2004-10-15,9.536
2004-10-18,9.504
2004-10-19,9.3419
2004-10-20,9.3867
2004-10-21,9.3653
2004-10-22,9.28
2004-10-25,9.4315
2004-10-26,9.6
2004-10-27,9.4827
2004-10-28,9.5509
2004-10-29,9.5787
2004-11-01,9.632
2004-11-02,9.7408
2004-11-03,9.8816
2004-11-04,10.0267
2004-11-05,10.0011
2004-11-08,9.9904
2004-11-09,9.9819
2004-11-10,9.9733
2004-11-11,10.0736
2004-11-12,10.1653
2004-11-15,10.2187
2004-11-16,10.1909
2004-11-17,10.24
2004-11-18,10.1547
2004-11-19,10.0907
2004-11-22,10.2293
2004-11-23,10.1675
2004-11-24,10.1675
2004-11-26,10.1056
2004-11-29,10.24
2004-11-30,10.2443
2004-12-01,10.304
2004-12-02,10.1675
2004-12-03,10.2784
2004-12-06,10.3787
2004-12-07,10.2827
2004-12-08,10.3296
2004-12-09,10.3787
2004-12-10,10.4384
2004-12-13,10.6347
2004-12-14,10.5579
2004-12-15,10.496
2004-12-16,10.5259
2004-12-17,10.3275
2004-12-20,10.2912
2004-12-21,10.3744
2004-12-22,10.4363
2004-12-23,10.3147
2004-12-27,10.3083
2004-12-28,10.3552
2004-12-29,10.3253
2004-12-30,10.4213
2004-12-31,10.3851
2005-01-03,10.2507
2005-01-04,10.1888
2005-01-05,10.2208
2005-01-06,10.2336
2005-01-07,10.2123
2005-01-10,10.2763
2005-01-11,10.2315
2005-01-12,10.2016
2005-01-13,10.0544
2005-01-14,10.016
2005-01-18,10.1781
2005-01-19,10.1995
2005-01-20,10.2016
2005-01-21,10.1653
2005-01-24,10.1227
2005-01-25,10.1035
2005-01-26,10.1227
2005-01-27,10.2443
2005-01-28,10.208
2005-01-31,10.2891
2005-02-01,10.336
2005-02-02,10.3872
2005-02-03,10.5216
2005-02-04,10.6987
2005-02-07,10.7029
2005-02-08,10.8181
2005-02-09,10.7861
2005-02-10,10.7776
2005-02-11,10.7904
2005-02-14,10.7819
2005-02-15,10.7733
2005-02-16,10.7435
2005-02-17,10.5003
2005-02-18,10.496
2005-02-22,10.4811
2005-02-23,10.6133
2005-02-24,10.6475
2005-02-25,10.6411
2005-02-28,10.8587
2005-03-01,11.0528
2005-03-02,11.2213
2005-03-03,11.4304
2005-03-04,11.6309
2005-03-07,11.6907
2005-03-08,11.4155
2005-03-09,11.3835
2005-03-10,11.3835
2005-03-11,11.1915
2005-03-14,11.2021
2005-03-15,10.9867
2005-03-16,11.0677
2005-03-17,11.2064
2005-03-18,11.3323
2005-03-21,11.4133
2005-03-22,11.4261
2005-03-23,11.5179
2005-03-24,11.4453
2005-03-28,11.4773
2005-03-29,11.5435
2005-03-30,11.6459
2005-03-31,11.68
2005-04-01,11.5691
2005-04-04,11.68
2005-04-05,11.7867
2005-04-06,11.8613
2005-04-07,11.8613
2005-04-08,11.7888
2005-04-11,11.744
2005-04-12,11.8336
2005-04-13,11.7013
2005-04-14,11.6928
2005-04-15,11.616
2005-04-18,11.6992
2005-04-19,11.6885
2005-04-20,11.5221
2005-04-21,11.7483
2005-04-22,11.5605
2005-04-25,11.9381
2005-04-26,11.7973
2005-04-27,11.7291
2005-04-28,11.808
2005-04-29,11.84
2005-05-02,11.8144
2005-05-03,11.7547
2005-05-04,12.1131
2005-05-05,12.0555
2005-05-06,12.0875
2005-05-09,12.2368
2005-05-10,12.096
2005-05-11,12.192
2005-05-12,12.1536
2005-05-13,12.16
2005-05-16,12.3477
2005-05-17,12.2176
2005-05-18,12.3051
2005-05-19,12.2603
2005-05-20,12.2069
2005-05-23,12.16
2005-05-24,12.2283
2005-05-25,12.1365
2005-05-26,12.2624
2005-05-27,12.6507
2005-05-31,12.7189
2005-06-01,12.8171
2005-06-02,12.6059
2005-06-03,12.6144
2005-06-06,12.5291
2005-06-07,12.4501
2005-06-08,12.48
2005-06-09,12.4587
2005-06-10,12.4224
2005-06-13,12.5013
2005-06-14,12.8
2005-06-15,12.608
2005-06-16,12.5035
2005-06-17,12.6464
2005-06-20,12.7403
2005-06-21,12.6293
2005-06-22,12.5397
2005-06-23,12.4992
2005-06-24,12.5973
2005-06-27,12.8213
2005-06-28,12.9771
2005-06-29,13.0411
2005-06-30,12.8981
2005-07-01,13.0176
2005-07-05,12.9771
2005-07-06,12.8427
2005-07-07,12.8853
2005-07-08,12.8661
2005-07-11,12.7936
2005-07-12,12.7979
2005-07-13,12.9344
2005-07-14,12.9557
2005-07-15,12.9323
2005-07-18,12.9109
2005-07-19,12.9131
2005-07-20,12.8811
2005-07-21,12.7061
2005-07-22,12.608
2005-07-25,12.6293
2005-07-26,12.416
2005-07-27,12.4224
2005-07-28,12.6251
2005-07-29,12.4693
2005-08-01,12.4224
