INTU,Date
2.357914447784424,1993-03-12
2.330064058303833,1993-03-15
2.274366617202759,1993-03-16
2.1908183097839355,1993-03-17
2.2650840282440186,1993-03-18
2.2465155124664307,1993-03-19
2.1165528297424316,1993-03-22
2.2650840282440186,1993-03-23
2.2093849182128906,1993-03-24
2.1165528297424316,1993-03-25
2.1165528297424316,1993-03-26
2.1072700023651123,1993-03-29
2.1165528297424316,1993-03-30
2.060854911804199,1993-03-31
2.060854911804199,1993-04-01
1.9680231809616089,1993-04-02
2.005155324935913,1993-04-05
2.005155324935913,1993-04-06
1.9308905601501465,1993-04-07
1.8937578201293945,1993-04-08
1.8751922845840454,1993-04-12
1.8194931745529175,1993-04-13
1.8937578201293945,1993-04-14
1.8380590677261353,1993-04-15
1.8380590677261353,1993-04-16
1.8194931745529175,1993-04-19
1.8194931745529175,1993-04-20
1.8009265661239624,1993-04-21
1.8937578201293945,1993-04-22
1.9123237133026123,1993-04-23
1.8380590677261353,1993-04-26
2.042288303375244,1993-04-27
2.023721933364868,1993-04-28
1.9865895509719849,1993-04-29
2.042288303375244,1993-04-30
2.153686046600342,1993-05-03
2.153686046600342,1993-05-04
2.2650840282440186,1993-05-05
2.2093849182128906,1993-05-06
2.2465155124664307,1993-05-07
2.3022148609161377,1993-05-10
2.283649206161499,1993-05-11
2.283649206161499,1993-05-12
2.3022148609161377,1993-05-13
2.283649206161499,1993-05-14
2.3022148609161377,1993-05-17
2.3022148609161377,1993-05-18
2.3764805793762207,1993-05-19
2.4136126041412354,1993-05-20
2.357914447784424,1993-05-21
2.357914447784424,1993-05-24
2.339348316192627,1993-05-25
2.255800485610962,1993-05-26
2.2093849182128906,1993-05-27
2.153686046600342,1993-05-28
2.1165528297424316,1993-06-01
2.153686046600342,1993-06-02
2.153686046600342,1993-06-03
2.1165528297424316,1993-06-04
2.088702917098999,1993-06-07
2.005155324935913,1993-06-08
1.9494566917419434,1993-06-09
1.9865895509719849,1993-06-10
2.2650840282440186,1993-06-11
2.283649206161499,1993-06-14
2.2650840282440186,1993-06-15
2.283649206161499,1993-06-16
2.2465155124664307,1993-06-17
2.2465155124664307,1993-06-18
2.3950469493865967,1993-06-21
2.339348316192627,1993-06-22
2.357914447784424,1993-06-23
2.4878790378570557,1993-06-24
2.432180166244507,1993-06-25
2.4507455825805664,1993-06-28
2.3764805793762207,1993-06-29
2.4136126041412354,1993-06-30
2.32078218460083,1993-07-01
2.3764805793762207,1993-07-02
2.339348316192627,1993-07-06
2.339348316192627,1993-07-07
2.385763168334961,1993-07-08
2.3764805793762207,1993-07-09
2.3764805793762207,1993-07-12
2.4136126041412354,1993-07-13
2.3671977519989014,1993-07-14
2.4136126041412354,1993-07-15
2.3950469493865967,1993-07-16
2.357914447784424,1993-07-19
2.339348316192627,1993-07-20
2.2465155124664307,1993-07-21
2.1629676818847656,1993-07-22
2.153686046600342,1993-07-23
2.172250986099243,1993-07-26
2.172250986099243,1993-07-27
2.0979878902435303,1993-07-28
2.1351187229156494,1993-07-29
2.1351187229156494,1993-07-30
2.172250986099243,1993-08-02
2.1351187229156494,1993-08-03
2.153686046600342,1993-08-04
2.2465155124664307,1993-08-05
2.2465155124664307,1993-08-06
2.32078218460083,1993-08-09
2.3764805793762207,1993-08-10
2.3950469493865967,1993-08-11
2.3764805793762207,1993-08-12
2.4043304920196533,1993-08-13
2.3764805793762207,1993-08-16
2.3764805793762207,1993-08-17
2.4136126041412354,1993-08-18
2.3764805793762207,1993-08-19
2.3950469493865967,1993-08-20
2.4136126041412354,1993-08-23
2.3114981651306152,1993-08-24
2.3764805793762207,1993-08-25
2.32078218460083,1993-08-26
2.339348316192627,1993-08-27
2.339348316192627,1993-08-30
2.32078218460083,1993-08-31
2.3950469493865967,1993-09-01
2.385763168334961,1993-09-02
2.3764805793762207,1993-09-03
2.4507455825805664,1993-09-07
2.4878790378570557,1993-09-08
2.599276542663574,1993-09-09
2.7106740474700928,1993-09-10
2.7849385738372803,1993-09-13
2.803504467010498,1993-09-14
2.803504467010498,1993-09-15
2.803504467010498,1993-09-16
2.794221878051758,1993-09-17
2.6364078521728516,1993-09-20
2.5621440410614014,1993-09-21
2.5064444541931152,1993-09-22
2.469311475753784,1993-09-23
2.357914447784424,1993-09-24
2.4043304920196533,1993-09-27
2.5807087421417236,1993-09-28
2.6364078521728516,1993-09-29
2.6178412437438965,1993-09-30
2.5621440410614014,1993-10-01
2.543577194213867,1993-10-04
2.4507455825805664,1993-10-05
2.469311475753784,1993-10-06
2.525010585784912,1993-10-07
2.460028886795044,1993-10-08
2.4878790378570557,1993-10-11
2.5064444541931152,1993-10-12
2.525010585784912,1993-10-13
2.599276542663574,1993-10-14
2.6364078521728516,1993-10-15
2.673541307449341,1993-10-18
2.6178412437438965,1993-10-19
2.5807087421417236,1993-10-20
2.599276542663574,1993-10-21
2.5621440410614014,1993-10-22
2.543577194213867,1993-10-25
2.5064444541931152,1993-10-26
2.4878790378570557,1993-10-27
2.478595495223999,1993-10-28
2.5157277584075928,1993-10-29
2.673541307449341,1993-11-01
2.840637683868408,1993-11-02
2.87777042388916,1993-11-03
2.840637683868408,1993-11-04
2.840637683868408,1993-11-05
2.803504467010498,1993-11-08
3.230527639389038,1993-11-09
3.3233604431152344,1993-11-10
3.4161906242370605,1993-11-11
3.3790578842163086,1993-11-12
3.230527639389038,1993-11-15
3.1376965045928955,1993-11-16
3.081998109817505,1993-11-17
3.0912811756134033,1993-11-18
3.119130849838257,1993-11-19
3.044865846633911,1993-11-22
3.081998109817505,1993-11-23
3.044865846633911,1993-11-24
3.081998109817505,1993-11-26
2.9706008434295654,1993-11-29
2.87777042388916,1993-11-30
3.100565195083618,1993-12-01
3.0541493892669678,1993-12-02
2.9520349502563477,1993-12-03
3.044865846633911,1993-12-06
2.9706008434295654,1993-12-07
3.007733106613159,1993-12-08
2.9520349502563477,1993-12-09
2.822070837020874,1993-12-10
2.87777042388916,1993-12-13
2.87777042388916,1993-12-14
2.87777042388916,1993-12-15
2.7849385738372803,1993-12-16
2.989166736602783,1993-12-17
3.100565195083618,1993-12-20
3.156264066696167,1993-12-21
3.1376965045928955,1993-12-22
3.1376965045928955,1993-12-23
3.1748297214508057,1993-12-27
3.1748297214508057,1993-12-28
3.1933953762054443,1993-12-29
3.1933953762054443,1993-12-30
3.165546417236328,1993-12-31
3.100565195083618,1994-01-03
3.072716236114502,1994-01-04
2.989166736602783,1994-01-05
3.072716236114502,1994-01-06
3.063432216644287,1994-01-07
3.0912811756134033,1994-01-10
3.081998109817505,1994-01-11
3.119130849838257,1994-01-12
3.1933953762054443,1994-01-13
3.2769439220428467,1994-01-14
3.341925621032715,1994-01-17
3.444040536880493,1994-01-18
3.4161906242370605,1994-01-19
3.425474166870117,1994-01-20
3.4161906242370605,1994-01-21
3.4718899726867676,1994-01-24
3.4533231258392334,1994-01-25
3.397625207901001,1994-01-26
3.3697750568389893,1994-01-27
3.4533231258392334,1994-01-28
3.4626073837280273,1994-01-31
3.5275886058807373,1994-02-01
3.5275886058807373,1994-02-02
3.6111364364624023,1994-02-03
3.5183050632476807,1994-02-04
3.490457057952881,1994-02-07
3.564720869064331,1994-02-08
3.4347574710845947,1994-02-09
3.4718899726867676,1994-02-10
3.4533231258392334,1994-02-11
3.4718899726867676,1994-02-14
3.490457057952881,1994-02-15
3.490457057952881,1994-02-16
3.509021759033203,1994-02-17
3.4347574710845947,1994-02-18
3.4718899726867676,1994-02-22
3.4533231258392334,1994-02-23
3.3883421421051025,1994-02-24
3.341925621032715,1994-02-25
3.341925621032715,1994-02-28
3.341925621032715,1994-03-01
3.397625207901001,1994-03-02
3.397625207901001,1994-03-03
3.3697750568389893,1994-03-04
3.4069087505340576,1994-03-07
3.3883421421051025,1994-03-08
3.397625207901001,1994-03-09
3.3790578842163086,1994-03-10
3.341925621032715,1994-03-11
3.341925621032715,1994-03-14
3.360491991043091,1994-03-15
3.2862279415130615,1994-03-16
3.1933953762054443,1994-03-17
3.1933953762054443,1994-03-18
3.1376965045928955,1994-03-21
3.1748297214508057,1994-03-22
3.249094247817993,1994-03-23
3.1376965045928955,1994-03-24
2.9520349502563477,1994-03-25
2.822070837020874,1994-03-28
2.7478060722351074,1994-03-29
2.7756547927856445,1994-03-30
2.701390027999878,1994-03-31
2.599276542663574,1994-04-04
2.7106740474700928,1994-04-05
2.6085588932037354,1994-04-06
2.5528602600097656,1994-04-07
2.3671977519989014,1994-04-08
2.432180166244507,1994-04-11
2.4878790378570557,1994-04-12
2.385763168334961,1994-04-13
2.339348316192627,1994-04-14
2.32078218460083,1994-04-15
2.2929327487945557,1994-04-18
2.153686046600342,1994-04-19
2.0794200897216797,1994-04-20
2.172250986099243,1994-04-21
2.2279515266418457,1994-04-22
2.3764805793762207,1994-04-25
2.5342936515808105,1994-04-26
2.6364078521728516,1994-04-28
2.673541307449341,1994-04-29
2.6271250247955322,1994-05-02
2.5807087421417236,1994-05-03
2.525010585784912,1994-05-04
2.3022148609161377,1994-05-05
2.2650840282440186,1994-05-06
2.172250986099243,1994-05-09
2.172250986099243,1994-05-10
2.023721933364868,1994-05-11
2.2279515266418457,1994-05-12
2.283649206161499,1994-05-13
2.2465155124664307,1994-05-16
2.1908183097839355,1994-05-17
2.3486316204071045,1994-05-18
2.4878790378570557,1994-05-19
2.3950469493865967,1994-05-20
2.469311475753784,1994-05-23
2.4507455825805664,1994-05-24
2.4136126041412354,1994-05-25
2.385763168334961,1994-05-26
2.4878790378570557,1994-05-27
2.5807087421417236,1994-05-31
2.5807087421417236,1994-06-01
2.673541307449341,1994-06-02
2.673541307449341,1994-06-03
2.7106740474700928,1994-06-06
2.5899922847747803,1994-06-07
2.4878790378570557,1994-06-08
2.3950469493865967,1994-06-09
2.4878790378570557,1994-06-10
2.5064444541931152,1994-06-13
2.599276542663574,1994-06-14
2.6085588932037354,1994-06-15
2.478595495223999,1994-06-16
2.4878790378570557,1994-06-17
2.432180166244507,1994-06-20
2.360236406326294,1994-06-21
2.3764805793762207,1994-06-22
2.255800485610962,1994-06-23
2.330064058303833,1994-06-24
2.32078218460083,1994-06-27
2.4043304920196533,1994-06-28
2.5157277584075928,1994-06-29
2.469311475753784,1994-06-30
2.5064444541931152,1994-07-01
2.4878790378570557,1994-07-05
2.543577194213867,1994-07-06
2.5157277584075928,1994-07-07
2.5621440410614014,1994-07-08
2.599276542663574,1994-07-11
2.599276542663574,1994-07-12
2.803504467010498,1994-07-13
2.87777042388916,1994-07-14
2.822070837020874,1994-07-15
