URI,Date
14.79081916809082,1997-12-18
15.28384780883789,1997-12-19
14.79081916809082,1997-12-22
15.28384780883789,1997-12-23
16.023387908935547,1997-12-24
16.762929916381836,1997-12-26
17.564098358154297,1997-12-29
17.687355041503906,1997-12-30
19.043180465698242,1997-12-31
19.78272247314453,1998-01-02
18.550153732299805,1998-01-05
19.10481071472168,1998-01-06
18.61178207397461,1998-01-07
18.180383682250977,1998-01-08
17.99549674987793,1998-01-09
17.564098358154297,1998-01-12
19.597835540771484,1998-01-13
20.337377548217773,1998-01-14
20.83040428161621,1998-01-15
21.076919555664062,1998-01-16
21.631576538085938,1998-01-20
21.939714431762695,1998-01-21
21.754831314086914,1998-01-22
21.44668960571289,1998-01-23
21.5699462890625,1998-01-26
21.878087997436523,1998-01-27
22.679256439208984,1998-01-28
23.295541763305664,1998-01-29
23.542057037353516,1998-01-30
24.158342361450195,1998-02-02
23.97345542907715,1998-02-03
25.14439582824707,1998-02-04
24.589738845825195,1998-02-05
25.267650604248047,1998-02-06
25.637422561645508,1998-02-09
26.130449295043945,1998-02-10
26.746734619140625,1998-02-11
26.130449295043945,1998-02-12
25.69904899597168,1998-02-13
26.500219345092773,1998-02-17
25.45253562927246,1998-02-18
24.219968795776367,1998-02-19
24.28159523010254,1998-02-20
24.959508895874023,1998-02-23
24.836252212524414,1998-02-24
25.082765579223633,1998-02-25
24.77462387084961,1998-02-26
24.343223571777344,1998-02-27
24.589738845825195,1998-03-02
25.14439582824707,1998-03-03
26.007190704345703,1998-03-04
25.206022262573242,1998-03-05
25.206022262573242,1998-03-06
25.206022262573242,1998-03-09
24.77462387084961,1998-03-10
24.77462387084961,1998-03-11
25.021137237548828,1998-03-12
25.14439582824707,1998-03-13
24.712993621826172,1998-03-16
25.267650604248047,1998-03-17
23.91182518005371,1998-03-18
24.158342361450195,1998-03-19
23.172283172607422,1998-03-20
21.631576538085938,1998-03-23
24.03508186340332,1998-03-24
24.528108596801758,1998-03-25
23.91182518005371,1998-03-26
24.89788055419922,1998-03-27
24.219968795776367,1998-03-30
25.637422561645508,1998-03-31
