DIDIY,Date
14.140000343322754,2021-06-30
16.399999618530273,2021-07-01
15.529999732971191,2021-07-02
12.489999771118164,2021-07-06
11.90999984741211,2021-07-07
11.210000038146973,2021-07-08
12.029999732971191,2021-07-09
11.15999984741211,2021-07-12
12.420000076293945,2021-07-13
12.619999885559082,2021-07-14
12.359999656677246,2021-07-15
11.970000267028809,2021-07-16
11.0600004196167,2021-07-19
11.210000038146973,2021-07-20
11.5,2021-07-21
10.199999809265137,2021-07-22
8.0600004196167,2021-07-23
8.039999961853027,2021-07-26
8.039999961853027,2021-07-27
8.869999885559082,2021-07-28
9.859999656677246,2021-07-29
10.3100004196167,2021-07-30
10.380000114440918,2021-08-02
10.079999923706055,2021-08-03
9.720000267028809,2021-08-04
9.329999923706055,2021-08-05
9.3100004196167,2021-08-06
9.539999961853027,2021-08-09
9.170000076293945,2021-08-10
8.829999923706055,2021-08-11
8.8100004196167,2021-08-12
8.319999694824219,2021-08-13
8.109999656677246,2021-08-16
8.470000267028809,2021-08-17
7.920000076293945,2021-08-18
7.199999809265137,2021-08-19
7.46999979019165,2021-08-20
7.71999979019165,2021-08-23
8.699999809265137,2021-08-24
8.25,2021-08-25
8.420000076293945,2021-08-26
8.220000267028809,2021-08-27
8.180000305175781,2021-08-30
8.220000267028809,2021-08-31
9.199999809265137,2021-09-01
8.8100004196167,2021-09-02
9.020000457763672,2021-09-03
9.6899995803833,2021-09-07
8.979999542236328,2021-09-08
9.0,2021-09-09
8.550000190734863,2021-09-10
8.670000076293945,2021-09-13
8.449999809265137,2021-09-14
8.279999732971191,2021-09-15
8.170000076293945,2021-09-16
8.300000190734863,2021-09-17
7.75,2021-09-20
7.610000133514404,2021-09-21
7.960000038146973,2021-09-22
8.180000305175781,2021-09-23
7.960000038146973,2021-09-24
8.239999771118164,2021-09-27
7.980000019073486,2021-09-28
7.78000020980835,2021-09-29
7.789999961853027,2021-09-30
7.579999923706055,2021-10-01
7.269999980926514,2021-10-04
7.460000038146973,2021-10-05
