SBAC,Date
8.484079360961914,1999-06-16
8.304839134216309,1999-06-17
8.603574752807617,1999-06-18
8.842559814453125,1999-06-21
8.663322448730469,1999-06-22
8.962056159973145,1999-06-23
8.72307014465332,1999-06-24
8.782814979553223,1999-06-25
8.842559814453125,1999-06-28
8.962056159973145,1999-06-29
9.260791778564453,1999-06-30
9.499780654907227,1999-07-01
10.395983695983887,1999-07-02
10.216747283935547,1999-07-06
10.395983695983887,1999-07-07
11.710420608520508,1999-07-08
12.905360221862793,1999-07-09
14.160048484802246,1999-07-12
12.785865783691406,1999-07-13
12.785865783691406,1999-07-14
12.546878814697266,1999-07-15
13.383337020874023,1999-07-16
13.383337020874023,1999-07-19
12.367636680603027,1999-07-20
11.949408531188965,1999-07-21
11.471431732177734,1999-07-22
10.993456840515137,1999-07-23
9.918008804321289,1999-07-26
9.918008804321289,1999-07-27
10.75446605682373,1999-07-28
10.87396240234375,1999-07-29
10.63497543334961,1999-07-30
10.75446605682373,1999-08-02
11.590926170349121,1999-08-03
10.993456840515137,1999-08-04
11.11295223236084,1999-08-05
10.515480995178223,1999-08-06
9.559525489807129,1999-08-09
8.752942085266113,1999-08-10
9.440033912658691,1999-08-11
10.455731391906738,1999-08-12
10.515480995178223,1999-08-13
10.395983695983887,1999-08-16
10.993456840515137,1999-08-17
10.455731391906738,1999-08-18
10.63497543334961,1999-08-19
10.75446605682373,1999-08-20
10.455731391906738,1999-08-23
10.63497543334961,1999-08-24
10.515480995178223,1999-08-25
10.455731391906738,1999-08-26
10.455731391906738,1999-08-27
10.515480995178223,1999-08-30
10.933712005615234,1999-08-31
10.75446605682373,1999-09-01
10.575225830078125,1999-09-02
11.232441902160645,1999-09-03
10.814214706420898,1999-09-07
10.87396240234375,1999-09-08
11.949408531188965,1999-09-09
12.0091552734375,1999-09-10
11.889664649963379,1999-09-13
12.427384376525879,1999-09-14
12.785865783691406,1999-09-15
12.606626510620117,1999-09-16
13.144350051879883,1999-09-17
12.367636680603027,1999-09-20
12.068904876708984,1999-09-21
12.84561538696289,1999-09-22
12.248144149780273,1999-09-23
11.829914093017578,1999-09-24
12.12865161895752,1999-09-27
11.710420608520508,1999-09-28
10.75446605682373,1999-09-29
10.395983695983887,1999-09-30
10.455731391906738,1999-10-01
10.515480995178223,1999-10-04
9.85826301574707,1999-10-05
10.455731391906738,1999-10-06
10.156999588012695,1999-10-07
10.515480995178223,1999-10-08
10.2764892578125,1999-10-11
9.798514366149902,1999-10-12
9.559525489807129,1999-10-13
9.918008804321289,1999-10-14
9.559525489807129,1999-10-15
10.515480995178223,1999-10-18
9.97775650024414,1999-10-19
9.260791778564453,1999-10-20
9.679022789001465,1999-10-21
