PDD,Date
26.700000762939453,2018-07-26
24.600000381469727,2018-07-27
22.5,2018-07-30
22.59000015258789,2018-07-31
20.309999465942383,2018-08-01
19.65999984741211,2018-08-02
19.06999969482422,2018-08-03
20.15999984741211,2018-08-06
20.889999389648438,2018-08-07
20.270000457763672,2018-08-08
20.0,2018-08-09
19.510000228881836,2018-08-10
19.440000534057617,2018-08-13
19.0,2018-08-14
17.700000762939453,2018-08-15
19.040000915527344,2018-08-16
19.0,2018-08-17
18.950000762939453,2018-08-20
18.75,2018-08-21
18.399999618530273,2018-08-22
18.309999465942383,2018-08-23
17.219999313354492,2018-08-24
19.170000076293945,2018-08-27
19.540000915527344,2018-08-28
21.149999618530273,2018-08-29
17.989999771118164,2018-08-30
19.350000381469727,2018-08-31
20.75,2018-09-04
18.799999237060547,2018-09-05
19.110000610351562,2018-09-06
19.56999969482422,2018-09-07
19.739999771118164,2018-09-10
23.56999969482422,2018-09-11
23.040000915527344,2018-09-12
29.959999084472656,2018-09-13
26.34000015258789,2018-09-14
24.360000610351562,2018-09-17
22.639999389648438,2018-09-18
23.0,2018-09-19
24.649999618530273,2018-09-20
25.600000381469727,2018-09-21
26.489999771118164,2018-09-24
26.940000534057617,2018-09-25
26.059999465942383,2018-09-26
26.329999923706055,2018-09-27
26.290000915527344,2018-09-28
27.690000534057617,2018-10-01
25.65999984741211,2018-10-02
26.280000686645508,2018-10-03
22.700000762939453,2018-10-04
21.780000686645508,2018-10-05
21.190000534057617,2018-10-08
22.34000015258789,2018-10-09
20.329999923706055,2018-10-10
20.81999969482422,2018-10-11
21.6200008392334,2018-10-12
21.110000610351562,2018-10-15
20.809999465942383,2018-10-16
19.989999771118164,2018-10-17
18.799999237060547,2018-10-18
18.68000030517578,2018-10-19
19.950000762939453,2018-10-22
18.510000228881836,2018-10-23
17.31999969482422,2018-10-24
18.559999465942383,2018-10-25
18.200000762939453,2018-10-26
17.3700008392334,2018-10-29
17.200000762939453,2018-10-30
17.649999618530273,2018-10-31
20.34000015258789,2018-11-01
20.3700008392334,2018-11-02
20.049999237060547,2018-11-05
19.639999389648438,2018-11-06
20.719999313354492,2018-11-07
19.280000686645508,2018-11-08
18.309999465942383,2018-11-09
17.219999313354492,2018-11-12
17.149999618530273,2018-11-13
19.149999618530273,2018-11-14
20.3799991607666,2018-11-15
20.829999923706055,2018-11-16
19.84000015258789,2018-11-19
23.139999389648438,2018-11-20
23.65999984741211,2018-11-21
22.5,2018-11-23
21.219999313354492,2018-11-26
22.450000762939453,2018-11-27
22.899999618530273,2018-11-28
22.440000534057617,2018-11-29
22.959999084472656,2018-11-30
23.969999313354492,2018-12-03
23.31999969482422,2018-12-04
22.540000915527344,2018-12-06
20.610000610351562,2018-12-07
20.110000610351562,2018-12-10
20.809999465942383,2018-12-11
22.649999618530273,2018-12-12
22.579999923706055,2018-12-13
23.100000381469727,2018-12-14
22.18000030517578,2018-12-17
23.0,2018-12-18
22.31999969482422,2018-12-19
21.489999771118164,2018-12-20
21.1299991607666,2018-12-21
21.299999237060547,2018-12-24
21.510000228881836,2018-12-26
21.899999618530273,2018-12-27
22.059999465942383,2018-12-28
22.440000534057617,2018-12-31
22.209999084472656,2019-01-02
21.520000457763672,2019-01-03
22.690000534057617,2019-01-04
23.209999084472656,2019-01-07
24.0,2019-01-08
25.540000915527344,2019-01-09
26.3799991607666,2019-01-10
26.15999984741211,2019-01-11
24.3700008392334,2019-01-14
24.40999984741211,2019-01-15
25.139999389648438,2019-01-16
24.540000915527344,2019-01-17
24.989999771118164,2019-01-18
25.170000076293945,2019-01-22
26.670000076293945,2019-01-23
28.739999771118164,2019-01-24
29.5,2019-01-25
29.0,2019-01-28
30.190000534057617,2019-01-29
28.81999969482422,2019-01-30
29.209999084472656,2019-01-31
28.959999084472656,2019-02-01
29.93000030517578,2019-02-04
30.329999923706055,2019-02-05
28.0,2019-02-06
26.510000228881836,2019-02-07
25.950000762939453,2019-02-08
26.739999771118164,2019-02-11
26.950000762939453,2019-02-12
27.010000228881836,2019-02-13
27.030000686645508,2019-02-14
27.520000457763672,2019-02-15
29.09000015258789,2019-02-19
29.329999923706055,2019-02-20
28.5,2019-02-21
29.3799991607666,2019-02-22
29.010000228881836,2019-02-25
29.139999389648438,2019-02-26
28.559999465942383,2019-02-27
29.940000534057617,2019-02-28
29.989999771118164,2019-03-01
31.139999389648438,2019-03-04
30.780000686645508,2019-03-05
29.989999771118164,2019-03-06
29.09000015258789,2019-03-07
28.459999084472656,2019-03-08
29.93000030517578,2019-03-11
30.43000030517578,2019-03-12
25.1200008392334,2019-03-13
24.389999389648438,2019-03-14
24.520000457763672,2019-03-15
25.829999923706055,2019-03-18
25.260000228881836,2019-03-19
24.610000610351562,2019-03-20
24.829999923706055,2019-03-21
23.5,2019-03-22
23.34000015258789,2019-03-25
23.360000610351562,2019-03-26
23.610000610351562,2019-03-27
23.31999969482422,2019-03-28
24.799999237060547,2019-03-29
24.670000076293945,2019-04-01
24.459999084472656,2019-04-02
23.510000228881836,2019-04-03
22.600000381469727,2019-04-04
21.600000381469727,2019-04-05
21.829999923706055,2019-04-08
22.350000381469727,2019-04-09
21.950000762939453,2019-04-10
21.670000076293945,2019-04-11
21.690000534057617,2019-04-12
22.010000228881836,2019-04-15
22.5,2019-04-16
23.020000457763672,2019-04-17
23.549999237060547,2019-04-18
24.0,2019-04-22
24.43000030517578,2019-04-23
23.940000534057617,2019-04-24
23.06999969482422,2019-04-25
21.920000076293945,2019-04-26
22.280000686645508,2019-04-29
22.229999542236328,2019-04-30
23.299999237060547,2019-05-01
23.1299991607666,2019-05-02
23.959999084472656,2019-05-03
23.739999771118164,2019-05-06
22.81999969482422,2019-05-07
23.190000534057617,2019-05-08
23.1299991607666,2019-05-09
22.399999618530273,2019-05-10
20.75,2019-05-13
22.149999618530273,2019-05-14
22.030000686645508,2019-05-15
22.860000610351562,2019-05-16
22.700000762939453,2019-05-17
20.780000686645508,2019-05-20
