TGT,Date
0.19602017104625702,1973-02-21
0.18765339255332947,1973-02-22
0.18526308238506317,1973-02-23
0.18167714774608612,1973-02-26
0.1792868673801422,1973-02-27
0.18167714774608612,1973-02-28
0.18526308238506317,1973-03-01
0.1864582896232605,1973-03-02
0.18287277221679688,1973-03-05
0.18287277221679688,1973-03-06
0.18287277221679688,1973-03-07
0.17450568079948425,1973-03-08
0.18048195540905,1973-03-09
0.1792868673801422,1973-03-12
0.18167714774608612,1973-03-13
0.1792868673801422,1973-03-14
0.1792868673801422,1973-03-15
0.18048195540905,1973-03-16
0.1792868673801422,1973-03-19
0.17689642310142517,1973-03-20
0.17809157073497772,1973-03-21
0.17450568079948425,1973-03-22
0.17331042885780334,1973-03-23
0.16972500085830688,1973-03-26
0.16972500085830688,1973-03-27
0.16972500085830688,1973-03-28
0.1649438738822937,1973-03-29
0.1649438738822937,1973-03-30
0.1589675396680832,1973-04-02
0.1601627916097641,1973-04-03
0.1649438738822937,1973-04-04
0.17331042885780334,1973-04-05
0.18406789004802704,1973-04-06
0.18167714774608612,1973-04-09
0.18167714774608612,1973-04-10
0.18167714774608612,1973-04-11
0.18526308238506317,1973-04-12
0.18287277221679688,1973-04-13
0.18406789004802704,1973-04-16
0.17689642310142517,1973-04-17
0.17809157073497772,1973-04-18
0.18048195540905,1973-04-19
0.16852985322475433,1973-04-23
0.1625535637140274,1973-04-24
0.16135841608047485,1973-04-25
0.16613903641700745,1973-04-26
0.16613903641700745,1973-04-27
0.1709202080965042,1973-04-30
0.16613903641700745,1973-05-01
0.1625535637140274,1973-05-02
0.16733422875404358,1973-05-03
0.17211522161960602,1973-05-04
0.1709202080965042,1973-05-07
0.16852985322475433,1973-05-08
0.16972500085830688,1973-05-09
0.1625535637140274,1973-05-10
0.1601627916097641,1973-05-11
0.1565772145986557,1973-05-14
0.1589675396680832,1973-05-15
0.16613903641700745,1973-05-16
0.16374865174293518,1973-05-17
0.1625535637140274,1973-05-18
0.1625535637140274,1973-05-21
0.16135841608047485,1973-05-22
0.16135841608047485,1973-05-23
0.16733422875404358,1973-05-24
0.16972500085830688,1973-05-25
0.1649438738822937,1973-05-29
0.1649438738822937,1973-05-30
0.16374865174293518,1973-05-31
0.1625535637140274,1973-06-01
0.1601627916097641,1973-06-04
0.1601627916097641,1973-06-05
0.16135841608047485,1973-06-06
0.16135841608047485,1973-06-07
0.1649438738822937,1973-06-08
0.16733422875404358,1973-06-11
0.17211522161960602,1973-06-12
0.17211522161960602,1973-06-13
0.16972500085830688,1973-06-14
0.1625535637140274,1973-06-15
0.1625535637140274,1973-06-18
0.16135841608047485,1973-06-19
0.16135841608047485,1973-06-20
0.15777236223220825,1973-06-21
0.1589675396680832,1973-06-22
0.15777236223220825,1973-06-25
0.15777236223220825,1973-06-26
0.15777236223220825,1973-06-27
0.1565772145986557,1973-06-28
0.1565772145986557,1973-06-29
0.1565772145986557,1973-07-02
0.1565772145986557,1973-07-03
0.15777236223220825,1973-07-05
0.15777236223220825,1973-07-06
0.15777236223220825,1973-07-09
0.15538206696510315,1973-07-10
0.15299125015735626,1973-07-11
0.15299125015735626,1973-07-12
0.14940579235553741,1973-07-13
0.14940579235553741,1973-07-16
0.14581970870494843,1973-07-17
0.14821061491966248,1973-07-18
0.15299125015735626,1973-07-19
0.15179598331451416,1973-07-20
0.14701545238494873,1973-07-23
0.1350628286600113,1973-07-24
0.14103911817073822,1973-07-25
0.13625797629356384,1973-07-26
0.13984400033950806,1973-07-27
0.13745315372943878,1973-07-30
0.1350628286600113,1973-07-31
0.13386765122413635,1973-08-01
0.13386765122413635,1973-08-02
0.13147686421871185,1973-08-03
0.1350628286600113,1973-08-06
0.1350628286600113,1973-08-07
0.13147686421871185,1973-08-08
0.1290864646434784,1973-08-09
0.13028164207935333,1973-08-10
0.13386765122413635,1973-08-13
0.12550096213817596,1973-08-14
0.12789136171340942,1973-08-15
0.1290864646434784,1973-08-16
0.1266961246728897,1973-08-17
0.12311024218797684,1973-08-20
0.12311024218797684,1973-08-21
0.11952466517686844,1973-08-22
0.11115805804729462,1973-08-23
0.11235322058200836,1973-08-24
0.11474356800317764,1973-08-27
0.11474356800317764,1973-08-28
0.12071983516216278,1973-08-29
0.11832953244447708,1973-08-30
0.12191504240036011,1973-08-31
0.11474356800317764,1973-09-04
0.11832953244447708,1973-09-05
0.12191504240036011,1973-09-06
0.12550096213817596,1973-09-07
0.13147686421871185,1973-09-10
0.1290864646434784,1973-09-11
0.1290864646434784,1973-09-12
0.12789136171340942,1973-09-13
0.12550096213817596,1973-09-14
0.1290864646434784,1973-09-17
0.13028164207935333,1973-09-18
0.12789136171340942,1973-09-19
0.13386765122413635,1973-09-20
0.1290864646434784,1973-09-21
0.13028164207935333,1973-09-24
0.13028164207935333,1973-09-25
0.13147686421871185,1973-09-26
0.13864833116531372,1973-09-27
0.13864833116531372,1973-09-28
0.1350628286600113,1973-10-01
0.13984400033950806,1973-10-02
0.13864833116531372,1973-10-03
0.14701545238494873,1973-10-04
0.14701545238494873,1973-10-05
0.13984400033950806,1973-10-08
0.1350628286600113,1973-10-09
0.13625797629356384,1973-10-10
0.13984400033950806,1973-10-11
0.1266961246728897,1973-10-12
0.12430541962385178,1973-10-15
0.1266961246728897,1973-10-16
0.12311024218797684,1973-10-17
0.12191504240036011,1973-10-18
0.11593873798847198,1973-10-19
0.11832953244447708,1973-10-22
0.11952466517686844,1973-10-23
0.12071983516216278,1973-10-24
0.11354836821556091,1973-10-25
0.11593873798847198,1973-10-26
