DOCU,Date
202.9499969482422,2020-09-14
202.02000427246094,2020-09-15
197.00999450683594,2020-09-16
193.38999938964844,2020-09-17
194.86000061035156,2020-09-18
205.02000427246094,2020-09-21
212.1300048828125,2020-09-22
211.52000427246094,2020-09-23
203.85000610351562,2020-09-24
212.36000061035156,2020-09-25
213.24000549316406,2020-09-28
212.92999267578125,2020-09-29
215.24000549316406,2020-09-30
222.25999450683594,2020-10-01
218.27000427246094,2020-10-02
225.9199981689453,2020-10-05
221.1999969482422,2020-10-06
224.0500030517578,2020-10-07
220.38999938964844,2020-10-08
225.60000610351562,2020-10-09
231.86000061035156,2020-10-12
238.2100067138672,2020-10-13
237.10000610351562,2020-10-14
240.4499969482422,2020-10-15
234.60000610351562,2020-10-16
228.41000366210938,2020-10-19
227.8000030517578,2020-10-20
218.1199951171875,2020-10-21
214.8000030517578,2020-10-22
219.82000732421875,2020-10-23
220.1699981689453,2020-10-26
222.18499755859375,2020-10-27
218.25,2020-10-28
213.64999389648438,2020-10-29
202.25,2020-10-30
201.55999755859375,2020-11-02
208.42999267578125,2020-11-03
235.00999450683594,2020-11-04
236.77000427246094,2020-11-05
231.69000244140625,2020-11-06
197.60000610351562,2020-11-09
198.30999755859375,2020-11-10
208.5500030517578,2020-11-11
212.6199951171875,2020-11-12
205.6999969482422,2020-11-13
208.1300048828125,2020-11-16
211.91000366210938,2020-11-17
214.32000732421875,2020-11-18
219.6999969482422,2020-11-19
221.58999633789062,2020-11-20
217.1699981689453,2020-11-23
217.1999969482422,2020-11-24
224.14999389648438,2020-11-25
226.8699951171875,2020-11-27
227.8800048828125,2020-11-30
215.7100067138672,2020-12-01
217.6999969482422,2020-12-02
231.00999450683594,2020-12-03
243.22000122070312,2020-12-04
232.52000427246094,2020-12-07
234.82000732421875,2020-12-08
220.97000122070312,2020-12-09
222.58999633789062,2020-12-10
225.49000549316406,2020-12-11
228.3300018310547,2020-12-14
233.6999969482422,2020-12-15
237.0800018310547,2020-12-16
247.0,2020-12-17
241.0,2020-12-18
248.0,2020-12-21
251.60000610351562,2020-12-22
244.0500030517578,2020-12-23
244.92999267578125,2020-12-24
229.1999969482422,2020-12-28
228.16000366210938,2020-12-29
225.89999389648438,2020-12-30
222.3000030517578,2020-12-31
222.41000366210938,2021-01-04
228.5,2021-01-05
223.85000610351562,2021-01-06
239.02999877929688,2021-01-07
244.5399932861328,2021-01-08
240.9600067138672,2021-01-11
262.6499938964844,2021-01-12
255.85000610351562,2021-01-13
250.25,2021-01-14
249.27999877929688,2021-01-15
256.57000732421875,2021-01-19
255.30999755859375,2021-01-20
253.94000244140625,2021-01-21
255.14999389648438,2021-01-22
244.39999389648438,2021-01-25
235.11000061035156,2021-01-26
225.19000244140625,2021-01-27
234.13999938964844,2021-01-28
232.88999938964844,2021-01-29
230.13999938964844,2021-02-01
239.83999633789062,2021-02-02
236.8300018310547,2021-02-03
246.00999450683594,2021-02-04
250.3699951171875,2021-02-05
248.89999389648438,2021-02-08
255.82000732421875,2021-02-09
255.25,2021-02-10
256.2699890136719,2021-02-11
263.29998779296875,2021-02-12
264.69000244140625,2021-02-16
254.97999572753906,2021-02-17
260.989990234375,2021-02-18
265.1600036621094,2021-02-19
243.50999450683594,2021-02-22
243.60000610351562,2021-02-23
239.66000366210938,2021-02-24
225.72999572753906,2021-02-25
226.66000366210938,2021-02-26
238.55999755859375,2021-03-01
232.58999633789062,2021-03-02
219.63999938964844,2021-03-03
210.6199951171875,2021-03-04
204.30999755859375,2021-03-05
192.83999633789062,2021-03-08
213.22000122070312,2021-03-09
212.6699981689453,2021-03-10
225.22000122070312,2021-03-11
210.33999633789062,2021-03-12
220.0800018310547,2021-03-15
211.17999267578125,2021-03-16
213.33999633789062,2021-03-17
204.8000030517578,2021-03-18
205.6699981689453,2021-03-19
207.42999267578125,2021-03-22
207.9600067138672,2021-03-23
198.4600067138672,2021-03-24
200.2899932861328,2021-03-25
201.9600067138672,2021-03-26
197.39999389648438,2021-03-29
196.94000244140625,2021-03-30
202.4499969482422,2021-03-31
206.2899932861328,2021-04-01
205.64999389648438,2021-04-05
205.7100067138672,2021-04-06
205.7100067138672,2021-04-07
212.27999877929688,2021-04-08
212.97000122070312,2021-04-09
213.47999572753906,2021-04-12
223.63999938964844,2021-04-13
225.36000061035156,2021-04-14
233.1999969482422,2021-04-15
231.92999267578125,2021-04-16
223.3000030517578,2021-04-19
219.42999267578125,2021-04-20
219.36000061035156,2021-04-21
221.69000244140625,2021-04-22
224.83999633789062,2021-04-23
234.36000061035156,2021-04-26
230.02000427246094,2021-04-27
232.3000030517578,2021-04-28
224.58999633789062,2021-04-29
222.94000244140625,2021-04-30
215.10000610351562,2021-05-03
204.30999755859375,2021-05-04
196.47000122070312,2021-05-05
193.6199951171875,2021-05-06
195.27999877929688,2021-05-07
190.0,2021-05-10
195.97999572753906,2021-05-11
187.7899932861328,2021-05-12
180.16000366210938,2021-05-13
187.0800018310547,2021-05-14
186.50999450683594,2021-05-17
188.91000366210938,2021-05-18
189.49000549316406,2021-05-19
195.49000549316406,2021-05-20
193.75,2021-05-21
195.5500030517578,2021-05-24
195.67999267578125,2021-05-25
197.36000061035156,2021-05-26
199.39999389648438,2021-05-27
201.6199951171875,2021-05-28
200.3800048828125,2021-06-01
200.52999877929688,2021-06-02
194.75,2021-06-03
233.24000549316406,2021-06-04
240.97000122070312,2021-06-07
242.32000732421875,2021-06-08
237.75,2021-06-09
243.0800018310547,2021-06-10
253.00999450683594,2021-06-11
257.260009765625,2021-06-14
250.47999572753906,2021-06-15
253.07000732421875,2021-06-16
260.6099853515625,2021-06-17
274.42999267578125,2021-06-18
270.0199890136719,2021-06-21
277.2699890136719,2021-06-22
274.79998779296875,2021-06-23
276.7200012207031,2021-06-24
279.20001220703125,2021-06-25
284.1499938964844,2021-06-28
284.4800109863281,2021-06-29
279.57000732421875,2021-06-30
278.0899963378906,2021-07-01
278.82000732421875,2021-07-02
288.17999267578125,2021-07-06
288.94000244140625,2021-07-07
288.739990234375,2021-07-08
288.0199890136719,2021-07-09
288.1000061035156,2021-07-12
283.67999267578125,2021-07-13
275.42999267578125,2021-07-14
277.010009765625,2021-07-15
282.04998779296875,2021-07-16
289.4800109863281,2021-07-19
301.2699890136719,2021-07-20
302.80999755859375,2021-07-21
308.0,2021-07-22
308.5,2021-07-23
305.7699890136719,2021-07-26
302.0400085449219,2021-07-27
304.82000732421875,2021-07-28
301.17999267578125,2021-07-29
298.0400085449219,2021-07-30
295.1000061035156,2021-08-02
292.6600036621094,2021-08-03
301.9700012207031,2021-08-04
305.6099853515625,2021-08-05
302.6300048828125,2021-08-06
306.5,2021-08-09
301.44000244140625,2021-08-10
293.05999755859375,2021-08-11
295.5400085449219,2021-08-12
295.9700012207031,2021-08-13
286.75,2021-08-16
285.5799865722656,2021-08-17
284.80999755859375,2021-08-18
286.8399963378906,2021-08-19
286.0,2021-08-20
290.8900146484375,2021-08-23
293.989990234375,2021-08-24
298.8999938964844,2021-08-25
295.1499938964844,2021-08-26
300.760009765625,2021-08-27
303.6400146484375,2021-08-30
296.239990234375,2021-08-31
297.2200012207031,2021-09-01
294.57000732421875,2021-09-02
310.04998779296875,2021-09-03
291.5,2021-09-07
281.6400146484375,2021-09-08
281.30999755859375,2021-09-09
277.1499938964844,2021-09-10
271.2200012207031,2021-09-13
267.9800109863281,2021-09-14
273.6499938964844,2021-09-15
277.1000061035156,2021-09-16
277.739990234375,2021-09-17
271.2900085449219,2021-09-20
271.1600036621094,2021-09-21
274.0400085449219,2021-09-22
273.70001220703125,2021-09-23
272.3699951171875,2021-09-24
263.82000732421875,2021-09-27
259.0,2021-09-28
256.8900146484375,2021-09-29
257.42999267578125,2021-09-30
257.7699890136719,2021-10-01
