BWA,Date
1.8300018310546875,1993-08-13
1.8117012977600098,1993-08-16
1.7842514514923096,1993-08-17
1.8117012977600098,1993-08-18
1.848301649093628,1993-08-19
1.8666026592254639,1993-08-20
1.839152216911316,1993-08-23
1.8300018310546875,1993-08-24
1.848301649093628,1993-08-25
1.848301649093628,1993-08-26
1.8666026592254639,1993-08-27
1.8666026592254639,1993-08-30
1.8757517337799072,1993-08-31
1.8666026592254639,1993-09-01
1.8300018310546875,1993-09-02
1.7934011220932007,1993-09-03
1.8117012977600098,1993-09-07
1.7568025588989258,1993-09-08
1.7476521730422974,1993-09-09
1.683601975440979,1993-09-10
1.683601975440979,1993-09-13
1.5921016931533813,1993-09-14
1.683601975440979,1993-09-15
1.6744518280029297,1993-09-16
1.7293517589569092,1993-09-17
1.7019020318984985,1993-09-20
1.6561517715454102,1993-09-21
1.6378517150878906,1993-09-22
1.601251482963562,1993-09-23
1.6470004320144653,1993-09-24
1.6927509307861328,1993-09-27
1.6927509307861328,1993-09-28
1.8300018310546875,1993-09-29
1.930651307106018,1993-09-30
1.903201699256897,1993-10-01
1.8757517337799072,1993-10-04
1.7751015424728394,1993-10-05
1.7934011220932007,1993-10-06
1.8025528192520142,1993-10-07
1.8300018310546875,1993-10-08
1.9215013980865479,1993-10-11
1.9215013980865479,1993-10-12
1.903201699256897,1993-10-13
1.930651307106018,1993-10-14
1.930651307106018,1993-10-15
1.930651307106018,1993-10-18
1.930651307106018,1993-10-19
1.9398010969161987,1993-10-20
1.9398010969161987,1993-10-21
1.9398010969161987,1993-10-22
1.9398010969161987,1993-10-25
1.903201699256897,1993-10-26
1.8757517337799072,1993-10-27
1.903201699256897,1993-10-28
1.9489530324935913,1993-10-29
1.9398010969161987,1993-11-01
1.9398010969161987,1993-11-02
1.930651307106018,1993-11-03
1.903201699256897,1993-11-04
1.8666026592254639,1993-11-05
1.8849018812179565,1993-11-08
1.8757517337799072,1993-11-09
1.857452154159546,1993-11-10
1.848301649093628,1993-11-11
1.839152216911316,1993-11-12
1.839152216911316,1993-11-15
1.848301649093628,1993-11-16
1.7476521730422974,1993-11-17
1.7385023832321167,1993-11-18
1.7110525369644165,1993-11-19
1.7110525369644165,1993-11-22
1.7202013731002808,1993-11-23
1.7568025588989258,1993-11-24
1.8208521604537964,1993-11-26
1.8117012977600098,1993-11-29
1.8025528192520142,1993-11-30
1.7842514514923096,1993-12-01
1.7659519910812378,1993-12-02
1.7568025588989258,1993-12-03
1.7751015424728394,1993-12-06
1.7110525369644165,1993-12-07
1.6927509307861328,1993-12-08
1.683601975440979,1993-12-09
1.6927509307861328,1993-12-10
1.7202013731002808,1993-12-13
1.7568025588989258,1993-12-14
1.8208521604537964,1993-12-15
1.8117012977600098,1993-12-16
1.8208521604537964,1993-12-17
1.8117012977600098,1993-12-20
1.8300018310546875,1993-12-21
1.8666026592254639,1993-12-22
1.8666026592254639,1993-12-23
1.9398010969161987,1993-12-27
1.958101749420166,1993-12-28
2.003852128982544,1993-12-29
1.9672516584396362,1993-12-30
2.049603223800659,1993-12-31
1.9764025211334229,1994-01-03
1.9764025211334229,1994-01-04
2.0130021572113037,1994-01-05
2.0130021572113037,1994-01-06
1.9764025211334229,1994-01-07
1.9672516584396362,1994-01-10
1.958101749420166,1994-01-11
1.9764025211334229,1994-01-12
1.9672516584396362,1994-01-13
1.9947030544281006,1994-01-14
2.0130021572113037,1994-01-17
2.086203098297119,1994-01-18
2.104501962661743,1994-01-19
2.1502525806427,1994-01-20
2.196002244949341,1994-01-21
2.214301824569702,1994-01-24
2.196002244949341,1994-01-25
2.2248334884643555,1994-01-26
2.2708003520965576,1994-01-27
2.2616074085235596,1994-01-28
2.4087026119232178,1994-01-31
2.335155725479126,1994-02-01
2.3259618282318115,1994-02-02
2.335155725479126,1994-02-03
2.362736225128174,1994-02-04
2.3719301223754883,1994-02-07
2.4087026119232178,1994-02-08
2.4638655185699463,1994-02-09
2.4178972244262695,1994-02-10
2.353543281555176,1994-02-11
2.2983813285827637,1994-02-14
2.2340281009674072,1994-02-15
2.252413272857666,1994-02-16
2.2983813285827637,1994-02-17
2.316767930984497,1994-02-18
2.353543281555176,1994-02-22
2.289189338684082,1994-02-23
2.2708003520965576,1994-02-24
2.2248334884643555,1994-02-25
2.2616074085235596,1994-02-28
2.243220806121826,1994-03-01
2.21563982963562,1994-03-02
2.206446647644043,1994-03-03
2.206446647644043,1994-03-04
2.2616074085235596,1994-03-07
2.353543281555176,1994-03-08
2.3903167247772217,1994-03-09
2.3903167247772217,1994-03-10
2.3903167247772217,1994-03-11
2.399510383605957,1994-03-14
2.427091121673584,1994-03-15
2.4638655185699463,1994-03-16
2.4822516441345215,1994-03-17
2.4730584621429443,1994-03-18
2.4454782009124756,1994-03-21
2.4178972244262695,1994-03-22
2.427091121673584,1994-03-23
2.3903167247772217,1994-03-24
2.3903167247772217,1994-03-25
2.353543281555176,1994-03-28
2.316767930984497,1994-03-29
2.21563982963562,1994-03-30
2.1972527503967285,1994-03-31
2.1604793071746826,1994-04-04
2.2340281009674072,1994-04-05
2.243220806121826,1994-04-06
2.316767930984497,1994-04-07
2.2799949645996094,1994-04-08
2.252413272857666,1994-04-11
2.1880593299865723,1994-04-12
2.1328985691070557,1994-04-13
2.1145100593566895,1994-04-14
2.050156593322754,1994-04-15
2.022575616836548,1994-04-18
1.8754801750183105,1994-04-19
1.8203179836273193,1994-04-20
1.8938665390014648,1994-04-21
1.9030592441558838,1994-04-22
1.91225266456604,1994-04-25
1.943377137184143,1994-04-26
1.9989022016525269,1994-04-28
1.943377137184143,1994-04-29
1.8878521919250488,1994-05-02
1.9063606262207031,1994-05-03
1.943377137184143,1994-05-04
1.9618844985961914,1994-05-05
1.924868106842041,1994-05-06
1.952629804611206,1994-05-09
1.9711395502090454,1994-05-10
1.952629804611206,1994-05-11
1.952629804611206,1994-05-12
1.9063606262207031,1994-05-13
1.9156147241592407,1994-05-16
1.9063606262207031,1994-05-17
1.9156147241592407,1994-05-18
1.8878521919250488,1994-05-19
1.8508350849151611,1994-05-20
1.8045637607574463,1994-05-23
1.786055326461792,1994-05-24
1.776801347732544,1994-05-25
1.8508350849151611,1994-05-26
1.8415807485580444,1994-05-27
1.8045637607574463,1994-05-31
1.7582939863204956,1994-06-01
1.7397856712341309,1994-06-02
1.749039649963379,1994-06-03
1.749039649963379,1994-06-06
1.7582939863204956,1994-06-07
1.7582939863204956,1994-06-08
