WEC,Date
0.4927158057689667,1980-03-17
0.49891334772109985,1980-03-18
0.5082100033760071,1980-03-19
0.5206053256988525,1980-03-20
0.5268030166625977,1980-03-21
0.5082100033760071,1980-03-24
0.502011775970459,1980-03-25
0.5082100033760071,1980-03-26
0.5051110982894897,1980-03-27
0.502011775970459,1980-03-28
0.5051110982894897,1980-03-31
0.5206053256988525,1980-04-01
0.5422973036766052,1980-04-02
0.5670881271362305,1980-04-03
0.5639886856079102,1980-04-07
0.5670881271362305,1980-04-08
0.5825818777084351,1980-04-09
0.598076343536377,1980-04-10
0.5949773788452148,1980-04-11
0.5949773788452148,1980-04-14
0.5763844847679138,1980-04-15
0.6073728799819946,1980-04-16
0.6073728799819946,1980-04-17
0.6042742133140564,1980-04-18
0.5949773788452148,1980-04-21
0.598076343536377,1980-04-22
0.6011747717857361,1980-04-23
0.5949773788452148,1980-04-24
0.598076343536377,1980-04-25
0.6011747717857361,1980-04-28
0.6042742133140564,1980-04-29
0.6073728799819946,1980-04-30
0.6073728799819946,1980-05-01
0.5887799263000488,1980-05-02
0.5918787717819214,1980-05-05
0.6042742133140564,1980-05-06
0.6166691780090332,1980-05-07
0.6042742133140564,1980-05-08
0.6042742133140564,1980-05-09
0.6011747717857361,1980-05-12
0.5918787717819214,1980-05-13
0.5949773788452148,1980-05-14
0.5949773788452148,1980-05-15
0.5918787717819214,1980-05-16
0.5918787717819214,1980-05-19
0.6011747717857361,1980-05-20
0.598076343536377,1980-05-21
0.6011747717857361,1980-05-22
0.6073728799819946,1980-05-23
0.6042742133140564,1980-05-27
0.6073728799819946,1980-05-28
0.6135702133178711,1980-05-29
0.6197679042816162,1980-05-30
0.6166691780090332,1980-06-02
0.6135702133178711,1980-06-03
0.6166691780090332,1980-06-04
0.6228670477867126,1980-06-05
0.62596595287323,1980-06-06
0.62596595287323,1980-06-09
0.6197679042816162,1980-06-10
0.6290645003318787,1980-06-11
0.6321634650230408,1980-06-12
0.6383609175682068,1980-06-13
0.6383609175682068,1980-06-16
0.6445586085319519,1980-06-17
0.6507567763328552,1980-06-18
0.6476578116416931,1980-06-19
0.6476578116416931,1980-06-20
0.6476578116416931,1980-06-23
0.6445586085319519,1980-06-24
0.6445586085319519,1980-06-25
0.6445586085319519,1980-06-26
0.6445586085319519,1980-06-27
0.6321634650230408,1980-06-30
0.6321634650230408,1980-07-01
0.6228670477867126,1980-07-02
0.6228670477867126,1980-07-03
0.6197679042816162,1980-07-07
0.62596595287323,1980-07-08
0.62596595287323,1980-07-09
0.62596595287323,1980-07-10
0.6197679042816162,1980-07-11
0.62596595287323,1980-07-14
0.6197679042816162,1980-07-15
0.62596595287323,1980-07-16
0.6228670477867126,1980-07-17
0.62596595287323,1980-07-18
0.6321634650230408,1980-07-21
0.6228670477867126,1980-07-22
0.6228670477867126,1980-07-23
0.6228670477867126,1980-07-24
0.6290645003318787,1980-07-25
0.62596595287323,1980-07-28
0.62596595287323,1980-07-29
0.6197679042816162,1980-07-30
0.6042742133140564,1980-07-31
0.6011747717857361,1980-08-01
0.5887799263000488,1980-08-04
0.5825818777084351,1980-08-05
0.5794828534126282,1980-08-06
0.5763844847679138,1980-08-07
0.5732855200767517,1980-08-08
0.5732855200767517,1980-08-11
0.5763844847679138,1980-08-12
0.5794828534126282,1980-08-13
0.5825818777084351,1980-08-14
0.5825818777084351,1980-08-15
0.5763844847679138,1980-08-18
0.5763844847679138,1980-08-19
0.5794828534126282,1980-08-20
0.5825818777084351,1980-08-21
0.6011747717857361,1980-08-22
0.6042742133140564,1980-08-25
0.6135702133178711,1980-08-26
0.6042742133140564,1980-08-27
0.6011747717857361,1980-08-28
0.598076343536377,1980-08-29
0.598076343536377,1980-09-02
0.5918787717819214,1980-09-03
