IFF,Date
1.8913549184799194,1974-12-17
1.9674433469772339,1974-12-18
2.0652716159820557,1974-12-19
2.0109219551086426,1974-12-20
2.0870115756988525,1974-12-23
2.1304917335510254,1974-12-24
2.1304917335510254,1974-12-26
2.0326616764068604,1974-12-27
2.108750343322754,1974-12-30
2.152228355407715,1974-12-31
2.239189624786377,1975-01-02
2.1848394870758057,1975-01-03
2.1739704608917236,1975-01-06
2.152228355407715,1975-01-07
2.108750343322754,1975-01-08
2.1304917335510254,1975-01-09
2.1848394870758057,1975-01-10
2.152228355407715,1975-01-13
2.228318929672241,1975-01-14
2.2826693058013916,1975-01-15
2.2609283924102783,1975-01-16
2.1739704608917236,1975-01-17
2.2065787315368652,1975-01-20
2.239189624786377,1975-01-21
2.1848394870758057,1975-01-22
2.250059127807617,1975-01-23
2.239189624786377,1975-01-24
2.36962628364563,1975-01-27
2.3913674354553223,1975-01-28
2.36962628364563,1975-01-29
2.2826693058013916,1975-01-30
2.36962628364563,1975-01-31
2.500065326690674,1975-02-03
2.402236223220825,1975-02-04
2.4783248901367188,1975-02-05
2.489196538925171,1975-02-06
2.413107395172119,1975-02-07
2.4457173347473145,1975-02-10
2.3913674354553223,1975-02-11
2.423976182937622,1975-02-12
2.423976182937622,1975-02-13
2.423976182937622,1975-02-14
2.3587570190429688,1975-02-18
2.3804967403411865,1975-02-19
2.423976182937622,1975-02-20
2.3587570190429688,1975-02-21
2.36962628364563,1975-02-24
2.3261470794677734,1975-02-25
2.3587570190429688,1975-02-26
2.36962628364563,1975-02-27
2.4348464012145996,1975-02-28
2.5218050479888916,1975-03-03
2.6087632179260254,1975-03-04
2.6739814281463623,1975-03-05
2.750072479248047,1975-03-06
2.7718119621276855,1975-03-07
2.782681703567505,1975-03-10
2.7392020225524902,1975-03-11
2.6522445678710938,1975-03-12
2.68485426902771,1975-03-13
2.5978941917419434,1975-03-14
2.7718119621276855,1975-03-17
2.7783491611480713,1975-03-18
2.680288553237915,1975-03-19
2.680288553237915,1975-03-20
2.702080011367798,1975-03-21
2.5931248664855957,1975-03-24
2.6258113384246826,1975-03-25
2.6367075443267822,1975-03-26
2.6258113384246826,1975-03-27
2.614915370941162,1975-03-31
2.538649320602417,1975-04-01
2.4950668811798096,1975-04-02
2.5277531147003174,1975-04-03
2.4732751846313477,1975-04-04
2.4950668811798096,1975-04-07
2.4841701984405518,1975-04-08
2.658499240875244,1975-04-09
2.7892441749572754,1975-04-10
2.876408576965332,1975-04-11
2.8546159267425537,1975-04-14
2.745661735534668,1975-04-15
2.8437225818634033,1975-04-16
2.9308860301971436,1975-04-17
2.876408576965332,1975-04-18
2.952677011489868,1975-04-21
2.941781520843506,1975-04-22
2.876408576965332,1975-04-23
2.974468946456909,1975-04-24
2.963573455810547,1975-04-25
2.941781520843506,1975-04-28
2.8981990814208984,1975-04-29
2.941781520843506,1975-04-30
2.9090957641601562,1975-05-01
2.9199893474578857,1975-05-02
2.9199893474578857,1975-05-05
2.8328261375427246,1975-05-06
2.7129762172698975,1975-05-07
2.7238705158233643,1975-05-08
2.876408576965332,1975-05-09
2.8110339641571045,1975-05-12
2.8437225818634033,1975-05-13
2.952677011489868,1975-05-14
2.745661735534668,1975-05-15
2.702080011367798,1975-05-16
2.7238705158233643,1975-05-19
2.6693925857543945,1975-05-20
2.614915370941162,1975-05-21
2.6693925857543945,1975-05-22
2.6476030349731445,1975-05-23
2.702080011367798,1975-05-27
2.6693925857543945,1975-05-28
2.7238705158233643,1975-05-29
2.8110339641571045,1975-05-30
2.876408576965332,1975-06-02
2.9199893474578857,1975-06-03
2.8981990814208984,1975-06-04
2.8981990814208984,1975-06-05
2.8655107021331787,1975-06-06
2.7674529552459717,1975-06-09
2.702080011367798,1975-06-10
2.745661735534668,1975-06-11
2.680288553237915,1975-06-12
2.702080011367798,1975-06-13
2.8110339641571045,1975-06-16
2.708378791809082,1975-06-17
2.7193002700805664,1975-06-18
2.784825086593628,1975-06-19
2.741140127182007,1975-06-20
2.7193002700805664,1975-06-23
2.76298451423645,1975-06-24
2.7520625591278076,1975-06-25
2.76298451423645,1975-06-26
2.7520625591278076,1975-06-27
2.741140127182007,1975-06-30
2.7193002700805664,1975-07-01
2.6428534984588623,1975-07-02
2.6865363121032715,1975-07-03
2.588249921798706,1975-07-07
2.631932497024536,1975-07-08
2.741140127182007,1975-07-09
2.784825086593628,1975-07-10
2.708378791809082,1975-07-11
2.7302191257476807,1975-07-14
2.741140127182007,1975-07-15
2.555487871170044,1975-07-16
2.4462783336639404,1975-07-17
2.3589117527008057,1975-07-18
2.2715437412261963,1975-07-21
2.3043084144592285,1975-07-22
2.3043084144592285,1975-07-23
2.3152287006378174,1975-07-24
2.380751848220825,1975-07-25
2.3589117527008057,1975-07-28
2.3698315620422363,1975-07-29
2.3589117527008057,1975-07-30
2.347989320755005,1975-07-31
2.293386697769165,1975-08-01
2.3152287006378174,1975-08-04
2.3152287006378174,1975-08-05
2.32614803314209,1975-08-06
2.3152287006378174,1975-08-07
2.3698315620422363,1975-08-08
2.424436569213867,1975-08-11
2.4681200981140137,1975-08-12
2.3589117527008057,1975-08-13
