FLEX,Date
3.34375,1996-01-26
3.390625,1996-01-29
3.4375,1996-01-30
3.46875,1996-01-31
3.4375,1996-02-01
3.546875,1996-02-02
3.625,1996-02-05
3.65625,1996-02-06
3.625,1996-02-07
3.71875,1996-02-08
3.78125,1996-02-09
3.875,1996-02-12
3.8125,1996-02-13
3.90625,1996-02-14
4.0625,1996-02-15
4.125,1996-02-16
4.09375,1996-02-20
4.0625,1996-02-21
4.109375,1996-02-22
4.28125,1996-02-23
4.21875,1996-02-26
4.3125,1996-02-27
4.25,1996-02-28
4.1875,1996-02-29
4.1875,1996-03-01
4.109375,1996-03-04
4.1875,1996-03-05
4.25,1996-03-06
4.1875,1996-03-07
4.21875,1996-03-08
4.21875,1996-03-11
4.1875,1996-03-12
4.203125,1996-03-13
4.1875,1996-03-14
4.28125,1996-03-15
4.25,1996-03-18
4.40625,1996-03-19
4.375,1996-03-20
4.3125,1996-03-21
4.46875,1996-03-22
4.328125,1996-03-25
4.28125,1996-03-26
4.03125,1996-03-27
3.6875,1996-03-28
3.8125,1996-03-29
4.0625,1996-04-01
4.125,1996-04-02
4.09375,1996-04-03
4.09375,1996-04-04
4.046875,1996-04-08
4.28125,1996-04-09
4.25,1996-04-10
4.296875,1996-04-11
4.3125,1996-04-12
4.328125,1996-04-15
4.328125,1996-04-16
4.28125,1996-04-17
4.1875,1996-04-18
4.15625,1996-04-19
4.21875,1996-04-22
4.203125,1996-04-23
4.234375,1996-04-24
4.59375,1996-04-25
4.8125,1996-04-26
4.8125,1996-04-29
4.84375,1996-04-30
4.875,1996-05-01
4.84375,1996-05-02
4.8125,1996-05-03
4.6875,1996-05-06
4.53125,1996-05-07
4.53125,1996-05-08
4.40625,1996-05-09
4.5625,1996-05-10
4.5625,1996-05-13
4.578125,1996-05-14
4.53125,1996-05-15
4.546875,1996-05-16
4.34375,1996-05-17
4.3125,1996-05-20
4.3125,1996-05-21
4.125,1996-05-22
3.875,1996-05-23
3.8125,1996-05-24
3.96875,1996-05-28
3.96875,1996-05-29
3.875,1996-05-30
3.90625,1996-05-31
3.90625,1996-06-03
3.875,1996-06-04
3.859375,1996-06-05
3.84375,1996-06-06
3.78125,1996-06-07
3.59375,1996-06-10
3.4375,1996-06-11
3.265625,1996-06-12
3.4375,1996-06-13
3.4375,1996-06-14
3.40625,1996-06-17
3.25,1996-06-18
3.21875,1996-06-19
3.25,1996-06-20
3.21875,1996-06-21
3.25,1996-06-24
3.125,1996-06-25
3.1875,1996-06-26
3.25,1996-06-27
3.28125,1996-06-28
3.4375,1996-07-01
3.40625,1996-07-02
3.53125,1996-07-03
3.4375,1996-07-05
3.3125,1996-07-08
3.320312976837158,1996-07-09
3.03125,1996-07-10
2.625,1996-07-11
2.46875,1996-07-12
2.4375,1996-07-15
2.390625,1996-07-16
2.453125,1996-07-17
2.171875,1996-07-18
2.234375,1996-07-19
2.21875,1996-07-22
2.21875,1996-07-23
2.125,1996-07-24
2.21875,1996-07-25
2.21875,1996-07-26
2.375,1996-07-29
2.40625,1996-07-30
2.4375,1996-07-31
2.53125,1996-08-01
2.609375,1996-08-02
2.6875,1996-08-05
2.6875,1996-08-06
2.6875,1996-08-07
2.5625,1996-08-08
2.5625,1996-08-09
2.53125,1996-08-12
2.453125,1996-08-13
2.25,1996-08-14
2.15625,1996-08-15
2.25,1996-08-16
2.265625,1996-08-19
2.46875,1996-08-20
2.375,1996-08-21
2.40625,1996-08-22
2.4375,1996-08-23
2.4375,1996-08-26
2.46875,1996-08-27
2.679687976837158,1996-08-28
2.46875,1996-08-29
2.375,1996-08-30
2.4375,1996-09-03
2.375,1996-09-04
2.359375,1996-09-05
2.46875,1996-09-06
2.40625,1996-09-09
2.375,1996-09-10
2.359375,1996-09-11
2.34375,1996-09-12
2.234375,1996-09-13
2.273437976837158,1996-09-16
2.375,1996-09-17
2.5,1996-09-18
2.484375,1996-09-19
2.5625,1996-09-20
2.59375,1996-09-23
2.625,1996-09-24
2.953125,1996-09-25
2.9375,1996-09-26
3.40625,1996-09-27
3.453125,1996-09-30
3.3125,1996-10-01
3.34375,1996-10-02
3.226562976837158,1996-10-03
3.40625,1996-10-04
3.4375,1996-10-07
3.375,1996-10-08
3.46875,1996-10-09
3.4375,1996-10-10
3.46875,1996-10-11
3.4375,1996-10-14
3.484375,1996-10-15
3.28125,1996-10-16
3.25,1996-10-17
3.046875,1996-10-18
3.0,1996-10-21
3.0,1996-10-22
3.0625,1996-10-23
3.03125,1996-10-24
3.0,1996-10-25
2.96875,1996-10-28
3.0,1996-10-29
2.96875,1996-10-30
2.90625,1996-10-31
2.875,1996-11-01
2.71875,1996-11-04
2.625,1996-11-05
2.65625,1996-11-06
2.71875,1996-11-07
2.890625,1996-11-08
3.046875,1996-11-11
3.234375,1996-11-12
3.34375,1996-11-13
3.390625,1996-11-14
3.59375,1996-11-15
3.46875,1996-11-18
4.125,1996-11-19
4.140625,1996-11-20
4.125,1996-11-21
4.15625,1996-11-22
4.125,1996-11-25
4.125,1996-11-26
4.375,1996-11-27
4.375,1996-11-29
4.40625,1996-12-02
4.65625,1996-12-03
3.53125,1996-12-04
3.34375,1996-12-05
3.484375,1996-12-06
3.65625,1996-12-09
3.75,1996-12-10
3.515625,1996-12-11
3.453125,1996-12-12
3.59375,1996-12-13
3.53125,1996-12-16
3.375,1996-12-17
3.359375,1996-12-18
3.3125,1996-12-19
3.125,1996-12-20
3.0625,1996-12-23
3.078125,1996-12-24
3.1875,1996-12-26
3.328125,1996-12-27
3.4375,1996-12-30
3.46875,1996-12-31
3.28125,1997-01-02
3.34375,1997-01-03
3.515625,1997-01-06
3.59375,1997-01-07
3.484375,1997-01-08
3.546875,1997-01-09
3.484375,1997-01-10
3.59375,1997-01-13
3.53125,1997-01-14
3.53125,1997-01-15
3.5625,1997-01-16
3.578125,1997-01-17
3.640625,1997-01-20
3.59375,1997-01-21
3.609375,1997-01-22
3.640625,1997-01-23
3.421875,1997-01-24
3.453125,1997-01-27
3.507812976837158,1997-01-28
3.46875,1997-01-29
3.34375,1997-01-30
3.1875,1997-01-31
3.039062976837158,1997-02-03
2.953125,1997-02-04
3.21875,1997-02-05
3.28125,1997-02-06
3.296875,1997-02-07
3.3125,1997-02-10
3.28125,1997-02-11
3.28125,1997-02-12
3.328125,1997-02-13
3.25,1997-02-14
3.085937976837158,1997-02-18
3.0625,1997-02-19
2.9375,1997-02-20
2.96875,1997-02-21
2.96875,1997-02-24
3.015625,1997-02-25
2.90625,1997-02-26
2.65625,1997-02-27
2.828125,1997-02-28
2.75,1997-03-03
2.921875,1997-03-04
2.8125,1997-03-05
2.796875,1997-03-06
2.726562976837158,1997-03-07
2.765625,1997-03-10
2.875,1997-03-11
3.0,1997-03-12
2.84375,1997-03-13
2.96875,1997-03-14
2.890625,1997-03-17
2.78125,1997-03-18
2.828125,1997-03-19
3.0,1997-03-20
2.96875,1997-03-21
2.875,1997-03-24
2.796875,1997-03-25
2.65625,1997-03-26
2.53125,1997-03-27
2.484375,1997-03-31
2.4375,1997-04-01
2.1875,1997-04-02
2.28125,1997-04-03
2.28125,1997-04-04
2.304687976837158,1997-04-07
2.328125,1997-04-08
2.453125,1997-04-09
2.4375,1997-04-10
2.4375,1997-04-11
2.515625,1997-04-14
2.5625,1997-04-15
2.65625,1997-04-16
2.640625,1997-04-17
2.578125,1997-04-18
2.4375,1997-04-21
2.375,1997-04-22
2.4375,1997-04-23
2.484375,1997-04-24
2.328125,1997-04-25
2.34375,1997-04-28
2.28125,1997-04-29
2.40625,1997-04-30
2.5625,1997-05-01
2.648437976837158,1997-05-02
2.6875,1997-05-05
2.734375,1997-05-06
2.625,1997-05-07
2.757812976837158,1997-05-08
2.890625,1997-05-09
2.75,1997-05-12
2.65625,1997-05-13
2.5625,1997-05-14
2.726562976837158,1997-05-15
2.875,1997-05-16
2.84375,1997-05-19
2.828125,1997-05-20
2.65625,1997-05-21
2.6875,1997-05-22
2.710937976837158,1997-05-23
2.796875,1997-05-27
2.9375,1997-05-28
2.90625,1997-05-29
2.953125,1997-05-30
2.921875,1997-06-02
2.609375,1997-06-03
2.75,1997-06-04
2.90625,1997-06-05
2.953125,1997-06-06
2.890625,1997-06-09
2.898437976837158,1997-06-10
2.890625,1997-06-11
2.96875,1997-06-12
2.9375,1997-06-13
2.890625,1997-06-16
2.875,1997-06-17
2.859375,1997-06-18
2.867187976837158,1997-06-19
2.867187976837158,1997-06-20
2.75,1997-06-23
3.09375,1997-06-24
3.1875,1997-06-25
3.195312976837158,1997-06-26
3.15625,1997-06-27
3.375,1997-06-30
3.375,1997-07-01
3.296875,1997-07-02
3.359375,1997-07-03
3.59375,1997-07-07
3.625,1997-07-08
3.644531011581421,1997-07-09
3.75,1997-07-10
3.84375,1997-07-11
4.203125,1997-07-14
4.125,1997-07-15
4.0625,1997-07-16
4.0,1997-07-17
3.96875,1997-07-18
