FE,Date
7.746854305267334,1997-11-10
7.785299777984619,1997-11-11
7.881411552429199,1997-11-12
7.958305358886719,1997-11-13
7.99675178527832,1997-11-14
8.035196304321289,1997-11-17
8.015974998474121,1997-11-18
8.073638916015625,1997-11-19
8.150537490844727,1997-11-20
8.265871047973633,1997-11-21
8.265871047973633,1997-11-24
8.342761039733887,1997-11-25
8.265871047973633,1997-11-26
8.30431842803955,1997-11-28
8.41965389251709,1997-12-01
8.342761039733887,1997-12-02
8.342761039733887,1997-12-03
8.41965389251709,1997-12-04
8.400434494018555,1997-12-05
8.400434494018555,1997-12-08
8.361987113952637,1997-12-09
8.400434494018555,1997-12-10
8.342761039733887,1997-12-11
8.361987113952637,1997-12-12
8.458100318908691,1997-12-15
8.43887710571289,1997-12-16
8.43887710571289,1997-12-17
8.554216384887695,1997-12-18
8.70799732208252,1997-12-19
8.804122924804688,1997-12-22
8.765670776367188,1997-12-23
8.804122924804688,1997-12-24
8.688776969909668,1997-12-26
8.784889221191406,1997-12-29
8.861783027648926,1997-12-30
8.919455528259277,1997-12-31
8.88100814819336,1998-01-02
8.72722339630127,1998-01-05
8.784889221191406,1998-01-06
8.746445655822754,1998-01-07
8.72722339630127,1998-01-08
8.70799732208252,1998-01-09
8.842564582824707,1998-01-12
8.746445655822754,1998-01-13
8.746445655822754,1998-01-14
8.688776969909668,1998-01-15
8.72722339630127,1998-01-16
8.765670776367188,1998-01-20
8.765670776367188,1998-01-21
8.765670776367188,1998-01-22
8.70799732208252,1998-01-23
8.804122924804688,1998-01-26
8.804122924804688,1998-01-27
8.900232315063477,1998-01-28
9.054015159606934,1998-01-29
8.919455528259277,1998-01-30
8.919455528259277,1998-02-02
9.054015159606934,1998-02-03
9.054015159606934,1998-02-04
9.112427711486816,1998-02-05
9.209783554077148,1998-02-06
9.15137004852295,1998-02-09
9.112427711486816,1998-02-10
9.112427711486816,1998-02-11
9.15137004852295,1998-02-12
9.22925090789795,1998-02-13
9.112427711486816,1998-02-17
9.092957496643066,1998-02-18
9.112427711486816,1998-02-19
9.054015159606934,1998-02-20
9.034544944763184,1998-02-23
8.956664085388184,1998-02-24
9.034544944763184,1998-02-25
8.976129531860352,1998-02-26
9.015073776245117,1998-02-27
8.995600700378418,1998-03-02
9.054015159606934,1998-03-03
9.131897926330566,1998-03-04
9.054015159606934,1998-03-05
9.248723983764648,1998-03-06
9.287665367126465,1998-03-09
9.423961639404297,1998-03-10
9.326614379882812,1998-03-11
9.365553855895996,1998-03-12
9.326614379882812,1998-03-13
9.443432807922363,1998-03-16
9.540787696838379,1998-03-17
9.482376098632812,1998-03-18
9.501847267150879,1998-03-19
9.599201202392578,1998-03-20
9.579730987548828,1998-03-23
9.540787696838379,1998-03-24
9.657610893249512,1998-03-25
9.618670463562012,1998-03-26
9.501847267150879,1998-03-27
9.443432807922363,1998-03-30
9.599201202392578,1998-03-31
9.638144493103027,1998-04-01
9.73549747467041,1998-04-02
9.716032028198242,1998-04-03
9.638144493103027,1998-04-06
9.579730987548828,1998-04-07
9.521318435668945,1998-04-08
9.657610893249512,1998-04-09
9.599201202392578,1998-04-13
9.73549747467041,1998-04-14
9.910737991333008,1998-04-15
9.716032028198242,1998-04-16
9.813385009765625,1998-04-17
9.638144493103027,1998-04-20
9.618670463562012,1998-04-21
9.579730987548828,1998-04-22
9.365553855895996,1998-04-23
9.34607982635498,1998-04-24
9.209783554077148,1998-04-27
9.248723983764648,1998-04-28
9.22925090789795,1998-04-29
9.423961639404297,1998-04-30
9.482376098632812,1998-05-01
9.482376098632812,1998-05-04
9.403519630432129,1998-05-05
9.482376098632812,1998-05-06
9.344376564025879,1998-05-07
9.442952156066895,1998-05-08
9.502093315124512,1998-05-11
9.482376098632812,1998-05-12
9.383809089660645,1998-05-13
9.403519630432129,1998-05-14
9.383809089660645,1998-05-15
9.344376564025879,1998-05-18
9.324667930603027,1998-05-19
9.324667930603027,1998-05-20
9.265523910522461,1998-05-21
9.245813369750977,1998-05-22
9.147244453430176,1998-05-26
9.00924301147461,1998-05-27
9.186671257019043,1998-05-28
9.364090919494629,1998-05-29
9.561229705810547,1998-06-01
9.620369911193848,1998-06-02
9.60066032409668,1998-06-03
9.73865795135498,1998-06-04
9.797797203063965,1998-06-05
9.718939781188965,1998-06-08
9.758368492126465,1998-06-09
9.9160795211792,1998-06-10
9.856939315795898,1998-06-11
9.83722972869873,1998-06-12
9.541518211364746,1998-06-15
9.679516792297363,1998-06-16
9.659799575805664,1998-06-17
9.640090942382812,1998-06-18
9.60066032409668,1998-06-19
9.620369911193848,1998-06-22
9.620369911193848,1998-06-23
9.561229705810547,1998-06-24
9.60066032409668,1998-06-25
9.640090942382812,1998-06-26
9.659799575805664,1998-06-29
9.699225425720215,1998-06-30
9.758368492126465,1998-07-01
9.718939781188965,1998-07-02
9.580946922302246,1998-07-06
9.502093315124512,1998-07-07
9.442952156066895,1998-07-08
9.403519630432129,1998-07-09
9.304949760437012,1998-07-10
9.147244453430176,1998-07-13
8.910673141479492,1998-07-14
8.871245384216309,1998-07-15
8.989527702331543,1998-07-16
8.989527702331543,1998-07-17
8.93038558959961,1998-07-20
8.910673141479492,1998-07-21
9.068387985229492,1998-07-22
8.831820487976074,1998-07-23
8.851531982421875,1998-07-24
8.910673141479492,1998-07-27
8.792391777038574,1998-07-28
8.792391777038574,1998-07-29
8.910673141479492,1998-07-30
8.693825721740723,1998-07-31
8.831820487976074,1998-08-03
8.713534355163574,1998-08-04
8.813464164733887,1998-08-05
8.793471336364746,1998-08-06
8.953356742858887,1998-08-07
8.9133882522583,1998-08-10
8.9133882522583,1998-08-11
9.193181991577148,1998-08-12
9.193181991577148,1998-08-13
9.213165283203125,1998-08-14
9.35306167602539,1998-08-17
9.313090324401855,1998-08-18
9.173192024230957,1998-08-19
9.253135681152344,1998-08-20
9.37304973602295,1998-08-21
9.472967147827148,1998-08-24
9.293111801147461,1998-08-25
9.333074569702148,1998-08-26
