HON,Date
1.0740240812301636,1962-01-02
1.0861191749572754,1962-01-03
1.093375563621521,1962-01-04
1.090956687927246,1962-01-05
1.0957942008972168,1962-01-08
1.093375563621521,1962-01-09
1.07160484790802,1962-01-10
1.07160484790802,1962-01-11
1.0619293451309204,1962-01-12
1.0425772666931152,1962-01-15
1.0280636548995972,1962-01-16
1.0304820537567139,1962-01-17
1.0304820537567139,1962-01-18
1.0304820537567139,1962-01-19
1.018386960029602,1962-01-22
1.018386960029602,1962-01-23
1.0087114572525024,1962-01-24
1.0062922239303589,1962-01-25
0.9966170787811279,1962-01-26
0.999035656452179,1962-01-29
1.0135496854782104,1962-01-30
1.0280636548995972,1962-01-31
1.0280636548995972,1962-02-01
1.0304820537567139,1962-02-02
1.0401580333709717,1962-02-05
1.046500563621521,1962-02-06
1.0586975812911987,1962-02-07
1.0586975812911987,1962-02-08
1.0562583208084106,1962-02-09
1.0562583208084106,1962-02-12
1.0489397048950195,1962-02-13
1.0269855260849,1962-02-14
1.0294244289398193,1962-02-15
1.0221070051193237,1962-02-16
1.0269855260849,1962-02-19
1.0221070051193237,1962-02-20
1.002591609954834,1962-02-21
0.9855157732963562,1962-02-23
0.9684401154518127,1962-02-26
0.9855157732963562,1962-02-27
1.007469892501831,1962-02-28
1.005030870437622,1962-03-01
1.0001522302627563,1962-03-02
0.990394115447998,1962-03-05
0.9757581353187561,1962-03-06
0.9611217379570007,1962-03-07
0.9781975746154785,1962-03-08
0.9830763936042786,1962-03-09
0.9660012125968933,1962-03-12
0.9781975746154785,1962-03-13
0.980636477470398,1962-03-14
0.9733185768127441,1962-03-15
0.9733185768127441,1962-03-16
0.9733185768127441,1962-03-19
0.9733185768127441,1962-03-20
0.9611217379570007,1962-03-21
0.9513640999794006,1962-03-22
0.9440458416938782,1962-03-23
0.9367272257804871,1962-03-26
0.9245311617851257,1962-03-27
0.9245311617851257,1962-03-28
0.9147731065750122,1962-03-29
0.9123342037200928,1962-03-30
0.8976977467536926,1962-04-02
0.8928185701370239,1962-04-03
0.8879401087760925,1962-04-04
0.905015766620636,1962-04-05
0.9123342037200928,1962-04-06
0.8976977467536926,1962-04-09
0.9074550271034241,1962-04-10
0.9074550271034241,1962-04-11
0.8976977467536926,1962-04-12
0.905015766620636,1962-04-13
0.8928185701370239,1962-04-16
0.9074550271034241,1962-04-17
0.8976977467536926,1962-04-18
0.8976977467536926,1962-04-19
0.8903787136077881,1962-04-23
0.8855010271072388,1962-04-24
0.8611068725585938,1962-04-25
0.8537884950637817,1962-04-26
0.848909854888916,1962-04-27
0.8562278151512146,1962-04-30
0.8684249520301819,1962-05-01
0.8659852147102356,1962-05-02
0.8781824111938477,1962-05-03
0.8708631992340088,1962-05-04
0.8708631992340088,1962-05-07
0.8649501800537109,1962-05-08
0.8477003574371338,1962-05-09
0.8378433585166931,1962-05-10
0.8378433585166931,1962-05-11
0.8797349333763123,1962-05-14
0.8649501800537109,1962-05-15
0.8452361822128296,1962-05-16
0.8329145908355713,1962-05-17
0.8132011294364929,1962-05-18
0.8205938935279846,1962-05-21
0.8058075308799744,1962-05-22
0.7959514260292053,1962-05-23
0.7934864163398743,1962-05-24
0.791022777557373,1962-05-25
0.7614520192146301,1962-05-28
0.8279869556427002,1962-05-29
0.8255218863487244,1962-05-31
0.8132011294364929,1962-06-01
