BGEN,Date
0.6679999828338623,2010-03-24
0.7879999876022339,2010-03-31
0.9800000190734863,2010-05-07
1.399999976158142,2010-07-20
2.4200000762939453,2010-11-17
2.440000057220459,2010-12-03
2.6600000858306885,2010-12-21
2.200000047683716,2011-01-13
2.2890000343322754,2011-01-24
2.3499999046325684,2011-01-25
2.0,2011-01-31
1.8700000047683716,2011-02-09
2.5,2011-02-23
2.5,2011-11-17
2.5,2011-11-18
2.5,2011-11-21
2.5,2011-11-22
2.5,2011-11-23
2.5,2011-11-25
2.5,2011-11-28
2.5,2011-11-29
2.5,2011-11-30
2.5,2011-12-01
2.5,2011-12-02
2.5,2011-12-05
2.5,2011-12-06
2.5,2011-12-07
2.5,2011-12-08
2.5,2011-12-09
2.5,2011-12-12
2.5,2011-12-13
2.5,2011-12-14
2.5,2011-12-15
2.5,2011-12-16
2.5,2011-12-19
2.5,2011-12-20
2.5,2011-12-21
2.5,2011-12-22
2.5,2011-12-23
2.5,2011-12-27
2.5,2011-12-28
2.5,2011-12-29
2.5,2011-12-30
2.5,2012-01-03
2.5,2012-01-04
2.5,2012-01-05
2.5,2012-01-06
2.5,2012-01-09
2.5,2012-01-10
2.5,2012-01-11
2.5,2012-01-12
2.5,2012-01-13
2.5,2012-01-17
2.5,2012-01-18
2.5,2012-01-19
2.5,2012-01-20
2.5,2012-01-23
2.5,2012-01-24
2.5,2012-01-25
2.5,2012-01-26
2.5,2012-01-27
2.5,2012-01-30
2.5,2012-01-31
2.5,2012-02-01
2.5,2012-02-02
2.5,2012-02-03
2.5,2012-02-06
2.5,2012-02-07
2.5,2012-02-08
2.5,2012-02-09
2.5,2012-02-10
2.5,2012-02-13
2.5,2012-02-14
2.5,2012-02-15
2.5,2012-02-16
2.5,2012-02-17
2.5,2012-02-21
2.5,2012-02-22
2.5,2012-02-23
2.5,2012-02-24
2.5,2012-02-27
2.5,2012-02-28
2.5,2012-02-29
2.5,2012-03-01
2.5,2012-03-02
2.5,2012-03-05
2.5,2012-03-06
2.5,2012-03-07
2.5,2012-03-08
2.5,2012-03-09
2.5,2012-03-12
2.5,2012-03-13
2.5,2012-03-14
2.5,2012-03-15
2.5,2012-03-16
2.5,2012-03-19
2.5,2012-03-20
2.5,2012-03-21
2.5,2012-03-22
2.5,2012-03-23
2.5,2012-03-26
2.5,2012-03-27
2.5,2012-03-28
2.5,2012-03-29
2.5,2012-03-30
2.5,2012-04-02
2.5,2012-04-03
2.5,2012-04-04
2.5,2012-04-05
2.5,2012-04-09
2.5,2012-04-10
2.5,2012-04-11
2.5,2012-04-12
2.5,2012-04-13
2.5,2012-04-16
2.5,2012-04-17
2.5,2012-04-18
2.5,2012-04-19
2.5,2012-04-20
2.5,2012-04-23
2.5,2012-04-24
2.5,2012-04-25
2.5,2012-04-26
2.5,2012-04-27
2.5,2012-04-30
2.5,2012-05-01
2.5,2012-05-02
2.5,2012-05-03
2.5,2012-05-04
2.5,2012-05-07
2.5,2012-05-08
2.5,2012-05-09
2.5,2012-05-10
2.5,2012-05-11
2.5,2012-05-14
2.5,2012-05-15
2.5,2012-05-16
2.5,2012-05-17
2.5,2012-05-18
2.5,2012-05-21
2.5,2012-05-22
2.5,2012-05-23
2.5,2012-05-24
2.5,2012-05-25
2.5,2012-05-29
2.5,2012-05-30
2.5,2012-05-31
2.5,2012-06-01
2.5,2012-06-04
2.5,2012-06-05
2.5,2012-06-06
2.5,2012-06-07
2.5,2012-06-08
2.5,2012-06-11
2.5,2012-06-12
2.5,2012-06-13
2.5,2012-06-14
2.5,2012-06-15
2.5,2012-06-18
2.5,2012-06-19
2.5,2012-06-20
2.5,2012-06-21
2.5,2012-06-22
2.5,2012-06-25
2.5,2012-06-26
2.5,2012-06-27
2.5,2012-06-28
2.5,2012-06-29
2.5,2012-07-02
2.5,2012-07-03
2.5,2012-07-05
2.5,2012-07-06
2.5,2012-07-09
2.5,2012-07-10
2.5,2012-07-11
2.5,2012-07-12
2.5,2012-07-13
2.5,2012-07-16
2.5,2012-07-17
2.5,2012-07-18
2.5,2012-07-19
2.5,2012-07-20
2.5,2012-07-23
2.5,2012-07-24
2.5,2012-07-25
2.5,2012-07-26
2.5,2012-07-27
2.5,2012-07-30
2.5,2012-07-31
2.5,2012-08-01
2.5,2012-08-02
2.5,2012-08-03
2.5,2012-08-06
2.5,2012-08-07
2.5,2012-08-08
2.5,2012-08-09
2.5,2012-08-10
2.5,2012-08-13
2.5,2012-08-14
2.5,2012-08-15
2.5,2012-08-16
2.5,2012-08-17
2.5,2012-08-20
2.5,2012-08-21
2.5,2012-08-22
2.5,2012-08-23
2.5,2012-08-24
2.5,2012-08-27
2.5,2012-08-28
2.5,2012-08-29
2.5,2012-08-30
2.5,2012-08-31
2.5,2012-09-04
2.5,2012-09-05
2.5,2012-09-06
2.5,2012-09-07
2.5,2012-09-10
2.5,2012-09-11
2.5,2012-09-12
2.5,2012-09-13
2.5,2012-09-14
2.5,2012-09-17
2.5,2012-09-18
2.5,2012-09-19
2.5,2012-09-20
