ICE,Date
6.905089378356934,2005-11-16
6.201385498046875,2005-11-17
6.15740442276001,2005-11-18
6.315738677978516,2005-11-21
6.148606300354004,2005-11-22
5.972682476043701,2005-11-23
6.007866859436035,2005-11-25
5.8583292961120605,2005-11-28
5.624350070953369,2005-11-29
5.682405471801758,2005-11-30
6.15740442276001,2005-12-01
6.350922584533691,2005-12-02
6.475829601287842,2005-12-05
6.435367584228516,2005-12-06
6.236571311950684,2005-12-07
6.333329677581787,2005-12-08
6.368515491485596,2005-12-09
6.412496089935303,2005-12-12
6.261199951171875,2005-12-13
6.15740442276001,2005-12-14
5.981476783752441,2005-12-15
6.014904022216797,2005-12-16
6.046571731567383,2005-12-19
6.146849632263184,2005-12-20
6.120459079742432,2005-12-21
6.1046271324157715,2005-12-22
6.025458812713623,2005-12-23
6.201385498046875,2005-12-27
6.171478748321533,2005-12-28
6.357959270477295,2005-12-29
6.394903182983398,2005-12-30
6.660551071166992,2006-01-03
6.491664409637451,2006-01-04
6.915641784667969,2006-01-05
7.093329906463623,2006-01-06
7.672122478485107,2006-01-09
8.094346046447754,2006-01-10
8.254441261291504,2006-01-11
7.733697891235352,2006-01-12
7.837494373321533,2006-01-13
8.159438133239746,2006-01-17
8.053881645202637,2006-01-18
8.34768009185791,2006-01-19
8.145366668701172,2006-01-20
8.403975486755371,2006-01-23
9.28536319732666,2006-01-24
9.324066162109375,2006-01-25
9.227309226989746,2006-01-26
8.973978042602539,2006-01-27
8.641477584838867,2006-01-30
8.940549850463867,2006-01-31
9.786747932434082,2006-02-01
9.711106300354004,2006-02-02
9.765642166137695,2006-02-03
9.800826072692871,2006-02-06
9.403233528137207,2006-02-07
9.408514976501465,2006-02-08
9.322307586669922,2006-02-09
9.100642204284668,2006-02-10
9.278326034545898,2006-02-13
9.144620895385742,2006-02-14
9.144620895385742,2006-02-15
9.072494506835938,2006-02-16
9.035550117492676,2006-02-17
8.73295783996582,2006-02-21
8.6608247756958,2006-02-22
8.77869701385498,2006-02-23
9.587960243225098,2006-02-24
10.001382827758789,2006-02-27
9.631940841674805,2006-02-28
9.985550880432129,2006-03-01
10.442955017089844,2006-03-02
10.661108016967773,2006-03-03
10.786012649536133,2006-03-06
10.555546760559082,2006-03-07
10.41304874420166,2006-03-08
11.257492065429688,2006-03-09
11.81165885925293,2006-03-10
12.539990425109863,2006-03-13
12.072031021118164,2006-03-14
12.189900398254395,2006-03-15
11.750086784362793,2006-03-16
11.980548858642578,2006-03-17
12.520641326904297,2006-03-20
12.358786582946777,2006-03-21
11.96119499206543,2006-03-22
11.79582691192627,2006-03-23
11.822213172912598,2006-03-24
12.288420677185059,2006-03-27
12.06850814819336,2006-03-28
11.918974876403809,2006-03-29
12.547029495239258,2006-03-30
12.147677421569824,2006-03-31
11.100919723510742,2006-04-03
11.435178756713867,2006-04-04
11.05341911315918,2006-04-05
10.520363807678223,2006-04-06
9.324066162109375,2006-04-07
9.598512649536133,2006-04-10
9.959162712097168,2006-04-11
10.140366554260254,2006-04-12
10.335641860961914,2006-04-13
10.180828094482422,2006-04-17
11.639252662658691,2006-04-18
12.188140869140625,2006-04-19
12.31480884552002,2006-04-20
12.13887882232666,2006-04-21
11.831009864807129,2006-04-24
12.281379699707031,2006-04-25
12.369345664978027,2006-04-26
12.59628677368164,2006-04-27
12.545268058776855,2006-04-28
11.77999210357666,2006-05-01
11.910176277160645,2006-05-02
12.339433670043945,2006-05-03
12.140641212463379,2006-05-04
13.055451393127441,2006-05-05
13.87175178527832,2006-05-08
13.583232879638672,2006-05-09
13.688790321350098,2006-05-10
13.928049087524414,2006-05-11
13.296469688415527,2006-05-12
13.44249153137207,2006-05-15
13.331659317016602,2006-05-16
12.31480884552002,2006-05-17
11.952399253845215,2006-05-18
12.318323135375977,2006-05-19
10.490455627441406,2006-05-22
10.369068145751953,2006-05-23
9.554527282714844,2006-05-24
9.851842880249023,2006-05-25
10.105178833007812,2006-05-26
9.3486967086792,2006-05-30
9.799067497253418,2006-05-31
9.806106567382812,2006-06-01
