EQIX,Date
324.18060302734375,2000-08-11
296.39373779296875,2000-08-14
299.481201171875,2000-08-15
305.6560974121094,2000-08-16
296.39373779296875,2000-08-17
353.5112609863281,2000-08-18
375.1233825683594,2000-08-21
333.4429931640625,2000-08-22
321.0931701660156,2000-08-23
297.9375,2000-08-24
318.0057373046875,2000-08-25
324.18060302734375,2000-08-28
330.35546875,2000-08-29
350.4239196777344,2000-08-30
399.8228759765625,2000-08-31
389.0167236328125,2000-09-01
384.3856506347656,2000-09-05
382.84185791015625,2000-09-06
355.05499267578125,2000-09-07
345.7926940917969,2000-09-08
342.7052917480469,2000-09-11
321.0931701660156,2000-09-12
308.7434997558594,2000-09-13
313.3747253417969,2000-09-14
310.2872314453125,2000-09-15
297.9375,2000-09-18
277.8691101074219,2000-09-19
256.2570495605469,2000-09-20
262.4319763183594,2000-09-21
260.8882141113281,2000-09-22
233.1012725830078,2000-09-25
228.4701690673828,2000-09-26
230.7857208251953,2000-09-27
246.9947052001953,2000-09-28
219.20785522460938,2000-09-29
209.94561767578125,2000-10-02
196.0521240234375,2000-10-03
175.98379516601562,2000-10-04
162.09030151367188,2000-10-05
150.51242065429688,2000-10-06
152.8280487060547,2000-10-09
140.47828674316406,2000-10-10
101.88534545898438,2000-10-11
128.12852478027344,2000-10-12
186.78982543945312,2000-10-13
200.68321228027344,2000-10-16
192.96463012695312,2000-10-17
199.13955688476562,2000-10-18
170.580810546875,2000-10-19
180.6149444580078,2000-10-20
203.77069091796875,2000-10-23
208.40182495117188,2000-10-24
209.94561767578125,2000-10-25
223.83901977539062,2000-10-26
222.2953643798828,2000-10-27
220.75155639648438,2000-10-30
240.81997680664062,2000-10-31
240.81997680664062,2000-11-01
228.4701690673828,2000-11-02
225.38272094726562,2000-11-03
219.20785522460938,2000-11-06
219.20785522460938,2000-11-07
199.13955688476562,2000-11-08
195.28025817871094,2000-11-09
183.70236206054688,2000-11-10
174.44007873535156,2000-11-13
163.6340789794922,2000-11-14
155.91546630859375,2000-11-15
156.68736267089844,2000-11-16
163.6340789794922,2000-11-17
155.91546630859375,2000-11-20
152.8280487060547,2000-11-21
148.19686889648438,2000-11-22
148.96875,2000-11-24
148.19686889648438,2000-11-27
134.30340576171875,2000-11-28
120.40998840332031,2000-11-29
108.06024932861328,2000-11-30
118.8663101196289,2000-12-01
121.95370483398438,2000-12-04
125.04113006591797,2000-12-05
118.8663101196289,2000-12-06
111.1476821899414,2000-12-07
135.84715270996094,2000-12-08
135.84715270996094,2000-12-11
163.6340789794922,2000-12-12
174.44007873535156,2000-12-13
172.89634704589844,2000-12-14
165.177734375,2000-12-15
144.33758544921875,2000-12-18
137.3908233642578,2000-12-19
120.40998840332031,2000-12-20
100.34160614013672,2000-12-21
98.79791259765625,2000-12-22
97.25418090820312,2000-12-26
94.16675567626953,2000-12-27
86.44817352294922,2000-12-28
108.06024932861328,2000-12-29
87.99189758300781,2001-01-02
89.53561401367188,2001-01-03
89.53561401367188,2001-01-04
98.79791259765625,2001-01-05
97.25418090820312,2001-01-08
91.85118103027344,2001-01-09
94.16675567626953,2001-01-10
95.71046447753906,2001-01-11
114.2350845336914,2001-01-12
123.49735260009766,2001-01-16
138.93455505371094,2001-01-17
143.56573486328125,2001-01-18
145.10946655273438,2001-01-19
148.19686889648438,2001-01-22
157.45913696289062,2001-01-23
172.89634704589844,2001-01-24
160.5465850830078,2001-01-25
148.19686889648438,2001-01-26
149.7406005859375,2001-01-29
146.6531524658203,2001-01-30
146.6531524658203,2001-01-31
148.19686889648438,2001-02-01
148.19686889648438,2001-02-02
132.7596893310547,2001-02-05
130.44410705566406,2001-02-06
151.28428649902344,2001-02-07
160.5465850830078,2001-02-08
152.8280487060547,2001-02-09
148.19686889648438,2001-02-12
145.10946655273438,2001-02-13
134.30340576171875,2001-02-14
126.58484649658203,2001-02-15
110.37577819824219,2001-02-16
108.06024932861328,2001-02-20
98.79791259765625,2001-02-21
97.25418090820312,2001-02-22
97.25418090820312,2001-02-23
94.16675567626953,2001-02-26
93.39491271972656,2001-02-27
92.62303161621094,2001-02-28
77.95773315429688,2001-03-01
70.23914337158203,2001-03-02
71.78286743164062,2001-03-05
74.09843444824219,2001-03-06
74.09843444824219,2001-03-07
72.55473327636719,2001-03-08
68.6954116821289,2001-03-09
58.6612663269043,2001-03-12
55.5738410949707,2001-03-13
50.17080307006836,2001-03-14
47.85523223876953,2001-03-15
43.22408676147461,2001-03-16
47.85523223876953,2001-03-19
50.17080307006836,2001-03-20
49.398956298828125,2001-03-21
50.17080307006836,2001-03-22
50.17080307006836,2001-03-23
49.398956298828125,2001-03-26
40.13664627075195,2001-03-27
38.59293746948242,2001-03-28
34.733638763427734,2001-03-29
30.874338150024414,2001-03-30
27.78692054748535,2001-04-02
27.01506233215332,2001-04-03
25.471336364746094,2001-04-04
25.471336364746094,2001-04-05
14.665316581726074,2001-04-06
22.72352409362793,2001-04-09
27.416418075561523,2001-04-10
33.34428787231445,2001-04-11
32.10932159423828,2001-04-12
34.08527374267578,2001-04-16
32.603302001953125,2001-04-17
36.06123733520508,2001-04-18
40.26015853881836,2001-04-19
37.049217224121094,2001-04-20
30.380367279052734,2001-04-23
31.862333297729492,2001-04-24
31.368343353271484,2001-04-25
30.874338150024414,2001-04-26
32.10932159423828,2001-04-27
32.603302001953125,2001-04-30
32.603302001953125,2001-05-01
42.73009490966797,2001-05-02
41.98912048339844,2001-05-03
40.013153076171875,2001-05-04
39.02519226074219,2001-05-07
40.013153076171875,2001-05-08
37.79018783569336,2001-05-09
37.049217224121094,2001-05-10
34.332275390625,2001-05-11
28.651397705078125,2001-05-14
31.368343353271484,2001-05-15
32.10932159423828,2001-05-16
30.874338150024414,2001-05-17
29.639373779296875,2001-05-18
34.332275390625,2001-05-21
35.5672492980957,2001-05-22
35.320255279541016,2001-05-23
38.037193298339844,2001-05-24
37.049217224121094,2001-05-25
36.06123733520508,2001-05-29
32.10932159423828,2001-05-30
32.10932159423828,2001-05-31
33.34428787231445,2001-06-01
36.80222702026367,2001-06-04
37.5432014465332,2001-06-05
35.5672492980957,2001-06-06
33.59129333496094,2001-06-07
33.34428787231445,2001-06-08
33.34428787231445,2001-06-11
32.356319427490234,2001-06-12
32.85031509399414,2001-06-13
29.392377853393555,2001-06-14
28.404401779174805,2001-06-15
30.13335609436035,2001-06-18
30.380367279052734,2001-06-19
28.651397705078125,2001-06-20
28.15740394592285,2001-06-21
27.416418075561523,2001-06-22
27.91040802001953,2001-06-25
27.91040802001953,2001-06-26
27.169422149658203,2001-06-27
26.428438186645508,2001-06-28
26.428438186645508,2001-06-29
25.68745994567871,2001-07-02
27.663415908813477,2001-07-03
25.68745994567871,2001-07-05
25.9344539642334,2001-07-06
25.9344539642334,2001-07-09
25.440458297729492,2001-07-10
25.440458297729492,2001-07-11
25.440458297729492,2001-07-12
25.440458297729492,2001-07-13
33.59129333496094,2001-07-16
34.57927322387695,2001-07-17
33.09730529785156,2001-07-18
35.320255279541016,2001-07-19
35.320255279541016,2001-07-20
31.615337371826172,2001-07-23
33.34428787231445,2001-07-24
31.862333297729492,2001-07-25
30.874338150024414,2001-07-26
33.34428787231445,2001-07-27
33.34428787231445,2001-07-30
34.57927322387695,2001-07-31
31.368343353271484,2001-08-01
30.874338150024414,2001-08-02
29.886371612548828,2001-08-03
29.886371612548828,2001-08-06
30.874338150024414,2001-08-07
30.62735366821289,2001-08-08
30.874338150024414,2001-08-09
30.62735366821289,2001-08-10
29.392377853393555,2001-08-13
29.639373779296875,2001-08-14
29.639373779296875,2001-08-15
28.651397705078125,2001-08-16
28.404401779174805,2001-08-17
27.169422149658203,2001-08-20
25.9344539642334,2001-08-21
24.946474075317383,2001-08-22
24.20548439025879,2001-08-23
23.21750831604004,2001-08-24
21.9825382232666,2001-08-27
21.241554260253906,2001-08-28
19.265594482421875,2001-08-29
18.03061866760254,2001-08-30
18.03061866760254,2001-08-31
18.03061866760254,2001-09-04
16.05466079711914,2001-09-05
17.289636611938477,2001-09-06
16.05466079711914,2001-09-07
14.325698852539062,2001-09-10
13.337719917297363,2001-09-17
13.090721130371094,2001-09-18
13.090721130371094,2001-09-19
12.102742195129395,2001-09-20
10.86777114868164,2001-09-21
12.349739074707031,2001-09-24
9.879791259765625,2001-09-25
9.3858003616333,2001-09-26
10.86777114868164,2001-09-27
11.114764213562012,2001-09-28
11.114764213562012,2001-10-01
11.60875415802002,2001-10-02
10.620777130126953,2001-10-03
11.114764213562012,2001-10-04
10.373778343200684,2001-10-05
9.632797241210938,2001-10-08
10.620777130126953,2001-10-09
10.620777130126953,2001-10-10
11.114764213562012,2001-10-11
13.090721130371094,2001-10-12
16.05466079711914,2001-10-15
16.79564666748047,2001-10-16
17.536630630493164,2001-10-17
16.05466079711914,2001-10-18
14.572688102722168,2001-10-19
14.572688102722168,2001-10-22
14.819686889648438,2001-10-23
14.325698852539062,2001-10-24
10.126784324645996,2001-10-25
11.361762046813965,2001-10-26
12.596733093261719,2001-10-29
12.102742195129395,2001-10-30
13.337719917297363,2001-10-31
12.102742195129395,2001-11-01
12.843729972839355,2001-11-02
13.831707954406738,2001-11-05
15.066678047180176,2001-11-06
15.807668685913086,2001-11-07
17.04263687133789,2001-11-08
17.78362464904785,2001-11-09
18.524608612060547,2001-11-12
