HRL,Date
0.12807752192020416,1980-03-17
0.1271146535873413,1980-03-18
0.12807752192020416,1980-03-19
0.12807752192020416,1980-03-20
0.1261511743068695,1980-03-21
0.1261511743068695,1980-03-24
0.1251881718635559,1980-03-25
0.1251881718635559,1980-03-26
0.11941071599721909,1980-03-27
0.122299425303936,1980-03-28
0.1251881718635559,1980-03-31
0.12807752192020416,1980-04-01
0.12904046475887299,1980-04-02
0.12807752192020416,1980-04-03
0.12326241284608841,1980-04-07
0.12326241284608841,1980-04-08
0.12326241284608841,1980-04-09
0.12326241284608841,1980-04-10
0.12037362903356552,1980-04-11
0.11748433858156204,1980-04-14
0.12133659422397614,1980-04-15
0.11459551751613617,1980-04-16
0.1126696988940239,1980-04-17
0.11170674115419388,1980-04-18
0.1097804456949234,1980-04-21
0.11074334383010864,1980-04-22
0.11363263428211212,1980-04-23
0.11363263428211212,1980-04-24
0.11363263428211212,1980-04-25
0.11844730377197266,1980-04-28
0.11555852741003036,1980-04-29
0.11748433858156204,1980-04-30
0.11748433858156204,1980-05-01
0.11844730377197266,1980-05-02
0.11844730377197266,1980-05-05
0.122299425303936,1980-05-06
0.122299425303936,1980-05-07
0.12133659422397614,1980-05-08
0.12037362903356552,1980-05-09
0.122299425303936,1980-05-12
0.12037362903356552,1980-05-13
0.12037362903356552,1980-05-14
0.11555852741003036,1980-05-15
0.11652136594057083,1980-05-16
0.11652136594057083,1980-05-19
0.11652136594057083,1980-05-20
0.11652136594057083,1980-05-21
0.11555852741003036,1980-05-22
0.11748433858156204,1980-05-23
0.11555852741003036,1980-05-27
0.11459551751613617,1980-05-28
0.11363263428211212,1980-05-29
0.1126696988940239,1980-05-30
0.11170674115419388,1980-06-02
0.11170674115419388,1980-06-03
0.11170674115419388,1980-06-04
0.11170674115419388,1980-06-05
0.11363263428211212,1980-06-06
0.11170674115419388,1980-06-09
0.1097804456949234,1980-06-10
0.10496580600738525,1980-06-11
0.10592873394489288,1980-06-12
0.10785464197397232,1980-06-13
0.10785464197397232,1980-06-16
0.10785464197397232,1980-06-17
0.10785464197397232,1980-06-18
0.10689162462949753,1980-06-19
0.10496580600738525,1980-06-20
0.10496580600738525,1980-06-23
0.10496580600738525,1980-06-24
0.10592873394489288,1980-06-25
0.10785464197397232,1980-06-26
0.1097804456949234,1980-06-27
0.10785464197397232,1980-06-30
0.10785464197397232,1980-07-01
0.1097804456949234,1980-07-02
0.11170674115419388,1980-07-03
0.11363263428211212,1980-07-07
0.1126696988940239,1980-07-08
0.1126696988940239,1980-07-09
0.11459551751613617,1980-07-10
0.11363263428211212,1980-07-11
0.122299425303936,1980-07-14
0.12422534078359604,1980-07-15
0.12133659422397614,1980-07-16
0.122299425303936,1980-07-17
0.12037362903356552,1980-07-18
0.11941071599721909,1980-07-21
0.12133659422397614,1980-07-22
0.11748433858156204,1980-07-23
0.11748433858156204,1980-07-24
0.11748433858156204,1980-07-25
0.11941071599721909,1980-07-28
0.11941071599721909,1980-07-29
0.11941071599721909,1980-07-30
0.11844730377197266,1980-07-31
0.11844730377197266,1980-08-01
0.11844730377197266,1980-08-04
0.11941071599721909,1980-08-05
0.12037362903356552,1980-08-06
0.12133659422397614,1980-08-07
0.12326241284608841,1980-08-08
0.12422534078359604,1980-08-11
0.12422534078359604,1980-08-12
0.12422534078359604,1980-08-13
0.1251881718635559,1980-08-14
0.1251881718635559,1980-08-15
0.1328921765089035,1980-08-18
0.1309661865234375,1980-08-19
0.1319292187690735,1980-08-20
0.1309661865234375,1980-08-21
0.1319292187690735,1980-08-22
0.1319292187690735,1980-08-25
0.12807752192020416,1980-08-26
0.1261511743068695,1980-08-27
0.1271146535873413,1980-08-28
0.1271146535873413,1980-08-29
0.1309661865234375,1980-09-02
0.1319292187690735,1980-09-03
0.1319292187690735,1980-09-04
0.13000334799289703,1980-09-05
0.13000334799289703,1980-09-08
0.1319292187690735,1980-09-09
0.1319292187690735,1980-09-10
0.1357814222574234,1980-09-11
0.1386701911687851,1980-09-12
0.1415589302778244,1980-09-15
0.1444481909275055,1980-09-16
0.15022625029087067,1980-09-17
0.15022625029087067,1980-09-18
0.1482999324798584,1980-09-19
0.1482999324798584,1980-09-22
0.14637401700019836,1980-09-23
0.1444481909275055,1980-09-24
0.1415589302778244,1980-09-25
0.1386701911687851,1980-09-26
0.13674437999725342,1980-09-29
0.14059601724147797,1980-09-30
0.13963311910629272,1980-10-01
0.1415589302778244,1980-10-02
0.1454111486673355,1980-10-03
0.1454111486673355,1980-10-06
0.1454111486673355,1980-10-07
0.14637401700019836,1980-10-08
0.14926281571388245,1980-10-09
0.14926281571388245,1980-10-10
0.15022625029087067,1980-10-13
0.15022625029087067,1980-10-14
0.1482999324798584,1980-10-15
0.1482999324798584,1980-10-16
0.1482999324798584,1980-10-17
0.1482999324798584,1980-10-20
0.14637401700019836,1980-10-21
0.14733710885047913,1980-10-22
0.1454111486673355,1980-10-23
0.14733710885047913,1980-10-24
0.14733710885047913,1980-10-27
0.1454111486673355,1980-10-28
0.14348527789115906,1980-10-29
0.14252237975597382,1980-10-30
0.14252237975597382,1980-10-31
0.1415589302778244,1980-11-03
0.14348527789115906,1980-11-05
0.14252237975597382,1980-11-06
0.1386701911687851,1980-11-07
0.1386701911687851,1980-11-10
0.13770729303359985,1980-11-11
0.1328921765089035,1980-11-12
0.13385504484176636,1980-11-13
0.13481852412223816,1980-11-14
0.12904046475887299,1980-11-17
0.13481852412223816,1980-11-18
0.13385504484176636,1980-11-19
0.13481852412223816,1980-11-20
