SHLD,Date
24.67572593688965,2023-09-13
24.82583999633789,2023-09-14
24.7894344329834,2023-09-15
24.993709564208984,2023-09-18
24.831327438354492,2023-09-19
24.666748046875,2023-09-20
24.285924911499023,2023-09-21
24.035268783569336,2023-09-22
24.027088165283203,2023-09-25
23.905500411987305,2023-09-26
24.119352340698242,2023-09-27
24.38746452331543,2023-09-28
24.26827049255371,2023-09-29
24.129425048828125,2023-10-02
23.89981460571289,2023-10-03
23.649356842041016,2023-10-04
23.63938331604004,2023-10-05
23.836376190185547,2023-10-06
25.304414749145508,2023-10-09
25.396377563476562,2023-10-10
25.680946350097656,2023-10-11
25.632272720336914,2023-10-12
25.80722427368164,2023-10-13
25.84243392944336,2023-10-16
25.82697296142578,2023-10-17
25.688928604125977,2023-10-18
25.462108612060547,2023-10-19
25.245264053344727,2023-10-20
25.21304702758789,2023-10-23
25.39198875427246,2023-10-24
25.479663848876953,2023-10-25
25.3697452545166,2023-10-26
25.02911949157715,2023-10-27
25.269500732421875,2023-10-30
25.51048469543457,2023-10-31
25.76593017578125,2023-11-01
26.351327896118164,2023-11-02
26.561887741088867,2023-11-03
26.466533660888672,2023-11-06
26.398906707763672,2023-11-07
26.27252960205078,2023-11-08
26.125308990478516,2023-11-09
26.541242599487305,2023-11-10
26.75269889831543,2023-11-13
26.93742561340332,2023-11-14
26.80087661743164,2023-11-15
26.643678665161133,2023-11-16
26.84695816040039,2023-11-17
27.104097366333008,2023-11-20
27.046945571899414,2023-11-21
27.05043601989746,2023-11-22
27.220300674438477,2023-11-24
26.92096710205078,2023-11-27
27.00066375732422,2023-11-28
26.890148162841797,2023-11-29
26.989891052246094,2023-11-30
27.469562530517578,2023-12-01
27.40702247619629,2023-12-04
27.210525512695312,2023-12-05
27.085845947265625,2023-12-06
26.861122131347656,2023-12-07
27.071582794189453,2023-12-08
27.198057174682617,2023-12-11
27.329917907714844,2023-12-12
27.71802520751953,2023-12-13
27.357149124145508,2023-12-14
27.257104873657227,2023-12-15
27.382585525512695,2023-12-18
27.593843460083008,2023-12-19
27.361337661743164,2023-12-20
27.56431770324707,2023-12-21
27.645111083984375,2023-12-22
27.760215759277344,2023-12-26
27.80410385131836,2023-12-27
27.898500442504883,2023-12-28
27.85740089416504,2023-12-29
27.845699310302734,2024-01-02
27.899999618530273,2024-01-03
28.1299991607666,2024-01-04
27.895999908447266,2024-01-05
28.06999969482422,2024-01-08
27.930999755859375,2024-01-09
28.108200073242188,2024-01-10
28.190000534057617,2024-01-11
28.670000076293945,2024-01-12
28.288799285888672,2024-01-16
28.285999298095703,2024-01-17
28.479999542236328,2024-01-18
28.32900047302246,2024-01-19
28.459999084472656,2024-01-22
28.267000198364258,2024-01-23
28.35919952392578,2024-01-24
28.200000762939453,2024-01-25
28.260000228881836,2024-01-26
28.35460090637207,2024-01-29
28.40999984741211,2024-01-30
28.149999618530273,2024-01-31
28.381200790405273,2024-02-01
28.355100631713867,2024-02-02
28.229999542236328,2024-02-05
28.899999618530273,2024-02-06
28.989999771118164,2024-02-07
28.9950008392334,2024-02-08
29.23900032043457,2024-02-09
29.510000228881836,2024-02-12
29.280000686645508,2024-02-13
29.889999389648438,2024-02-14
30.271400451660156,2024-02-15
30.25,2024-02-16
30.350000381469727,2024-02-20
30.3799991607666,2024-02-21
30.520000457763672,2024-02-22
30.6200008392334,2024-02-23
30.959999084472656,2024-02-26
30.969999313354492,2024-02-27
31.170000076293945,2024-02-28
31.256399154663086,2024-02-29
31.260000228881836,2024-03-01
31.68000030517578,2024-03-04
31.760000228881836,2024-03-05
32.16999816894531,2024-03-06
32.119998931884766,2024-03-07
31.899999618530273,2024-03-08
31.65999984741211,2024-03-11
31.573400497436523,2024-03-12
31.829999923706055,2024-03-13
31.75,2024-03-14
31.739999771118164,2024-03-15
31.93000030517578,2024-03-18
32.310001373291016,2024-03-19
32.589298248291016,2024-03-20
32.61000061035156,2024-03-21
32.81999969482422,2024-03-22
32.95000076293945,2024-03-25
33.060001373291016,2024-03-26
33.29999923706055,2024-03-27
33.196998596191406,2024-03-28
33.119998931884766,2024-04-01
33.03670120239258,2024-04-02
33.026100158691406,2024-04-03
33.040000915527344,2024-04-04
33.16999816894531,2024-04-05
33.5,2024-04-08
32.540000915527344,2024-04-09
