PBR,Date
2.0621256828308105,2000-08-10
2.0576233863830566,2000-08-11
2.0486185550689697,2000-08-14
2.0576233863830566,2000-08-15
2.1116528511047363,2000-08-16
2.2152092456817627,2000-08-17
2.089139938354492,2000-08-18
2.0981457233428955,2000-08-21
2.1206576824188232,2000-08-22
2.17018461227417,2000-08-23
2.1251602172851562,2000-08-24
2.179190158843994,2000-08-25
2.17018461227417,2000-08-28
2.2422244548797607,2000-08-29
2.323267936706543,2000-08-30
2.2917516231536865,2000-08-31
2.2467265129089355,2000-09-01
2.2602336406707764,2000-09-05
2.3772976398468018,2000-09-06
2.4043128490448,2000-09-07
2.3592875003814697,2000-09-08
2.3998100757598877,2000-09-11
2.318765640258789,2000-09-12
2.2242138385772705,2000-09-13
2.18819522857666,2000-09-14
2.179190158843994,2000-09-15
2.1161561012268066,2000-09-18
2.12966251373291,2000-09-19
2.17018461227417,2000-09-20
2.1116528511047363,2000-09-21
2.089139938354492,2000-09-22
2.1206576824188232,2000-09-25
2.183692216873169,2000-09-26
2.1746866703033447,2000-09-27
2.161180019378662,2000-09-28
2.165682315826416,2000-09-29
2.17018461227417,2000-10-02
2.183692216873169,2000-10-03
2.183692216873169,2000-10-04
2.192697048187256,2000-10-05
2.1431703567504883,2000-10-06
2.161180019378662,2000-10-09
2.197199583053589,2000-10-10
2.197199583053589,2000-10-11
2.2917516231536865,2000-10-12
2.228717088699341,2000-10-13
2.161180019378662,2000-10-16
2.0936427116394043,2000-10-17
2.1161561012268066,2000-10-18
2.1431703567504883,2000-10-19
2.0981457233428955,2000-10-20
2.017101287841797,2000-10-23
1.9450619220733643,2000-10-24
1.8955345153808594,2000-10-25
2.017101287841797,2000-10-26
2.0441160202026367,2000-10-27
2.0711307525634766,2000-10-30
2.0936427116394043,2000-10-31
2.1161561012268066,2000-11-01
2.0936427116394043,2000-11-02
2.0351109504699707,2000-11-03
2.0576233863830566,2000-11-06
2.0936427116394043,2000-11-07
2.0531203746795654,2000-11-08
2.017101287841797,2000-11-09
1.999091386795044,2000-11-10
2.0125985145568848,2000-11-13
2.0351109504699707,2000-11-14
2.0486185550689697,2000-11-15
2.1161561012268066,2000-11-16
2.0396134853363037,2000-11-17
2.0756330490112305,2000-11-20
2.1161561012268066,2000-11-21
2.0711307525634766,2000-11-22
1.990086555480957,2000-11-24
1.9360568523406982,2000-11-27
1.9180480241775513,2000-11-28
1.9135444164276123,2000-11-29
1.8550128936767578,2000-11-30
1.8730220794677734,2000-12-01
1.8640177249908447,2000-12-04
1.900037169456482,2000-12-05
1.7514567375183105,2000-12-06
1.7739684581756592,2000-12-07
1.7784708738327026,2000-12-08
1.7784708738327026,2000-12-11
1.7559590339660645,2000-12-12
1.809988021850586,2000-12-13
1.8775252103805542,2000-12-14
1.8550128936767578,2000-12-15
1.850509762763977,2000-12-18
1.827998399734497,2000-12-19
1.7919782400131226,2000-12-20
1.7739684581756592,2000-12-21
1.7919782400131226,2000-12-22
1.7649635076522827,2000-12-26
1.7694659233093262,2000-12-27
1.8144900798797607,2000-12-28
1.8189927339553833,2000-12-29
1.8550128936767578,2001-01-02
1.990086555480957,2001-01-03
1.967573881149292,2001-01-04
