QGEN,Date
1.8237212896347046,1996-06-28
1.8990817070007324,1996-07-01
2.125162363052368,1996-07-02
2.1025538444519043,1996-07-03
2.049802303314209,1996-07-05
2.0196573734283447,1996-07-08
1.9593688249588013,1996-07-09
1.9593688249588013,1996-07-10
1.8689370155334473,1996-07-11
1.9141536951065063,1996-07-12
1.8387930393218994,1996-07-15
1.8086484670639038,1996-07-16
1.8387930393218994,1996-07-17
2.1703782081604004,1996-07-18
2.351243495941162,1996-07-19
2.4868924617767334,1996-07-22
2.5622527599334717,1996-07-23
2.577324628829956,1996-07-24
2.773261070251465,1996-07-25
2.863694429397583,1996-07-26
2.923982620239258,1996-07-29
2.773261070251465,1996-07-30
2.6979010105133057,1996-07-31
2.4567477703094482,1996-08-01
2.351243495941162,1996-08-02
2.411532163619995,1996-08-05
2.411532163619995,1996-08-06
2.381387233734131,1996-08-07
2.441676139831543,1996-08-08
2.381387233734131,1996-08-09
2.5321080684661865,1996-08-12
2.6979010105133057,1996-08-13
2.969198226928711,1996-08-14
2.863694429397583,1996-08-15
2.803405523300171,1996-08-16
2.7581889629364014,1996-08-19
2.803405523300171,1996-08-20
2.833549737930298,1996-08-21
2.833549737930298,1996-08-22
2.6979010105133057,1996-08-23
2.7581889629364014,1996-08-26
2.7129735946655273,1996-08-27
2.743117094039917,1996-08-28
2.923982620239258,1996-08-29
2.8787660598754883,1996-08-30
2.9541263580322266,1996-09-03
3.3761448860168457,1996-09-04
3.270639657974243,1996-09-05
3.270639657974243,1996-09-06
3.255567789077759,1996-09-09
3.315856456756592,1996-09-10
3.3761448860168457,1996-09-11
3.6474416255950928,1996-09-12
3.7077300548553467,1996-09-13
3.5871529579162598,1996-09-16
3.361072063446045,1996-09-17
3.4665770530700684,1996-09-18
3.436432361602783,1996-09-19
3.4062886238098145,1996-09-20
3.2857117652893066,1996-09-23
3.3459997177124023,1996-09-24
3.3459997177124023,1996-09-25
3.4665770530700684,1996-09-26
3.4665770530700684,1996-09-27
3.557008981704712,1996-09-30
3.6022257804870605,1996-10-01
3.6323697566986084,1996-10-02
3.6022257804870605,1996-10-03
3.617297649383545,1996-10-04
3.737874984741211,1996-10-07
3.6474416255950928,1996-10-08
3.7077300548553467,1996-10-09
3.737874984741211,1996-10-10
3.7680184841156006,1996-10-11
3.451505184173584,1996-10-14
3.165135622024536,1996-10-15
3.3459997177124023,1996-10-16
3.0897750854492188,1996-10-17
3.0445587635040283,1996-10-18
3.2103514671325684,1996-10-21
3.496721029281616,1996-10-22
3.5796170234680176,1996-10-23
3.391216516494751,1996-10-24
3.4948372840881348,1996-10-25
3.315856456756592,1996-10-28
3.195279359817505,1996-10-29
3.2103514671325684,1996-10-30
3.3007845878601074,1996-10-31
2.999342679977417,1996-11-01
2.8486225605010986,1996-11-04
2.863694429397583,1996-11-05
3.165135622024536,1996-11-06
3.2857117652893066,1996-11-07
3.255567789077759,1996-11-08
3.2857117652893066,1996-11-11
3.557008981704712,1996-11-12
3.5268654823303223,1996-11-13
3.489184617996216,1996-11-14
3.5117924213409424,1996-11-15
3.5419373512268066,1996-11-18
3.617297649383545,1996-11-19
3.4816489219665527,1996-11-20
3.391216516494751,1996-11-21
3.361072063446045,1996-11-22
3.255567789077759,1996-11-25
3.2404961585998535,1996-11-26
3.165135622024536,1996-11-27
3.2103514671325684,1996-11-29
3.1802072525024414,1996-12-02
3.1048474311828613,1996-12-03
3.0747034549713135,1996-12-04
3.134990692138672,1996-12-05
3.2404961585998535,1996-12-06
3.165135622024536,1996-12-09
3.165135622024536,1996-12-10
3.1500635147094727,1996-12-11
3.1500635147094727,1996-12-12
3.0747034549713135,1996-12-13
3.0445587635040283,1996-12-16
3.0445587635040283,1996-12-17
3.0144147872924805,1996-12-18
2.999342679977417,1996-12-19
2.9541263580322266,1996-12-20
2.9541263580322266,1996-12-23
2.969198226928711,1996-12-24
2.9541263580322266,1996-12-26
2.8787660598754883,1996-12-27
2.908909797668457,1996-12-30
3.1048474311828613,1996-12-31
3.0596306324005127,1997-01-02
3.0822393894195557,1997-01-03
3.134990692138672,1997-01-06
3.195279359817505,1997-01-07
3.315856456756592,1997-01-08
3.2103514671325684,1997-01-09
3.22542405128479,1997-01-10
3.2857117652893066,1997-01-13
3.2857117652893066,1997-01-14
3.2404961585998535,1997-01-15
3.2857117652893066,1997-01-16
3.255567789077759,1997-01-17
3.255567789077759,1997-01-20
3.361072063446045,1997-01-21
3.2857117652893066,1997-01-22
3.2404961585998535,1997-01-23
3.195279359817505,1997-01-24
3.0445587635040283,1997-01-27
2.923982620239258,1997-01-28
3.0445587635040283,1997-01-29
3.0144147872924805,1997-01-30
3.029487133026123,1997-01-31
3.029487133026123,1997-02-03
3.2857117652893066,1997-02-04
3.255567789077759,1997-02-05
3.270639657974243,1997-02-06
3.22542405128479,1997-02-07
3.165135622024536,1997-02-10
3.134990692138672,1997-02-11
3.1500635147094727,1997-02-12
3.1500635147094727,1997-02-13
3.134990692138672,1997-02-14
3.1048474311828613,1997-02-18
3.134990692138672,1997-02-19
3.165135622024536,1997-02-20
3.2103514671325684,1997-02-21
3.195279359817505,1997-02-24
3.1500635147094727,1997-02-25
3.0596306324005127,1997-02-26
3.1048474311828613,1997-02-27
3.1048474311828613,1997-02-28
3.0445587635040283,1997-03-03
3.2404961585998535,1997-03-04
3.6926581859588623,1997-03-05
3.9338111877441406,1997-03-06
4.2352519035339355,1997-03-07
4.476406097412109,1997-03-10
4.280468940734863,1997-03-11
3.97902774810791,1997-03-12
3.88105845451355,1997-03-13
4.009171009063721,1997-03-14
3.8433783054351807,1997-03-17
3.8735222816467285,1997-03-18
3.8961310386657715,1997-03-19
3.7680184841156006,1997-03-20
3.6474416255950928,1997-03-21
3.7529468536376953,1997-03-24
3.7981624603271484,1997-03-25
3.9338111877441406,1997-03-26
4.039315700531006,1997-03-27
4.009171009063721,1997-03-31
3.858450412750244,1997-04-01
3.9338111877441406,1997-04-02
3.783090353012085,1997-04-03
3.8735222816467285,1997-04-04
4.129748821258545,1997-04-07
4.0242438316345215,1997-04-08
4.084531784057617,1997-04-09
4.069459915161133,1997-04-10
4.009171009063721,1997-04-11
4.114675998687744,1997-04-14
4.069459915161133,1997-04-15
4.009171009063721,1997-04-16
4.069459915161133,1997-04-17
4.129748821258545,1997-04-18
4.054388046264648,1997-04-21
4.220180988311768,1997-04-22
4.280468940734863,1997-04-23
4.220180988311768,1997-04-24
4.25032377243042,1997-04-25
4.129748821258545,1997-04-28
4.25032377243042,1997-04-29
4.190036773681641,1997-04-30
4.25032377243042,1997-05-01
4.1598920822143555,1997-05-02
4.491478443145752,1997-05-05
4.325684547424316,1997-05-06
4.310612678527832,1997-05-07
4.280468940734863,1997-05-08
4.340757369995117,1997-05-09
4.370901107788086,1997-05-12
4.461333751678467,1997-05-13
4.370901107788086,1997-05-14
4.310612678527832,1997-05-15
4.310612678527832,1997-05-16
4.491478443145752,1997-05-19
4.476406097412109,1997-05-20
4.581910133361816,1997-05-21
4.6421990394592285,1997-05-22
4.657270431518555,1997-05-23
4.702486991882324,1997-05-27
4.702486991882324,1997-05-28
4.581910133361816,1997-05-29
4.702486991882324,1997-05-30
4.868279457092285,1997-06-02
4.943640232086182,1997-06-03
4.97378396987915,1997-06-04
5.0943603515625,1997-06-05
5.1697211265563965,1997-06-06
5.0943603515625,1997-06-09
5.079289436340332,1997-06-10
5.064216136932373,1997-06-11
5.109433174133301,1997-06-12
5.124504566192627,1997-06-13
5.139576435089111,1997-06-16
5.01900053024292,1997-06-17
5.01900053024292,1997-06-18
5.260153770446777,1997-06-19
5.516378879547119,1997-06-20
5.772604465484619,1997-06-23
5.847964286804199,1997-06-24
6.043901443481445,1997-06-25
5.697244167327881,1997-06-26
5.7876763343811035,1997-06-27
5.810284614562988,1997-06-30
5.893180847167969,1997-07-01
5.9233245849609375,1997-07-02
5.998684883117676,1997-07-03
6.586495876312256,1997-07-07
6.616640090942383,1997-07-08
6.933154106140137,1997-07-09
7.038658618927002,1997-07-10
7.083874702453613,1997-07-11
7.114017963409424,1997-07-14
7.038658618927002,1997-07-15
6.948225975036621,1997-07-16
6.420703411102295,1997-07-17
5.7876763343811035,1997-07-18
6.043901443481445,1997-07-21
6.52620792388916,1997-07-22
6.57142448425293,1997-07-23
6.465919494628906,1997-07-24
6.3151984214782715,1997-07-25
6.57142448425293,1997-07-28
6.57142448425293,1997-07-29
6.511135578155518,1997-07-30
6.511135578155518,1997-07-31
6.1494059562683105,1997-08-01
6.209694862365723,1997-08-04
6.1494059562683105,1997-08-05
6.19462251663208,1997-08-06
6.1494059562683105,1997-08-07
6.074045181274414,1997-08-08
6.119262218475342,1997-08-11
6.089117527008057,1997-08-12
5.275225639343262,1997-08-13
5.561594486236572,1997-08-14
5.847964286804199,1997-08-15
5.878108024597168,1997-08-18
6.074045181274414,1997-08-19
6.043901443481445,1997-08-20
5.9233245849609375,1997-08-21
5.9534687995910645,1997-08-22
6.028829097747803,1997-08-25
5.80274772644043,1997-08-26
5.629419326782227,1997-08-27
5.644491195678711,1997-08-28
5.757532119750977,1997-08-29
6.209694862365723,1997-09-02
