NUE,Date
0.3694404363632202,1980-03-17
0.3742697834968567,1980-03-18
0.38634276390075684,1980-03-19
0.3815137445926666,1980-03-20
0.3742697834968567,1980-03-21
0.35978198051452637,1980-03-24
0.3344280421733856,1980-03-25
0.3356352150440216,1980-03-26
0.30665940046310425,1980-03-27
0.3452940285205841,1980-03-28
0.3585748076438904,1980-03-31
0.3766845166683197,1980-04-01
0.3766845166683197,1980-04-02
0.3827210068702698,1980-04-03
0.3754771649837494,1980-04-07
0.3585748076438904,1980-04-08
0.35253793001174927,1980-04-09
0.3585748076438904,1980-04-10
0.3621964454650879,1980-04-11
0.35495251417160034,1980-04-14
0.35253793001174927,1980-04-15
0.35253793001174927,1980-04-16
0.34650135040283203,1980-04-17
0.3428792357444763,1980-04-18
0.32959896326065063,1980-04-21
0.3380500376224518,1980-04-22
0.3513309061527252,1980-04-23
0.35978198051452637,1980-04-24
0.3621964454650879,1980-04-25
0.3766845166683197,1980-04-28
0.37789180874824524,1980-04-29
0.3960014879703522,1980-04-30
0.3815137445926666,1980-05-01
0.379099041223526,1980-05-02
0.3935871124267578,1980-05-05
0.40565982460975647,1980-05-06
0.42377030849456787,1980-05-07
0.42497751116752625,1980-05-08
0.41531839966773987,1980-05-09
0.40928205847740173,1980-05-12
0.42497751116752625,1980-05-13
0.4382579028606415,1980-05-14
0.45395317673683167,1980-05-15
0.4479163587093353,1980-05-16
0.4527459740638733,1980-05-19
0.4334287643432617,1980-05-20
0.42980632185935974,1980-05-21
0.43705031275749207,1980-05-22
0.44912371039390564,1980-05-23
0.4455019533634186,1980-05-27
0.44429415464401245,1980-05-28
0.44187965989112854,1980-05-29
0.4382579028606415,1980-05-30
0.43946531414985657,1980-06-02
0.44067224860191345,1980-06-03
0.44429415464401245,1980-06-04
0.44912371039390564,1980-06-05
0.4455019533634186,1980-06-06
0.44912371039390564,1980-06-09
0.4551602900028229,1980-06-10
0.45395317673683167,1980-06-11
0.45395317673683167,1980-06-12
0.45033079385757446,1980-06-13
0.4467089772224426,1980-06-16
0.4479163587093353,1980-06-17
0.44308707118034363,1980-06-18
0.43946531414985657,1980-06-19
0.4382579028606415,1980-06-20
0.45757460594177246,1980-06-23
0.46844056248664856,1980-06-24
0.46964821219444275,1980-06-25
0.46964821219444275,1980-06-26
0.4636113941669464,1980-06-27
0.45636746287345886,1980-06-30
0.45878177881240845,1980-07-01
0.4611967206001282,1980-07-02
0.46602603793144226,1980-07-03
0.48051387071609497,1980-07-07
0.4901725947856903,1980-07-08
0.4998311400413513,1980-07-09
0.5070749521255493,1980-07-10
0.5288068652153015,1980-07-11
0.5505387783050537,1980-07-14
0.5457090735435486,1980-07-15
0.5505387783050537,1980-07-16
0.5457090735435486,1980-07-17
0.5650267004966736,1980-07-18
0.5626120567321777,1980-07-21
0.5710632801055908,1980-07-22
0.5626120567321777,1980-07-23
0.5626120567321777,1980-07-24
0.5565752983093262,1980-07-25
0.5541610717773438,1980-07-28
0.5589896440505981,1980-07-29
0.5698559284210205,1980-07-30
0.5674406886100769,1980-07-31
0.5698559284210205,1980-08-01
0.5686485171318054,1980-08-04
0.5843435525894165,1980-08-05
0.59279465675354,1980-08-06
0.6084902286529541,1980-08-07
0.5940021276473999,1980-08-08
0.5988317131996155,1980-08-11
0.6060758233070374,1980-08-12
0.6036605834960938,1980-08-13
0.6036605834960938,1980-08-14
0.6024532914161682,1980-08-15
0.5940021276473999,1980-08-18
0.5819290280342102,1980-08-19
0.5601968169212341,1980-08-20
0.5722705721855164,1980-08-21
0.5891730189323425,1980-08-22
0.5819290280342102,1980-08-25
0.5698559284210205,1980-08-26
0.5481244325637817,1980-08-27
0.5372582674026489,1980-08-28
0.5372582674026489,1980-08-29
0.5505387783050537,1980-09-02
0.5867581963539124,1980-09-03
0.5867581963539124,1980-09-04
0.5795140862464905,1980-09-05
0.5601968169212341,1980-09-08
0.5577827095985413,1980-09-09
0.5722705721855164,1980-09-10
0.5770998001098633,1980-09-11
0.5710632801055908,1980-09-12
0.5626120567321777,1980-09-15
0.5674406886100769,1980-09-16
0.5734776854515076,1980-09-17
0.5819290280342102,1980-09-18
0.5867581963539124,1980-09-19
0.6060758233070374,1980-09-22
0.6072829961776733,1980-09-23
0.6024532914161682,1980-09-24
0.6024532914161682,1980-09-25
0.5988317131996155,1980-09-26
0.5650267004966736,1980-09-29
0.5783067941665649,1980-09-30
0.5831363201141357,1980-10-01
0.5867581963539124,1980-10-02
0.5855511426925659,1980-10-03
0.6072829961776733,1980-10-06
0.621770441532135,1980-10-07
0.6084902286529541,1980-10-08
0.5988317131996155,1980-10-09
0.5964167714118958,1980-10-10
0.5988317131996155,1980-10-13
0.6109047532081604,1980-10-14
0.6060758233070374,1980-10-15
0.5867581963539124,1980-10-16
0.5819290280342102,1980-10-17
0.5795140862464905,1980-10-20
0.5795140862464905,1980-10-21
0.5770998001098633,1980-10-22
0.5710632801055908,1980-10-23
0.5698559284210205,1980-10-24
0.5710632801055908,1980-10-27
0.5686485171318054,1980-10-28
0.5795140862464905,1980-10-29
0.5867581963539124,1980-10-30
0.5795140862464905,1980-10-31
0.5867581963539124,1980-11-03
0.6181488633155823,1980-11-05
0.6181488633155823,1980-11-06
0.6133193969726562,1980-11-07
0.6169413328170776,1980-11-10
0.6278075575828552,1980-11-11
0.6664413213729858,1980-11-12
0.700247049331665,1980-11-13
0.700247049331665,1980-11-14
0.6809292435646057,1980-11-17
0.6966245174407959,1980-11-18
0.6881732940673828,1980-11-19
0.6893805265426636,1980-11-20
