MLM,Date
16.488269805908203,1994-02-17
16.488269805908203,1994-02-18
16.320890426635742,1994-02-22
15.567614555358887,1994-02-23
15.40021800994873,1994-02-24
15.90239429473877,1994-02-25
15.986095428466797,1994-02-28
15.567614555358887,1994-03-01
15.232819557189941,1994-03-02
15.316521644592285,1994-03-03
15.483907699584961,1994-03-04
15.40021800994873,1994-03-07
15.40021800994873,1994-03-08
15.316521644592285,1994-03-09
14.898036003112793,1994-03-10
14.981732368469238,1994-03-11
14.898036003112793,1994-03-14
15.232819557189941,1994-03-15
15.232819557189941,1994-03-16
15.149124145507812,1994-03-17
15.316521644592285,1994-03-18
15.483907699584961,1994-03-21
15.734999656677246,1994-03-22
16.237186431884766,1994-03-23
16.069793701171875,1994-03-24
16.069793701171875,1994-03-25
16.069793701171875,1994-03-28
15.065423965454102,1994-03-29
14.814335823059082,1994-03-30
14.730636596679688,1994-03-31
14.395852088928223,1994-04-04
15.232819557189941,1994-04-05
15.316521644592285,1994-04-06
15.316521644592285,1994-04-07
15.065423965454102,1994-04-08
15.149124145507812,1994-04-11
14.814335823059082,1994-04-12
14.563247680664062,1994-04-13
14.312154769897461,1994-04-14
14.312154769897461,1994-04-15
13.726276397705078,1994-04-18
13.475189208984375,1994-04-19
13.22409725189209,1994-04-20
13.22409725189209,1994-04-21
13.22409725189209,1994-04-22
13.140399932861328,1994-04-25
13.893674850463867,1994-04-26
13.97736644744873,1994-04-28
15.40021800994873,1994-04-29
15.90239429473877,1994-05-02
15.651305198669434,1994-05-03
15.734999656677246,1994-05-04
15.651305198669434,1994-05-05
15.065423965454102,1994-05-06
14.730636596679688,1994-05-09
14.646932601928711,1994-05-10
14.312154769897461,1994-05-11
14.2284574508667,1994-05-12
13.97736644744873,1994-05-13
13.475189208984375,1994-05-16
13.3077974319458,1994-05-17
13.22409725189209,1994-05-18
12.721917152404785,1994-05-19
13.3077974319458,1994-05-20
13.475189208984375,1994-05-23
13.391493797302246,1994-05-24
13.391493797302246,1994-05-25
13.558882713317871,1994-05-26
13.22409725189209,1994-05-27
12.973007202148438,1994-05-31
12.973007202148438,1994-06-01
13.391493797302246,1994-06-02
13.97736644744873,1994-06-03
13.893674850463867,1994-06-06
14.061065673828125,1994-06-07
14.061065673828125,1994-06-08
13.97736644744873,1994-06-09
14.061065673828125,1994-06-10
14.061065673828125,1994-06-13
13.726276397705078,1994-06-14
14.479555130004883,1994-06-15
14.563247680664062,1994-06-16
14.898036003112793,1994-06-17
14.730636596679688,1994-06-20
14.563247680664062,1994-06-21
15.065423965454102,1994-06-22
14.646932601928711,1994-06-23
14.563247680664062,1994-06-24
14.563247680664062,1994-06-27
14.395852088928223,1994-06-28
14.2284574508667,1994-06-29
14.730636596679688,1994-06-30
14.395852088928223,1994-07-01
14.646932601928711,1994-07-05
14.563247680664062,1994-07-06
14.563247680664062,1994-07-07
14.646932601928711,1994-07-08
14.646932601928711,1994-07-11
14.730636596679688,1994-07-12
14.563247680664062,1994-07-13
14.730636596679688,1994-07-14
14.814335823059082,1994-07-15
14.479555130004883,1994-07-18
14.563247680664062,1994-07-19
14.730636596679688,1994-07-20
14.395852088928223,1994-07-21
14.312154769897461,1994-07-22
14.479555130004883,1994-07-25
14.730636596679688,1994-07-26
14.395852088928223,1994-07-27
14.646932601928711,1994-07-28
14.730636596679688,1994-07-29
14.730636596679688,1994-08-01
14.730636596679688,1994-08-02
14.646932601928711,1994-08-03
14.646932601928711,1994-08-04
14.646932601928711,1994-08-05
14.479555130004883,1994-08-08
14.2284574508667,1994-08-09
14.312154769897461,1994-08-10
14.061065673828125,1994-08-11
14.061065673828125,1994-08-12
13.893674850463867,1994-08-15
13.22409725189209,1994-08-16
13.391493797302246,1994-08-17
13.140399932861328,1994-08-18
13.3077974319458,1994-08-19
13.22409725189209,1994-08-22
13.475189208984375,1994-08-23
13.64259147644043,1994-08-24
13.475189208984375,1994-08-25
13.044305801391602,1994-08-26
13.465091705322266,1994-08-29
13.380935668945312,1994-08-30
13.128461837768555,1994-08-31
13.296775817871094,1994-09-01
13.380935668945312,1994-09-02
13.633400917053223,1994-09-06
13.465091705322266,1994-09-07
13.465091705322266,1994-09-08
13.380935668945312,1994-09-09
13.296775817871094,1994-09-12
13.128461837768555,1994-09-13
13.128461837768555,1994-09-14
13.380935668945312,1994-09-15
13.380935668945312,1994-09-16
13.380935668945312,1994-09-19
13.128461837768555,1994-09-20
13.128461837768555,1994-09-21
12.79183578491211,1994-09-22
