LSXMA,Date
30.678466796875,2016-04-18
31.986234664916992,2016-04-19
32.035396575927734,2016-04-20
32.241886138916016,2016-04-21
32.13372802734375,2016-04-22
32.49754333496094,2016-04-25
32.74336242675781,2016-04-26
32.81219482421875,2016-04-27
32.173057556152344,2016-04-28
32.22222137451172,2016-04-29
32.4090461730957,2016-05-02
32.320552825927734,2016-05-03
31.710914611816406,2016-05-04
31.76007843017578,2016-05-05
32.15339279174805,2016-05-06
31.868240356445312,2016-05-09
32.143558502197266,2016-05-10
31.730579376220703,2016-05-11
31.6420841217041,2016-05-12
31.209440231323242,2016-05-13
31.415929794311523,2016-05-16
30.7866268157959,2016-05-17
30.973451614379883,2016-05-18
30.68829917907715,2016-05-19
30.98328399658203,2016-05-20
30.747295379638672,2016-05-23
31.307767868041992,2016-05-24
31.366764068603516,2016-05-25
31.189773559570312,2016-05-26
31.45526123046875,2016-05-27
31.356931686401367,2016-05-31
31.87807273864746,2016-06-01
31.6420841217041,2016-06-02
31.612585067749023,2016-06-03
31.268436431884766,2016-06-06
31.160274505615234,2016-06-07
31.376598358154297,2016-06-08
31.769912719726562,2016-06-09
31.34709930419922,2016-06-10
30.609636306762695,2016-06-13
30.481809616088867,2016-06-14
30.56047248840332,2016-06-15
30.737462997436523,2016-06-16
30.33431625366211,2016-06-17
30.35398292541504,2016-06-20
29.734512329101562,2016-06-21
29.744346618652344,2016-06-22
30.904621124267578,2016-06-23
30.049163818359375,2016-06-24
28.99704933166504,2016-06-27
29.616519927978516,2016-06-28
30.20648956298828,2016-06-29
30.835792541503906,2016-06-30
31.091445922851562,2016-07-01
31.13077735900879,2016-07-05
31.209440231323242,2016-07-06
31.376598358154297,2016-07-07
31.897737503051758,2016-07-08
32.11405944824219,2016-07-11
31.85840606689453,2016-07-12
32.11405944824219,2016-07-13
32.6057014465332,2016-07-14
32.64503479003906,2016-07-15
32.84169006347656,2016-07-18
33.20550537109375,2016-07-19
33.42182922363281,2016-07-20
33.6086540222168,2016-07-21
34.139625549316406,2016-07-22
33.38249969482422,2016-07-25
34.709930419921875,2016-07-26
35.17207336425781,2016-07-27
34.6411018371582,2016-07-28
35.152408599853516,2016-07-29
34.63126754760742,2016-08-01
33.972469329833984,2016-08-02
33.726646423339844,2016-08-03
33.57915496826172,2016-08-04
33.697147369384766,2016-08-05
33.07767868041992,2016-08-08
32.920352935791016,2016-08-09
33.1268424987793,2016-08-10
33.52015686035156,2016-08-11
33.34316635131836,2016-08-12
33.264503479003906,2016-08-15
33.37266540527344,2016-08-16
33.23500442504883,2016-08-17
32.6057014465332,2016-08-18
32.46804428100586,2016-08-19
32.35988235473633,2016-08-22
32.49754333496094,2016-08-23
32.045230865478516,2016-08-24
32.52703857421875,2016-08-25
32.753196716308594,2016-08-26
32.90068817138672,2016-08-29
32.959686279296875,2016-08-30
32.949851989746094,2016-08-31
32.97935104370117,2016-09-01
33.254669189453125,2016-09-02
33.23500442504883,2016-09-06
33.67748260498047,2016-09-07
33.67748260498047,2016-09-08
33.048179626464844,2016-09-09
33.431663513183594,2016-09-12
32.949851989746094,2016-09-13
33.02851486206055,2016-09-14
33.20550537109375,2016-09-15
32.64011764526367,2016-09-16
32.851524353027344,2016-09-19
32.851524353027344,2016-09-20
33.20550537109375,2016-09-21
33.38249969482422,2016-09-22
33.431663513183594,2016-09-23
33.03834915161133,2016-09-26
33.11701202392578,2016-09-27
32.98918533325195,2016-09-28
33.018680572509766,2016-09-29
33.41199493408203,2016-09-30
33.7659797668457,2016-10-03
33.490657806396484,2016-10-04
33.07767868041992,2016-10-05
33.09734344482422,2016-10-06
32.96951675415039,2016-10-07
32.77286148071289,2016-10-10
32.16322326660156,2016-10-11
32.074729919433594,2016-10-12
32.045230865478516,2016-10-13
32.02556610107422,2016-10-14
32.074729919433594,2016-10-17
32.39921188354492,2016-10-18
32.822025299072266,2016-10-19
32.84169006347656,2016-10-20
33.00885009765625,2016-10-21
33.18584060668945,2016-10-24
33.47099304199219,2016-10-25
33.44149398803711,2016-10-26
32.517208099365234,2016-10-27
32.54670715332031,2016-10-28
32.713863372802734,2016-10-31
32.4287109375,2016-11-01
32.08456039428711,2016-11-02
31.828908920288086,2016-11-03
31.927236557006836,2016-11-04
32.586036682128906,2016-11-07
32.97935104370117,2016-11-08
33.34316635131836,2016-11-09
33.66764831542969,2016-11-10
34.02163314819336,2016-11-11
34.818092346191406,2016-11-14
35.41789627075195,2016-11-15
35.24090576171875,2016-11-16
35.45722579956055,2016-11-17
35.821041107177734,2016-11-18
35.860374450683594,2016-11-21
36.0177001953125,2016-11-22
35.88003921508789,2016-11-23
35.89970397949219,2016-11-25
35.299903869628906,2016-11-28
35.63421630859375,2016-11-29
35.693214416503906,2016-11-30
35.80137634277344,2016-12-01
33.844642639160156,2016-12-02
34.00196838378906,2016-12-05
34.473941802978516,2016-12-06
35.152408599853516,2016-12-07
35.290069580078125,2016-12-08
35.20157241821289,2016-12-09
34.20845413208008,2016-12-12
34.6411018371582,2016-12-13
34.87709045410156,2016-12-14
34.34611511230469,2016-12-15
34.09046173095703,2016-12-16
34.11012649536133,2016-12-19
34.54277420043945,2016-12-20
34.59193801879883,2016-12-21
34.414947509765625,2016-12-22
