GD,Date
0.17662464082241058,1962-01-02
0.1825367659330368,1962-01-03
0.18327584862709045,1962-01-04
0.18401478230953217,1962-01-05
0.18697097897529602,1962-01-08
0.1877097636461258,1962-01-09
0.1899268478155136,1962-01-10
0.19953416287899017,1962-01-11
0.2010122388601303,1962-01-12
0.1965780407190323,1962-01-15
0.1921439915895462,1962-01-16
0.18697097897529602,1962-01-17
0.1921439915895462,1962-01-18
0.1965780407190323,1962-01-19
0.19436104595661163,1962-01-22
0.19362211227416992,1962-01-23
0.1921439915895462,1962-01-24
0.19805605709552765,1962-01-25
0.20027326047420502,1962-01-26
0.19953416287899017,1962-01-29
0.19879505038261414,1962-01-30
0.21061933040618896,1962-01-31
0.2150535136461258,1962-02-01
0.21357564628124237,1962-02-02
0.21357564628124237,1962-02-05
0.21283656358718872,1962-02-06
0.2069244533777237,1962-02-07
0.19953416287899017,1962-02-08
0.20249027013778687,1962-02-09
0.20027326047420502,1962-02-12
0.20396825671195984,1962-02-13
0.20027326047420502,1962-02-14
0.19879505038261414,1962-02-15
0.19805605709552765,1962-02-16
0.19731716811656952,1962-02-19
0.2069244533777237,1962-02-20
0.20175129175186157,1962-02-21
0.19879505038261414,1962-02-23
0.1906658560037613,1962-02-26
0.18697097897529602,1962-02-27
0.18475383520126343,1962-02-28
0.18844887614250183,1962-03-01
0.19362211227416992,1962-03-02
0.1906658560037613,1962-03-05
0.1877097636461258,1962-03-06
0.18697097897529602,1962-03-07
0.18623174726963043,1962-03-08
0.18475383520126343,1962-03-09
0.1817978173494339,1962-03-12
0.18105874955654144,1962-03-13
0.1825367659330368,1962-03-14
0.18401478230953217,1962-03-15
0.1825367659330368,1962-03-16
0.17958077788352966,1962-03-19
0.1781027615070343,1962-03-20
0.1899268478155136,1962-03-21
0.18623174726963043,1962-03-22
0.18401478230953217,1962-03-23
0.18401478230953217,1962-03-26
0.18105874955654144,1962-03-27
0.18549296259880066,1962-03-28
0.18623174726963043,1962-03-29
0.1825367659330368,1962-03-30
0.18031971156597137,1962-04-02
0.18105874955654144,1962-04-03
0.17958077788352966,1962-04-04
0.17736369371414185,1962-04-05
0.18623174726963043,1962-04-06
0.1825367659330368,1962-04-09
0.18105874955654144,1962-04-10
0.1817978173494339,1962-04-11
0.18918797373771667,1962-04-12
0.1906658560037613,1962-04-13
