CL,Date
0.45544448494911194,1973-05-02
0.4566306173801422,1973-05-03
0.45544448494911194,1973-05-04
0.45307213068008423,1973-05-07
0.45247945189476013,1973-05-08
0.4507003128528595,1973-05-09
0.4507003128528595,1973-05-10
0.4507003128528595,1973-05-11
0.44417697191238403,1973-05-14
0.4459559917449951,1973-05-15
0.4459559917449951,1973-05-16
0.44239768385887146,1973-05-17
0.4346887767314911,1973-05-18
0.42697930335998535,1973-05-21
0.4311305284500122,1973-05-22
0.42697930335998535,1973-05-23
0.41571176052093506,1973-05-24
0.4186769127845764,1973-05-25
0.41926994919776917,1973-05-29
0.41452544927597046,1973-05-30
0.40740978717803955,1973-05-31
0.39673495292663574,1973-06-01
0.3789445161819458,1973-06-04
0.3682697117328644,1973-06-05
0.35047879815101624,1973-06-06
0.36471161246299744,1973-06-07
0.3913973867893219,1973-06-08
0.39317670464515686,1973-06-11
0.40918856859207153,1973-06-12
0.4020719528198242,1973-06-13
0.39495599269866943,1973-06-14
0.3718276619911194,1973-06-15
0.3736068606376648,1973-06-18
0.39495599269866943,1973-06-19
0.40740978717803955,1973-06-20
0.40029317140579224,1973-06-21
0.40029317140579224,1973-06-22
0.3789445161819458,1973-06-25
0.38428136706352234,1973-06-26
0.3878394365310669,1973-06-27
0.39317670464515686,1973-06-28
0.39851391315460205,1973-06-29
0.3878394365310669,1973-07-02
0.3771648705005646,1973-07-03
0.38428136706352234,1973-07-05
0.38428136706352234,1973-07-06
0.39317670464515686,1973-07-09
0.39495599269866943,1973-07-10
0.4216419458389282,1973-07-11
0.4465491771697998,1973-07-12
0.43409568071365356,1973-07-13
0.4518861174583435,1973-07-16
0.4572237432003021,1973-07-17
0.4607817530632019,1973-07-18
0.45735156536102295,1973-07-19
0.4680708348751068,1973-07-20
0.47521722316741943,1973-07-23
0.47521722316741943,1973-07-24
0.48772284388542175,1973-07-25
0.48772284388542175,1973-07-26
0.49129578471183777,1973-07-27
0.4948689341545105,1973-07-30
0.49665555357933044,1973-07-31
0.4859361946582794,1973-08-01
0.48414984345436096,1973-08-02
0.4627114534378052,1973-08-03
0.464497834444046,1973-08-06
0.46628469228744507,1973-08-07
0.4609246253967285,1973-08-08
0.4680708348751068,1973-08-09
0.4627114534378052,1973-08-10
0.45377877354621887,1973-08-13
0.4519925117492676,1973-08-14
0.45556530356407166,1973-08-15
0.45735156536102295,1973-08-16
0.45377877354621887,1973-08-17
0.4341271221637726,1973-08-20
0.43234026432037354,1973-08-21
0.43948668241500854,1973-08-22
0.4359135627746582,1973-08-23
0.4269810914993286,1973-08-24
0.443059504032135,1973-08-27
0.45735156536102295,1973-08-28
0.47343042492866516,1973-08-29
0.4680708348751068,1973-08-30
0.4698573648929596,1973-08-31
0.47343042492866516,1973-09-04
0.4591384530067444,1973-09-05
0.4466325640678406,1973-09-06
0.4627114534378052,1973-09-07
0.45556530356407166,1973-09-10
0.45377877354621887,1973-09-11
0.4609246253967285,1973-09-12
0.464497834444046,1973-09-13
0.47343042492866516,1973-09-14
0.47879013419151306,1973-09-17
0.4716443121433258,1973-09-18
0.464497834444046,1973-09-19
0.46628469228744507,1973-09-20
0.4698573648929596,1973-09-21
0.48057693243026733,1973-09-24
0.48414984345436096,1973-09-25
0.4823633134365082,1973-09-26
0.48057693243026733,1973-09-27
0.464497834444046,1973-09-28
0.4519925117492676,1973-10-01
0.45556530356407166,1973-10-02
0.45735156536102295,1973-10-03
0.45377877354621887,1973-10-04
0.4698573648929596,1973-10-05
0.47879013419151306,1973-10-08
0.48057693243026733,1973-10-09
0.46628469228744507,1973-10-10
0.4930821657180786,1973-10-11
0.49665555357933044,1973-10-12
0.49129578471183777,1973-10-15
0.49129578471183777,1973-10-16
0.47879013419151306,1973-10-17
0.47714006900787354,1973-10-18
0.49507755041122437,1973-10-19
