DUK,Date
0.812198281288147,1980-03-17
0.8741453289985657,1980-03-18
0.8466135859489441,1980-03-19
0.8534964323043823,1980-03-20
0.8466135859489441,1980-03-21
0.8259638547897339,1980-03-24
0.8328467607498169,1980-03-25
0.8466135859489441,1980-03-26
0.8328467607498169,1980-03-27
0.8466135859489441,1980-03-28
0.8741453289985657,1980-03-31
0.9085610508918762,1980-04-01
0.9085610508918762,1980-04-02
0.9154430031776428,1980-04-03
0.8879116773605347,1980-04-07
0.9016770720481873,1980-04-08
0.9223265647888184,1980-04-09
0.949859619140625,1980-04-10
0.9567417502403259,1980-04-11
0.949859619140625,1980-04-14
0.9360923171043396,1980-04-15
0.9705082178115845,1980-04-16
0.998039960861206,1980-04-17
1.0049229860305786,1980-04-18
1.0118054151535034,1980-04-21
1.018689751625061,1980-04-22
1.0118054151535034,1980-04-23
1.0255720615386963,1980-04-24
1.0255720615386963,1980-04-25
1.018689751625061,1980-04-28
1.0255720615386963,1980-04-29
1.0255720615386963,1980-04-30
1.0255720615386963,1980-05-01
1.0255720615386963,1980-05-02
1.0324554443359375,1980-05-05
1.0393383502960205,1980-05-06
1.046221375465393,1980-05-07
1.0324554443359375,1980-05-08
1.0049229860305786,1980-05-09
0.9705082178115845,1980-05-12
0.9842739105224609,1980-05-13
0.998039960861206,1980-05-14
0.9705082178115845,1980-05-15
0.9567417502403259,1980-05-16
0.9567417502403259,1980-05-19
0.9429752230644226,1980-05-20
0.9360923171043396,1980-05-21
0.9567417502403259,1980-05-22
0.949859619140625,1980-05-23
0.9773904085159302,1980-05-27
0.9705082178115845,1980-05-28
0.9636246562004089,1980-05-29
0.9636246562004089,1980-05-30
0.949859619140625,1980-06-02
0.9636246562004089,1980-06-03
0.9705082178115845,1980-06-04
0.9773904085159302,1980-06-05
0.9773904085159302,1980-06-06
0.9773904085159302,1980-06-09
0.9773904085159302,1980-06-10
0.9773904085159302,1980-06-11
0.9773904085159302,1980-06-12
1.0255720615386963,1980-06-13
