HWM,Date
18.173206329345703,2016-11-01
17.231882095336914,2016-11-02
16.79964256286621,2016-11-03
16.982149124145508,2016-11-04
16.655567169189453,2016-11-07
16.8100528717041,2016-11-08
16.925918579101562,2016-11-09
17.814218521118164,2016-11-10
18.210086822509766,2016-11-11
18.43216323852539,2016-11-14
19.22391128540039,2016-11-15
18.934242248535156,2016-11-16
18.82803726196289,2016-11-17
19.22391128540039,2016-11-18
19.484603881835938,2016-11-21
19.20459747314453,2016-11-22
19.58115577697754,2016-11-23
19.822540283203125,2016-11-25
19.455631256103516,2016-11-28
18.992177963256836,2016-11-29
18.615617752075195,2016-11-30
18.82803726196289,2016-12-01
19.011489868164062,2016-12-02
19.561845779418945,2016-12-05
19.619779586791992,2016-12-06
20.160478591918945,2016-12-07
20.189451217651367,2016-12-08
21.048770904541016,2016-12-09
20.83635902404785,2016-12-12
20.459794998168945,2016-12-13
20.034955978393555,2016-12-14
19.851499557495117,2016-12-15
19.561845779418945,2016-12-16
19.330114364624023,2016-12-19
19.407360076904297,2016-12-20
19.330114364624023,2016-12-21
19.378393173217773,2016-12-22
19.098386764526367,2016-12-23
19.098386764526367,2016-12-27
18.58664894104004,2016-12-28
18.055606842041016,2016-12-29
17.9011173248291,2016-12-30
18.528718948364258,2017-01-03
19.02113914489746,2017-01-04
19.407360076904297,2017-01-05
19.919090270996094,2017-01-06
19.68736457824707,2017-01-09
19.9963321685791,2017-01-10
20.37289810180664,2017-01-11
20.276344299316406,2017-01-12
20.40186309814453,2017-01-13
20.025297164916992,2017-01-17
20.160478591918945,2017-01-18
20.575664520263672,2017-01-19
20.55634880065918,2017-01-20
20.594974517822266,2017-01-23
21.406023025512695,2017-01-24
21.908105850219727,2017-01-25
22.07225227355957,2017-01-26
21.821205139160156,2017-01-27
21.724655151367188,2017-01-30
22.004661560058594,2017-01-31
24.47328758239746,2017-02-01
24.39584732055664,2017-02-02
25.07349967956543,2017-02-03
25.363929748535156,2017-02-06
25.770530700683594,2017-02-07
26.4288272857666,2017-02-08
27.067766189575195,2017-02-09
28.67479133605957,2017-02-10
28.70383644104004,2017-02-13
28.57798194885254,2017-02-14
28.277877807617188,2017-02-15
28.548940658569336,2017-02-16
28.95553970336914,2017-02-17
29.323415756225586,2017-02-21
29.575111389160156,2017-02-22
28.626386642456055,2017-02-23
28.384368896484375,2017-02-24
28.306922912597656,2017-02-27
27.871280670166016,2017-02-28
28.597352981567383,2017-03-01
27.629253387451172,2017-03-02
27.193622589111328,2017-03-03
26.816064834594727,2017-03-06
26.119037628173828,2017-03-07
25.99319076538086,2017-03-08
25.644676208496094,2017-03-09
25.973827362060547,2017-03-10
25.94478416442871,2017-03-13
25.818933486938477,2017-03-14
26.390106201171875,2017-03-15
26.44818687438965,2017-03-16
26.6224422454834,2017-03-17
26.980640411376953,2017-03-20
25.896381378173828,2017-03-21
25.654354095458984,2017-03-22
25.82861328125,2017-03-23
25.82861328125,2017-03-24
25.712444305419922,2017-03-27
26.1771297454834,2017-03-28
25.363929748535156,2017-03-29
25.712444305419922,2017-03-30
25.49946403503418,2017-03-31
25.344568252563477,2017-04-03
25.538183212280273,2017-04-04
25.06381607055664,2017-04-05
25.32520294189453,2017-04-06
25.567228317260742,2017-04-07
25.68340492248535,2017-04-10
25.741487503051758,2017-04-11
25.025096893310547,2017-04-12
25.07349967956543,2017-04-13
25.838293075561523,2017-04-17
24.976696014404297,2017-04-18
25.141271591186523,2017-04-19
25.27680015563965,2017-04-20
25.170307159423828,2017-04-21
