WFC,Date
0.1449074000120163,1972-06-01
0.1453361213207245,1972-06-02
0.1474795788526535,1972-06-05
0.1474795788526535,1972-06-06
0.14619354903697968,1972-06-07
0.14662213623523712,1972-06-08
0.14662213623523712,1972-06-09
0.14833712577819824,1972-06-12
0.1457647681236267,1972-06-13
0.1457647681236267,1972-06-14
0.14705094695091248,1972-06-15
0.14833712577819824,1972-06-16
0.14705094695091248,1972-06-19
0.1474795788526535,1972-06-20
0.14705094695091248,1972-06-21
0.14833712577819824,1972-06-22
0.150480717420578,1972-06-23
0.1509094387292862,1972-06-26
0.1517668068408966,1972-06-27
0.15605412423610687,1972-06-28
0.1556253880262375,1972-06-29
0.1577688604593277,1972-06-30
0.16034121811389923,1972-07-03
0.158626526594162,1972-07-05
0.16634339094161987,1972-07-06
0.16720084846019745,1972-07-07
0.16805818676948547,1972-07-10
0.16805818676948547,1972-07-11
0.16805818676948547,1972-07-12
0.16977307200431824,1972-07-13
0.16977307200431824,1972-07-14
0.17020182311534882,1972-07-17
0.17063049972057343,1972-07-18
0.1714879274368286,1972-07-19
0.17105934023857117,1972-07-20
0.17234548926353455,1972-07-21
0.17191675305366516,1972-07-24
0.1736317127943039,1972-07-25
0.17448918521404266,1972-07-26
0.1714879274368286,1972-07-27
0.17277418076992035,1972-07-28
0.1740700900554657,1972-07-31
0.17622967064380646,1972-08-01
0.17795760929584503,1972-08-02
0.17882132530212402,1972-08-03
0.1805490404367447,1972-08-04
0.1827087700366974,1972-08-07
0.18227674067020416,1972-08-08
0.18141281604766846,1972-08-09
0.18314072489738464,1972-08-10
0.18314072489738464,1972-08-11
0.18400447070598602,1972-08-14
0.18530040979385376,1972-08-15
0.18745994567871094,1972-08-16
0.18789200484752655,1972-08-17
0.1913473904132843,1972-08-18
0.1922113299369812,1972-08-21
0.19523485004901886,1972-08-22
0.19609878957271576,1972-08-23
0.19696266949176788,1972-08-24
0.19566695392131805,1972-08-25
0.19480296969413757,1972-08-28
0.1943710893392563,1972-08-29
0.19350707530975342,1972-08-30
0.193939208984375,1972-08-31
0.19480296969413757,1972-09-01
0.193939208984375,1972-09-05
0.19307520985603333,1972-09-06
0.19091561436653137,1972-09-07
0.18961971998214722,1972-09-08
0.19005164504051208,1972-09-11
0.19177930057048798,1972-09-12
0.19177930057048798,1972-09-13
0.19177930057048798,1972-09-14
0.19264322519302368,1972-09-15
0.19177930057048798,1972-09-18
0.19177930057048798,1972-09-19
0.19005164504051208,1972-09-20
0.19177930057048798,1972-09-21
0.19177930057048798,1972-09-22
0.19091561436653137,1972-09-25
0.19005164504051208,1972-09-26
0.18745994567871094,1972-09-27
0.18486829102039337,1972-09-28
0.18573243916034698,1972-09-29
0.1883239597082138,1972-10-02
0.189187690615654,1972-10-03
0.19177930057048798,1972-10-04
0.19307520985603333,1972-10-05
0.19350707530975342,1972-10-06
0.19523485004901886,1972-10-09
0.1943710893392563,1972-10-10
0.19480296969413757,1972-10-11
0.19350707530975342,1972-10-12
0.189187690615654,1972-10-13
0.18400447070598602,1972-10-16
0.18314072489738464,1972-10-17
0.18659621477127075,1972-10-18
0.18659621477127075,1972-10-19
0.18789200484752655,1972-10-20
0.19523485004901886,1972-10-23
0.19523485004901886,1972-10-24
0.19350707530975342,1972-10-25
0.1922113299369812,1972-10-26
0.19264322519302368,1972-10-27
0.1956874132156372,1972-10-30
0.19655711948871613,1972-10-31
0.19829656183719635,1972-11-01
0.19829656183719635,1972-11-02
0.19916605949401855,1972-11-03
0.19829656183719635,1972-11-06
0.19916605949401855,1972-11-08
0.1996011883020401,1972-11-09
0.20264530181884766,1972-11-10
0.20308002829551697,1972-11-13
0.20134039223194122,1972-11-14
0.20221038162708282,1972-11-15
0.20177529752254486,1972-11-16
0.20177529752254486,1972-11-17
0.20047086477279663,1972-11-20
0.20003603398799896,1972-11-21
0.2009056657552719,1972-11-22
0.20177529752254486,1972-11-24
0.2009056657552719,1972-11-27
0.20003603398799896,1972-11-28
0.20003603398799896,1972-11-29
0.19916605949401855,1972-11-30
0.20047086477279663,1972-12-01
0.20003603398799896,1972-12-04
0.2009056657552719,1972-12-05
0.1996011883020401,1972-12-06
0.20047086477279663,1972-12-07
0.1996011883020401,1972-12-08
0.20003603398799896,1972-12-11
0.1996011883020401,1972-12-12
0.20003603398799896,1972-12-13
0.20003603398799896,1972-12-14
0.20134039223194122,1972-12-15
0.2009056657552719,1972-12-18
0.20177529752254486,1972-12-19
0.20264530181884766,1972-12-20
0.20438459515571594,1972-12-21
0.20308002829551697,1972-12-22
0.20308002829551697,1972-12-26
0.20438459515571594,1972-12-27
0.2130817025899887,1972-12-29
0.21830002963542938,1973-01-02
0.21656058728694916,1973-01-03
0.21830002963542938,1973-01-04
0.21786537766456604,1973-01-05
0.21569089591503143,1973-01-08
0.21569089591503143,1973-01-09
0.21830002963542938,1973-01-10
0.22177903354167938,1973-01-11
0.22177903354167938,1973-01-12
0.22351856529712677,1973-01-15
0.2243882715702057,1973-01-16
0.2196047157049179,1973-01-17
0.2200394868850708,1973-01-18
0.2200394868850708,1973-01-19
0.22221386432647705,1973-01-22
0.220474511384964,1973-01-23
0.22177903354167938,1973-01-24
0.21482126414775848,1973-01-26
0.2178838551044464,1973-01-29
0.21438375115394592,1973-01-30
0.21438375115394592,1973-01-31
0.20913362503051758,1973-02-01
0.20825853943824768,1973-02-02
0.20475846529006958,1973-02-05
0.19950823485851288,1973-02-06
0.19250786304473877,1973-02-07
0.1916327327489853,1973-02-08
0.19600802659988403,1973-02-09
0.1968831568956375,1973-02-12
