DHI,Date
1.1262941360473633,1992-06-05
1.1262941360473633,1992-06-08
1.0750997066497803,1992-06-09
1.0750997066497803,1992-06-10
1.023903727531433,1992-06-11
1.023903727531433,1992-06-12
1.062300443649292,1992-06-15
1.036703109741211,1992-06-16
1.036703109741211,1992-06-17
1.023903727531433,1992-06-18
1.023903727531433,1992-06-19
1.023903727531433,1992-06-22
1.023903727531433,1992-06-23
1.023903727531433,1992-06-24
1.023903727531433,1992-06-25
1.0495020151138306,1992-06-26
1.023903727531433,1992-06-29
1.0495020151138306,1992-06-30
1.0495020151138306,1992-07-01
1.023903727531433,1992-07-02
1.0495020151138306,1992-07-06
1.023903727531433,1992-07-07
0.9727086424827576,1992-07-08
0.9471115469932556,1992-07-09
0.9471115469932556,1992-07-10
0.9983065128326416,1992-07-13
0.9983065128326416,1992-07-14
1.0495020151138306,1992-07-15
1.023903727531433,1992-07-16
1.0495020151138306,1992-07-17
1.0495020151138306,1992-07-20
0.9983065128326416,1992-07-21
0.9983065128326416,1992-07-22
1.023903727531433,1992-07-23
1.023903727531433,1992-07-24
0.9855074882507324,1992-07-27
1.023903727531433,1992-07-28
1.0750997066497803,1992-07-29
1.0495020151138306,1992-07-30
1.0750997066497803,1992-07-31
1.0750997066497803,1992-08-03
1.062300443649292,1992-08-04
1.1006969213485718,1992-08-05
1.062300443649292,1992-08-06
1.0495020151138306,1992-08-07
1.0750997066497803,1992-08-10
1.0495020151138306,1992-08-11
1.0495020151138306,1992-08-12
1.0495020151138306,1992-08-13
1.1006969213485718,1992-08-14
1.0495020151138306,1992-08-17
1.0495020151138306,1992-08-18
1.023903727531433,1992-08-19
1.023903727531433,1992-08-20
0.9983065128326416,1992-08-21
0.9983065128326416,1992-08-24
1.023903727531433,1992-08-25
0.9727086424827576,1992-08-26
1.023903727531433,1992-08-27
1.0495020151138306,1992-08-28
1.0495020151138306,1992-08-31
0.9983065128326416,1992-09-01
0.9983065128326416,1992-09-02
0.9727086424827576,1992-09-03
0.9215137362480164,1992-09-04
0.870317816734314,1992-09-08
0.8191234469413757,1992-09-09
0.8191234469413757,1992-09-10
0.8191234469413757,1992-09-11
0.8447209596633911,1992-09-14
0.8447209596633911,1992-09-15
0.8319215774536133,1992-09-16
0.8959159851074219,1992-09-17
0.908714771270752,1992-09-18
0.908714771270752,1992-09-21
0.8959159851074219,1992-09-22
0.8959159851074219,1992-09-23
0.8959159851074219,1992-09-24
0.8959159851074219,1992-09-25
0.8959159851074219,1992-09-28
0.908714771270752,1992-09-29
0.8959159851074219,1992-09-30
0.8959159851074219,1992-10-01
