DFS,Date
21.501583099365234,2007-06-14
21.748395919799805,2007-06-15
22.38408660888672,2007-06-18
22.21207618713379,2007-06-19
22.294336318969727,2007-06-20
23.341381072998047,2007-06-21
23.707836151123047,2007-06-22
23.4086856842041,2007-06-25
22.743070602416992,2007-06-26
22.122323989868164,2007-06-27
22.0625057220459,2007-06-28
21.31462287902832,2007-06-29
20.56673812866211,2007-07-02
19.94598960876465,2007-07-03
19.392562866210938,2007-07-05
19.175682067871094,2007-07-06
19.100893020629883,2007-07-09
18.622243881225586,2007-07-10
18.85408592224121,2007-07-11
19.699195861816406,2007-07-12
20.31245994567871,2007-07-13
20.073137283325195,2007-07-16
19.818851470947266,2007-07-17
19.71415901184082,2007-07-18
19.975915908813477,2007-07-19
19.669281005859375,2007-07-20
19.534656524658203,2007-07-23
18.697031021118164,2007-07-24
18.02394676208496,2007-07-25
18.412839889526367,2007-07-26
17.448074340820312,2007-07-27
17.627559661865234,2007-07-30
17.238664627075195,2007-07-31
17.11153221130371,2007-08-01
17.477994918823242,2007-08-02
16.445913314819336,2007-08-03
16.56557273864746,2007-08-06
17.11153221130371,2007-08-07
18.166038513183594,2007-08-08
16.57304573059082,2007-08-09
15.600805282592773,2007-08-10
16.528173446655273,2007-08-13
16.423465728759766,2007-08-14
16.19911003112793,2007-08-15
17.08909797668457,2007-08-16
17.335887908935547,2007-08-17
17.537818908691406,2007-08-20
17.702360153198242,2007-08-21
17.747222900390625,2007-08-22
17.72479248046875,2007-08-23
17.941673278808594,2007-08-24
17.822004318237305,2007-08-27
16.98438262939453,2007-08-28
17.448074340820312,2007-08-29
17.021778106689453,2007-08-30
17.305978775024414,2007-08-31
17.52286720275879,2007-09-04
16.864727020263672,2007-09-05
16.662796020507812,2007-09-06
15.7877836227417,2007-09-07
15.376441955566406,2007-09-10
15.413838386535645,2007-09-11
15.705513954162598,2007-09-12
15.959785461425781,2007-09-13
15.907437324523926,2007-09-14
15.944820404052734,2007-09-17
17.268577575683594,2007-09-18
17.507905960083008,2007-09-19
16.946992874145508,2007-09-20
16.752540588378906,2007-09-21
16.64784049987793,2007-09-24
16.243976593017578,2007-09-25
15.89248275756836,2007-09-26
15.458709716796875,2007-09-27
15.555932998657227,2007-09-28
16.131803512573242,2007-10-01
15.982223510742188,2007-10-02
16.012218475341797,2007-10-03
16.514719009399414,2007-10-04
17.04720687866211,2007-10-05
16.987207412719727,2007-10-08
17.272193908691406,2007-10-09
16.987207412719727,2007-10-10
16.522212982177734,2007-10-11
16.59721565246582,2007-10-12
16.03472328186035,2007-10-15
15.697232246398926,2007-10-16
15.58473014831543,2007-10-17
15.397229194641113,2007-10-18
14.849742889404297,2007-10-19
14.759751319885254,2007-10-22
14.5572509765625,2007-10-23
13.79226016998291,2007-10-24
13.169772148132324,2007-10-25
14.197253227233887,2007-10-26
14.617247581481934,2007-10-29
15.104738235473633,2007-10-30
14.474747657775879,2007-10-31
13.88976001739502,2007-11-01
13.634761810302734,2007-11-02
13.612262725830078,2007-11-05
13.679764747619629,2007-11-06
12.94477653503418,2007-11-07
13.274772644042969,2007-11-08
13.364768981933594,2007-11-09
13.507264137268066,2007-11-12
14.24975299835205,2007-11-13
13.717259407043457,2007-11-14
13.259771347045898,2007-11-15
13.319768905639648,2007-11-16
12.554783821105957,2007-11-19
12.329790115356445,2007-11-20
12.187289237976074,2007-11-21
12.509788513183594,2007-11-23
12.224790573120117,2007-11-26
12.562286376953125,2007-11-27
13.23727035522461,2007-11-28
12.959779739379883,2007-11-29
13.027273178100586,2007-11-30
12.29228687286377,2007-12-03
12.157293319702148,2007-12-04
12.33729076385498,2007-12-05
12.989778518676758,2007-12-06
12.569783210754395,2007-12-07
12.952281951904297,2007-12-10
12.239790916442871,2007-12-11
12.382286071777344,2007-12-12
12.314786911010742,2007-12-13
11.729796409606934,2007-12-14
11.707295417785645,2007-12-17
11.917293548583984,2007-12-18
11.917293548583984,2007-12-19
11.59479808807373,2007-12-20
11.624798774719238,2007-12-21
11.722301483154297,2007-12-24
11.782297134399414,2007-12-26
11.39980697631836,2007-12-27
11.204812049865723,2007-12-28
11.355408668518066,2007-12-31
11.219869613647461,2008-01-02
11.167157173156738,2008-01-03
10.496973037719727,2008-01-04
10.828302383422852,2008-01-07
10.240952491760254,2008-01-08
10.677701950073242,2008-01-09
10.73794174194336,2008-01-10
10.33884334564209,2008-01-11
10.210833549499512,2008-01-14
9.93974781036377,2008-01-15
9.841856956481934,2008-01-16
9.450292587280273,2008-01-17
9.510529518127441,2008-01-18
9.570773124694824,2008-01-22
10.993961334228516,2008-01-23
11.822277069091797,2008-01-24
11.716852188110352,2008-01-25
12.048181533813477,2008-01-28
12.311736106872559,2008-01-29
12.27408504486084,2008-01-30
13.170167922973633,2008-01-31
13.524083137512207,2008-02-01
12.304201126098633,2008-02-04
11.897574424743652,2008-02-05
11.87498664855957,2008-02-06
12.206313133239746,2008-02-07
11.769567489624023,2008-02-08
11.423179626464844,2008-02-11
11.280107498168945,2008-02-12
11.506013870239258,2008-02-13
11.152095794677734,2008-02-14
10.715351104736328,2008-02-15
10.519564628601074,2008-02-19
10.971375465393066,2008-02-20
10.662639617919922,2008-02-21
11.370471000671387,2008-02-22
11.671673774719238,2008-02-25
12.191254615783691,2008-02-26
12.123479843139648,2008-02-27
11.867453575134277,2008-02-28
11.362939834594727,2008-02-29
11.280107498168945,2008-03-03
11.091856002807617,2008-03-04
11.08432388305664,2008-03-05
10.391555786132812,2008-03-06
10.655109405517578,2008-03-07
10.015049934387207,2008-03-10
11.317756652832031,2008-03-11
11.506013870239258,2008-03-12
11.859925270080566,2008-03-13
11.64908504486084,2008-03-14
11.430715560913086,2008-03-17
13.102397918701172,2008-03-18
11.44577407836914,2008-03-19
12.620469093322754,2008-03-20
12.560229301452637,2008-03-24
12.966851234436035,2008-03-25
12.040647506713867,2008-03-26
12.213842391967773,2008-03-27
