VEON,Date
25.078472137451172,1996-11-15
26.80802345275879,1996-11-18
28.53757095336914,1996-11-19
26.80802345275879,1996-11-20
25.72705078125,1996-11-21
25.72705078125,1996-11-22
24.213703155517578,1996-11-25
22.484153747558594,1996-11-26
22.0517578125,1996-11-27
23.781312942504883,1996-11-29
23.67321014404297,1996-12-02
23.34891700744629,1996-12-03
23.34891700744629,1996-12-04
23.67321014404297,1996-12-05
22.808433532714844,1996-12-06
23.13272476196289,1996-12-09
22.484153747558594,1996-12-10
22.700342178344727,1996-12-11
23.13272476196289,1996-12-12
23.34891700744629,1996-12-13
23.02463150024414,1996-12-16
23.02463150024414,1996-12-17
23.02463150024414,1996-12-18
21.943668365478516,1996-12-19
20.646503448486328,1996-12-20
21.18698501586914,1996-12-23
20.646503448486328,1996-12-24
20.32221221923828,1996-12-26
20.53840446472168,1996-12-27
20.53840446472168,1996-12-30
20.43031120300293,1996-12-31
20.43031120300293,1997-01-02
21.078887939453125,1997-01-03
22.59224510192871,1997-01-06
22.808433532714844,1997-01-07
24.213703155517578,1997-01-08
24.970375061035156,1997-01-09
26.591827392578125,1997-01-10
26.591827392578125,1997-01-13
27.672794342041016,1997-01-14
28.105180740356445,1997-01-15
27.997089385986328,1997-01-16
27.02421760559082,1997-01-17
28.753768920898438,1997-01-20
29.510438919067383,1997-01-21
30.699508666992188,1997-01-22
32.861446380615234,1997-01-23
31.99666976928711,1997-01-24
29.618539810180664,1997-01-27
31.239992141723633,1997-01-28
30.699508666992188,1997-01-29
32.104759216308594,1997-01-30
31.67238426208496,1997-01-31
31.780485153198242,1997-02-03
31.131898880004883,1997-02-04
30.483314514160156,1997-02-05
29.402341842651367,1997-02-06
28.645668029785156,1997-02-07
27.132308959960938,1997-02-10
29.07805824279785,1997-02-11
29.94283103942871,1997-02-12
31.780485153198242,1997-02-13
32.104759216308594,1997-02-14
33.51002502441406,1997-02-18
33.40192794799805,1997-02-19
31.67238426208496,1997-02-20
31.131898880004883,1997-02-21
31.780485153198242,1997-02-24
31.888574600219727,1997-02-25
31.131898880004883,1997-02-26
30.15902328491211,1997-02-27
29.726640701293945,1997-02-28
29.510438919067383,1997-03-03
30.050928115844727,1997-03-04
30.15902328491211,1997-03-05
29.83473777770996,1997-03-06
30.050928115844727,1997-03-07
30.267122268676758,1997-03-10
30.37521743774414,1997-03-11
30.37521743774414,1997-03-12
29.83473777770996,1997-03-13
29.83473777770996,1997-03-14
29.510438919067383,1997-03-17
29.186153411865234,1997-03-18
28.96995735168457,1997-03-19
28.105180740356445,1997-03-20
28.645668029785156,1997-03-21
28.321380615234375,1997-03-24
28.321380615234375,1997-03-25
28.86186408996582,1997-03-26
28.105180740356445,1997-03-27
27.672794342041016,1997-03-31
27.132308959960938,1997-04-01
27.02421760559082,1997-04-02
27.132308959960938,1997-04-03
26.591827392578125,1997-04-04
27.564697265625,1997-04-07
27.780895233154297,1997-04-08
28.645668029785156,1997-04-09
28.42947769165039,1997-04-10
27.888986587524414,1997-04-11
27.672794342041016,1997-04-14
27.780895233154297,1997-04-15
27.34850311279297,1997-04-16
27.564697265625,1997-04-17
28.645668029785156,1997-04-18
27.02421760559082,1997-04-21
26.916114807128906,1997-04-22
26.699926376342773,1997-04-23
26.05134391784668,1997-04-24
26.483732223510742,1997-04-25
25.72705078125,1997-04-28
26.05134391784668,1997-04-29
26.159440994262695,1997-04-30
26.267534255981445,1997-05-01
26.699926376342773,1997-05-02
29.186153411865234,1997-05-05
28.53757095336914,1997-05-06
28.105180740356445,1997-05-07
