VRSN,Date
5.4133381843566895,1998-01-30
6.580920696258545,1998-02-02
7.005496501922607,1998-02-03
6.713601112365723,1998-02-04
6.488044738769531,1998-02-05
5.917521953582764,1998-02-06
5.731770038604736,1998-02-09
5.944057464599609,1998-02-10
6.315561294555664,1998-02-11
6.607457160949707,1998-02-12
6.580920696258545,1998-02-13
6.633993148803711,1998-02-17
6.633993148803711,1998-02-18
6.527849197387695,1998-02-19
6.766672611236572,1998-02-20
6.156345367431641,1998-02-23
5.811378002166748,1998-02-24
6.156345367431641,1998-02-25
6.129809379577637,1998-02-26
6.076737403869629,1998-02-27
6.036933422088623,1998-03-02
6.050201416015625,1998-03-03
5.857816219329834,1998-03-04
5.665429592132568,1998-03-05
6.010397911071777,1998-03-06
6.42170524597168,1998-03-09
7.018764972686768,1998-03-10
7.615823745727539,1998-03-11
8.173079490661621,1998-03-12
8.040399551391602,1998-03-13
9.4998779296875,1998-03-16
9.413637161254883,1998-03-17
9.141642570495605,1998-03-18
9.15491008758545,1998-03-19
8.743602752685547,1998-03-20
9.15491008758545,1998-03-23
9.446805953979492,1998-03-24
9.128375053405762,1998-03-25
8.91608715057373,1998-03-26
9.02223014831543,1998-03-27
9.234518051147461,1998-03-30
9.340662002563477,1998-03-31
10.189813613891602,1998-04-01
9.393733978271484,1998-04-02
9.02223014831543,1998-04-03
8.677262306213379,1998-04-06
8.265954971313477,1998-04-07
8.650726318359375,1998-04-08
9.340662002563477,1998-04-09
9.526413917541504,1998-04-13
9.314126014709473,1998-04-14
9.128375053405762,1998-04-15
9.128375053405762,1998-04-16
8.995694160461426,1998-04-17
8.863014221191406,1998-04-20
8.650726318359375,1998-04-21
8.703798294067383,1998-04-22
8.09347152709961,1998-04-23
7.483144283294678,1998-04-24
7.88118314743042,1998-04-27
7.7750396728515625,1998-04-28
7.549483776092529,1998-04-29
8.146543502807617,1998-04-30
8.491510391235352,1998-05-01
8.173079490661621,1998-05-04
7.655628204345703,1998-05-05
7.576019763946533,1998-05-06
7.483144283294678,1998-05-07
7.536215782165527,1998-05-08
7.43007230758667,1998-05-11
7.377000331878662,1998-05-12
8.120007514953613,1998-05-13
7.907719135284424,1998-05-14
7.655628204345703,1998-05-15
7.576019763946533,1998-05-18
7.615823745727539,1998-05-19
7.695432186126709,1998-05-20
8.013863563537598,1998-05-21
7.509680271148682,1998-05-22
7.323928356170654,1998-05-26
6.899352550506592,1998-05-27
6.9524245262146,1998-05-28
6.779940605163574,1998-05-29
6.156345367431641,1998-06-01
5.970593452453613,1998-06-02
6.050201416015625,1998-06-03
6.103273868560791,1998-06-04
6.156345367431641,1998-06-05
5.731770038604736,1998-06-08
5.811378002166748,1998-06-09
5.837913990020752,1998-06-10
5.731770038604736,1998-06-11
5.944057464599609,1998-06-12
5.731770038604736,1998-06-15
5.758305549621582,1998-06-16
6.076737403869629,1998-06-17
6.368633270263672,1998-06-18
6.342097282409668,1998-06-19
7.43007230758667,1998-06-22
8.120007514953613,1998-06-23
8.863014221191406,1998-06-24
8.491510391235352,1998-06-25
8.120007514953613,1998-06-26
7.748503684997559,1998-06-29
7.934255599975586,1998-06-30
8.809942245483398,1998-07-01
8.809942245483398,1998-07-02
8.929354667663574,1998-07-06
8.969158172607422,1998-07-07
8.849746704101562,1998-07-08
9.128375053405762,1998-07-09
9.340662002563477,1998-07-10
9.008962631225586,1998-07-13
9.075302124023438,1998-07-14
8.995694160461426,1998-07-15
9.048766136169434,1998-07-16
8.863014221191406,1998-07-17
8.809942245483398,1998-07-20
8.650726318359375,1998-07-21
8.438438415527344,1998-07-22
8.199615478515625,1998-07-23
8.332295417785645,1998-07-24
7.642360210418701,1998-07-27
7.562751770019531,1998-07-28
7.032032489776611,1998-07-29
6.793208599090576,1998-07-30
6.580920696258545,1998-07-31
6.42170524597168,1998-08-03
6.395168781280518,1998-08-04
6.28902530670166,1998-08-05
6.381901264190674,1998-08-06
6.925889015197754,1998-08-07
6.899352550506592,1998-08-10
6.793208599090576,1998-08-11
6.448241233825684,1998-08-12
6.395168781280518,1998-08-13
6.063469409942627,1998-08-14
5.837913990020752,1998-08-17
6.6870646476745605,1998-08-18
7.032032489776611,1998-08-19
6.594188690185547,1998-08-20
6.580920696258545,1998-08-21
6.42170524597168,1998-08-24
6.527849197387695,1998-08-25
6.395168781280518,1998-08-26
5.917521953582764,1998-08-27
5.997129917144775,1998-08-28
6.023665428161621,1998-08-31
6.368633270263672,1998-09-01
6.315561294555664,1998-09-02
5.997129917144775,1998-09-03
6.076737403869629,1998-09-04
5.997129917144775,1998-09-08
5.944057464599609,1998-09-09
5.015298843383789,1998-09-10
5.4133381843566895,1998-09-11
5.705234050750732,1998-09-14
5.466410160064697,1998-09-15
5.519482135772705,1998-09-16
5.439874172210693,1998-09-17
5.519482135772705,1998-09-18
5.386802673339844,1998-09-21
5.625626087188721,1998-09-22
5.731770038604736,1998-09-23
5.837913990020752,1998-09-24
5.89098596572876,1998-09-25
5.851181507110596,1998-09-28
5.784841537475586,1998-09-29
5.784841537475586,1998-09-30
5.864449501037598,1998-10-01
5.784841537475586,1998-10-02
5.652162075042725,1998-10-05
5.466410160064697,1998-10-06
4.776474952697754,1998-10-07
4.544285774230957,1998-10-08
4.988762855529785,1998-10-09
5.784841537475586,1998-10-12
6.023665428161621,1998-10-13
6.28902530670166,1998-10-14
6.1828813552856445,1998-10-15
6.22268533706665,1998-10-16
6.050201416015625,1998-10-19
6.050201416015625,1998-10-20
6.076737403869629,1998-10-21
6.368633270263672,1998-10-22
6.713601112365723,1998-10-23
6.6870646476745605,1998-10-26
6.368633270263672,1998-10-27
6.342097282409668,1998-10-28
6.35536527633667,1998-10-29
6.514581203460693,1998-10-30
6.368633270263672,1998-11-02
6.580920696258545,1998-11-03
7.41680383682251,1998-11-04
7.907719135284424,1998-11-05
8.30575942993164,1998-11-06
8.30575942993164,1998-11-09
7.748503684997559,1998-11-10
7.642360210418701,1998-11-11
8.09347152709961,1998-11-12
8.000596046447754,1998-11-13
8.027132034301758,1998-11-16
7.934255599975586,1998-11-17
7.7750396728515625,1998-11-18
7.801575660705566,1998-11-19
7.403535842895508,1998-11-20
7.668896198272705,1998-11-23
7.907719135284424,1998-11-24
8.30575942993164,1998-11-25
9.340662002563477,1998-11-27
8.518047332763672,1998-11-30
8.09347152709961,1998-12-01
8.199615478515625,1998-12-02
8.212883949279785,1998-12-03
8.491510391235352,1998-12-04
9.314126014709473,1998-12-07
9.97752571105957,1998-12-08
11.03896427154541,1998-12-09
10.614388465881348,1998-12-10
10.720532417297363,1998-12-11
10.2959566116333,1998-12-14
10.455172538757324,1998-12-15
10.455172538757324,1998-12-16
11.02569580078125,1998-12-17
10.853212356567383,1998-12-18
12.286154747009277,1998-12-21
12.591318130493164,1998-12-22
13.957921028137207,1998-12-23
15.205111503601074,1998-12-24
13.493541717529297,1998-12-28
13.798705101013184,1998-12-29
13.122038841247559,1998-12-30
12.551514625549316,1998-12-31
12.737266540527344,1999-01-04
13.480274200439453,1999-01-05
14.22327995300293,1999-01-06
16.027727127075195,1999-01-07
15.284720420837402,1999-01-08
15.629687309265137,1999-01-11
14.329424858093262,1999-01-12
14.064064979553223,1999-01-13
14.38249683380127,1999-01-14
15.497007369995117,1999-01-15
18.814002990722656,1999-01-19
17.460670471191406,1999-01-20
16.240015029907227,1999-01-21
16.770734786987305,1999-01-22
16.412498474121094,1999-01-25
17.30145263671875,1999-01-26
19.105899810791016,1999-01-27
19.848905563354492,1999-01-28
20.220409393310547,1999-01-29
19.371259689331055,1999-02-01
20.26021385192871,1999-02-02
20.01475715637207,1999-02-03
19.026290893554688,1999-02-04
18.893611907958984,1999-02-05
18.73439598083496,1999-02-08
17.699493408203125,1999-02-09
17.195310592651367,1999-02-10
19.95505142211914,1999-02-11
19.105899810791016,1999-02-12
18.893611907958984,1999-02-16
18.469036102294922,1999-02-17
18.73439598083496,1999-02-18
19.371259689331055,1999-02-19
20.618450164794922,1999-02-22
23.033222198486328,1999-02-23
21.918712615966797,1999-02-24
20.724594116210938,1999-02-25
20.804203033447266,1999-02-26
21.281848907470703,1999-03-01
20.26021385192871,1999-03-02
20.565378189086914,1999-03-03
20.69805908203125,1999-03-04
22.131000518798828,1999-03-05
25.262245178222656,1999-03-08
26.283878326416016,1999-03-09
26.16446876525879,1999-03-10
26.270610809326172,1999-03-11
25.42146110534668,1999-03-12
26.071592330932617,1999-03-15
26.429828643798828,1999-03-16
25.68682098388672,1999-03-17
25.15610122680664,1999-03-18
24.91727638244629,1999-03-19
25.315317153930664,1999-03-22
24.519237518310547,1999-03-23
25.872573852539062,1999-03-24
28.64558219909668,1999-03-25
28.23427391052246,1999-03-26
29.348785400390625,1999-03-29
28.579240798950195,1999-03-30
32.692317962646484,1999-03-31
31.79009437561035,1999-04-01
33.010746002197266,1999-04-05
34.20486831665039,1999-04-06
31.975847244262695,1999-04-07
31.113426208496094,1999-04-08
32.42695617675781,1999-04-09
37.46879196166992,1999-04-12
36.6196403503418,1999-04-13
34.337547302246094,1999-04-14
33.236305236816406,1999-04-15
30.6490478515625,1999-04-16
23.351655960083008,1999-04-19
23.882373809814453,1999-04-20
30.914405822753906,1999-04-21
31.139963150024414,1999-04-22
27.822965621948242,1999-04-23
30.01218605041504,1999-04-26
26.336952209472656,1999-04-27
21.918712615966797,1999-04-28
23.351655960083008,1999-04-29
24.413095474243164,1999-04-30
23.74969482421875,1999-05-03
21.467601776123047,1999-05-04
23.431262969970703,1999-05-05
22.210609436035156,1999-05-06
22.71479034423828,1999-05-07
23.9885196685791,1999-05-10
25.474533081054688,1999-05-11
25.63374900817871,1999-05-12
26.920743942260742,1999-05-13
27.18610382080078,1999-05-14
27.418292999267578,1999-05-17
27.33205223083496,1999-05-18
28.181201934814453,1999-05-19
29.627412796020508,1999-05-20
29.12322998046875,1999-05-21
26.32368278503418,1999-05-24
23.74969482421875,1999-05-25
22.449432373046875,1999-05-26
23.590478897094727,1999-05-27
25.15610122680664,1999-05-28
23.776229858398438,1999-06-01
25.527605056762695,1999-06-02
24.2008056640625,1999-06-03
25.15610122680664,1999-06-04
26.005252838134766,1999-06-07
24.837669372558594,1999-06-08
24.8907413482666,1999-06-09
24.2008056640625,1999-06-10
23.139366149902344,1999-06-11
20.91034507751465,1999-06-14
21.069561004638672,1999-06-15
23.74969482421875,1999-06-16
24.04159164428711,1999-06-17
27.995450973510742,1999-06-18
29.773361206054688,1999-06-21
28.79153060913086,1999-06-22
28.44655990600586,1999-06-23
30.967477798461914,1999-06-24
29.083425521850586,1999-06-25
31.41859245300293,1999-06-28
33.063819885253906,1999-06-29
36.6196403503418,1999-06-30
35.054019927978516,1999-07-01
36.06238555908203,1999-07-02
37.389183044433594,1999-07-06
36.460426330566406,1999-07-07
38.052581787109375,1999-07-08
37.78722381591797,1999-07-09
35.70415115356445,1999-07-12
34.89480209350586,1999-07-13
37.68107986450195,1999-07-14
39.40591812133789,1999-07-15
40.0162467956543,1999-07-16
36.88500213623047,1999-07-19
35.02748489379883,1999-07-20
36.27467346191406,1999-07-21
32.347347259521484,1999-07-22
34.97441101074219,1999-07-23
31.949310302734375,1999-07-26
32.82499694824219,1999-07-27
32.7984619140625,1999-07-28
32.21467208862305,1999-07-29
31.471664428710938,1999-07-30
30.569440841674805,1999-08-02
27.703556060791016,1999-08-03
25.023422241210938,1999-08-04
29.773361206054688,1999-08-05
29.826433181762695,1999-08-06
27.968914031982422,1999-08-09
29.93257713317871,1999-08-10
31.047086715698242,1999-08-11
33.435325622558594,1999-08-12
35.239768981933594,1999-08-13
36.43389129638672,1999-08-16
37.893367767333984,1999-08-17
38.45062255859375,1999-08-18
37.46879196166992,1999-08-19
36.911537170410156,1999-08-20
40.2816047668457,1999-08-23
42.74945068359375,1999-08-24
45.11115264892578,1999-08-25
46.91559600830078,1999-08-26
43.46592330932617,1999-08-27
44.739646911621094,1999-08-30
45.986839294433594,1999-08-31
45.8276252746582,1999-09-01
43.917030334472656,1999-09-02
46.38488006591797,1999-09-03
47.605533599853516,1999-09-07
47.07481384277344,1999-09-08
46.96866989135742,1999-09-09
47.71167755126953,1999-09-10
45.80108642578125,1999-09-13
47.12788772583008,1999-09-14
46.22566223144531,1999-09-15
45.535728454589844,1999-09-16
46.809452056884766,1999-09-17
49.250762939453125,1999-09-20
45.90723419189453,1999-09-21
44.97847366333008,1999-09-22
44.58042907714844,1999-09-23
43.35977554321289,1999-09-24
44.341609954833984,1999-09-27
43.62513732910156,1999-09-28
44.15585708618164,1999-09-29
45.2172966003418,1999-09-30
44.30180358886719,1999-10-01
43.6782112121582,1999-10-04
47.71167755126953,1999-10-05
48.560829162597656,1999-10-06
50.78984832763672,1999-10-07
48.93233108520508,1999-10-08
50.365272521972656,1999-10-11
48.958866119384766,1999-10-12
46.066444396972656,1999-10-13
46.650238037109375,1999-10-14
45.03154373168945,1999-10-15
43.43938446044922,1999-10-18
44.52736282348633,1999-10-19
44.660037994384766,1999-10-20
48.242393493652344,1999-10-21
47.552459716796875,1999-10-22
46.411415100097656,1999-10-25
49.09154510498047,1999-10-26
48.61389923095703,1999-10-27
54.13338088989258,1999-10-28
52.435081481933594,1999-10-29
