MPC,Date
12.81925106048584,2011-06-24
12.956908226013184,2011-06-27
13.31825065612793,2011-06-28
13.78972339630127,2011-06-29
14.247430801391602,2011-06-30
14.522746086120605,2011-07-01
14.526180267333984,2011-07-05
14.416058540344238,2011-07-06
14.378202438354492,2011-07-07
14.250872611999512,2011-07-08
13.800048828125,2011-07-11
13.930819511413574,2011-07-12
13.75186824798584,2011-07-13
13.29760456085205,2011-07-14
13.476557731628418,2011-07-15
13.462790489196777,2011-07-18
13.676161766052246,2011-07-19
13.603891372680664,2011-07-20
13.800048828125,2011-07-21
13.961793899536133,2011-07-22
14.237106323242188,2011-07-25
14.815263748168945,2011-07-26
14.474566459655762,2011-07-27
14.722343444824219,2011-07-28
15.069930076599121,2011-07-29
15.476015090942383,2011-08-01
14.567482948303223,2011-08-02
14.257759094238281,2011-08-03
13.221895217895508,2011-08-04
12.839897155761719,2011-08-05
11.126079559326172,2011-08-08
12.423480033874512,2011-08-09
12.086226463317871,2011-08-10
12.850221633911133,2011-08-11
12.874310493469238,2011-08-12
13.528228759765625,2011-08-15
13.445198059082031,2011-08-16
13.528228759765625,2011-08-17
12.666715621948242,2011-08-18
12.106215476989746,2011-08-19
11.268914222717285,2011-08-22
11.850174903869629,2011-08-23
12.396842956542969,2011-08-24
11.895155906677246,2011-08-25
12.064691543579102,2011-08-26
12.455663681030273,2011-08-29
12.466044425964355,2011-08-30
12.822408676147461,2011-08-31
12.805109977722168,2011-09-01
12.254989624023438,2011-09-02
12.109672546386719,2011-09-06
12.556000709533691,2011-09-07
13.054221153259277,2011-09-08
12.576757431030273,2011-09-09
12.684011459350586,2011-09-12
12.227309226989746,2011-09-13
12.12004566192627,2011-09-14
12.254989624023438,2011-09-15
12.144270896911621,2011-09-16
11.60798454284668,2011-09-19
11.656424522399902,2011-09-20
11.21009635925293,2011-09-21
10.196343421936035,2011-09-22
10.217103004455566,2011-09-23
10.414316177368164,2011-09-26
10.320901870727539,2011-09-27
10.026806831359863,2011-09-28
9.632376670837402,2011-09-29
9.362506866455078,2011-09-30
9.393646240234375,2011-10-03
9.950690269470215,2011-10-04
10.89178466796875,2011-10-05
11.518026351928711,2011-10-06
10.933303833007812,2011-10-07
11.407310485839844,2011-10-10
11.46959114074707,2011-10-11
11.614907264709473,2011-10-12
11.684102058410645,2011-10-13
12.504104614257812,2011-10-14
12.088912010192871,2011-10-17
12.521401405334473,2011-10-18
12.317264556884766,2011-10-19
12.625200271606445,2011-10-20
12.922748565673828,2011-10-21
12.403762817382812,2011-10-24
11.407310485839844,2011-10-25
12.016256332397461,2011-10-26
12.915827751159668,2011-10-27
12.912368774414062,2011-10-28
12.421063423156738,2011-10-31
12.455663681030273,2011-11-01
13.261821746826172,2011-11-02
13.379456520080566,2011-11-03
13.362157821655273,2011-11-04
13.465953826904297,2011-11-07
13.185699462890625,2011-11-08
12.808570861816406,2011-11-09
13.04384708404541,2011-11-10
13.06806468963623,2011-11-11
12.785942077636719,2011-11-14
12.879985809326172,2011-11-15
11.36838150024414,2011-11-16
11.013120651245117,2011-11-17
11.431071281433105,2011-11-18
11.43803882598877,2011-11-21
11.674881935119629,2011-11-22
11.434561729431152,2011-11-23
11.239510536193848,2011-11-25
11.591289520263672,2011-11-28
11.552977561950684,2011-11-29
11.62960147857666,2011-11-30
11.824650764465332,2011-12-01
11.601739883422852,2011-12-02
11.981383323669434,2011-12-05
12.064972877502441,2011-12-06
12.016210556030273,2011-12-07
11.849031448364258,2011-12-08
12.148568153381348,2011-12-09
12.047558784484863,2011-12-12
11.824650764465332,2011-12-13
11.382314682006836,2011-12-14
11.330068588256836,2011-12-15
11.131538391113281,2011-12-16
11.12457275390625,2011-12-19
11.215130805969238,2011-12-20
11.378829956054688,2011-12-21
11.601739883422852,2011-12-22
11.678361892700195,2011-12-23
11.720161437988281,2011-12-27
11.542529106140137,2011-12-28
11.591289520263672,2011-12-29
11.594772338867188,2011-12-30
11.636565208435059,2012-01-03
11.75847053527832,2012-01-04
11.117609024047852,2012-01-05
11.027050971984863,2012-01-06
10.783243179321289,2012-01-09
11.086259841918945,2012-01-10
11.45545482635498,2012-01-11
11.36838150024414,2012-01-12
11.504215240478516,2012-01-13
11.681844711303711,2012-01-17
12.350573539733887,2012-01-18
12.486411094665527,2012-01-19
12.946163177490234,2012-01-20
13.189971923828125,2012-01-23
13.5974760055542,2012-01-24
13.499947547912598,2012-01-25
13.064579010009766,2012-01-26
13.071547508239746,2012-01-27
13.054134368896484,2012-01-30
13.311873435974121,2012-01-31
14.586638450622559,2012-02-01
14.823474884033203,2012-02-02
15.318055152893066,2012-02-03
15.471304893493652,2012-02-06
15.297158241271973,2012-02-07
15.655904769897461,2012-02-08
15.617596626281738,2012-02-09
15.35287857055664,2012-02-10
15.14391040802002,2012-02-13
15.420659065246582,2012-02-14
15.308552742004395,2012-02-15
15.445178031921387,2012-02-16
15.217474937438965,2012-02-17
15.347091674804688,2012-02-21
15.245500564575195,2012-02-22
15.305051803588867,2012-02-23
15.014299392700195,2012-02-24
14.926717758178711,2012-02-27
14.597423553466797,2012-02-28
14.555387496948242,2012-02-29
14.965250015258789,2012-03-01
14.776083946228027,2012-03-02
14.975760459899902,2012-03-05
14.709524154663086,2012-03-06
14.905702590942383,2012-03-07
15.287535667419434,2012-03-08
15.378616333007812,2012-03-09
15.336579322814941,2012-03-12
15.427657127380371,2012-03-13
15.382121086120605,2012-03-14
15.378616333007812,2012-03-15
15.480203628540039,2012-03-16
15.606319427490234,2012-03-19
15.34009075164795,2012-03-20
15.301549911499023,2012-03-21
15.192955017089844,2012-03-22
15.413652420043945,2012-03-23
15.83752155303955,2012-03-26
15.413652420043945,2012-03-27
15.259516716003418,2012-03-28
15.14741039276123,2012-03-29
15.18945598602295,2012-03-30
15.217474937438965,2012-04-02
14.853150367736816,2012-04-03
14.919709205627441,2012-04-04
14.758567810058594,2012-04-05
14.874167442321777,2012-04-09
14.653478622436523,2012-04-10
14.541376113891602,2012-04-11
14.628958702087402,2012-04-12
14.579909324645996,2012-04-13
14.015915870666504,2012-04-16
14.008910179138184,2012-04-17
13.963363647460938,2012-04-18
13.9213285446167,2012-04-19
13.977377891540527,2012-04-20
14.012411117553711,2012-04-23
14.103483200073242,2012-04-24
14.05094051361084,2012-04-25
14.240108489990234,2012-04-26
14.464306831359863,2012-04-27
14.576408386230469,2012-04-30
14.436281204223633,2012-05-01
14.534370422363281,2012-05-02
14.138517379760742,2012-05-03
13.9213285446167,2012-05-04
13.893301010131836,2012-05-07
13.493952751159668,2012-05-08
13.385354042053223,2012-05-09
13.381847381591797,2012-05-10
