MGM,Date
2.5827720165252686,1988-05-02
2.5827720165252686,1988-05-03
2.5827720165252686,1988-05-04
2.5827720165252686,1988-05-05
2.5827720165252686,1988-05-06
2.5827720165252686,1988-05-09
2.5827720165252686,1988-05-10
2.5827720165252686,1988-05-11
2.5827720165252686,1988-05-12
2.5827720165252686,1988-05-13
2.5827720165252686,1988-05-16
2.5827720165252686,1988-05-17
2.5827720165252686,1988-05-18
2.4653725624084473,1988-05-19
2.4653725624084473,1988-05-20
2.4653725624084473,1988-05-23
2.4653725624084473,1988-05-24
2.5240726470947266,1988-05-25
2.5240726470947266,1988-05-26
2.5827720165252686,1988-05-27
2.5827720165252686,1988-05-31
2.5827720165252686,1988-06-01
2.5827720165252686,1988-06-02
2.7001700401306152,1988-06-03
2.7001700401306152,1988-06-06
2.7001700401306152,1988-06-07
2.7588698863983154,1988-06-08
2.7588698863983154,1988-06-09
2.7588698863983154,1988-06-10
2.7588698863983154,1988-06-13
2.7588698863983154,1988-06-14
2.7588698863983154,1988-06-15
2.7588698863983154,1988-06-16
2.7588698863983154,1988-06-17
2.7588698863983154,1988-06-20
2.7588698863983154,1988-06-21
2.8175692558288574,1988-06-22
2.8175692558288574,1988-06-23
2.8175692558288574,1988-06-24
2.8762686252593994,1988-06-27
2.8762686252593994,1988-06-28
2.8762686252593994,1988-06-29
2.8762686252593994,1988-06-30
2.9349679946899414,1988-07-01
2.9349679946899414,1988-07-05
2.9349679946899414,1988-07-06
2.9349679946899414,1988-07-07
2.9349679946899414,1988-07-08
2.9349679946899414,1988-07-11
2.9349679946899414,1988-07-12
3.0523664951324463,1988-07-13
3.0523664951324463,1988-07-14
3.0523664951324463,1988-07-15
3.0523664951324463,1988-07-18
3.0523664951324463,1988-07-19
3.0523664951324463,1988-07-20
3.0523664951324463,1988-07-21
3.0523664951324463,1988-07-22
3.0523664951324463,1988-07-25
3.0523664951324463,1988-07-26
2.9936671257019043,1988-07-27
2.8762686252593994,1988-07-28
2.8175692558288574,1988-07-29
2.8175692558288574,1988-08-01
2.8175692558288574,1988-08-02
2.8175692558288574,1988-08-03
2.8175692558288574,1988-08-04
2.8175692558288574,1988-08-05
2.8175692558288574,1988-08-08
2.8175692558288574,1988-08-09
2.8175692558288574,1988-08-10
2.8175692558288574,1988-08-11
2.8175692558288574,1988-08-12
2.7001700401306152,1988-08-15
