CSCO,Date
0.05239178612828255,1990-02-16
0.05415770038962364,1990-02-20
0.052980415523052216,1990-02-21
0.05356905236840248,1990-02-22
0.053274743258953094,1990-02-23
0.05180314928293228,1990-02-26
0.052980415523052216,1990-02-27
0.05474630743265152,1990-02-28
0.05415770038962364,1990-03-01
0.05474630743265152,1990-03-02
0.05415770038962364,1990-03-05
0.05415770038962364,1990-03-06
0.052980415523052216,1990-03-07
0.05239178612828255,1990-03-08
0.05239178612828255,1990-03-09
0.05356905236840248,1990-03-12
0.055334944278001785,1990-03-13
0.061221979558467865,1990-03-14
0.05827878788113594,1990-03-15
0.059456076472997665,1990-03-16
0.061221979558467865,1990-03-19
0.055923592299222946,1990-03-20
0.05651223286986351,1990-03-21
0.052980415523052216,1990-03-22
0.05474630743265152,1990-03-23
0.05710085481405258,1990-03-26
0.05827878788113594,1990-03-27
0.057689499109983444,1990-03-28
0.057689499109983444,1990-03-29
0.055334944278001785,1990-03-30
0.05415770038962364,1990-04-02
0.05474630743265152,1990-04-03
0.05474630743265152,1990-04-04
0.054451990872621536,1990-04-05
0.05356905236840248,1990-04-06
0.052980415523052216,1990-04-09
0.05180314928293228,1990-04-10
0.05180314928293228,1990-04-11
0.05239178612828255,1990-04-12
0.05239178612828255,1990-04-16
0.052980415523052216,1990-04-17
0.05356905236840248,1990-04-18
0.05415770038962364,1990-04-19
0.05239178612828255,1990-04-20
0.052980415523052216,1990-04-23
0.05386337265372276,1990-04-24
0.05415770038962364,1990-04-25
0.05415770038962364,1990-04-26
0.05356905236840248,1990-04-27
0.055923592299222946,1990-04-30
0.056806523352861404,1990-05-01
0.055923592299222946,1990-05-02
0.057689499109983444,1990-05-03
0.05827878788113594,1990-05-04
0.05886741355061531,1990-05-07
0.059456076472997665,1990-05-08
0.05827878788113594,1990-05-09
0.057689499109983444,1990-05-10
0.05827878788113594,1990-05-11
0.05827878788113594,1990-05-14
0.05857311934232712,1990-05-15
0.05827878788113594,1990-05-16
0.05886741355061531,1990-05-17
0.057689499109983444,1990-05-18
0.057689499109983444,1990-05-21
0.057689499109983444,1990-05-22
0.05710085481405258,1990-05-23
0.05827878788113594,1990-05-24
0.05651223286986351,1990-05-25
0.055923592299222946,1990-05-29
0.055334944278001785,1990-05-30
0.05827878788113594,1990-05-31
0.05886741355061531,1990-06-01
0.060633331537246704,1990-06-04
0.06298787146806717,1990-06-05
0.06239926815032959,1990-06-06
0.060633331537246704,1990-06-07
0.059456076472997665,1990-06-08
0.05916175618767738,1990-06-11
0.06475377827882767,1990-06-12
0.06534241139888763,1990-06-13
0.065931037068367,1990-06-14
0.06475377827882767,1990-06-15
0.06357650458812714,1990-06-18
0.06298787146806717,1990-06-19
0.06357650458812714,1990-06-20
0.0641651526093483,1990-06-21
0.0641651526093483,1990-06-22
0.06328217685222626,1990-06-25
0.06239926815032959,1990-06-26
0.06239926815032959,1990-06-27
0.061810605227947235,1990-06-28
0.06239926815032959,1990-06-29
0.06298787146806717,1990-07-02
0.06298787146806717,1990-07-03
0.062104932963848114,1990-07-05
0.062104932963848114,1990-07-06
0.061810605227947235,1990-07-09
0.06357650458812714,1990-07-10
0.06475377827882767,1990-07-11
0.0676969364285469,1990-07-12
0.07122943550348282,1990-07-13
0.06946352124214172,1990-07-16
0.065931037068367,1990-07-17
0.06710828840732574,1990-07-18
0.065931037068367,1990-07-19
0.065931037068367,1990-07-20
0.061810605227947235,1990-07-23
0.05827878788113594,1990-07-24
0.06004469841718674,1990-07-25
0.061221979558467865,1990-07-26
0.060633331537246704,1990-07-27
0.061221979558467865,1990-07-30
0.06004469841718674,1990-07-31
0.06004469841718674,1990-08-01
0.05886741355061531,1990-08-02
0.05710085481405258,1990-08-03
0.05651223286986351,1990-08-06
0.05739516392350197,1990-08-07
0.05651223286986351,1990-08-08
0.059456076472997665,1990-08-09
0.05651223286986351,1990-08-10
0.055629272013902664,1990-08-13
0.05474630743265152,1990-08-14
0.055923592299222946,1990-08-15
0.05474630743265152,1990-08-16
0.05827878788113594,1990-08-17
0.05827878788113594,1990-08-20
0.055334944278001785,1990-08-21
0.05710085481405258,1990-08-22
0.052980415523052216,1990-08-23
0.055923592299222946,1990-08-24
0.059456076472997665,1990-08-27
0.05886741355061531,1990-08-28
0.05827878788113594,1990-08-29
0.05827878788113594,1990-08-30
0.05827878788113594,1990-08-31
0.05827878788113594,1990-09-04
0.05886741355061531,1990-09-05
0.05710085481405258,1990-09-06
0.05886741355061531,1990-09-07
0.05827878788113594,1990-09-10
0.05827878788113594,1990-09-11
0.05886741355061531,1990-09-12
0.05827878788113594,1990-09-13
0.05827878788113594,1990-09-14
0.061221979558467865,1990-09-17
0.06298787146806717,1990-09-18
0.06004469841718674,1990-09-19
0.06004469841718674,1990-09-20
0.05827878788113594,1990-09-21
0.05710085481405258,1990-09-24
0.057689499109983444,1990-09-25
0.055923592299222946,1990-09-26
0.053274743258953094,1990-09-27
0.052980415523052216,1990-09-28
0.05710085481405258,1990-10-01
0.05651223286986351,1990-10-02
0.05474630743265152,1990-10-03
0.05651223286986351,1990-10-04
0.055334944278001785,1990-10-05
0.05621789023280144,1990-10-08
0.05239178612828255,1990-10-09
0.04827133193612099,1990-10-10
0.04827133193612099,1990-10-11
0.051214512437582016,1990-10-12
0.050920192152261734,1990-10-15
0.05415770038962364,1990-10-16
0.05710085481405258,1990-10-17
0.06239926815032959,1990-10-18
0.0676969364285469,1990-10-19
0.0700521320104599,1990-10-22
0.07152373343706131,1990-10-23
0.0735839456319809,1990-10-24
0.0735839456319809,1990-10-25
0.06828559935092926,1990-10-26
0.065931037068367,1990-10-29
0.06710828840732574,1990-10-30
0.06946352124214172,1990-10-31
0.06946352124214172,1990-11-01
0.07122943550348282,1990-11-02
0.0735839456319809,1990-11-05
0.07476120442152023,1990-11-06
0.07064076513051987,1990-11-07
0.07976527512073517,1990-11-08
0.08300276100635529,1990-11-09
0.08241411298513412,1990-11-12
0.08359141647815704,1990-11-13
0.08447433263063431,1990-11-14
0.08594594895839691,1990-11-15
