CBRL,Date
0.2918192744255066,1981-11-05
0.2918192744255066,1981-11-06
0.2918192744255066,1981-11-09
0.2845238447189331,1981-11-10
0.2845238447189331,1981-11-11
0.2845238447189331,1981-11-12
0.2845238447189331,1981-11-13
0.27722832560539246,1981-11-16
0.27722832560539246,1981-11-17
0.27722832560539246,1981-11-18
0.27722832560539246,1981-11-19
0.27722832560539246,1981-11-20
0.27722832560539246,1981-11-23
0.27722832560539246,1981-11-24
0.27722832560539246,1981-11-25
0.27722832560539246,1981-11-27
0.2699328362941742,1981-11-30
0.26263725757598877,1981-12-01
0.26263725757598877,1981-12-02
0.26263725757598877,1981-12-03
0.25534167885780334,1981-12-04
0.25534167885780334,1981-12-07
0.2480461597442627,1981-12-08
0.2480461597442627,1981-12-09
0.25534167885780334,1981-12-10
0.2480461597442627,1981-12-11
0.2407507300376892,1981-12-14
0.2480461597442627,1981-12-15
0.2480461597442627,1981-12-16
0.2480461597442627,1981-12-17
0.25534167885780334,1981-12-18
0.25534167885780334,1981-12-21
0.25534167885780334,1981-12-22
0.2480461597442627,1981-12-23
0.2480461597442627,1981-12-24
0.2407507300376892,1981-12-28
0.2407507300376892,1981-12-29
0.2407507300376892,1981-12-30
0.2407507300376892,1981-12-31
0.2407507300376892,1982-01-04
0.2407507300376892,1982-01-05
0.2407507300376892,1982-01-06
0.2407507300376892,1982-01-07
0.2480461597442627,1982-01-08
0.2407507300376892,1982-01-11
0.2407507300376892,1982-01-12
0.2407507300376892,1982-01-13
0.23345518112182617,1982-01-14
0.23710297048091888,1982-01-15
0.23345518112182617,1982-01-18
0.22615961730480194,1982-01-19
0.22615961730480194,1982-01-20
0.22980743646621704,1982-01-21
0.22615961730480194,1982-01-22
0.21886418759822845,1982-01-25
0.21886418759822845,1982-01-26
0.21156910061836243,1982-01-27
0.21886418759822845,1982-01-28
0.21886418759822845,1982-01-29
0.22615961730480194,1982-02-01
0.22615961730480194,1982-02-02
0.22615961730480194,1982-02-03
0.22615961730480194,1982-02-04
0.23345518112182617,1982-02-05
0.2480461597442627,1982-02-08
0.2407507300376892,1982-02-09
0.2480461597442627,1982-02-10
0.2480461597442627,1982-02-11
0.2480461597442627,1982-02-12
0.2480461597442627,1982-02-16
0.2480461597442627,1982-02-17
0.2480461597442627,1982-02-18
0.2480461597442627,1982-02-19
0.2480461597442627,1982-02-22
0.2480461597442627,1982-02-23
0.2480461597442627,1982-02-24
0.2480461597442627,1982-02-25
0.2480461597442627,1982-02-26
0.2480461597442627,1982-03-01
0.2480461597442627,1982-03-02
0.2480461597442627,1982-03-03
0.2480461597442627,1982-03-04
0.2480461597442627,1982-03-05
0.2480461597442627,1982-03-08
0.2407507300376892,1982-03-09
0.2407507300376892,1982-03-10
0.2407507300376892,1982-03-11
0.2407507300376892,1982-03-12
0.2407507300376892,1982-03-15
0.2480461597442627,1982-03-16
0.2480461597442627,1982-03-17
0.2480461597442627,1982-03-18
0.2480461597442627,1982-03-19
0.25534167885780334,1982-03-22
0.25534167885780334,1982-03-23
0.25534167885780334,1982-03-24
