FOXA,Date
35.15864181518555,2019-03-12
36.77778244018555,2019-03-13
37.61050033569336,2019-03-14
38.58198165893555,2019-03-15
38.58198165893555,2019-03-18
37.32366943359375,2019-03-19
35.732276916503906,2019-03-20
37.0275993347168,2019-03-21
35.82479476928711,2019-03-22
34.6405143737793,2019-03-25
34.7330322265625,2019-03-26
34.159393310546875,2019-03-27
33.67828369140625,2019-03-28
33.965091705322266,2019-03-29
34.094627380371094,2019-04-01
33.56725311279297,2019-04-02
33.382205963134766,2019-04-03
34.0113525390625,2019-04-04
34.86256408691406,2019-04-05
34.66826629638672,2019-04-08
34.520233154296875,2019-04-09
33.75229263305664,2019-04-10
34.31668472290039,2019-04-11
34.72377395629883,2019-04-12
34.72377395629883,2019-04-15
34.927330017089844,2019-04-16
35.935829162597656,2019-04-17
35.56574249267578,2019-04-18
34.881072998046875,2019-04-22
35.232666015625,2019-04-23
35.12163543701172,2019-04-24
35.29742431640625,2019-04-25
35.60274887084961,2019-04-26
36.26891326904297,2019-04-29
36.074615478515625,2019-04-30
36.45396423339844,2019-05-01
34.49247741699219,2019-05-02
34.66826629638672,2019-05-03
35.084617614746094,2019-05-06
34.47397232055664,2019-05-07
34.622005462646484,2019-05-08
35.621253967285156,2019-05-09
35.64901351928711,2019-05-10
35.13088607788086,2019-05-13
35.05686569213867,2019-05-14
34.890323638916016,2019-05-15
33.99285888671875,2019-05-16
34.747013092041016,2019-05-17
34.57941818237305,2019-05-20
35.09149932861328,2019-05-21
34.5608024597168,2019-05-22
34.36527633666992,2019-05-23
34.37458801269531,2019-05-24
34.11389923095703,2019-05-28
33.32249450683594,2019-05-29
32.79179382324219,2019-05-30
32.80110168457031,2019-05-31
31.879364013671875,2019-06-03
32.102806091308594,2019-06-04
31.9910831451416,2019-06-05
31.76762580871582,2019-06-06
31.66520881652832,2019-06-07
31.683835983276367,2019-06-10
31.823495864868164,2019-06-11
32.63351058959961,2019-06-12
32.85696029663086,2019-06-13
32.81041717529297,2019-06-14
33.63905334472656,2019-06-17
33.69491195678711,2019-06-18
33.508705139160156,2019-06-19
33.12697219848633,2019-06-20
33.685604095458984,2019-06-21
33.33180236816406,2019-06-24
32.90352249145508,2019-06-25
33.024559020996094,2019-06-26
33.508705139160156,2019-06-27
34.11389923095703,2019-06-28
33.44353103637695,2019-07-01
34.06734085083008,2019-07-02
33.84389114379883,2019-07-03
34.07665252685547,2019-07-05
33.63905334472656,2019-07-08
33.5366325378418,2019-07-09
33.64836120605469,2019-07-10
33.78802490234375,2019-07-11
34.41183090209961,2019-07-12
34.4583854675293,2019-07-15
34.16044616699219,2019-07-16
33.676292419433594,2019-07-17
34.03009796142578,2019-07-18
33.91836929321289,2019-07-19
33.61111831665039,2019-07-22
33.72285079956055,2019-07-23
34.07665252685547,2019-07-24
34.60734939575195,2019-07-25
34.64459228515625,2019-07-26
34.92390823364258,2019-07-29
35.2125358581543,2019-07-30
34.747013092041016,2019-07-31
34.34665298461914,2019-08-01
34.10458755493164,2019-08-02
33.56456756591797,2019-08-05
33.93699264526367,2019-08-06
34.4863166809082,2019-08-07
32.70800018310547,2019-08-08
32.95938491821289,2019-08-09
32.540409088134766,2019-08-12
32.64282989501953,2019-08-13
31.367273330688477,2019-08-14
30.492080688476562,2019-08-15
30.715538024902344,2019-08-16
31.534868240356445,2019-08-19
31.274169921875,2019-08-20
31.10658073425293,2019-08-21
30.77139663696289,2019-08-22
29.56102752685547,2019-08-23
29.868276596069336,2019-08-26
29.728614807128906,2019-08-27
29.59827423095703,2019-08-28
30.482778549194336,2019-08-29
30.883127212524414,2019-08-30
30.72374153137207,2019-09-03
31.464412689208984,2019-09-04
32.111328125,2019-09-05
32.09257888793945,2019-09-06
32.158203125,2019-09-09
32.158203125,2019-09-10
31.87693977355957,2019-09-11
31.680055618286133,2019-09-12
31.717552185058594,2019-09-13
31.501911163330078,2019-09-16
30.808122634887695,2019-09-17
30.60186195373535,2019-09-18
30.039325714111328,2019-09-19
30.25496482849121,2019-09-20
30.25496482849121,2019-09-23
29.61742401123047,2019-09-24
30.011198043823242,2019-09-25
29.486169815063477,2019-09-26
29.476791381835938,2019-09-27
29.565858840942383,2019-09-30
29.28927993774414,2019-10-01
28.520483016967773,2019-10-02
28.5579833984375,2019-10-03
28.661117553710938,2019-10-04
28.689245223999023,2019-10-07
28.17827796936035,2019-10-08
28.34234619140625,2019-10-09
28.614238739013672,2019-10-10
29.495542526245117,2019-10-11
29.429912567138672,2019-10-14
29.720558166503906,2019-10-15
29.99245262145996,2019-10-16
29.983074188232422,2019-10-17
30.198707580566406,2019-10-18
30.695621490478516,2019-10-21
31.36128044128418,2019-10-22
31.164396286010742,2019-10-23
30.28308868408203,2019-10-24
30.38622283935547,2019-10-25
30.930004119873047,2019-10-28
30.789369583129883,2019-10-29
30.07682991027832,2019-10-30
30.039325714111328,2019-10-31
30.36747169494629,2019-11-01
30.517478942871094,2019-11-04
30.784679412841797,2019-11-05
31.033132553100586,2019-11-06
32.75823974609375,2019-11-07
32.94575119018555,2019-11-08
32.80512237548828,2019-11-11
32.33165740966797,2019-11-12
