NXPI,Date
12.834774017333984,2010-08-06
12.834774017333984,2010-08-09
12.46806526184082,2010-08-10
11.688811302185059,2010-08-11
11.35877513885498,2010-08-12
11.001233100891113,2010-08-13
10.799545288085938,2010-08-16
11.202921867370605,2010-08-17
11.001233100891113,2010-08-18
10.588689804077148,2010-08-19
10.221979141235352,2010-08-20
10.066128730773926,2010-08-23
9.791099548339844,2010-08-24
9.85527229309082,2010-08-25
10.084463119506836,2010-08-26
10.185309410095215,2010-08-27
10.176140785217285,2010-08-30
10.157805442810059,2010-08-31
10.753706932067871,2010-09-01
10.882054328918457,2010-09-02
10.90038776397705,2010-09-03
11.028736114501953,2010-09-07
11.147912979125977,2010-09-08
10.909555435180664,2010-09-09
10.982895851135254,2010-09-10
10.94622802734375,2010-09-13
11.2212553024292,2010-09-14
11.43211841583252,2010-09-15
11.019569396972656,2010-09-16
11.07457447052002,2010-09-17
11.63380241394043,2010-09-20
11.46878433227539,2010-09-21
11.166254043579102,2010-09-22
11.001233100891113,2010-09-23
11.202921867370605,2010-09-24
11.230426788330078,2010-09-27
11.560462951660156,2010-09-28
11.50545597076416,2010-09-29
11.35877513885498,2010-09-30
11.331270217895508,2010-10-01
11.322102546691895,2010-10-04
11.322102546691895,2010-10-05
11.43211841583252,2010-10-06
10.863718032836914,2010-10-07
10.982895851135254,2010-10-08
11.047070503234863,2010-10-11
11.276265144348145,2010-10-12
11.065407752990723,2010-10-13
11.138747215270996,2010-10-14
10.94622802734375,2010-10-15
11.2212553024292,2010-10-18
11.10207748413086,2010-10-19
11.184585571289062,2010-10-20
11.230426788330078,2010-10-21
11.303768157958984,2010-10-22
11.340438842773438,2010-10-25
11.257929801940918,2010-10-26
11.707147598266602,2010-10-27
12.092190742492676,2010-10-28
12.092190742492676,2010-10-29
11.63380241394043,2010-11-01
12.165533065795898,2010-11-02
12.50473690032959,2010-11-03
12.807266235351562,2010-11-04
12.807266235351562,2010-11-05
12.623915672302246,2010-11-08
12.495566368103027,2010-11-09
12.211370468139648,2010-11-10
11.789653778076172,2010-11-11
11.752986907958984,2010-11-12
11.899667739868164,2010-11-15
11.771320343017578,2010-11-16
11.734648704528809,2010-11-17
11.826326370239258,2010-11-18
11.826326370239258,2010-11-19
11.908836364746094,2010-11-22
11.734648704528809,2010-11-23
11.606302261352539,2010-11-24
11.762150764465332,2010-11-26
11.6704740524292,2010-11-29
11.532959938049316,2010-11-30
12.156362533569336,2010-12-01
12.816437721252441,2010-12-02
14.796658515930176,2010-12-03
14.61330509185791,2010-12-06
15.007513999938965,2010-12-07
16.905231475830078,2010-12-08
17.537796020507812,2010-12-09
18.28955078125,2010-12-10
17.290273666381836,2010-12-13
17.171092987060547,2010-12-14
16.804380416870117,2010-12-15
16.905231475830078,2010-12-16
16.60269546508789,2010-12-17
17.051908493041992,2010-12-20
17.64781379699707,2010-12-21
18.564579010009766,2010-12-22
18.41790008544922,2010-12-23
18.518739700317383,2010-12-27
18.601253509521484,2010-12-28
18.986291885375977,2010-12-29
18.977127075195312,2010-12-30
19.1879825592041,2010-12-31
19.64636993408203,2011-01-03
20.17809295654297,2011-01-04
21.43406867980957,2011-01-05
21.305723190307617,2011-01-06
21.012357711791992,2011-01-07
21.470739364624023,2011-01-10
22.002466201782227,2011-01-11
21.635761260986328,2011-01-12
21.388233184814453,2011-01-13
21.443241119384766,2011-01-14
21.61742401123047,2011-01-18
21.049026489257812,2011-01-19
19.86639404296875,2011-01-20
20.141420364379883,2011-01-21
20.764829635620117,2011-01-24
22.25916290283203,2011-01-25
23.82683563232422,2011-01-26
23.909347534179688,2011-01-27
22.525026321411133,2011-01-28
23.597646713256836,2011-01-31
24.9636287689209,2011-02-01
24.926963806152344,2011-02-02
24.93613052368164,2011-02-03
25.073644638061523,2011-02-04
24.12020492553711,2011-02-07
24.18438148498535,2011-02-08
24.331066131591797,2011-02-09
23.99185562133789,2011-02-10
23.166765213012695,2011-02-11
23.322620391845703,2011-02-14
22.928409576416016,2011-02-15
24.688600540161133,2011-02-16
25.03697395324707,2011-02-17
26.861343383789062,2011-02-18
26.99886131286621,2011-02-22
26.045421600341797,2011-02-23
26.696327209472656,2011-02-24
28.007307052612305,2011-02-25
29.29078483581543,2011-02-28
27.48474884033203,2011-03-01
26.815505981445312,2011-03-02
28.575698852539062,2011-03-03
28.190656661987305,2011-03-04
26.732999801635742,2011-03-07
26.320451736450195,2011-03-08
25.467857360839844,2011-03-09
24.303558349609375,2011-03-10
25.17449188232422,2011-03-11
23.680150985717773,2011-03-14
24.09269905090332,2011-03-15
23.781002044677734,2011-03-16
24.697771072387695,2011-03-17
25.25699806213379,2011-03-18
25.53203010559082,2011-03-21
24.954463958740234,2011-03-22
24.81694793701172,2011-03-23
25.94457244873047,2011-03-24
25.55953598022461,2011-03-25
26.302112579345703,2011-03-28
28.685718536376953,2011-03-29
28.76822853088379,2011-03-30
27.47557830810547,2011-03-31
28.043975830078125,2011-04-01
28.539033889770508,2011-04-04
29.32745361328125,2011-04-05
30.49175262451172,2011-04-06
30.19839096069336,2011-04-07
29.905017852783203,2011-04-08
29.529146194458008,2011-04-11
28.438186645507812,2011-04-12
28.91490936279297,2011-04-13
29.519977569580078,2011-04-14
29.648326873779297,2011-04-15
29.0982608795166,2011-04-18
28.832399368286133,2011-04-19
30.766782760620117,2011-04-20
30.67510414123535,2011-04-21
30.67510414123535,2011-04-25
31.335172653198242,2011-04-26
30.638427734375,2011-04-27
30.31756591796875,2011-04-28
30.620105743408203,2011-04-29
30.290071487426758,2011-05-02
29.15326690673828,2011-05-03
29.162429809570312,2011-05-04
28.41985321044922,2011-05-05
28.328174591064453,2011-05-06
28.438186645507812,2011-05-09
27.613100051879883,2011-05-10
26.586315155029297,2011-05-11
27.356399536132812,2011-05-12
26.916353225708008,2011-05-13
25.35784339904785,2011-05-16
25.449522018432617,2011-05-17
26.329618453979492,2011-05-18
25.962909698486328,2011-05-19
26.457965850830078,2011-05-20
25.091981887817383,2011-05-23
24.945297241210938,2011-05-24
24.954463958740234,2011-05-25
26.17376708984375,2011-05-26
26.017919540405273,2011-05-27
26.15543556213379,2011-05-31
24.844453811645508,2011-06-01
24.303558349609375,2011-06-02
24.477745056152344,2011-06-03
24.340227127075195,2011-06-06
24.367733001708984,2011-06-07
23.33177947998047,2011-06-08
23.029245376586914,2011-06-09
22.31416893005371,2011-06-10
22.121644973754883,2011-06-13
23.276775360107422,2011-06-14
22.011638641357422,2011-06-15
22.277494430541992,2011-06-16
20.764829635620117,2011-06-17
20.94818115234375,2011-06-20
21.580759048461914,2011-06-21
21.269052505493164,2011-06-22
21.461576461791992,2011-06-23
21.507413864135742,2011-06-24
21.699934005737305,2011-06-27
23.084253311157227,2011-06-28
23.20343589782715,2011-06-29
24.505247116088867,2011-06-30
25.22032928466797,2011-07-01
24.67026710510254,2011-07-05
24.202714920043945,2011-07-06
24.331066131591797,2011-07-07
23.900175094604492,2011-07-08
22.928409576416016,2011-07-11
21.278217315673828,2011-07-12
20.865673065185547,2011-07-13
20.26060676574707,2011-07-14
19.88473129272461,2011-07-15
19.408004760742188,2011-07-18
20.26060676574707,2011-07-19
20.22393226623535,2011-07-20
19.9122314453125,2011-07-21
20.84733772277832,2011-07-22
20.003910064697266,2011-07-25
