MAT,Date
1.0265007019042969,1976-06-17
1.0596131086349487,1976-06-18
1.043056845664978,1976-06-21
1.0265007019042969,1976-06-22
0.943717896938324,1976-06-23
0.9768309593200684,1976-06-24
0.9933874607086182,1976-06-25
0.9933874607086182,1976-06-28
0.9602737426757812,1976-06-29
0.9933874607086182,1976-06-30
0.9602737426757812,1976-07-01
0.9602737426757812,1976-07-02
0.9271615147590637,1976-07-06
0.9602737426757812,1976-07-07
0.943717896938324,1976-07-08
1.0265007019042969,1976-07-09
1.0099436044692993,1976-07-12
0.9602737426757812,1976-07-13
0.943717896938324,1976-07-14
0.943717896938324,1976-07-15
0.943717896938324,1976-07-16
0.9271615147590637,1976-07-19
0.9106045365333557,1976-07-20
0.8940483927726746,1976-07-21
0.8940483927726746,1976-07-22
0.9106045365333557,1976-07-23
0.8940483927726746,1976-07-26
0.8609352707862854,1976-07-27
0.8443789482116699,1976-07-28
0.8443789482116699,1976-07-29
0.8609352707862854,1976-07-30
0.8443789482116699,1976-08-02
0.87749183177948,1976-08-03
0.87749183177948,1976-08-04
0.8609352707862854,1976-08-05
0.8443789482116699,1976-08-06
0.8278228044509888,1976-08-09
0.8278228044509888,1976-08-10
0.8278228044509888,1976-08-11
0.8278228044509888,1976-08-12
0.8443789482116699,1976-08-13
0.8278228044509888,1976-08-16
0.8443789482116699,1976-08-17
0.8609352707862854,1976-08-18
0.8443789482116699,1976-08-19
0.8443789482116699,1976-08-20
0.8112660050392151,1976-08-23
0.7947099208831787,1976-08-24
0.7947099208831787,1976-08-25
0.7781540155410767,1976-08-26
0.7781540155410767,1976-08-27
0.7781540155410767,1976-08-30
0.7781540155410767,1976-08-31
0.7781540155410767,1976-09-01
0.7947099208831787,1976-09-02
0.7450405359268188,1976-09-03
0.7781540155410767,1976-09-07
0.7947099208831787,1976-09-08
0.8112660050392151,1976-09-09
0.8443789482116699,1976-09-10
0.87749183177948,1976-09-13
0.9271615147590637,1976-09-14
0.9271615147590637,1976-09-15
0.9106045365333557,1976-09-16
0.9106045365333557,1976-09-17
0.87749183177948,1976-09-20
0.87749183177948,1976-09-21
0.87749183177948,1976-09-22
0.87749183177948,1976-09-23
0.8940483927726746,1976-09-24
0.87749183177948,1976-09-27
0.8609352707862854,1976-09-28
0.7947099208831787,1976-09-29
0.7947099208831787,1976-09-30
0.7947099208831787,1976-10-01
0.8112660050392151,1976-10-04
0.7781540155410767,1976-10-05
0.7781540155410767,1976-10-06
0.7615966200828552,1976-10-07
0.7615966200828552,1976-10-08
0.7615966200828552,1976-10-11
0.7284841537475586,1976-10-12
0.7615966200828552,1976-10-13
0.7450405359268188,1976-10-14
0.7615966200828552,1976-10-15
0.7450405359268188,1976-10-18
0.7615966200828552,1976-10-19
0.7781540155410767,1976-10-20
0.7615966200828552,1976-10-21
0.7450405359268188,1976-10-22
0.7450405359268188,1976-10-25
0.7450405359268188,1976-10-26
0.7615966200828552,1976-10-27
0.7119272947311401,1976-10-28
0.46358048915863037,1976-10-29
0.7119272947311401,1976-11-01
0.7119272947311401,1976-11-03
0.7119272947311401,1976-11-04
0.7119272947311401,1976-11-05
0.6953712105751038,1976-11-08
0.6953712105751038,1976-11-09
0.7119272947311401,1976-11-10
0.7119272947311401,1976-11-11
0.7119272947311401,1976-11-12
0.6953712105751038,1976-11-15
0.7450405359268188,1976-11-16
0.8443789482116699,1976-11-17
0.8940483927726746,1976-11-18
0.8443789482116699,1976-11-19
0.8112660050392151,1976-11-22
0.7947099208831787,1976-11-23
0.8112660050392151,1976-11-24
0.8112660050392151,1976-11-26
0.7947099208831787,1976-11-29
0.7947099208831787,1976-11-30
0.7947099208831787,1976-12-01
0.7947099208831787,1976-12-02
0.7781540155410767,1976-12-03
0.7947099208831787,1976-12-06
0.7615966200828552,1976-12-07
0.7947099208831787,1976-12-08
0.8278228044509888,1976-12-09
0.7615966200828552,1976-12-10
0.7119272947311401,1976-12-13
0.7450405359268188,1976-12-14
0.7119272947311401,1976-12-15
0.6953712105751038,1976-12-16
0.6622582077980042,1976-12-17
0.6457017064094543,1976-12-20
0.6622582077980042,1976-12-21
0.6788147687911987,1976-12-22
0.6622582077980042,1976-12-23
0.6622582077980042,1976-12-27
0.6788147687911987,1976-12-28
0.7284841537475586,1976-12-29
0.7615966200828552,1976-12-30
0.7615966200828552,1976-12-31
0.7450405359268188,1977-01-03
0.6953712105751038,1977-01-04
0.6953712105751038,1977-01-05
0.7284841537475586,1977-01-06
0.8112660050392151,1977-01-07
0.7947099208831787,1977-01-10
0.7781540155410767,1977-01-11
0.7781540155410767,1977-01-12
0.7947099208831787,1977-01-13
0.8278228044509888,1977-01-14
0.7947099208831787,1977-01-17
0.8112660050392151,1977-01-18
0.7781540155410767,1977-01-19
0.7615966200828552,1977-01-20
0.7947099208831787,1977-01-21
0.7615966200828552,1977-01-24
0.7450405359268188,1977-01-25
0.7284841537475586,1977-01-26
0.7119272947311401,1977-01-27
0.7119272947311401,1977-01-28
0.7119272947311401,1977-01-31
0.7119272947311401,1977-02-01
0.7119272947311401,1977-02-02
0.6953712105751038,1977-02-03
0.7119272947311401,1977-02-04
0.6953712105751038,1977-02-07
0.6953712105751038,1977-02-08
0.6788147687911987,1977-02-09
0.6788147687911987,1977-02-10
0.6953712105751038,1977-02-11
0.6953712105751038,1977-02-14
0.7119272947311401,1977-02-15
0.6953712105751038,1977-02-16
0.6788147687911987,1977-02-17
0.6953712105751038,1977-02-18
0.6953712105751038,1977-02-22
0.6953712105751038,1977-02-23
0.6622582077980042,1977-02-24
