FMCN,Date
10.100000381469727,2005-07-13
10.0,2005-07-14
9.795000076293945,2005-07-15
9.494999885559082,2005-07-18
9.149999618530273,2005-07-19
9.024999618530273,2005-07-20
9.25,2005-07-21
8.899999618530273,2005-07-22
9.029999732971191,2005-07-25
9.239999771118164,2005-07-26
9.479999542236328,2005-07-27
9.529999732971191,2005-07-28
9.640000343322754,2005-07-29
9.649999618530273,2005-08-01
9.579999923706055,2005-08-02
9.664999961853027,2005-08-03
9.399999618530273,2005-08-04
9.574999809265137,2005-08-05
10.520000457763672,2005-08-08
10.425000190734863,2005-08-09
10.25,2005-08-10
10.324999809265137,2005-08-11
10.260000228881836,2005-08-12
10.5,2005-08-15
10.5,2005-08-16
10.680000305175781,2005-08-17
10.869999885559082,2005-08-18
10.850000381469727,2005-08-19
10.875,2005-08-22
10.949999809265137,2005-08-23
10.53499984741211,2005-08-24
10.207500457763672,2005-08-25
10.135000228881836,2005-08-26
9.484999656677246,2005-08-29
9.375,2005-08-30
9.489999771118164,2005-08-31
9.28499984741211,2005-09-01
9.5,2005-09-02
9.774999618530273,2005-09-06
10.140000343322754,2005-09-07
10.175000190734863,2005-09-08
10.5600004196167,2005-09-09
10.774999618530273,2005-09-12
11.574999809265137,2005-09-13
11.164999961853027,2005-09-14
11.395000457763672,2005-09-15
12.3149995803833,2005-09-16
12.574999809265137,2005-09-19
12.510000228881836,2005-09-20
12.75,2005-09-21
12.760000228881836,2005-09-22
12.5,2005-09-23
12.1850004196167,2005-09-26
11.5,2005-09-27
11.550000190734863,2005-09-28
12.324999809265137,2005-09-29
13.369999885559082,2005-09-30
13.404999732971191,2005-10-03
12.995499610900879,2005-10-04
12.510000228881836,2005-10-05
12.100000381469727,2005-10-06
12.225000381469727,2005-10-07
12.744999885559082,2005-10-10
11.9350004196167,2005-10-11
11.539999961853027,2005-10-12
11.425000190734863,2005-10-13
12.380000114440918,2005-10-14
12.90999984741211,2005-10-17
12.760000228881836,2005-10-18
12.890000343322754,2005-10-19
12.550000190734863,2005-10-20
12.890000343322754,2005-10-21
13.420000076293945,2005-10-24
13.194999694824219,2005-10-25
13.404999732971191,2005-10-26
12.899999618530273,2005-10-27
13.25,2005-10-28
13.130000114440918,2005-10-31
14.024999618530273,2005-11-01
13.494999885559082,2005-11-02
13.96500015258789,2005-11-03
13.949999809265137,2005-11-04
13.899999618530273,2005-11-07
13.984999656677246,2005-11-08
13.994999885559082,2005-11-09
13.875,2005-11-10
13.75,2005-11-11
14.020000457763672,2005-11-14
13.949999809265137,2005-11-15
13.721500396728516,2005-11-16
14.65999984741211,2005-11-17
14.5,2005-11-18
14.625,2005-11-21
15.100000381469727,2005-11-22
15.289999961853027,2005-11-23
15.630000114440918,2005-11-25
15.25,2005-11-28
15.039999961853027,2005-11-29
14.800000190734863,2005-11-30
14.9350004196167,2005-12-01
15.125,2005-12-02
15.109999656677246,2005-12-05
15.470000267028809,2005-12-06
15.404999732971191,2005-12-07
15.399999618530273,2005-12-08
15.425000190734863,2005-12-09
15.744999885559082,2005-12-12
15.725000381469727,2005-12-13
15.994999885559082,2005-12-14
15.760000228881836,2005-12-15
16.23349952697754,2005-12-16
16.045000076293945,2005-12-19
15.979999542236328,2005-12-20
16.600000381469727,2005-12-21
16.049999237060547,2005-12-22
16.149999618530273,2005-12-23
16.447500228881836,2005-12-27
16.559999465942383,2005-12-28
17.296499252319336,2005-12-29
16.885000228881836,2005-12-30
17.510000228881836,2006-01-03
17.989999771118164,2006-01-04
18.0,2006-01-05
18.5,2006-01-06
21.209999084472656,2006-01-09
22.5049991607666,2006-01-10
22.764999389648438,2006-01-11
21.290000915527344,2006-01-12
21.204999923706055,2006-01-13
21.094999313354492,2006-01-17
20.75,2006-01-18
23.645000457763672,2006-01-19
24.094999313354492,2006-01-20
24.434999465942383,2006-01-23
23.940000534057617,2006-01-24
22.770000457763672,2006-01-25
22.049999237060547,2006-01-26
25.799999237060547,2006-01-27
27.170000076293945,2006-01-30
27.295000076293945,2006-01-31
26.975000381469727,2006-02-01
26.5,2006-02-02
26.190000534057617,2006-02-03
27.125,2006-02-06
26.440000534057617,2006-02-07
26.024999618530273,2006-02-08
27.44499969482422,2006-02-09
26.5,2006-02-10
25.920000076293945,2006-02-13
25.844999313354492,2006-02-14
26.010000228881836,2006-02-15
25.674999237060547,2006-02-16
25.100000381469727,2006-02-17
24.2549991607666,2006-02-21
25.489999771118164,2006-02-22
25.56999969482422,2006-02-23
25.76449966430664,2006-02-24
25.975000381469727,2006-02-27
26.125,2006-02-28
26.06999969482422,2006-03-01
