HBAN,Date
0.4794010818004608,1980-03-17
0.4694133400917053,1980-03-18
0.47440728545188904,1980-03-19
0.47440728545188904,1980-03-20
0.47440728545188904,1980-03-21
0.47440728545188904,1980-03-24
0.4694133400917053,1980-03-25
0.4694133400917053,1980-03-26
0.4544323682785034,1980-03-27
0.4544323682785034,1980-03-28
0.5043700933456421,1980-03-31
0.5593014359474182,1980-04-01
0.5493136644363403,1980-04-02
0.5343325138092041,1980-04-03
0.4943823516368866,1980-04-07
0.48938843607902527,1980-04-08
0.4943823516368866,1980-04-09
0.4943823516368866,1980-04-10
0.4943823516368866,1980-04-11
0.4794010818004608,1980-04-14
0.47440728545188904,1980-04-15
0.47440728545188904,1980-04-16
0.4694133400917053,1980-04-17
0.4694133400917053,1980-04-18
0.4694133400917053,1980-04-21
0.4694133400917053,1980-04-22
0.4694133400917053,1980-04-23
0.4594261646270752,1980-04-24
0.4594261646270752,1980-04-25
0.4594261646270752,1980-04-28
0.4594261646270752,1980-04-29
0.4594261646270752,1980-04-30
0.4594261646270752,1980-05-01
0.4594261646270752,1980-05-02
0.4644198417663574,1980-05-05
0.4644198417663574,1980-05-06
0.4644198417663574,1980-05-07
0.4644198417663574,1980-05-08
0.4694133400917053,1980-05-09
0.47440728545188904,1980-05-12
0.4843946695327759,1980-05-13
0.4843946695327759,1980-05-14
0.48938843607902527,1980-05-15
0.48938843607902527,1980-05-16
0.48938843607902527,1980-05-19
0.48938843607902527,1980-05-20
0.48938843607902527,1980-05-21
0.48938843607902527,1980-05-22
0.48938843607902527,1980-05-23
0.4943823516368866,1980-05-27
0.4993758201599121,1980-05-28
0.5043700933456421,1980-05-29
0.5143573880195618,1980-05-30
0.5143573880195618,1980-06-02
0.5143573880195618,1980-06-03
0.5143573880195618,1980-06-04
0.5243449807167053,1980-06-05
0.5293387174606323,1980-06-06
0.5293387174606323,1980-06-09
0.5293387174606323,1980-06-10
0.5343325138092041,1980-06-11
0.544319748878479,1980-06-12
0.5493136644363403,1980-06-13
0.5493136644363403,1980-06-16
0.5493136644363403,1980-06-17
0.5493136644363403,1980-06-18
0.5493136644363403,1980-06-19
0.5493136644363403,1980-06-20
0.554307222366333,1980-06-23
0.554307222366333,1980-06-24
0.5692885518074036,1980-06-25
0.5842694640159607,1980-06-26
0.6042448878288269,1980-06-27
0.6192260980606079,1980-06-30
0.6192260980606079,1980-07-01
0.6242205500602722,1980-07-02
0.6242205500602722,1980-07-03
0.6242205500602722,1980-07-07
0.6242205500602722,1980-07-08
0.6242205500602722,1980-07-09
0.6242205500602722,1980-07-10
0.6242205500602722,1980-07-11
0.6242205500602722,1980-07-14
0.6242205500602722,1980-07-15
0.6242205500602722,1980-07-16
0.6242205500602722,1980-07-17
0.6242205500602722,1980-07-18
0.6242205500602722,1980-07-21
0.6242205500602722,1980-07-22
0.6242205500602722,1980-07-23
0.6242205500602722,1980-07-24
0.6292139291763306,1980-07-25
0.6342079043388367,1980-07-28
0.6342079043388367,1980-07-29
0.6342079043388367,1980-07-30
0.6342079043388367,1980-07-31
0.6342079043388367,1980-08-01
0.6342079043388367,1980-08-04
0.6342079043388367,1980-08-05
0.6342079043388367,1980-08-06
0.6342079043388367,1980-08-07
0.6342079043388367,1980-08-08
0.6342079043388367,1980-08-11
0.6242205500602722,1980-08-12
0.6142323017120361,1980-08-13
0.6042448878288269,1980-08-14
0.5992509722709656,1980-08-15
0.5992509722709656,1980-08-18
0.5792762637138367,1980-08-19
0.5792762637138367,1980-08-20
0.5792762637138367,1980-08-21
0.5842694640159607,1980-08-22
0.5942575335502625,1980-08-25
0.5992509722709656,1980-08-26
0.6192260980606079,1980-08-27
0.6242205500602722,1980-08-28
0.6392017006874084,1980-08-29
0.6342079043388367,1980-09-02
0.6491886973381042,1980-09-03
0.6591764688491821,1980-09-04
0.6591764688491821,1980-09-05
0.6591764688491821,1980-09-08
0.6591764688491821,1980-09-09
0.6591764688491821,1980-09-10
0.6591764688491821,1980-09-11
0.6591764688491821,1980-09-12
0.6591764688491821,1980-09-15
0.6591764688491821,1980-09-16
0.6591764688491821,1980-09-17
0.6591764688491821,1980-09-18
0.6591764688491821,1980-09-19
0.6591764688491821,1980-09-22
0.6591764688491821,1980-09-23
0.6591764688491821,1980-09-24
0.6591764688491821,1980-09-25
0.6591764688491821,1980-09-26
0.6142323017120361,1980-09-29
0.6142323017120361,1980-09-30
0.5992509722709656,1980-10-01
0.5792762637138367,1980-10-02
0.5792762637138367,1980-10-03
0.5792762637138367,1980-10-06
0.5792762637138367,1980-10-07
0.5792762637138367,1980-10-08
0.5742825865745544,1980-10-09
0.5742825865745544,1980-10-10
0.5692885518074036,1980-10-13
0.5692885518074036,1980-10-14
0.5692885518074036,1980-10-15
0.5692885518074036,1980-10-16
0.5692885518074036,1980-10-17
0.5692885518074036,1980-10-20
0.5692885518074036,1980-10-21
0.5692885518074036,1980-10-22
0.5692885518074036,1980-10-23
0.5692885518074036,1980-10-24
0.5692885518074036,1980-10-27
0.5642953515052795,1980-10-28
0.5593014359474182,1980-10-29
0.5593014359474182,1980-10-30
0.5593014359474182,1980-10-31
0.554307222366333,1980-11-03
0.5642953515052795,1980-11-05
0.5642953515052795,1980-11-06
0.5593014359474182,1980-11-07
0.5593014359474182,1980-11-10
0.5593014359474182,1980-11-11
0.554307222366333,1980-11-12
0.5593014359474182,1980-11-13
0.5593014359474182,1980-11-14
0.554307222366333,1980-11-17
0.554307222366333,1980-11-18
0.554307222366333,1980-11-19
0.554307222366333,1980-11-20
0.554307222366333,1980-11-21
