LAMR,Date
7.936049938201904,1996-08-02
7.936049938201904,1996-08-05
7.887061595916748,1996-08-06
8.083011627197266,1996-08-07
8.034027099609375,1996-08-08
8.425928115844727,1996-08-09
8.621879577636719,1996-08-12
8.523906707763672,1996-08-13
9.307710647583008,1996-08-14
9.993544578552246,1996-08-15
10.483421325683594,1996-08-16
10.679375648498535,1996-08-19
9.79759407043457,1996-08-20
10.38544750213623,1996-08-21
10.38544750213623,1996-08-22
9.993544578552246,1996-08-23
9.454675674438477,1996-08-26
9.79759407043457,1996-08-27
11.071279525756836,1996-08-28
11.071279525756836,1996-08-29
10.973302841186523,1996-08-30
11.365205764770508,1996-09-03
11.855084419250488,1996-09-04
11.855084419250488,1996-09-05
11.757109642028809,1996-09-06
11.65913200378418,1996-09-09
12.100021362304688,1996-09-10
11.9530611038208,1996-09-11
12.149016380310059,1996-09-12
12.540919303894043,1996-09-13
12.149016380310059,1996-09-16
12.197999954223633,1996-09-17
12.149016380310059,1996-09-18
13.226747512817383,1996-09-19
14.25549602508545,1996-09-20
14.843352317810059,1996-09-23
14.598410606384277,1996-09-24
15.088289260864258,1996-09-25
15.480192184448242,1996-09-26
15.970077514648438,1996-09-27
16.264005661010742,1996-09-30
15.62716007232666,1996-10-01
14.206512451171875,1996-10-02
13.912580490112305,1996-10-03
14.549426078796387,1996-10-04
15.088289260864258,1996-10-07
14.500436782836914,1996-10-08
13.912580490112305,1996-10-09
13.618654251098633,1996-10-10
13.716629028320312,1996-10-11
13.716629028320312,1996-10-14
14.108530044555664,1996-10-15
14.402457237243652,1996-10-16
14.30448055267334,1996-10-17
14.794364929199219,1996-10-18
14.010554313659668,1996-10-21
12.932820320129395,1996-10-22
12.246986389160156,1996-10-23
11.855084419250488,1996-10-24
11.65913200378418,1996-10-25
10.777349472045898,1996-10-28
10.38544750213623,1996-10-29
10.924310684204102,1996-10-30
10.777349472045898,1996-10-31
10.777349472045898,1996-11-01
10.60589599609375,1996-11-04
10.189495086669922,1996-11-05
10.287468910217285,1996-11-06
9.699615478515625,1996-11-07
9.993544578552246,1996-11-08
9.454675674438477,1996-11-11
9.601637840270996,1996-11-12
9.503665924072266,1996-11-13
10.287468910217285,1996-11-14
9.993544578552246,1996-11-15
10.336461067199707,1996-11-18
10.38544750213623,1996-11-19
10.189495086669922,1996-11-20
9.503665924072266,1996-11-21
9.160748481750488,1996-11-22
9.160748481750488,1996-11-25
9.111760139465332,1996-11-26
9.111760139465332,1996-11-27
9.111760139465332,1996-11-29
9.944555282592773,1996-12-02
9.601637840270996,1996-12-03
9.601637840270996,1996-12-04
9.699615478515625,1996-12-05
9.307710647583008,1996-12-06
9.895567893981934,1996-12-09
10.38544750213623,1996-12-10
10.140506744384766,1996-12-11
9.993544578552246,1996-12-12
9.993544578552246,1996-12-13
10.2139892578125,1996-12-16
9.895567893981934,1996-12-17
9.79759407043457,1996-12-18
9.79759407043457,1996-12-19
9.79759407043457,1996-12-20
9.650630950927734,1996-12-23
9.601637840270996,1996-12-24
9.40568733215332,1996-12-26
9.307710647583008,1996-12-27
9.111760139465332,1996-12-30
9.503665924072266,1996-12-31
9.40568733215332,1997-01-02
9.699615478515625,1997-01-03
9.993544578552246,1997-01-06
9.79759407043457,1997-01-07
9.601637840270996,1997-01-08
9.503665924072266,1997-01-09
9.601637840270996,1997-01-10
9.79759407043457,1997-01-13
9.601637840270996,1997-01-14
9.503665924072266,1997-01-15
9.356701850891113,1997-01-16
9.503665924072266,1997-01-17
9.454675674438477,1997-01-20
9.699615478515625,1997-01-21
9.503665924072266,1997-01-22
9.40568733215332,1997-01-23
9.307710647583008,1997-01-24
9.40568733215332,1997-01-27
9.846579551696777,1997-01-28
9.895567893981934,1997-01-29
9.79759407043457,1997-01-30
9.601637840270996,1997-01-31
8.719855308532715,1997-02-03
8.817832946777344,1997-02-04
9.013786315917969,1997-02-05
9.013786315917969,1997-02-06
9.40568733215332,1997-02-07
9.013786315917969,1997-02-10
8.523906707763672,1997-02-11
8.621879577636719,1997-02-12
9.111760139465332,1997-02-13
9.307710647583008,1997-02-14
9.013786315917969,1997-02-18
9.013786315917969,1997-02-19
8.817832946777344,1997-02-20
7.838074207305908,1997-02-21
7.642123699188232,1997-02-24
7.7400970458984375,1997-02-25
7.5441436767578125,1997-02-26
7.5441436767578125,1997-02-27
7.250217437744141,1997-02-28
7.250217437744141,1997-03-03
7.446170806884766,1997-03-04
7.5441436767578125,1997-03-05
7.838074207305908,1997-03-06
8.32795238494873,1997-03-07
8.621879577636719,1997-03-10
8.719855308532715,1997-03-11
8.621879577636719,1997-03-12
8.425928115844727,1997-03-13
8.719855308532715,1997-03-14
8.229979515075684,1997-03-17
8.474918365478516,1997-03-18
8.376941680908203,1997-03-19
8.083011627197266,1997-03-20
7.789085865020752,1997-03-21
7.936049938201904,1997-03-24
7.7400970458984375,1997-03-25
8.034027099609375,1997-03-26
7.789085865020752,1997-03-27
7.936049938201904,1997-03-31
7.789085865020752,1997-04-01
7.7400970458984375,1997-04-02
7.7400970458984375,1997-04-03
7.936049938201904,1997-04-04
7.7400970458984375,1997-04-07
7.7400970458984375,1997-04-08
8.034027099609375,1997-04-09
8.034027099609375,1997-04-10
7.838074207305908,1997-04-11
8.229979515075684,1997-04-14
8.32795238494873,1997-04-15
7.299205303192139,1997-04-16
7.201228618621826,1997-04-17
6.956290245056152,1997-04-18
6.368433475494385,1997-04-21
6.564387321472168,1997-04-22
6.564387321472168,1997-04-23
6.564387321472168,1997-04-24
7.250217437744141,1997-04-25
7.250217437744141,1997-04-28
7.348193645477295,1997-04-29
7.7400970458984375,1997-04-30
8.132001876831055,1997-05-01
8.376941680908203,1997-05-02
8.132001876831055,1997-05-05
8.719855308532715,1997-05-06
8.768842697143555,1997-05-07
8.621879577636719,1997-05-08
8.425928115844727,1997-05-09
8.32795238494873,1997-05-12
7.7400970458984375,1997-05-13
8.034027099609375,1997-05-14
8.034027099609375,1997-05-15
8.32795238494873,1997-05-16
