PH,Date
2.4351837635040283,1980-03-17
2.4696450233459473,1980-03-18
2.4581587314605713,1980-03-19
2.4351837635040283,1980-03-20
2.446671962738037,1980-03-21
2.423699378967285,1980-03-24
2.3662655353546143,1980-03-25
2.400724411010742,1980-03-26
2.297344923019409,1980-03-27
2.308830738067627,1980-03-28
2.3547775745391846,1980-03-31
2.274371385574341,1980-04-01
2.274371385574341,1980-04-02
2.377751350402832,1980-04-03
2.389237880706787,1980-04-07
2.4811317920684814,1980-04-08
2.4811317920684814,1980-04-09
2.4696450233459473,1980-04-10
2.400724411010742,1980-04-11
2.389237880706787,1980-04-14
2.389237880706787,1980-04-15
2.3547775745391846,1980-04-16
2.297344923019409,1980-04-17
2.3318047523498535,1980-04-18
2.297344923019409,1980-04-21
2.343289852142334,1980-04-22
2.446671962738037,1980-04-23
2.4351837635040283,1980-04-24
2.389237880706787,1980-04-25
2.389237880706787,1980-04-28
2.377751350402832,1980-04-29
2.3547775745391846,1980-04-30
2.3662655353546143,1980-05-01
2.297344923019409,1980-05-02
2.297344923019409,1980-05-05
2.297344923019409,1980-05-06
2.2628846168518066,1980-05-07
2.251397132873535,1980-05-08
2.205451011657715,1980-05-09
2.228424549102783,1980-05-12
2.228424549102783,1980-05-13
2.274371385574341,1980-05-14
2.251397132873535,1980-05-15
2.274371385574341,1980-05-16
2.228424549102783,1980-05-19
2.2169363498687744,1980-05-20
2.274371385574341,1980-05-21
2.389237880706787,1980-05-22
2.3318047523498535,1980-05-23
2.343289852142334,1980-05-27
2.3318047523498535,1980-05-28
2.389237880706787,1980-05-29
2.343289852142334,1980-05-30
2.343289852142334,1980-06-02
2.343289852142334,1980-06-03
2.389237880706787,1980-06-04
2.4581587314605713,1980-06-05
2.4351837635040283,1980-06-06
2.4351837635040283,1980-06-09
2.41221022605896,1980-06-10
2.389237880706787,1980-06-11
2.3662655353546143,1980-06-12
2.3547775745391846,1980-06-13
2.377751350402832,1980-06-16
2.400724411010742,1980-06-17
2.41221022605896,1980-06-18
2.377751350402832,1980-06-19
2.343289852142334,1980-06-20
2.3547775745391846,1980-06-23
2.320317506790161,1980-06-24
2.377751350402832,1980-06-25
2.3318047523498535,1980-06-26
2.308830738067627,1980-06-27
2.285857915878296,1980-06-30
2.320317506790161,1980-07-01
2.3662655353546143,1980-07-02
2.3662655353546143,1980-07-03
2.377751350402832,1980-07-07
2.41221022605896,1980-07-08
2.4351837635040283,1980-07-09
2.4811317920684814,1980-07-10
2.4696450233459473,1980-07-11
2.527078866958618,1980-07-14
2.5730249881744385,1980-07-15
2.5959999561309814,1980-07-16
2.6419458389282227,1980-07-17
2.710865020751953,1980-07-18
2.710865020751953,1980-07-21
2.7223503589630127,1980-07-22
2.7223503589630127,1980-07-23
2.745326042175293,1980-07-24
2.7338385581970215,1980-07-25
2.7568130493164062,1980-07-28
2.77978777885437,1980-07-29
2.860194444656372,1980-07-30
2.814246892929077,1980-07-31
2.8487071990966797,1980-08-01
2.837218761444092,1980-08-04
2.837218761444092,1980-08-05
2.860194444656372,1980-08-06
2.814246892929077,1980-08-07
2.837218761444092,1980-08-08
2.8487071990966797,1980-08-11
2.8027586936950684,1980-08-12
2.814246892929077,1980-08-13
2.7912726402282715,1980-08-14
2.7568130493164062,1980-08-15
2.5959999561309814,1980-08-18
2.6419458389282227,1980-08-19
2.66491961479187,1980-08-20
2.653433084487915,1980-08-21
2.66491961479187,1980-08-22
2.618971586227417,1980-08-25
2.607485294342041,1980-08-26
2.5845131874084473,1980-08-27
2.607485294342041,1980-08-28
2.5845131874084473,1980-08-29
2.5730249881744385,1980-09-02
2.618971586227417,1980-09-03
2.607485294342041,1980-09-04
2.5730249881744385,1980-09-05
2.527078866958618,1980-09-08
2.527078866958618,1980-09-09
2.55005145072937,1980-09-10
2.5730249881744385,1980-09-11
2.5730249881744385,1980-09-12
2.5730249881744385,1980-09-15
2.5959999561309814,1980-09-16
2.607485294342041,1980-09-17
2.6419458389282227,1980-09-18
2.699378728866577,1980-09-19
2.687894344329834,1980-09-22
2.699378728866577,1980-09-23
2.6419458389282227,1980-09-24
2.6419458389282227,1980-09-25
2.5845131874084473,1980-09-26
2.504106044769287,1980-09-29
2.504106044769287,1980-09-30
2.527078866958618,1980-10-01
2.504106044769287,1980-10-02
2.5155906677246094,1980-10-03
2.5730249881744385,1980-10-06
2.5959999561309814,1980-10-07
2.618971586227417,1980-10-08
2.618971586227417,1980-10-09
2.618971586227417,1980-10-10
2.5845131874084473,1980-10-13
2.5845131874084473,1980-10-14
2.5615391731262207,1980-10-15
2.5615391731262207,1980-10-16
2.5730249881744385,1980-10-17
2.5615391731262207,1980-10-20
2.5730249881744385,1980-10-21
2.5845131874084473,1980-10-22
2.55005145072937,1980-10-23
2.618971586227417,1980-10-24
2.6419458389282227,1980-10-27
2.618971586227417,1980-10-28
2.5730249881744385,1980-10-29
2.538564682006836,1980-10-30
2.446671962738037,1980-10-31
2.4926183223724365,1980-11-03
2.653433084487915,1980-11-05
2.6419458389282227,1980-11-06
2.710865020751953,1980-11-07
2.77978777885437,1980-11-10
2.8257341384887695,1980-11-11
2.8487071990966797,1980-11-12
2.963574171066284,1980-11-13
3.0095198154449463,1980-11-14
2.963574171066284,1980-11-17
3.1243886947631836,1980-11-18
3.1473631858825684,1980-11-19
3.0554683208465576,1980-11-20
3.0324935913085938,1980-11-21
2.8487071990966797,1980-11-24
2.9176275730133057,1980-11-25
2.9865481853485107,1980-11-26
2.940598726272583,1980-11-28
2.8027586936950684,1980-12-01
2.7568130493164062,1980-12-02
2.837218761444092,1980-12-03
2.860194444656372,1980-12-04
2.8946545124053955,1980-12-05
2.8027586936950684,1980-12-08
2.837218761444092,1980-12-09
2.8946545124053955,1980-12-10
2.8831682205200195,1980-12-11
2.940598726272583,1980-12-12
2.9520857334136963,1980-12-15
2.9061405658721924,1980-12-16
2.940598726272583,1980-12-17
2.940598726272583,1980-12-18
2.963574171066284,1980-12-19
2.963574171066284,1980-12-22
