PTEN,Date
0.6944847702980042,1993-11-02
0.6709427833557129,1993-11-03
0.6356303095817566,1993-11-04
0.659171998500824,1993-11-05
0.6356303095817566,1993-11-08
0.6709427833557129,1993-11-09
0.6709427833557129,1993-11-10
0.6474007964134216,1993-11-11
0.6827139258384705,1993-11-12
0.6356303095817566,1993-11-15
0.6356303095817566,1993-11-16
0.6356303095817566,1993-11-17
0.6356303095817566,1993-11-18
0.6356303095817566,1993-11-19
0.6827139258384705,1993-11-22
0.6356303095817566,1993-11-23
0.6356303095817566,1993-11-24
0.6356303095817566,1993-11-26
0.6356303095817566,1993-11-29
0.6356303095817566,1993-11-30
0.6768286824226379,1993-12-01
0.6356303095817566,1993-12-02
0.6356303095817566,1993-12-03
0.6356303095817566,1993-12-06
0.659171998500824,1993-12-07
0.6827139258384705,1993-12-08
0.6827139258384705,1993-12-09
0.6356303095817566,1993-12-10
0.6356303095817566,1993-12-13
0.6356303095817566,1993-12-14
0.6356303095817566,1993-12-15
0.6356303095817566,1993-12-16
0.6356303095817566,1993-12-17
0.659171998500824,1993-12-20
0.6238592863082886,1993-12-21
0.6238592863082886,1993-12-22
0.6238592863082886,1993-12-23
0.6238592863082886,1993-12-27
0.6120883226394653,1993-12-28
0.6120883226394653,1993-12-29
0.6474007964134216,1993-12-30
0.6474007964134216,1993-12-31
0.6238592863082886,1994-01-03
0.659171998500824,1994-01-04
0.659171998500824,1994-01-05
0.659171998500824,1994-01-06
0.659171998500824,1994-01-07
0.6474007964134216,1994-01-10
0.659171998500824,1994-01-11
0.6474007964134216,1994-01-12
0.6474007964134216,1994-01-13
0.6356303095817566,1994-01-14
0.6356303095817566,1994-01-17
0.6356303095817566,1994-01-18
0.6474007964134216,1994-01-19
0.6827139258384705,1994-01-20
0.6356303095817566,1994-01-21
0.6356303095817566,1994-01-24
0.6356303095817566,1994-01-25
0.6827139258384705,1994-01-26
0.6827139258384705,1994-01-27
0.6356303095817566,1994-01-28
0.6356303095817566,1994-01-31
0.6827139258384705,1994-02-01
0.6709427833557129,1994-02-02
0.6356303095817566,1994-02-03
0.6709427833557129,1994-02-04
0.6356303095817566,1994-02-07
0.6356303095817566,1994-02-08
0.6356303095817566,1994-02-09
0.6356303095817566,1994-02-10
0.6356303095817566,1994-02-11
0.6356303095817566,1994-02-14
0.6356303095817566,1994-02-15
0.5885465741157532,1994-02-16
0.5885465741157532,1994-02-17
0.6003172397613525,1994-02-18
0.6120883226394653,1994-02-22
0.5650045275688171,1994-02-23
0.6003172397613525,1994-02-24
0.6356303095817566,1994-02-25
0.6356303095817566,1994-02-28
0.6709427833557129,1994-03-01
0.6827139258384705,1994-03-02
0.6356303095817566,1994-03-03
0.659171998500824,1994-03-04
0.6827139258384705,1994-03-07
0.6474007964134216,1994-03-08
0.6356303095817566,1994-03-09
0.6120883226394653,1994-03-10
0.6356303095817566,1994-03-11
0.6474007964134216,1994-03-14
0.6356303095817566,1994-03-15
0.659171998500824,1994-03-16
0.6120883226394653,1994-03-17
0.6120883226394653,1994-03-18
0.659171998500824,1994-03-21
0.6474007964134216,1994-03-22
0.6268016695976257,1994-03-23
0.6120883226394653,1994-03-24
0.659171998500824,1994-03-25
0.659171998500824,1994-03-28
0.659171998500824,1994-03-29
0.6120883226394653,1994-03-30
0.6120883226394653,1994-03-31
0.5650045275688171,1994-04-04
0.6120883226394653,1994-04-05
0.6120883226394653,1994-04-06
0.6120883226394653,1994-04-07
0.6120883226394653,1994-04-08
0.5650045275688171,1994-04-11
0.5650045275688171,1994-04-12
0.5650045275688171,1994-04-13
0.6120883226394653,1994-04-14
0.6120883226394653,1994-04-15
0.6120883226394653,1994-04-18
0.5650045275688171,1994-04-19
0.6003172397613525,1994-04-20
0.6120883226394653,1994-04-21
0.5650045275688171,1994-04-22
0.6003172397613525,1994-04-25
0.6120883226394653,1994-04-26
0.6120883226394653,1994-04-28
0.5650045275688171,1994-04-29
0.5650045275688171,1994-05-02
0.5650045275688171,1994-05-03
0.5650045275688171,1994-05-04
0.5650045275688171,1994-05-05
0.6120883226394653,1994-05-06
0.6120883226394653,1994-05-09
0.6120883226394653,1994-05-10
0.5650045275688171,1994-05-11
0.6003172397613525,1994-05-12
0.5650045275688171,1994-05-13
0.5650045275688171,1994-05-16
0.5650045275688171,1994-05-17
0.6003172397613525,1994-05-18
0.6003172397613525,1994-05-19
0.5650045275688171,1994-05-20
0.6120883226394653,1994-05-23
0.6003172397613525,1994-05-24
0.6003172397613525,1994-05-25
0.5650045275688171,1994-05-26
0.5650045275688171,1994-05-27
0.5650045275688171,1994-05-31
0.6120883226394653,1994-06-01
0.6238592863082886,1994-06-02
0.659171998500824,1994-06-03
0.6179741621017456,1994-06-06
0.6356303095817566,1994-06-07
0.6120883226394653,1994-06-08
0.6120883226394653,1994-06-09
0.6238592863082886,1994-06-10
0.659171998500824,1994-06-13
0.6474007964134216,1994-06-14
0.6356303095817566,1994-06-15
0.659171998500824,1994-06-16
0.6238592863082886,1994-06-17
0.6120883226394653,1994-06-20
0.659171998500824,1994-06-21
0.6356303095817566,1994-06-22
0.6003172397613525,1994-06-23
0.6003172397613525,1994-06-24
0.659171998500824,1994-06-27
