GRMN,Date
5.380560398101807,2000-12-08
5.70003080368042,2000-12-11
5.346932411193848,2000-12-12
5.346932411193848,2000-12-13
5.414189338684082,2000-12-14
5.414189338684082,2000-12-15
5.397374153137207,2000-12-18
5.279675483703613,2000-12-19
4.909762859344482,2000-12-20
4.892946720123291,2000-12-21
5.1787896156311035,2000-12-22
5.111530780792236,2000-12-26
4.993833065032959,2000-12-27
5.010646343231201,2000-12-28
5.3133039474487305,2000-12-29
5.1787896156311035,2001-01-02
4.741619110107422,2001-01-03
4.859317302703857,2001-01-04
4.876132488250732,2001-01-05
4.7079901695251465,2001-01-08
4.640732288360596,2001-01-09
4.573476791381836,2001-01-10
4.892946720123291,2001-01-11
5.14516019821167,2001-01-12
5.111530780792236,2001-01-16
5.212418079376221,2001-01-17
5.111530780792236,2001-01-18
4.943390369415283,2001-01-19
4.808876037597656,2001-01-22
4.808876037597656,2001-01-23
4.573476791381836,2001-01-24
4.808876037597656,2001-01-25
5.010646343231201,2001-01-26
5.363746643066406,2001-01-29
5.397374153137207,2001-01-30
5.229231834411621,2001-01-31
5.346932411193848,2001-02-01
5.817733287811279,2001-02-02
6.423044204711914,2001-02-05
6.658442974090576,2001-02-06
6.557555675506592,2001-02-07
6.759329319000244,2001-02-08
6.456674575805664,2001-02-09
6.322154521942139,2001-02-12
6.557555675506592,2001-02-13
5.985875129699707,2001-02-14
5.7168450355529785,2001-02-15
5.7504730224609375,2001-02-16
5.279675483703613,2001-02-20
5.279675483703613,2001-02-21
4.993833065032959,2001-02-22
5.515072345733643,2001-02-23
5.70844030380249,2001-02-26
5.918618202209473,2001-02-27
5.8849873542785645,2001-02-28
5.380560398101807,2001-03-01
5.414189338684082,2001-03-02
5.615958213806152,2001-03-05
5.380560398101807,2001-03-06
5.548700332641602,2001-03-07
5.346932411193848,2001-03-08
5.279675483703613,2001-03-09
4.876132488250732,2001-03-12
5.077904224395752,2001-03-13
5.33012056350708,2001-03-14
5.447817802429199,2001-03-15
5.296488285064697,2001-03-16
5.212418079376221,2001-03-19
5.14516019821167,2001-03-20
5.363746643066406,2001-03-21
5.279675483703613,2001-03-22
5.380560398101807,2001-03-23
5.447817802429199,2001-03-26
5.3133039474487305,2001-03-27
5.044275760650635,2001-03-28
5.128347873687744,2001-03-29
5.346932411193848,2001-03-30
5.3133039474487305,2001-04-02
4.977017879486084,2001-04-03
5.397374153137207,2001-04-04
5.447817802429199,2001-04-05
5.14516019821167,2001-04-06
4.909762859344482,2001-04-09
4.990469455718994,2001-04-10
4.92859411239624,2001-04-11
4.869408130645752,2001-04-12
4.855954647064209,2001-04-16
4.950114727020264,2001-04-17
4.84250545501709,2001-04-18
4.84250545501709,2001-04-19
4.993159294128418,2001-04-20
4.968947887420654,2001-04-23
4.950114727020264,2001-04-24
4.896309852600098,2001-04-25
5.017373085021973,2001-04-26
5.394011974334717,2001-04-27
5.649588108062744,2001-04-30
5.79486608505249,2001-05-01
5.649588108062744,2001-05-02
5.665730953216553,2001-05-03
5.878262042999268,2001-05-04
5.864810943603516,2001-05-07
6.193026542663574,2001-05-08
6.297945976257324,2001-05-09
6.5831146240234375,2001-05-10
6.429770469665527,2001-05-11
6.133837699890137,2001-05-14
6.335608959197998,2001-05-15
6.209166526794434,2001-05-16
6.639614105224609,2001-05-17
6.526621341705322,2001-05-18
6.362512111663818,2001-05-21
6.1876444816589355,2001-05-22
6.168812274932861,2001-05-23
6.268351078033447,2001-05-24
6.206475734710693,2001-05-25
5.932068347930908,2001-05-29
5.461266994476318,2001-05-30
5.3832502365112305,2001-05-31
5.3832502365112305,2001-06-01
5.348278522491455,2001-06-04
5.6092352867126465,2001-06-05
5.7329864501953125,2001-06-06
5.945518970489502,2001-06-07
6.08003568649292,2001-06-08
5.907855033874512,2001-06-11
5.9589691162109375,2001-06-12
5.918618202209473,2001-06-13
5.918618202209473,2001-06-14
6.066582202911377,2001-06-15
5.985875129699707,2001-06-18
5.985875129699707,2001-06-19
6.039680004119873,2001-06-20
5.9401397705078125,2001-06-21
6.053130149841309,2001-06-22
6.0289177894592285,2001-06-25
6.0127763748168945,2001-06-26
6.18495512008667,2001-06-27
6.18495512008667,2001-06-28
6.147289276123047,2001-06-29
6.230688571929932,2001-07-02
6.230688571929932,2001-07-03
6.241452693939209,2001-07-05
6.279113292694092,2001-07-06
6.268351078033447,2001-07-09
6.2844953536987305,2001-07-10
6.0289177894592285,2001-07-11
6.120389461517334,2001-07-12
6.120389461517334,2001-07-13
6.08003568649292,2001-07-16
6.088103771209717,2001-07-17
6.026228427886963,2001-07-18
6.106935501098633,2001-07-19
6.147289276123047,2001-07-20
6.106935501098633,2001-07-23
5.70339298248291,2001-07-24
5.601163387298584,2001-07-25
5.649588108062744,2001-07-26
5.9159255027771,2001-07-27
5.918618202209473,2001-07-30
5.864810943603516,2001-07-31
5.531215190887451,2001-08-01
5.305232048034668,2001-08-02
5.162649154663086,2001-08-03
5.33213472366333,2001-08-06
5.324062824249268,2001-08-07
5.259498119354248,2001-08-08
5.219144821166992,2001-08-09
5.246048450469971,2001-08-10
5.127673625946045,2001-08-13
5.138436794281006,2001-08-14
5.1895527839660645,2001-08-15
5.159956932067871,2001-08-16
5.124984264373779,2001-08-17
5.098080635070801,2001-08-20
5.116913795471191,2001-08-21
5.337514877319336,2001-08-22
5.299853324890137,2001-08-23
5.3832502365112305,2001-08-24
5.299853324890137,2001-08-27
5.281019687652588,2001-08-28
5.353658676147461,2001-08-29
5.3133039474487305,2001-08-30
5.340205192565918,2001-08-31
5.394011974334717,2001-09-04
5.426294803619385,2001-09-05
5.43436861038208,2001-09-06
5.299853324890137,2001-09-07
5.380560398101807,2001-09-10
5.111530780792236,2001-09-17
4.84250545501709,2001-09-18
4.516982078552246,2001-09-19
3.8740034103393555,2001-09-20
3.900907039642334,2001-09-21
4.250641822814941,2001-09-24
4.143032073974609,2001-09-25
4.290998935699463,2001-09-26
4.293687343597412,2001-09-27
4.334039688110352,2001-09-28
4.290998935699463,2001-10-01
4.169936180114746,2001-10-02
4.183384418487549,2001-10-03
4.299067497253418,2001-10-04
4.323280334472656,2001-10-05
4.30444860458374,2001-10-08
4.277545928955078,2001-10-09
4.30444860458374,2001-10-10
4.632663249969482,2001-10-11
4.681088924407959,2001-10-12
4.686468601226807,2001-10-15
4.627282619476318,2001-10-16
4.533122539520264,2001-10-17
4.5196709632873535,2001-10-18
4.4524126052856445,2001-10-19
4.573476791381836,2001-10-22
4.581547260284424,2001-10-23
4.5869269371032715,2001-10-24
4.549263954162598,2001-10-25
4.611141204833984,2001-10-26
4.573476791381836,2001-10-29
4.460483074188232,2001-10-30
4.522360801696777,2001-10-31
4.543883323669434,2001-11-01
4.546574115753174,2001-11-02
4.516982078552246,2001-11-05
4.533122539520264,2001-11-06
4.560024738311768,2001-11-07
4.525050163269043,2001-11-08
4.560024738311768,2001-11-09
4.533122539520264,2001-11-12
4.5869269371032715,2001-11-13
4.4577956199646,2001-11-14
4.543883323669434,2001-11-15
4.5869269371032715,2001-11-16
4.584237575531006,2001-11-19
4.573476791381836,2001-11-20
4.543883323669434,2001-11-21
4.55464506149292,2001-11-23
4.627282619476318,2001-11-26
4.60037899017334,2001-11-27
4.58961820602417,2001-11-28
4.632663249969482,2001-11-29
4.6945390701293945,2001-11-30
4.826364040374756,2001-12-03
4.810222148895264,2001-12-04
4.84250545501709,2001-12-05
4.83981466293335,2001-12-06
4.8505754470825195,2001-12-07
5.092701435089111,2001-12-10
5.138436794281006,2001-12-11
5.219144821166992,2001-12-12
5.181478977203369,2001-12-13
5.246048450469971,2001-12-14
5.3832502365112305,2001-12-17
5.660350799560547,2001-12-18
5.385943412780762,2001-12-19
5.531215190887451,2001-12-20
5.652279376983643,2001-12-21
5.673801422119141,2001-12-24
5.673801422119141,2001-12-26
5.689942836761475,2001-12-27
5.735677242279053,2001-12-28
5.735677242279053,2001-12-31
5.7168450355529785,2002-01-02
5.727606296539307,2002-01-03
5.74644136428833,2002-01-04
5.630756855010986,2002-01-07
5.447817802429199,2002-01-08
5.442438125610352,2002-01-09
5.550050258636475,2002-01-10
5.461266994476318,2002-01-11
5.377870559692383,2002-01-14
5.571572303771973,2002-01-15
5.348278522491455,2002-01-16
5.33213472366333,2002-01-17
5.259498119354248,2002-01-18
5.219144821166992,2002-01-22
5.232595443725586,2002-01-23
5.2137627601623535,2002-01-24
5.1895527839660645,2002-01-25
5.186861515045166,2002-01-28
5.111530780792236,2002-01-29
5.124984264373779,2002-01-30
5.146507263183594,2002-01-31
5.095391273498535,2002-02-01
5.098080635070801,2002-02-04
5.046965599060059,2002-02-05
5.0711774826049805,2002-02-06
5.073868751525879,2002-02-07
5.111530780792236,2002-02-08
5.111530780792236,2002-02-11
5.240665912628174,2002-02-12
5.259498119354248,2002-02-13
5.377870559692383,2002-02-14
5.361728668212891,2002-02-15
5.361728668212891,2002-02-19
5.353658676147461,2002-02-20
5.302543640136719,2002-02-21
5.3294453620910645,2002-02-22
5.380560398101807,2002-02-25
5.399392604827881,2002-02-26
5.42091703414917,2002-02-27
5.42091703414917,2002-02-28
5.423604965209961,2002-03-01
5.676492691040039,2002-03-04
5.770651340484619,2002-03-05
5.776031970977783,2002-03-06
5.851358413696289,2002-03-07
