ULTA,Date
29.490022659301758,2007-10-25
31.64590072631836,2007-10-26
34.31602478027344,2007-10-29
35.03794479370117,2007-10-30
33.821556091308594,2007-10-31
32.367820739746094,2007-11-01
32.06125259399414,2007-11-02
31.15143394470215,2007-11-05
31.08220863342285,2007-11-06
29.025224685668945,2007-11-07
29.668031692504883,2007-11-08
29.569137573242188,2007-11-09
28.718656539916992,2007-11-12
28.80765724182129,2007-11-13
29.61858558654785,2007-11-14
29.865819931030273,2007-11-15
30.35039710998535,2007-11-16
28.866994857788086,2007-11-19
26.701229095458984,2007-11-20
24.08055305480957,2007-11-21
23.902544021606445,2007-11-23
23.932212829589844,2007-11-26
23.605865478515625,2007-11-27
24.57501983642578,2007-11-28
24.515684127807617,2007-11-29
25.455171585083008,2007-11-30
26.008974075317383,2007-12-03
25.563955307006836,2007-12-04
26.246320724487305,2007-12-05
27.185806274414062,2007-12-06
27.67038345336914,2007-12-07
27.195695877075195,2007-12-10
20.678617477416992,2007-12-11
19.33366584777832,2007-12-12
18.35462188720703,2007-12-13
18.3447322845459,2007-12-14
17.662368774414062,2007-12-17
17.504138946533203,2007-12-18
17.553585052490234,2007-12-19
16.564651489257812,2007-12-20
16.39653205871582,2007-12-21
16.614097595214844,2007-12-24
17.15801239013672,2007-12-26
17.07889747619629,2007-12-27
16.910778045654297,2007-12-28
16.960224151611328,2007-12-31
16.366863250732422,2008-01-02
15.328483581542969,2008-01-03
14.329659461975098,2008-01-04
12.38145923614502,2008-01-07
13.40006160736084,2008-01-08
14.33954906463623,2008-01-09
15.892175674438477,2008-01-10
15.625164031982422,2008-01-11
15.872396469116211,2008-01-14
15.437265396118164,2008-01-15
15.733945846557617,2008-01-16
14.596672058105469,2008-01-17
12.361680030822754,2008-01-18
12.440794944763184,2008-01-22
14.092314720153809,2008-01-23
14.141761779785156,2008-01-24
15.021913528442383,2008-01-25
15.328483581542969,2008-01-28
16.169076919555664,2008-01-29
15.3779296875,2008-01-30
15.071359634399414,2008-01-31
14.586782455444336,2008-02-01
13.874749183654785,2008-02-04
13.845081329345703,2008-02-05
14.042868614196777,2008-02-06
15.74383544921875,2008-02-07
15.3779296875,2008-02-08
14.923020362854004,2008-02-11
14.745011329650879,2008-02-12
14.764790534973145,2008-02-13
14.62633991241455,2008-02-14
14.62633991241455,2008-02-15
14.616450309753418,2008-02-19
14.754900932312012,2008-02-20
14.616450309753418,2008-02-21
13.845081329345703,2008-02-22
13.99342155456543,2008-02-25
15.002135276794434,2008-02-26
14.656007766723633,2008-02-27
14.458220481872559,2008-02-28
13.854970932006836,2008-02-29
14.586782455444336,2008-03-03
14.161540031433105,2008-03-04
14.28021240234375,2008-03-05
14.141761779785156,2008-03-06
13.330835342407227,2008-03-07
12.549576759338379,2008-03-10
12.678138732910156,2008-03-11
12.084778785705566,2008-03-12
10.373921394348145,2008-03-13
10.581598281860352,2008-03-14
11.155179977416992,2008-03-17
11.669425964355469,2008-03-18
11.372745513916016,2008-03-19
12.638581275939941,2008-03-20
13.83519172668457,2008-03-24
14.853795051574707,2008-03-25
14.48788833618164,2008-03-26
14.309881210327148,2008-03-27
13.864860534667969,2008-03-28
13.884638786315918,2008-03-31
14.161540031433105,2008-04-01
13.825302124023438,2008-04-02
13.914306640625,2008-04-03
13.667073249816895,2008-04-04
13.370393753051758,2008-04-07
14.023090362548828,2008-04-08
13.578068733215332,2008-04-09
14.745011329650879,2008-04-10
14.141761779785156,2008-04-11
14.250544548034668,2008-04-14
14.062647819519043,2008-04-15
13.963753700256348,2008-04-16
13.845081329345703,2008-04-17
13.943975448608398,2008-04-18
13.884638786315918,2008-04-21
13.123160362243652,2008-04-22
13.142937660217285,2008-04-23
13.251720428466797,2008-04-24
13.726409912109375,2008-04-25
13.657184600830078,2008-04-28
14.013200759887695,2008-04-29
13.99342155456543,2008-04-30
14.794458389282227,2008-05-01
14.685676574707031,2008-05-02
14.388996124267578,2008-05-05
14.210987091064453,2008-05-06
14.33954906463623,2008-05-07
14.191208839416504,2008-05-08
14.05275821685791,2008-05-09
14.112093925476074,2008-05-12
14.43844223022461,2008-05-13
14.527445793151855,2008-05-14
14.754900932312012,2008-05-15
14.458220481872559,2008-05-16
14.003311157226562,2008-05-19
13.765966415405273,2008-05-20
14.181319236755371,2008-05-21
14.131872177124023,2008-05-22
13.60773754119873,2008-05-23
14.210987091064453,2008-05-27
14.824126243591309,2008-05-28
14.735121726989746,2008-05-29
14.102204322814941,2008-05-30
14.131872177124023,2008-06-02
13.825302124023438,2008-06-03
13.1824951171875,2008-06-04
14.151651382446289,2008-06-05
13.68685245513916,2008-06-06
13.202274322509766,2008-06-09
13.864860534667969,2008-06-10
12.935261726379395,2008-06-11
12.440794944763184,2008-06-12
12.806700706481934,2008-06-13
