MKTX,Date
15.13480281829834,2004-11-05
16.181869506835938,2004-11-08
16.069368362426758,2004-11-09
17.436607360839844,2004-11-10
18.172155380249023,2004-11-11
18.51828384399414,2004-11-12
18.700008392333984,2004-11-15
19.210561752319336,2004-11-16
19.03748321533203,2004-11-17
18.033689498901367,2004-11-18
18.60482406616211,2004-11-19
19.22786521911621,2004-11-22
18.336570739746094,2004-11-23
18.215417861938477,2004-11-24
18.172155380249023,2004-11-26
17.505836486816406,2004-11-29
16.960668563842773,2004-11-30
17.341419219970703,2004-12-01
18.725967407226562,2004-12-02
18.55289077758789,2004-12-03
17.739477157592773,2004-12-06
16.822223663330078,2004-12-07
16.787607192993164,2004-12-08
17.306804656982422,2004-12-09
17.661598205566406,2004-12-10
16.787607192993164,2004-12-13
15.827078819274902,2004-12-14
14.892504692077637,2004-12-15
13.92332935333252,2004-12-16
13.784872055053711,2004-12-17
13.94929027557373,2004-12-20
14.684830665588379,2004-12-21
14.658868789672852,2004-12-22
14.875198364257812,2004-12-23
14.69348430633545,2004-12-27
14.632909774780273,2004-12-28
14.503104209899902,2004-12-29
14.866548538208008,2004-12-30
14.719436645507812,2004-12-31
13.802178382873535,2005-01-03
13.464698791503906,2005-01-04
13.499307632446289,2005-01-05
13.222402572631836,2005-01-06
13.41278076171875,2005-01-07
13.41278076171875,2005-01-10
13.77622127532959,2005-01-11
13.741604804992676,2005-01-12
13.049333572387695,2005-01-13
13.153173446655273,2005-01-14
12.971454620361328,2005-01-18
12.919529914855957,2005-01-19
12.703198432922363,2005-01-20
12.582052230834961,2005-01-21
12.20130443572998,2005-01-24
12.46090316772461,2005-01-25
12.417634010314941,2005-01-26
12.305139541625977,2005-01-27
12.313794136047363,2005-01-28
12.097458839416504,2005-01-31
12.080157279968262,2005-02-01
11.959003448486328,2005-02-02
10.461966514587402,2005-02-03
9.951415061950684,2005-02-04
9.864877700805664,2005-02-07
9.821615219116211,2005-02-08
10.358125686645508,2005-02-09
10.816754341125488,2005-02-10
10.79944896697998,2005-02-11
10.55715560913086,2005-02-14
11.292695999145508,2005-02-15
11.855164527893066,2005-02-16
11.197507858276367,2005-02-17
11.387884140014648,2005-02-18
11.24942684173584,2005-02-22
11.085010528564453,2005-02-23
10.93790054321289,2005-02-24
10.79944896697998,2005-02-25
10.22832202911377,2005-02-28
10.384088516235352,2005-03-01
10.384088516235352,2005-03-02
9.890840530395508,2005-03-03
9.890840530395508,2005-03-04
9.864877700805664,2005-03-07
9.613932609558105,2005-03-08
9.570666313171387,2005-03-09
9.709120750427246,2005-03-10
9.553354263305664,2005-03-11
9.691812515258789,2005-03-14
9.510092735290527,2005-03-15
9.518741607666016,2005-03-16
9.47547721862793,2005-03-17
9.46682357788086,2005-03-18
9.25914192199707,2005-03-21
9.449518203735352,2005-03-22
9.086077690124512,2005-03-23
9.008194923400879,2005-03-24
8.878393173217773,2005-03-28
8.54956340789795,2005-03-29
8.341878890991211,2005-03-30
9.665853500366211,2005-03-31
11.18885326385498,2005-04-01
11.041747093200684,2005-04-04
10.505234718322754,2005-04-05
10.384088516235352,2005-04-06
10.418702125549316,2005-04-07
10.349469184875488,2005-04-08
10.600419044494629,2005-04-11
10.868672370910645,2005-04-12
11.266732215881348,2005-04-13
11.768628120422363,2005-04-14
11.6994047164917,2005-04-15
11.976311683654785,2005-04-18
12.00226879119873,2005-04-19
11.431145668029785,2005-04-20
