CMVT,Date
0.5670999884605408,1987-01-27
0.5670999884605408,1987-01-28
0.5670999884605408,1987-01-29
0.5670999884605408,1987-01-30
0.5670999884605408,1987-02-02
0.5670999884605408,1987-02-03
0.5670999884605408,1987-02-04
0.5670999884605408,1987-02-05
0.5670999884605408,1987-02-06
0.5670999884605408,1987-02-09
0.5670999884605408,1987-02-10
0.5670999884605408,1987-02-11
0.6238999962806702,1987-02-12
0.6238999962806702,1987-02-13
0.6238999962806702,1987-02-17
0.6238999962806702,1987-02-18
0.6805199980735779,1987-02-19
0.6805199980735779,1987-02-20
0.6805199980735779,1987-02-23
0.7373300194740295,1987-02-24
0.7373300194740295,1987-02-25
0.7373300194740295,1987-02-26
0.7373300194740295,1987-02-27
0.7373300194740295,1987-03-02
0.7373300194740295,1987-03-03
0.7373300194740295,1987-03-04
0.7373300194740295,1987-03-05
0.7373300194740295,1987-03-06
0.7373300194740295,1987-03-09
0.7373300194740295,1987-03-10
0.7373300194740295,1987-03-11
0.7373300194740295,1987-03-12
0.7373300194740295,1987-03-13
0.7373300194740295,1987-03-16
0.7373300194740295,1987-03-17
0.7373300194740295,1987-03-18
0.6238999962806702,1987-03-19
0.6805199980735779,1987-03-20
0.6805199980735779,1987-03-23
0.6805199980735779,1987-03-24
0.6805199980735779,1987-03-25
0.6238999962806702,1987-03-26
0.6238999962806702,1987-03-27
0.6238999962806702,1987-03-30
0.6238999962806702,1987-03-31
0.6238999962806702,1987-04-01
0.6238999962806702,1987-04-02
0.6238999962806702,1987-04-03
0.6238999962806702,1987-04-06
0.6238999962806702,1987-04-07
0.6238999962806702,1987-04-08
0.6238999962806702,1987-04-09
0.6238999962806702,1987-04-10
0.5104799866676331,1987-04-13
0.5104799866676331,1987-04-14
0.5104799866676331,1987-04-15
0.5670999884605408,1987-04-16
0.5670999884605408,1987-04-20
0.5104799866676331,1987-04-21
0.5104799866676331,1987-04-22
0.5104799866676331,1987-04-23
0.5104799866676331,1987-04-24
0.5104799866676331,1987-04-27
0.5104799866676331,1987-04-28
0.5104799866676331,1987-04-29
0.45368000864982605,1987-04-30
0.45368000864982605,1987-05-01
0.45368000864982605,1987-05-04
0.45368000864982605,1987-05-05
0.45368000864982605,1987-05-06
0.45368000864982605,1987-05-07
0.45368000864982605,1987-05-08
0.45368000864982605,1987-05-11
0.45368000864982605,1987-05-12
0.45368000864982605,1987-05-13
0.45368000864982605,1987-05-14
0.45368000864982605,1987-05-15
0.45368000864982605,1987-05-18
0.45368000864982605,1987-05-19
0.45368000864982605,1987-05-20
0.45368000864982605,1987-05-21
0.45368000864982605,1987-05-22
0.45368000864982605,1987-05-26
0.45368000864982605,1987-05-27
0.45368000864982605,1987-05-28
0.45368000864982605,1987-05-29
0.45368000864982605,1987-06-01
0.45368000864982605,1987-06-02
0.45368000864982605,1987-06-03
0.45368000864982605,1987-06-04
0.45368000864982605,1987-06-05
0.45368000864982605,1987-06-08
0.45368000864982605,1987-06-09
0.45368000864982605,1987-06-10
0.45368000864982605,1987-06-11
0.45368000864982605,1987-06-12
0.45368000864982605,1987-06-15
0.45368000864982605,1987-06-16
0.45368000864982605,1987-06-17
0.45368000864982605,1987-06-18
0.45368000864982605,1987-06-19
0.45368000864982605,1987-06-22
0.45368000864982605,1987-06-23
0.39706000685691833,1987-06-24
0.39706000685691833,1987-06-25
0.39706000685691833,1987-06-26
0.39706000685691833,1987-06-29
0.39706000685691833,1987-06-30
0.39706000685691833,1987-07-01
0.39706000685691833,1987-07-02
0.39706000685691833,1987-07-06
0.39706000685691833,1987-07-07
0.39706000685691833,1987-07-08
0.34025999903678894,1987-07-09
0.34025999903678894,1987-07-10
0.34025999903678894,1987-07-13
0.34025999903678894,1987-07-14
0.34025999903678894,1987-07-15
0.34025999903678894,1987-07-16
0.34025999903678894,1987-07-17
0.34025999903678894,1987-07-20
0.34025999903678894,1987-07-21
0.34025999903678894,1987-07-22
0.34025999903678894,1987-07-23
0.34025999903678894,1987-07-24
0.34025999903678894,1987-07-27
0.34025999903678894,1987-07-28
0.34025999903678894,1987-07-29
0.34025999903678894,1987-07-30
0.2836399972438812,1987-07-31
0.2836399972438812,1987-08-03
0.2836399972438812,1987-08-04
0.2836399972438812,1987-08-05
0.2836399972438812,1987-08-06
0.2836399972438812,1987-08-07
0.22684000432491302,1987-08-10
0.22684000432491302,1987-08-11
0.22684000432491302,1987-08-12
0.22684000432491302,1987-08-13
0.22684000432491302,1987-08-14
0.22684000432491302,1987-08-17
0.22684000432491302,1987-08-18
0.22684000432491302,1987-08-19
0.22684000432491302,1987-08-20
0.22684000432491302,1987-08-21
0.22684000432491302,1987-08-24
0.22684000432491302,1987-08-25
0.22684000432491302,1987-08-26
0.22684000432491302,1987-08-27
0.1702200025320053,1987-08-28
0.1702200025320053,1987-08-31
0.1702200025320053,1987-09-01
0.1702200025320053,1987-09-02
0.1702200025320053,1987-09-03
0.1702200025320053,1987-09-04
0.1702200025320053,1987-09-08
0.1702200025320053,1987-09-09
0.1702200025320053,1987-09-10
0.1702200025320053,1987-09-11
0.1702200025320053,1987-09-14
0.1702200025320053,1987-09-15
0.1702200025320053,1987-09-16
0.1702200025320053,1987-09-17
0.1702200025320053,1987-09-18
0.1702200025320053,1987-09-21
0.1702200025320053,1987-09-22
0.1702200025320053,1987-09-23
0.1702200025320053,1987-09-24
0.1702200025320053,1987-09-25
0.1702200025320053,1987-09-28
0.1702200025320053,1987-09-29
0.1702200025320053,1987-09-30
