MCIC,Date
7403583.5,1998-09-08
7403583.5,1998-09-09
6542697.0,1998-09-10
6456613.5,1998-09-11
5922863.5,1998-09-14
5681818.0,1998-09-15
5853992.5,1998-09-16
6026174.0,1998-09-17
6198348.5,1998-09-18
6026174.0,1998-09-21
5681818.0,1998-09-22
5681818.0,1998-09-23
5853992.5,1998-09-24
7059227.5,1998-09-25
6887053.0,1998-09-28
7747932.0,1998-09-29
8780992.0,1998-09-30
8264462.0,1998-10-01
8436636.0,1998-10-02
7920113.5,1998-10-05
8436636.0,1998-10-06
8608818.0,1998-10-07
8092288.0,1998-10-08
7403583.5,1998-10-09
7231401.5,1998-10-12
6990356.0,1998-10-13
6456613.5,1998-10-14
6887053.0,1998-10-15
6887053.0,1998-10-16
7403583.5,1998-10-19
6887053.0,1998-10-20
6714879.0,1998-10-21
6542697.0,1998-10-22
6542697.0,1998-10-23
6026174.0,1998-10-26
5905644.0,1998-10-27
5905644.0,1998-10-28
5905644.0,1998-10-29
6542697.0,1998-10-30
6456613.5,1998-11-02
6456613.5,1998-11-03
6456613.5,1998-11-04
6456613.5,1998-11-05
6456613.5,1998-11-06
5509644.0,1998-11-09
5423553.0,1998-11-10
5423553.0,1998-11-11
5423553.0,1998-11-12
5423553.0,1998-11-13
5423553.0,1998-11-16
5423553.0,1998-11-17
5423553.0,1998-11-18
5423553.0,1998-11-19
5423553.0,1998-11-20
5423553.0,1998-11-23
5423553.0,1998-11-24
5423553.0,1998-11-25
5423553.0,1998-11-27
5423553.0,1998-11-30
5509644.0,1998-12-01
5509644.0,1998-12-02
5509644.0,1998-12-03
5509644.0,1998-12-04
5509644.0,1998-12-07
5905644.0,1998-12-08
5905644.0,1998-12-09
5905644.0,1998-12-10
5905644.0,1998-12-11
5509644.0,1998-12-14
5509644.0,1998-12-15
5509644.0,1998-12-16
5509644.0,1998-12-17
5079204.5,1998-12-18
4648757.5,1998-12-21
4476583.5,1998-12-22
4476583.5,1998-12-23
4476583.5,1998-12-24
4304409.0,1998-12-28
4304409.0,1998-12-29
3960053.0,1998-12-30
3787878.75,1998-12-31
3960053.0,1999-01-04
3960053.0,1999-01-05
3615704.5,1999-01-06
3615704.5,1999-01-07
3615704.5,1999-01-08
3357439.5,1999-01-11
3099174.25,1999-01-12
3099174.25,1999-01-13
3443522.75,1999-01-14
3443522.75,1999-01-15
3615704.5,1999-01-19
3271348.5,1999-01-20
3271348.5,1999-01-21
4132234.75,1999-01-22
4132234.75,1999-01-25
3787878.75,1999-01-26
3787878.75,1999-01-27
3615704.5,1999-01-28
3615704.5,1999-01-29
3443522.75,1999-02-01
3271348.5,1999-02-02
3099174.25,1999-02-03
2668734.75,1999-02-04
2927000.0,1999-02-05
2927000.0,1999-02-08
3271348.5,1999-02-09
3271348.5,1999-02-10
3271348.5,1999-02-11
3099174.25,1999-02-12
3271348.5,1999-02-16
3271348.5,1999-02-17
3099174.25,1999-02-18
2927000.0,1999-02-19
2927000.0,1999-02-22
2927000.0,1999-02-23
2927000.0,1999-02-24
2754818.25,1999-02-25
2840909.0,1999-02-26
3013083.25,1999-03-01
3013083.25,1999-03-02
2754818.25,1999-03-03
2754818.25,1999-03-04
2582644.0,1999-03-05
2927000.0,1999-03-08
2754818.25,1999-03-09
2685947.0,1999-03-10
2927000.0,1999-03-11
2582644.0,1999-03-12
2927000.0,1999-03-15
2927000.0,1999-03-16
2927000.0,1999-03-17
2582644.0,1999-03-18
2410469.75,1999-03-19
2410469.75,1999-03-22
2617083.25,1999-03-23
2410469.75,1999-03-24
2238295.5,1999-03-25
2238295.5,1999-03-26
2238295.5,1999-03-29
2152204.5,1999-03-30
2152204.5,1999-03-31
