LNC,Date
2.6837306022644043,1980-03-17
2.6745409965515137,1980-03-18
2.720494508743286,1980-03-19
2.7296853065490723,1980-03-20
2.6929209232330322,1980-03-21
2.6837306022644043,1980-03-24
2.6653475761413574,1980-03-25
2.6193952560424805,1980-03-26
2.4447689056396484,1980-03-27
2.4631502628326416,1980-03-28
2.4815328121185303,1980-03-31
2.5182955265045166,1980-04-01
2.5642504692077637,1980-04-02
2.5274851322174072,1980-04-03
2.4999136924743652,1980-04-07
2.5550601482391357,1980-04-08
2.5642504692077637,1980-04-09
2.6193952560424805,1980-04-10
2.6653475761413574,1980-04-11
2.6102046966552734,1980-04-14
2.5550601482391357,1980-04-15
2.5182955265045166,1980-04-16
2.5550601482391357,1980-04-17
2.5734405517578125,1980-04-18
2.5734405517578125,1980-04-21
2.656158208847046,1980-04-22
2.6653475761413574,1980-04-23
2.711303949356079,1980-04-24
2.711303949356079,1980-04-25
2.6653475761413574,1980-04-28
2.6745409965515137,1980-04-29
2.6745409965515137,1980-04-30
2.6193952560424805,1980-05-01
2.646967649459839,1980-05-02
2.646967649459839,1980-05-05
2.720494508743286,1980-05-06
2.812403917312622,1980-05-07
2.7664473056793213,1980-05-08
2.6745409965515137,1980-05-09
2.6837306022644043,1980-05-12
2.6653475761413574,1980-05-13
2.720494508743286,1980-05-14
2.720494508743286,1980-05-15
2.711303949356079,1980-05-16
2.6929209232330322,1980-05-19
2.711303949356079,1980-05-20
2.711303949356079,1980-05-21
2.7296853065490723,1980-05-22
2.821593761444092,1980-05-23
2.8307852745056152,1980-05-27
2.839975118637085,1980-05-28
2.8307852745056152,1980-05-29
2.849167585372925,1980-05-30
2.8307852745056152,1980-06-02
2.8583571910858154,1980-06-03
2.885929584503174,1980-06-04
2.9043118953704834,1980-06-05
2.9410765171051025,1980-06-06
2.9226937294006348,1980-06-09
2.959455966949463,1980-06-10
2.9870285987854004,1980-06-11
3.014603614807129,1980-06-12
3.097317934036255,1980-06-13
3.1065101623535156,1980-06-16
3.1340818405151367,1980-06-17
3.115701675415039,1980-06-18
3.097317934036255,1980-06-19
3.069746971130371,1980-06-20
3.0513644218444824,1980-06-23
3.0789380073547363,1980-06-24
3.1065101623535156,1980-06-25
3.060556411743164,1980-06-26
3.060556411743164,1980-06-27
3.032982110977173,1980-06-30
3.069746971130371,1980-07-01
3.1065101623535156,1980-07-02
3.069746971130371,1980-07-03
3.069746971130371,1980-07-07
3.1248927116394043,1980-07-08
3.1248927116394043,1980-07-09
3.069746971130371,1980-07-10
3.088129997253418,1980-07-11
3.1248927116394043,1980-07-14
3.1616568565368652,1980-07-15
3.198418140411377,1980-07-16
3.1616568565368652,1980-07-17
3.189225912094116,1980-07-18
3.1708452701568604,1980-07-21
3.1616568565368652,1980-07-22
3.317901372909546,1980-07-23
3.345475196838379,1980-07-24
3.2535641193389893,1980-07-25
3.235182046890259,1980-07-28
3.216801881790161,1980-07-29
3.18003511428833,1980-07-30
3.1616568565368652,1980-07-31
3.1432745456695557,1980-08-01
3.216801881790161,1980-08-04
3.2811367511749268,1980-08-05
3.3087100982666016,1980-08-06
3.345475196838379,1980-08-07
3.235182046890259,1980-08-08
3.216801881790161,1980-08-11
3.2535641193389893,1980-08-12
3.225991725921631,1980-08-13
3.3087100982666016,1980-08-14
3.290327787399292,1980-08-15
3.290327787399292,1980-08-18
3.18003511428833,1980-08-19
3.1340818405151367,1980-08-20
3.225991725921631,1980-08-21
