SPOT,Date
149.00999450683594,2018-04-03
144.22000122070312,2018-04-04
143.99000549316406,2018-04-05
147.9199981689453,2018-04-06
150.0,2018-04-09
154.89999389648438,2018-04-10
149.57000732421875,2018-04-11
149.10000610351562,2018-04-12
149.0,2018-04-13
144.32000732421875,2018-04-16
148.49000549316406,2018-04-17
154.91000366210938,2018-04-18
153.47000122070312,2018-04-19
158.4499969482422,2018-04-20
158.0399932861328,2018-04-23
155.07000732421875,2018-04-24
153.3300018310547,2018-04-25
156.60000610351562,2018-04-26
159.97999572753906,2018-04-27
161.6699981689453,2018-04-30
164.8800048828125,2018-05-01
170.0,2018-05-02
160.3800048828125,2018-05-03
154.25999450683594,2018-05-04
150.0,2018-05-07
150.63999938964844,2018-05-08
150.07000732421875,2018-05-09
158.1300048828125,2018-05-10
156.77000427246094,2018-05-11
159.97000122070312,2018-05-14
158.7100067138672,2018-05-15
161.38999938964844,2018-05-16
158.75999450683594,2018-05-17
150.8000030517578,2018-05-18
150.22000122070312,2018-05-21
150.42999267578125,2018-05-22
154.3699951171875,2018-05-23
154.58999633789062,2018-05-24
156.60000610351562,2018-05-25
154.6199951171875,2018-05-29
156.3800048828125,2018-05-30
157.7100067138672,2018-05-31
159.24000549316406,2018-06-01
162.8300018310547,2018-06-04
164.9600067138672,2018-06-05
165.63999938964844,2018-06-06
166.02999877929688,2018-06-07
171.47999572753906,2018-06-08
172.3699951171875,2018-06-11
170.22999572753906,2018-06-12
170.82000732421875,2018-06-13
178.10000610351562,2018-06-14
175.02000427246094,2018-06-15
174.35000610351562,2018-06-18
169.88999938964844,2018-06-19
176.39999389648438,2018-06-20
179.52999877929688,2018-06-21
180.94000244140625,2018-06-22
170.3699951171875,2018-06-25
175.97999572753906,2018-06-26
172.14999389648438,2018-06-27
167.6999969482422,2018-06-28
168.24000549316406,2018-06-29
170.69000244140625,2018-07-02
168.66000366210938,2018-07-03
176.44000244140625,2018-07-05
175.6999969482422,2018-07-06
177.44000244140625,2018-07-09
180.42999267578125,2018-07-10
182.35000610351562,2018-07-11
188.35000610351562,2018-07-12
187.2100067138672,2018-07-13
184.22000122070312,2018-07-16
187.0500030517578,2018-07-17
186.14999389648438,2018-07-18
182.19000244140625,2018-07-19
182.7899932861328,2018-07-20
188.0500030517578,2018-07-23
187.80999755859375,2018-07-24
187.99000549316406,2018-07-25
196.27999877929688,2018-07-26
186.27000427246094,2018-07-27
176.7899932861328,2018-07-30
182.8300018310547,2018-07-31
180.1199951171875,2018-08-01
179.7100067138672,2018-08-02
175.5,2018-08-03
179.9499969482422,2018-08-06
179.52000427246094,2018-08-07
178.6999969482422,2018-08-08
187.3800048828125,2018-08-09
189.05999755859375,2018-08-10
191.5500030517578,2018-08-13
193.75,2018-08-14
190.3300018310547,2018-08-15
192.36000061035156,2018-08-16
188.3699951171875,2018-08-17
186.39999389648438,2018-08-20
190.3800048828125,2018-08-21
191.02999877929688,2018-08-22
190.0,2018-08-23
192.3800048828125,2018-08-24
194.69000244140625,2018-08-27
191.9600067138672,2018-08-28
191.25999450683594,2018-08-29
189.85000610351562,2018-08-30
189.52000427246094,2018-08-31
187.52999877929688,2018-09-04
177.36000061035156,2018-09-05
175.55999755859375,2018-09-06
177.8000030517578,2018-09-07
182.49000549316406,2018-09-10
182.6699981689453,2018-09-11
183.7899932861328,2018-09-12
184.88999938964844,2018-09-13
180.6300048828125,2018-09-14
175.10000610351562,2018-09-17
175.52000427246094,2018-09-18
171.13999938964844,2018-09-19
172.63999938964844,2018-09-20
175.02000427246094,2018-09-21
176.97000122070312,2018-09-24
179.91000366210938,2018-09-25
182.0500030517578,2018-09-26
184.41000366210938,2018-09-27
180.8300018310547,2018-09-28
180.39999389648438,2018-10-01
178.8800048828125,2018-10-02
176.9499969482422,2018-10-03
168.5800018310547,2018-10-04
164.3800048828125,2018-10-05
163.47000122070312,2018-10-08
161.52999877929688,2018-10-09
149.47999572753906,2018-10-10
152.27000427246094,2018-10-11
158.49000549316406,2018-10-12
159.25,2018-10-15
164.75,2018-10-16
159.27999877929688,2018-10-17
152.49000549316406,2018-10-18
148.92999267578125,2018-10-19
148.5399932861328,2018-10-22
153.25,2018-10-23
146.32000732421875,2018-10-24
149.67999267578125,2018-10-25
146.24000549316406,2018-10-26
139.11000061035156,2018-10-29
141.67999267578125,2018-10-30
149.69000244140625,2018-10-31
141.16000366210938,2018-11-01
138.99000549316406,2018-11-02
143.60000610351562,2018-11-05
142.61000061035156,2018-11-06
145.77000427246094,2018-11-07
137.0,2018-11-08
138.05999755859375,2018-11-09
131.30999755859375,2018-11-12
131.6300048828125,2018-11-13
134.00999450683594,2018-11-14
136.9600067138672,2018-11-15
134.2100067138672,2018-11-16
126.69999694824219,2018-11-19
129.6999969482422,2018-11-20
131.97999572753906,2018-11-21
129.41000366210938,2018-11-23
138.0,2018-11-26
138.75,2018-11-27
138.24000549316406,2018-11-28
138.9600067138672,2018-11-29
136.3800048828125,2018-11-30
140.67999267578125,2018-12-03
134.5,2018-12-04
136.8300018310547,2018-12-06
135.30999755859375,2018-12-07
130.7899932861328,2018-12-10
128.3699951171875,2018-12-11
128.47000122070312,2018-12-12
125.55000305175781,2018-12-13
125.68000030517578,2018-12-14
120.47000122070312,2018-12-17
120.51000213623047,2018-12-18
118.66999816894531,2018-12-19
114.52999877929688,2018-12-20
106.83999633789062,2018-12-21
107.75,2018-12-24
114.04000091552734,2018-12-26
113.81999969482422,2018-12-27
112.16000366210938,2018-12-28
113.5,2018-12-31
113.73999786376953,2019-01-02
109.0199966430664,2019-01-03
118.51000213623047,2019-01-04
119.36000061035156,2019-01-07
117.4800033569336,2019-01-08
122.69000244140625,2019-01-09
123.93000030517578,2019-01-10
120.5199966430664,2019-01-11
126.70999908447266,2019-01-14
131.25,2019-01-15
134.25,2019-01-16
133.25,2019-01-17
133.66000366210938,2019-01-18
133.8000030517578,2019-01-22
130.9199981689453,2019-01-23
132.6999969482422,2019-01-24
134.6699981689453,2019-01-25
133.25,2019-01-28
132.4600067138672,2019-01-29
136.47000122070312,2019-01-30
135.4499969482422,2019-01-31
137.2100067138672,2019-02-01
138.60000610351562,2019-02-04
139.39999389648438,2019-02-05
135.4499969482422,2019-02-06
131.19000244140625,2019-02-07
134.7100067138672,2019-02-08
137.82000732421875,2019-02-11
140.4600067138672,2019-02-12
143.5399932861328,2019-02-13
146.8699951171875,2019-02-14
148.52000427246094,2019-02-15
146.27999877929688,2019-02-19
147.8300018310547,2019-02-20
148.52000427246094,2019-02-21
151.19000244140625,2019-02-22
149.3300018310547,2019-02-25
145.07000732421875,2019-02-26
145.0,2019-02-27
140.13999938964844,2019-02-28
138.0,2019-03-01
139.22999572753906,2019-03-04
143.60000610351562,2019-03-05
145.1199951171875,2019-03-06
140.17999267578125,2019-03-07
140.17999267578125,2019-03-08
146.36000061035156,2019-03-11
145.3300018310547,2019-03-12
143.49000549316406,2019-03-13
140.24000549316406,2019-03-14
141.91000366210938,2019-03-15
139.17999267578125,2019-03-18
141.5500030517578,2019-03-19
143.89999389648438,2019-03-20
143.99000549316406,2019-03-21
139.0,2019-03-22
142.10000610351562,2019-03-25
137.4499969482422,2019-03-26
133.35000610351562,2019-03-27
137.63999938964844,2019-03-28
138.8000030517578,2019-03-29
140.05999755859375,2019-04-01
142.5500030517578,2019-04-02
143.82000732421875,2019-04-03
140.27000427246094,2019-04-04
141.1300048828125,2019-04-05
142.27999877929688,2019-04-08
141.33999633789062,2019-04-09
143.57000732421875,2019-04-10
141.8000030517578,2019-04-11
144.9499969482422,2019-04-12
138.5500030517578,2019-04-15
139.41000366210938,2019-04-16
137.69000244140625,2019-04-17
139.64999389648438,2019-04-18
135.9199981689453,2019-04-22
138.7899932861328,2019-04-23
135.6199951171875,2019-04-24
132.82000732421875,2019-04-25
138.25,2019-04-26
138.13999938964844,2019-04-29
135.77000427246094,2019-04-30
136.5,2019-05-01
132.6999969482422,2019-05-02
136.1699981689453,2019-05-03
137.0,2019-05-06
136.05999755859375,2019-05-07
137.7100067138672,2019-05-08
134.8300018310547,2019-05-09
137.85000610351562,2019-05-10
132.38999938964844,2019-05-13
133.5800018310547,2019-05-14
136.42999267578125,2019-05-15
135.42999267578125,2019-05-16
132.75999450683594,2019-05-17
131.52000427246094,2019-05-20
132.24000549316406,2019-05-21
127.08999633789062,2019-05-22
121.58000183105469,2019-05-23
124.6500015258789,2019-05-24
124.36000061035156,2019-05-28
125.66999816894531,2019-05-29
127.61000061035156,2019-05-30
125.58000183105469,2019-05-31
122.80999755859375,2019-06-03
127.61000061035156,2019-06-04
131.0,2019-06-05
135.41000366210938,2019-06-06
140.0800018310547,2019-06-07
139.22999572753906,2019-06-10
138.60000610351562,2019-06-11
142.5,2019-06-12
144.85000610351562,2019-06-13
144.58999633789062,2019-06-14
149.5,2019-06-17
147.00999450683594,2019-06-18
149.3000030517578,2019-06-19
149.77000427246094,2019-06-20
148.30999755859375,2019-06-21
150.0399932861328,2019-06-24
144.16000366210938,2019-06-25
142.10000610351562,2019-06-26
143.25,2019-06-27
146.22000122070312,2019-06-28
145.2899932861328,2019-07-01
146.42999267578125,2019-07-02
145.86000061035156,2019-07-03
146.30999755859375,2019-07-05
144.2899932861328,2019-07-08
147.24000549316406,2019-07-09
151.36000061035156,2019-07-10
151.4600067138672,2019-07-11
152.3000030517578,2019-07-12
154.27000427246094,2019-07-15
151.4499969482422,2019-07-16
148.08999633789062,2019-07-17
145.1999969482422,2019-07-18
144.11000061035156,2019-07-19
146.75999450683594,2019-07-22
148.74000549316406,2019-07-23
152.33999633789062,2019-07-24
152.97000122070312,2019-07-25
155.3800048828125,2019-07-26
153.88999938964844,2019-07-29
155.1999969482422,2019-07-30
154.94000244140625,2019-07-31
