PKG,Date
6.134296894073486,2000-01-28
6.166243076324463,2000-01-31
6.134296894073486,2000-02-01
6.166243076324463,2000-02-02
6.134296894073486,2000-02-03
5.814802646636963,2000-02-04
5.527258396148682,2000-02-07
5.0480146408081055,2000-02-08
5.175812244415283,2000-02-09
5.431408405303955,2000-02-10
5.143861293792725,2000-02-11
5.016064643859863,2000-02-14
5.335558891296387,2000-02-15
5.399457931518555,2000-02-16
5.30360746383667,2000-02-17
5.367506980895996,2000-02-18
5.271658420562744,2000-02-22
5.175812244415283,2000-02-23
5.0799641609191895,2000-02-24
5.335558891296387,2000-02-25
5.175812244415283,2000-02-28
5.559208393096924,2000-02-29
5.623103141784668,2000-03-01
5.878699779510498,2000-03-02
5.5911545753479,2000-03-03
5.495306491851807,2000-03-06
5.239710807800293,2000-03-07
5.30360746383667,2000-03-08
5.367506980895996,2000-03-09
5.239710807800293,2000-03-10
4.984115123748779,2000-03-13
5.0480146408081055,2000-03-14
4.920214653015137,2000-03-15
4.984115123748779,2000-03-16
4.888265609741211,2000-03-17
4.920214653015137,2000-03-20
4.920214653015137,2000-03-21
4.888265609741211,2000-03-22
4.952167510986328,2000-03-23
4.984115123748779,2000-03-24
5.0480146408081055,2000-03-27
5.016064643859863,2000-03-28
5.016064643859863,2000-03-29
5.016064643859863,2000-03-30
5.367506980895996,2000-03-31
5.271658420562744,2000-04-03
5.143861293792725,2000-04-04
5.239710807800293,2000-04-05
5.527258396148682,2000-04-06
5.367506980895996,2000-04-07
5.271658420562744,2000-04-10
5.399457931518555,2000-04-11
5.527258396148682,2000-04-12
5.431408405303955,2000-04-13
5.175812244415283,2000-04-14
5.30360746383667,2000-04-17
5.431408405303955,2000-04-18
5.5911545753479,2000-04-19
5.431408405303955,2000-04-20
5.559208393096924,2000-04-24
5.75090217590332,2000-04-25
5.623103141784668,2000-04-26
5.527258396148682,2000-04-27
6.070396423339844,2000-04-28
5.942600250244141,2000-05-01
6.006497859954834,2000-05-02
5.910654067993164,2000-05-03
6.006497859954834,2000-05-04
6.102345943450928,2000-05-05
6.070396423339844,2000-05-08
6.038447856903076,2000-05-09
6.134296894073486,2000-05-10
6.134296894073486,2000-05-11
6.134296894073486,2000-05-12
6.453791618347168,2000-05-15
6.325993537902832,2000-05-16
6.325993537902832,2000-05-17
6.134296894073486,2000-05-18
6.19819450378418,2000-05-19
6.038447856903076,2000-05-22
5.942600250244141,2000-05-23
5.814802646636963,2000-05-24
5.846749782562256,2000-05-25
6.070396423339844,2000-05-26
5.974546909332275,2000-05-30
5.878699779510498,2000-05-31
5.75090217590332,2000-06-01
5.655052185058594,2000-06-02
5.687004566192627,2000-06-05
5.782851219177246,2000-06-06
5.75090217590332,2000-06-07
5.655052185058594,2000-06-08
5.75090217590332,2000-06-09
5.814802646636963,2000-06-12
5.878699779510498,2000-06-13
5.910654067993164,2000-06-14
5.75090217590332,2000-06-15
5.463359355926514,2000-06-16
5.623103141784668,2000-06-19
5.367506980895996,2000-06-20
5.623103141784668,2000-06-21
5.463359355926514,2000-06-22
5.367506980895996,2000-06-23
5.431408405303955,2000-06-26
5.623103141784668,2000-06-27
5.942600250244141,2000-06-28
6.19819450378418,2000-06-29
